userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,61.72628402709961) (51,61.409942626953125)* (1073,61.080013275146484) (187,60.8080940246582) (59,60.28465270996094)* (157,60.01789093017578) (1098,59.44164276123047) (599,59.4344596862793) (511,59.320465087890625) (1464,59.24199676513672) (227,59.05555725097656) (715,59.03497314453125) (1122,59.002037048339844) (900,58.998680114746094) (1833,58.9981689453125) (159,58.96393585205078) (172,58.934898376464844) (1014,58.8427619934082) (4308,58.699668884277344) (61,58.680938720703125)*
14: (1123,69.80648803710938) (3230,68.06853485107422) (8314,67.8192138671875) (9271,67.39156341552734) (3006,67.257568359375) (4520,67.141357421875) (4790,67.05532836914062) (1232,67.04694366455078) (11676,67.02458190917969) (3014,67.01252746582031) (1411,66.97797393798828) (6165,66.923828125) (613,66.65271759033203) (7802,66.62017822265625) (9424,66.61439514160156) (1889,66.58120727539062) (11435,66.56028747558594) (3015,66.45942687988281) (2998,66.44803619384766) (7056,66.43841552734375)
15: (197,58.59874725341797)* (433,57.45728302001953) (418,57.38785171508789) (1123,57.269195556640625) (53,57.26873016357422) (53,57.26873016357422) (231,57.258243560791016) (206,57.192039489746094) (163,57.00141143798828) (735,56.99200439453125) (235,56.977439880371094) (238,56.961387634277344) (748,56.91290283203125) (6762,56.86710739135742) (81,56.83625030517578) (1242,56.80243682861328) (1098,56.77849578857422) (715,56.770626068115234) (1504,56.708335876464844) (3259,56.648521423339844)
16: (8975,59.292015075683594) (2098,58.67330551147461) (289,57.83153533935547) (4253,57.38820266723633) (288,57.2520637512207) (12966,56.96282958984375) (4580,56.7846565246582) (3982,56.71495819091797) (375,56.70623016357422) (2100,56.50642395019531) (2462,56.50392150878906) (374,56.47645568847656) (9013,56.451019287109375) (2104,56.36211395263672) (257,56.340999603271484) (306,56.318634033203125) (401,56.29540252685547) (13164,56.29357147216797) (3324,56.291839599609375) (295,56.24840545654297)
17: (300,56.4484748840332)* (333,56.12067794799805) (306,55.95142364501953)* (1934,55.869815826416016) (701,55.783935546875)* (523,55.40492248535156) (903,55.375213623046875) (349,55.325862884521484) (471,55.31420135498047) (295,55.29026412963867) (292,55.20891571044922)* (291,55.1591796875) (689,55.1348876953125)* (525,55.112632751464844) (528,55.029136657714844)* (302,54.97322082519531) (458,54.9459228515625) (3399,54.93013000488281) (1243,54.876220703125) (1246,54.830848693847656)
18: (959,65.86629486083984) (227,65.8373794555664)* (1249,65.77301025390625) (2346,65.37733459472656) (951,65.26171875) (220,65.21926879882812)* (917,64.84126281738281) (157,64.73101043701172) (1415,64.68707275390625) (234,64.57015991210938) (1412,64.48111724853516) (176,64.47512817382812) (982,64.30804443359375) (1244,64.28113555908203) (1406,64.13915252685547) (253,64.10627746582031) (198,64.07516479492188) (718,64.02265167236328)* (1122,63.97303009033203) (377,63.945556640625)
20: (1226,63.785858154296875) (2667,63.5005989074707) (101,62.66431427001953) (3703,62.46165084838867) (2165,62.36012268066406) (1222,62.23349380493164) (5791,62.15732192993164) (2678,62.12012481689453) (4232,61.90330123901367) (162,61.84975814819336) (2605,61.71502685546875) (2668,61.68675994873047) (5874,61.61433792114258) (603,61.49522399902344) (2173,61.433692932128906) (2158,61.225303649902344) (1543,61.17441940307617) (3355,61.05698776245117) (2167,60.855140686035156) (1731,60.834590911865234)
21: (349,63.58123779296875) (306,63.358726501464844)* (257,63.099456787109375) (89,62.75773620605469)* (294,62.738155364990234) (320,62.206451416015625) (161,62.156009674072266) (913,62.148780822753906) (157,62.07073974609375) (314,61.98529052734375) (466,61.923828125)* (525,61.815086364746094) (265,61.78593444824219) (544,61.784881591796875) (285,61.615821838378906) (326,61.60993576049805) (301,61.50474548339844) (333,61.46083068847656) (1037,61.453147888183594) (329,61.452392578125)
22: (785,61.12164306640625) (809,60.982078552246094)* (1547,60.94061279296875) (2744,60.76216125488281) (953,60.546268463134766) (2586,60.463348388671875) (1281,60.403228759765625) (2143,60.09262466430664) (923,59.87800216674805) (4504,59.524818420410156) (12,59.51673889160156) (5126,59.430091857910156) (2576,59.3891716003418) (3722,59.33547592163086) (1551,59.28697204589844) (2379,59.28593444824219) (831,59.282135009765625)* (4346,59.2691650390625) (2970,59.25527572631836) (835,59.12504196166992)*
23: (1119,62.20441436767578) (1083,61.967288970947266) (3280,61.63619613647461) (1534,61.622650146484375) (868,61.59747314453125)* (59,61.43190383911133) (441,61.25524139404297) (227,61.2484016418457)* (631,61.207550048828125) (959,61.14079666137695) (857,61.12609100341797)* (156,61.088836669921875) (1707,61.06373596191406) (429,61.00316619873047) (864,60.9876708984375)* (1131,60.75133514404297) (1726,60.704498291015625) (51,60.700172424316406) (3431,60.66107177734375) (370,60.62543869018555)
24: (67,58.46555709838867)* (67,58.46555709838867)* (3488,57.85292053222656) (97,57.71809768676758) (55,57.665470123291016)* (157,57.4552001953125)* (1934,57.34215545654297) (1243,57.328407287597656) (1464,57.23796081542969) (575,57.209922790527344) (265,57.10700225830078) (289,57.08226776123047)* (3466,57.0751838684082) (1556,57.008323669433594) (295,56.992088317871094)* (261,56.95365905761719) (288,56.92999267578125)* (1505,56.882476806640625) (1772,56.708900451660156) (1782,56.67960739135742)
25: (306,58.4665412902832) (349,58.28438949584961)* (292,58.046630859375)* (89,57.9597053527832)* (299,57.825279235839844) (300,57.514617919921875) (257,57.4044189453125) (525,57.265625) (161,57.242645263671875) (301,57.113670349121094) (320,56.97893524169922) (468,56.867393493652344) (461,56.83462142944336) (285,56.63029098510742) (314,56.62439727783203)* (326,56.46897506713867) (265,56.357730865478516) (466,56.348087310791016) (333,56.24024200439453) (544,56.22026062011719)
26: (918,64.0604248046875)* (1803,63.741722106933594) (1339,63.38938903808594) (707,63.10930633544922)* (1281,62.923736572265625) (1369,62.87870788574219) (4342,62.71537399291992) (1360,62.67356872558594) (1358,62.66280746459961) (1350,62.54612350463867) (1522,62.51873016357422) (710,62.494163513183594) (1347,62.395729064941406) (1274,62.3797721862793) (2664,62.36083221435547) (4180,62.32465362548828) (1338,62.27890396118164) (724,62.19681167602539) (9511,62.19330978393555) (503,62.17815017700195)
27: (190,60.25109100341797) (65,60.1082763671875) (65,60.1082763671875) (227,59.64392852783203) (154,59.38679504394531) (511,59.352394104003906) (229,59.14496612548828) (173,59.141380310058594) (157,59.095001220703125) (1375,59.03118133544922) (3057,59.028472900390625) (959,59.009193420410156) (910,58.96155548095703) (184,58.83049774169922) (182,58.82676315307617) (155,58.73011779785156) (70,58.6783447265625) (1705,58.64370346069336) (533,58.61977005004883) (72,58.600799560546875)
28: (1885,68.51799011230469) (3832,66.70905303955078) (187,66.47924041748047) (997,65.99822998046875)* (1001,65.8285140991211)* (1066,65.7801284790039) (1071,65.6125259399414) (3966,65.57756805419922) (3768,65.5758056640625) (877,65.55740356445312) (67,65.34957885742188) (67,65.34957885742188) (1079,65.27739715576172) (1014,65.25086975097656)* (157,65.18447875976562) (30,65.1805648803711) (1019,65.15459442138672)* (1897,64.97504425048828) (1067,64.95795440673828) (10997,64.88179016113281)
29: (461,64.37395477294922)* (466,64.33717346191406)* (289,64.30653381347656)* (89,63.75678253173828)* (458,63.70143508911133) (306,63.65382385253906) (544,63.59473419189453) (344,63.49404525756836) (681,63.309791564941406) (475,63.166507720947266) (377,63.12433624267578) (1455,63.10517501831055) (1045,63.04751205444336)* (295,63.02848815917969) (486,62.99795150756836) (687,62.93757247924805)* (1034,62.875308990478516)* (325,62.86112594604492) (1047,62.84243392944336) (321,62.819339752197266)
30: (89,61.83335876464844)* (466,61.65550994873047) (292,61.03227233886719) (302,60.95840072631836) (306,60.90346145629883) (701,60.578372955322266) (318,60.352455139160156)* (679,60.345333099365234)* (257,60.24823760986328) (67,60.13191604614258) (67,60.13191604614258) (378,60.032203674316406) (293,60.027854919433594) (299,59.94927978515625) (349,59.94829559326172) (55,59.88200378417969) (686,59.86247253417969) (191,59.832420349121094) (328,59.7800178527832) (464,59.758026123046875)
31: (51,60.044307708740234) (1014,59.894954681396484) (187,59.865840911865234) (153,59.739341735839844) (3768,59.67687225341797) (1885,59.612918853759766) (30,59.610496520996094)* (4308,59.48204803466797) (3832,59.14593505859375) (997,59.11486053466797) (1072,59.09943771362305)* (1379,59.09713363647461) (3988,59.042484283447266) (1886,59.032066345214844) (1019,58.91340255737305) (1098,58.854225158691406) (75,58.83603286743164) (75,58.83603286743164) (3501,58.810394287109375) (1713,58.77980041503906)
32: (227,64.32914733886719)* (1239,64.22102355957031) (226,64.18559265136719) (199,64.10052490234375) (207,64.06336975097656) (428,63.987545013427734)* (424,63.94737243652344) (228,63.9287109375) (163,63.78184509277344) (225,63.74333572387695) (195,63.713417053222656) (217,63.61919021606445)* (709,63.55687713623047) (229,63.414485931396484) (1151,63.41291046142578) (65,63.286888122558594) (65,63.286888122558594) (859,63.26472473144531) (436,63.10109329223633) (1116,63.05616760253906)
33: (163,64.3890609741211) (152,63.337432861328125)* (1418,63.30854797363281) (370,63.24315643310547) (506,63.22215270996094) (1123,63.1663818359375)* (227,63.059043884277344) (707,63.00348663330078) (3417,62.98881530761719) (162,62.922950744628906) (1119,62.81629180908203)* (2006,62.72215270996094) (1178,62.709449768066406) (614,62.66851043701172)* (4613,62.48344421386719) (1743,62.44061279296875) (868,62.437721252441406) (190,62.38969802856445) (917,62.37580871582031) (4143,62.37236785888672)
34: (154,63.460784912109375) (81,63.04145050048828) (715,62.98700714111328) (159,62.66545486450195) (429,62.420143127441406) (190,62.34463882446289) (196,62.15076446533203)* (511,62.1309814453125)* (88,62.03516387939453) (228,61.83040237426758) (72,61.78507614135742)* (72,61.78507614135742)* (533,61.757835388183594) (212,61.752315521240234) (1122,61.677001953125) (1106,61.66901397705078) (3259,61.465606689453125) (859,61.37084197998047) (215,61.317447662353516) (1239,61.30535125732422)
35: (2026,67.06119537353516) (752,66.65940856933594) (6161,65.91351318359375) (1209,65.63021850585938) (6151,65.3100814819336) (6163,65.25698852539062) (3443,64.9808349609375) (1123,64.95811462402344) (756,64.87586975097656) (1418,64.81685638427734) (1229,64.78782653808594) (10672,64.69473266601562) (6159,64.65605163574219) (1737,64.65572357177734) (3299,64.56526947021484) (10161,64.5091323852539) (2668,64.49497985839844) (3694,64.3009033203125) (11784,64.22021484375) (5299,64.19129180908203)
36: (498,58.996849060058594) (1188,58.84684753417969)* (377,57.98868942260742) (1195,57.941246032714844)* (499,57.90635299682617) (209,57.848262786865234)* (2850,57.760501861572266) (492,57.69744873046875) (1541,57.663352966308594) (1678,57.53409957885742) (5065,57.427101135253906) (2618,57.42279815673828) (2430,57.416893005371094) (1853,57.38384246826172) (1868,57.37179183959961) (486,57.353824615478516) (488,57.287109375)* (1246,57.23215103149414) (507,57.22028350830078) (693,57.20779800415039)
37: (2026,65.15003204345703) (3417,64.83768463134766) (5299,64.72810363769531) (9783,64.18437957763672) (2030,63.64042282104492) (3528,63.55064010620117) (370,63.24407958984375) (864,63.025390625) (162,62.95318603515625) (2471,62.83518981933594) (1253,62.726566314697266) (3886,62.710166931152344) (2473,62.650516510009766) (3431,62.59062194824219) (2493,62.58366775512695) (4081,62.552032470703125) (1418,62.47188186645508) (3809,62.3787841796875) (2470,62.3555793762207) (752,62.21854782104492)
38: (190,66.21196746826172)* (230,65.3603515625) (228,65.06925201416016)* (220,65.01172637939453) (377,64.94026184082031) (424,64.79511260986328) (157,64.76471710205078) (498,64.76158905029297)* (234,64.73236846923828) (706,64.5322036743164) (903,64.47928619384766) (163,64.47129821777344) (207,64.44534301757812) (159,64.19171142578125) (89,64.17813873291016)* (707,64.15420532226562) (166,64.13219451904297) (154,64.03459930419922) (173,63.99420928955078) (198,63.992767333984375)
39: (4271,61.37699890136719) (6658,61.06201171875) (1521,60.82904052734375) (4970,60.4959602355957) (34,60.10358428955078) (2756,59.89998245239258) (2749,59.896202087402344) (4290,59.853397369384766) (841,59.831233978271484)* (4972,59.81634521484375) (3,59.810203552246094) (4966,59.75565719604492) (3806,59.672420501708984) (4965,59.49616622924805) (1214,59.44580841064453) (13865,59.407867431640625) (370,59.30681228637695) (13870,59.19001007080078) (11,59.13520050048828) (4949,59.06432342529297)
40: (1253,56.96916198730469) (5581,56.14924240112305) (13,55.97646713256836) (6875,55.73072052001953) (5484,55.54608154296875) (1303,55.47244644165039)* (11,55.425506591796875) (3551,55.36790084838867) (6881,55.191837310791016) (6878,55.08848190307617) (3087,55.0850944519043) (2,54.82798767089844) (37,54.56237030029297) (9,54.52001953125) (6873,54.4952507019043) (1320,54.458431243896484)* (19,54.45000457763672) (10,54.407405853271484) (13185,54.29998016357422) (30,54.160884857177734)
41: (954,59.954864501953125)* (841,59.82337951660156) (956,59.37542724609375) (957,59.108089447021484)* (2838,58.99940490722656) (1344,58.35533142089844)* (1522,58.33731460571289) (3470,58.30077362060547) (947,58.19365310668945)* (944,58.1454963684082) (1257,58.12920379638672)* (1535,58.118141174316406) (5157,58.05011749267578) (15,57.997894287109375) (1364,57.95012283325195)* (2746,57.935482025146484) (6,57.935089111328125) (2342,57.89067840576172) (707,57.78009033203125) (2765,57.776817321777344)
42: (298,51.863399505615234) (229,51.77460479736328)* (89,51.427711486816406)* (697,51.32072448730469) (903,51.30078125) (67,51.18044662475586) (67,51.18044662475586) (3057,51.14065170288086) (546,51.126319885253906) (316,51.10227966308594) (2544,50.993804931640625) (207,50.87800979614258) (155,50.83199691772461) (167,50.78741455078125) (961,50.771888732910156) (1090,50.744598388671875)* (1511,50.68938446044922) (71,50.67803955078125) (71,50.67803955078125) (1098,50.65564727783203)
43: (70,58.441837310791016)* (72,58.08007049560547) (72,58.08007049560547) (1379,58.03443145751953) (968,57.66830825805664) (547,57.65254592895508) (1713,57.565120697021484) (2923,57.540950775146484) (67,57.4627571105957) (67,57.4627571105957) (1397,57.45442581176758)* (3501,57.32394027709961) (1613,57.32121276855469) (173,57.30095672607422) (722,57.285972595214844) (1306,57.27197265625) (229,57.22551345825195)* (63,57.20211410522461) (63,57.20211410522461) (157,57.127437591552734)
44: (1412,62.851585388183594)* (1110,62.6657600402832) (868,62.072059631347656)* (707,62.06576919555664)* (1639,61.884361267089844) (212,61.81224060058594) (959,61.667659759521484) (1131,61.65144729614258)* (856,61.561851501464844) (1118,61.47917175292969) (607,61.387474060058594) (1425,61.29900360107422)* (735,61.26023483276367)* (554,61.14118194580078) (188,61.120887756347656) (3444,61.059852600097656) (920,61.00157928466797) (599,60.95929718017578) (857,60.90849685668945) (2375,60.778778076171875)
45: (295,63.025447845458984)* (299,62.509742736816406) (484,62.180938720703125) (327,61.90540313720703) (289,61.77373504638672)* (257,61.75104904174805) (349,61.41033935546875)* (314,61.31019592285156) (294,61.16946029663086) (5988,61.160667419433594) (468,61.13790512084961) (161,61.107887268066406)* (907,60.979591369628906) (317,60.857666015625) (67,60.82096862792969) (67,60.82096862792969) (279,60.73780059814453) (308,60.56591033935547) (475,60.550392150878906) (913,60.511817932128906)
46: (543,62.97737121582031) (466,62.804622650146484)* (701,62.6265754699707)* (318,62.53498840332031) (544,62.2725830078125) (1451,62.238216400146484)* (352,62.21769332885742)* (386,62.19948196411133) (523,62.13090896606445) (531,62.056884765625) (257,61.88486862182617) (528,61.694915771484375) (294,61.68931579589844) (290,61.650794982910156)* (1453,61.578121185302734)* (797,61.556617736816406) (55,61.539283752441406) (1042,61.499122619628906)* (790,61.456764221191406) (293,61.38713836669922)
47: (289,60.589508056640625)* (288,60.39897918701172)* (300,60.28166961669922)* (89,59.843788146972656) (306,59.549842834472656) (295,59.474159240722656) (701,59.43343734741211)* (679,59.212623596191406) (55,59.137332916259766) (349,59.020530700683594) (67,58.98786163330078) (67,58.98786163330078) (544,58.919761657714844) (329,58.52600860595703) (294,58.34770202636719)* (324,58.22393035888672) (342,58.208953857421875) (704,58.14576721191406) (458,58.11720275878906) (1934,58.00507354736328)
48: (6721,70.18083190917969) (6722,69.89100646972656) (7452,69.70420837402344) (1771,69.69709777832031) (261,69.47206115722656) (2067,69.2359619140625) (253,69.219482421875) (6640,68.86438751220703) (270,68.82768249511719) (8810,68.76309967041016) (1244,68.69950866699219) (1775,68.69392395019531) (9299,68.67195892333984) (316,68.5882568359375) (5775,68.50811004638672) (714,68.47848510742188) (641,68.46733093261719) (575,68.43310546875)* (2523,68.34628295898438) (295,68.28590393066406)*
49: (331,60.903160095214844) (295,60.869598388671875) (67,60.852684020996094) (67,60.852684020996094) (2521,60.73643493652344) (292,60.34495162963867) (55,60.25525665283203) (300,59.99641418457031) (526,59.9536247253418) (2083,59.912376403808594) (298,59.89131546020508) (306,59.78261184692383)* (1098,59.76116180419922) (535,59.742919921875) (527,59.50836944580078) (3317,59.49663543701172) (352,59.48413848876953) (5150,59.460330963134766) (466,59.42974853515625) (3288,59.34635543823242)
50: (154,59.75859832763672) (190,59.593841552734375) (225,59.34733581542969) (229,59.08808517456055)* (1239,59.03007507324219) (65,58.93471145629883)* (65,58.93471145629883)* (716,58.75159454345703) (709,58.722267150878906)* (234,58.68977737426758) (429,58.57139587402344)* (217,58.36033248901367) (226,58.33869171142578) (441,58.256858825683594) (203,58.246280670166016) (199,58.16928482055664) (425,58.15571975708008) (436,58.147926330566406) (1400,57.99749755859375) (182,57.91349411010742)
51: (1358,67.04828643798828)* (15,66.24789428710938) (1364,66.1716537475586)* (949,66.09783935546875)* (1343,65.74380493164062) (957,65.72787475585938) (1257,65.63980102539062)* (1344,65.60505676269531)* (821,65.544189453125) (6,65.54264068603516) (1353,65.50542449951172) (1281,65.46504211425781) (920,65.45149230957031) (843,65.41757202148438) (25,65.40277099609375) (944,65.35781860351562) (370,65.35709381103516) (3509,65.21031188964844) (922,65.1324691772461) (4271,65.03975677490234)
52: (813,59.61443328857422) (917,59.25136947631836) (2586,59.12886428833008) (503,59.12395477294922) (1188,58.72275161743164) (823,58.66509246826172) (779,58.48075866699219) (809,58.47816467285156) (5936,58.45369338989258) (4346,58.37605667114258) (707,58.350311279296875) (1541,58.29779052734375)* (498,58.21689224243164) (808,58.21281814575195) (814,58.18896484375) (835,58.15504455566406) (691,58.05092239379883) (1725,58.04555130004883) (2190,57.97956848144531) (2192,57.95808410644531)
53: (288,63.05573272705078)* (289,62.80231857299805)* (306,62.76185607910156)* (1009,62.703365325927734) (295,62.61408615112305) (1449,62.406288146972656) (349,62.251617431640625)* (161,62.015106201171875) (468,61.944313049316406) (317,61.76343536376953) (157,61.64471435546875) (5988,61.55049133300781) (907,61.53860855102539) (294,61.533531188964844) (327,61.48613357543945) (484,61.38271713256836) (312,61.18231964111328) (2990,61.12276077270508) (1613,61.119598388671875) (308,61.08367156982422)
54: (288,57.70604705810547)* (295,57.532073974609375) (89,57.44413757324219) (301,57.09917449951172) (300,56.98640441894531) (306,56.919857025146484) (302,56.86723709106445) (257,56.841636657714844) (294,56.75312805175781) (265,56.53012466430664) (157,56.244537353515625) (298,56.01219177246094)* (466,55.965972900390625) (285,55.94011688232422) (1934,55.93402099609375) (299,55.89472198486328)* (679,55.845619201660156) (903,55.784767150878906) (535,55.78038787841797)* (97,55.671287536621094)
55: (271,61.533599853515625) (2226,60.682334899902344) (2923,60.33467102050781) (527,60.278076171875) (3317,60.274776458740234) (1943,60.07719802856445) (249,59.97431945800781) (1963,59.65589904785156) (2101,59.22637939453125) (617,59.11332702636719) (2921,58.8912467956543) (3227,58.82053756713867) (2179,58.749813079833984) (2919,58.736907958984375) (6004,58.70070266723633) (151,58.67680358886719) (7373,58.62904739379883) (1622,58.563777923583984)* (12370,58.46699142456055) (1839,58.41450500488281)
56: (4216,59.9011344909668) (439,59.263248443603516) (227,59.151145935058594) (3746,58.94451141357422) (422,58.84994125366211) (706,58.758426666259766) (2781,58.640419006347656) (705,58.61029052734375) (4793,58.603702545166016) (1761,58.601844787597656) (2364,58.57695770263672) (1206,58.49946594238281) (1239,58.487369537353516) (3743,58.47371292114258) (4828,58.47218704223633) (1515,58.467994689941406)* (10401,58.45347595214844) (8713,58.42198944091797) (1766,58.42096710205078) (3747,58.405303955078125)
57: (1034,62.51980209350586)* (524,62.42719268798828) (333,61.855369567871094)* (1035,61.476402282714844) (1047,61.42313003540039) (209,61.34251403808594) (324,61.337852478027344) (2432,61.22262191772461) (693,61.186553955078125) (544,61.15222930908203) (687,61.096336364746094) (6448,61.035858154296875) (461,61.00666046142578) (1246,60.96870040893555)* (528,60.77642822265625) (2978,60.77352523803711) (681,60.75836181640625) (377,60.75761032104492)* (680,60.7254753112793) (6543,60.6002311706543)
58: (466,62.313777923583984)* (300,62.0868034362793)* (464,61.71269989013672) (289,61.63554382324219)* (681,61.629371643066406)* (458,61.574058532714844) (528,61.38276672363281) (288,61.29130935668945)* (679,61.22966766357422) (89,61.12568664550781)* (646,60.97381591796875) (306,60.921043395996094) (302,60.74956130981445)* (498,60.65857696533203) (790,60.59476089477539) (1054,60.54087829589844) (257,60.48454284667969) (701,60.448631286621094) (802,60.44105529785156) (793,60.39524841308594)
59: (233,61.877540588378906)* (1104,61.23545837402344)* (152,61.06111145019531) (173,61.0252799987793) (506,60.932411193847656) (163,60.833839416503906) (234,60.73976135253906) (1119,60.58460235595703) (1099,60.30174255371094) (2369,60.297828674316406) (868,60.28648376464844) (154,60.20986557006836) (370,60.132991790771484) (3940,60.05575180053711) (198,60.04795455932617) (1295,60.00844955444336) (159,59.96878433227539) (959,59.89955520629883) (436,59.89382553100586) (4316,59.87724304199219)
60: (107,65.81482696533203) (3411,64.5198974609375) (748,64.3245620727539) (1964,64.14830017089844) (1950,63.956241607666016) (3686,63.954830169677734) (1627,63.93257522583008) (1963,63.92437744140625) (7665,63.90583038330078) (6582,63.81815719604492) (2605,63.755088806152344) (154,63.686309814453125) (3703,63.61055374145508) (603,63.595577239990234) (632,63.58937454223633) (1222,63.49374008178711) (2716,63.472686767578125) (2289,63.47157287597656) (757,63.37348556518555) (2542,63.37285232543945)
