userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,66.15043640136719) (51,65.4227294921875)* (3768,65.3507080078125) (1394,64.4457015991211) (1713,64.39132690429688) (993,64.32386016845703) (1073,64.26799774169922) (187,64.22413635253906) (1836,64.13740539550781) (238,64.06130981445312) (1013,64.01664733886719) (880,63.98378372192383) (70,63.80134963989258)* (1014,63.77664566040039) (1098,63.73700714111328) (6930,63.67742919921875) (157,63.67721176147461) (1379,63.67655563354492) (997,63.663516998291016) (59,63.57740783691406)*
17: (333,71.81375122070312) (300,71.26559448242188)* (321,71.21681213378906) (1246,71.07444763183594) (458,70.87130737304688) (1934,70.84870147705078) (701,70.68900299072266)* (1043,70.62593078613281) (2020,70.6220932006836) (403,70.6021957397461)* (471,70.5601806640625) (1035,70.24996948242188) (1047,70.15153503417969) (475,70.13904571533203) (306,70.07051086425781)* (1189,70.0463638305664) (4811,70.02264404296875) (291,70.00165557861328) (2977,69.91199493408203) (1684,69.91088104248047)
18: (1249,68.06861877441406) (959,68.0609359741211) (176,67.84359741210938) (227,67.70329284667969)* (2346,67.64248657226562) (220,67.35958862304688)* (157,67.22913360595703) (1415,67.17435455322266) (1244,67.1075439453125) (951,66.98155212402344) (1412,66.81658172607422) (917,66.77245330810547) (234,66.72937774658203) (966,66.45500183105469) (198,66.39136505126953) (868,66.2637710571289) (1104,66.18634796142578) (1406,66.1841049194336) (982,65.91957092285156) (614,65.79875183105469)
20: (1222,78.4013671875) (2165,77.0328140258789) (2667,76.72711181640625) (845,76.44161224365234) (2831,76.44125366210938) (3812,76.294189453125) (3028,76.2701644897461) (5970,76.0982437133789) (45,76.05198669433594) (3807,75.9686050415039) (1745,75.94634246826172) (1226,75.81130981445312) (4181,75.79795837402344) (5791,75.7799072265625) (603,75.76528930664062) (101,75.63597106933594) (3707,75.5999526977539) (3703,75.46836853027344) (17189,75.37616729736328) (11193,75.31953430175781)
21: (89,68.74346160888672)* (257,68.30218505859375) (349,67.58087921142578) (290,67.38055419921875) (294,67.22895812988281) (466,67.17887878417969)* (296,67.17335510253906) (291,66.98983764648438) (265,66.91842651367188) (323,66.84587860107422) (301,66.79791259765625) (386,66.77754211425781) (525,66.71273803710938) (333,66.67237854003906) (311,66.4907455444336) (906,66.4408950805664) (326,66.35940551757812) (908,66.29591369628906) (285,66.21629333496094) (1459,66.1917724609375)
22: (2190,71.66669464111328) (2143,71.53096008300781) (809,71.4921875)* (1551,71.21894073486328) (835,71.16873931884766)* (831,70.91616821289062)* (1547,70.88449096679688) (5666,70.8614501953125) (953,70.85037231445312) (2169,70.810791015625) (5100,70.80587768554688) (1540,70.59039306640625) (4178,70.52590942382812) (2209,70.47823333740234) (2744,70.38677978515625) (2955,70.2567367553711) (2961,70.22547912597656) (2621,70.21631622314453) (4166,70.19901275634766) (978,70.17366790771484)
23: (1510,67.7804183959961) (1534,67.7354965209961) (441,67.53141784667969) (3441,66.96759033203125) (1083,66.94085693359375) (59,66.9292984008789) (864,66.75267028808594)* (3280,66.69231414794922) (3431,66.69093322753906) (856,66.36732482910156)* (450,66.08900451660156) (429,66.02112579345703) (868,65.95938873291016)* (2531,65.91964721679688) (515,65.87513732910156) (173,65.84353637695312) (1878,65.67803192138672) (234,65.55691528320312) (1217,65.55534362792969) (1504,65.50537109375)
24: (3488,66.2882308959961) (261,66.14603424072266) (67,66.02589416503906)* (67,66.02589416503906)* (55,65.6719970703125)* (985,65.54895782470703) (1243,65.16854095458984) (97,65.12174987792969) (1934,65.087890625) (2083,65.0557632446289) (575,65.02972412109375) (4704,64.7794418334961) (535,64.73905944824219) (2521,64.63571166992188) (292,64.63096618652344) (1556,64.60266876220703) (289,64.56278991699219)* (679,64.54039001464844) (3081,64.50515747070312) (288,64.49845886230469)*
25: (89,69.17524719238281)* (292,68.66117858886719)* (257,68.01666259765625) (300,67.88177490234375) (349,67.82456970214844)* (291,67.71886444091797) (333,67.65428161621094) (299,67.51028442382812) (466,67.42547607421875) (301,67.18228912353516) (306,67.09222412109375) (161,66.95030212402344) (461,66.71098327636719) (265,66.64250183105469) (525,66.63331604003906) (1475,66.54203796386719) (378,66.52080535888672) (285,66.37847137451172) (1601,66.3171157836914) (544,66.29756927490234)
26: (1358,68.29217529296875) (17811,68.26016235351562) (12661,68.09712219238281) (1339,68.05133056640625) (1803,68.0416488647461) (17814,67.99647521972656) (918,67.88035583496094)* (2797,67.85314178466797) (17817,67.81179809570312) (2838,67.74610900878906) (17816,67.72802734375) (17812,67.69937896728516) (1360,67.62407684326172) (707,67.56529235839844)* (17818,67.49859619140625) (706,67.42786407470703) (2343,67.40863037109375) (921,67.39362335205078)* (188,67.38355255126953) (724,67.29009246826172)
27: (204,64.68272399902344) (190,64.63307189941406) (1383,64.50425720214844) (7530,64.44916534423828) (89,64.41001892089844) (65,64.351318359375) (65,64.351318359375) (359,64.35071563720703) (316,64.3037338256836) (697,64.27987670898438) (506,64.18650817871094) (1491,64.13999938964844) (3193,64.11651611328125) (154,64.0358657836914) (4918,63.99716567993164) (6397,63.99580001831055) (1375,63.88631057739258) (1705,63.79328918457031) (1118,63.789608001708984) (511,63.758506774902344)
28: (1001,72.84380340576172)* (187,72.60667419433594) (3966,72.48975372314453) (67,72.39739990234375) (67,72.39739990234375) (877,72.23513793945312) (157,72.05899810791016) (3500,71.94347381591797) (535,71.67374420166016) (1330,71.65435028076172) (1019,71.64675903320312)* (3768,71.63190460205078) (3501,71.59051513671875) (1081,71.52302551269531) (997,71.4509048461914)* (1014,71.39826202392578)* (63,71.29735565185547) (63,71.29735565185547) (55,71.20417785644531) (1885,71.0951156616211)
29: (466,66.77517700195312)* (344,66.52095794677734) (89,66.40877532958984)* (461,66.21363830566406)* (289,65.88594055175781)* (544,65.41973876953125) (1043,65.31925201416016)* (324,65.27174377441406) (1045,65.26190185546875)* (1047,65.22437286376953) (321,65.17762756347656) (295,65.1310806274414) (291,65.12327575683594) (306,65.10199737548828) (470,65.10161590576172) (542,65.04959869384766) (1246,64.95269775390625) (377,64.88814544677734) (458,64.86724853515625) (325,64.85678100585938)
30: (89,68.04747009277344)* (464,67.79314422607422) (306,67.25204467773438) (458,67.15222930908203) (701,67.14600372314453) (466,67.05557250976562) (679,66.7489013671875)* (342,66.7132568359375) (292,66.61515045166016) (8365,66.38999938964844) (302,66.35067749023438) (544,66.20602416992188) (324,66.13390350341797) (2080,66.0475082397461) (1042,66.0140380859375) (469,65.98737335205078) (681,65.98011779785156) (329,65.92249298095703) (349,65.7606201171875) (686,65.760009765625)
31: (1886,71.59349822998047) (1014,70.89339447021484) (997,70.80374908447266) (4308,70.8012466430664) (51,70.61830139160156) (3768,70.58358764648438) (1019,70.06643676757812) (1379,70.026123046875) (1892,69.94662475585938) (75,69.83114624023438) (75,69.83114624023438) (187,69.71641540527344) (998,69.70579528808594) (55,69.46926879882812)* (1713,69.4515151977539) (153,69.42899322509766) (30,69.26785278320312)* (1897,69.21771240234375) (1885,69.17521667480469) (76,69.12834167480469)
32: (441,60.03063201904297)* (226,59.98325729370117) (233,59.6368522644043) (429,59.62959671020508)* (1376,59.61848831176758) (969,59.55937576293945) (1977,59.45490264892578) (225,59.426856994628906) (1151,59.406551361083984) (1510,59.21820831298828) (227,59.1473388671875)* (420,59.12148666381836) (203,59.117835998535156)* (228,59.075279235839844) (424,59.05974197387695) (432,59.04402160644531) (436,59.03704833984375) (3475,59.022037506103516) (709,58.90544128417969) (210,58.850250244140625)
33: (152,71.45578002929688)* (506,71.21138000488281) (4143,70.97294616699219) (3940,70.89706420898438) (1123,70.5958480834961)* (9405,70.4122314453125) (3417,70.20048522949219) (1491,70.19597625732422) (2006,70.06110382080078) (1705,70.05548095703125) (4548,70.04631042480469) (186,70.03035736083984) (1743,69.98426055908203) (4613,69.88487243652344) (910,69.76751708984375) (162,69.62812042236328) (238,69.6140365600586) (163,69.43680572509766) (920,69.43629455566406) (2446,69.42494201660156)
34: (1412,67.32921600341797) (1633,67.13765716552734) (986,66.9910659790039) (429,66.97241973876953) (718,66.95916748046875) (88,66.93313598632812) (212,66.80467987060547) (154,66.71223449707031) (863,66.62895965576172) (554,66.4439926147461) (159,66.36840057373047) (3993,66.32176208496094) (868,66.1921157836914) (437,66.15766143798828) (197,66.10682678222656) (3057,66.07838439941406) (1242,66.07721710205078) (228,66.04753112792969) (715,66.0049819946289) (615,66.00359344482422)
35: (1747,64.05858612060547) (1731,63.42671585083008) (103,63.390655517578125) (7123,63.358802795410156) (1744,63.04520797729492) (632,63.014793395996094) (418,62.687957763671875) (1824,62.52216339111328) (13956,62.47599411010742) (610,62.389259338378906) (6764,62.268707275390625) (13317,62.15472412109375) (4121,62.08497619628906) (6164,62.00546646118164) (1418,61.97789001464844) (454,61.949974060058594) (6163,61.93629455566406) (1139,61.91448211669922) (113,61.89970779418945) (3905,61.88664627075195)
36: (1195,65.89703369140625)* (498,65.6168441772461) (1868,65.06733703613281) (1200,64.9415054321289)* (1853,64.54789733886719) (1188,64.5390853881836)* (1541,64.47148132324219) (377,64.26995849609375) (412,64.26496124267578) (830,64.2507553100586) (209,64.24286651611328)* (492,64.22817993164062) (1863,64.11698150634766) (5950,64.05107879638672) (1193,63.945716857910156)* (693,63.88538360595703) (1038,63.871726989746094) (4104,63.864933013916016) (1678,63.85129928588867) (691,63.80963134765625)
37: (752,73.77085876464844) (605,73.48052215576172) (3993,73.26390838623047) (592,73.2305679321289) (163,73.20635223388672) (3440,73.05261993408203) (3019,72.982421875) (2459,72.9603271484375) (4597,72.69944763183594) (2698,72.53564453125) (1963,72.42013549804688) (603,72.41104125976562) (3531,72.4107666015625) (2716,72.39321899414062) (617,72.37425231933594) (2026,72.27449035644531) (3523,72.15022277832031) (197,72.13232421875) (4271,72.10221862792969) (718,72.08944702148438)
38: (220,63.75407791137695) (903,63.642784118652344) (714,63.482154846191406) (89,63.46653366088867)* (207,63.461063385009766) (424,63.42692565917969) (498,63.40452194213867)* (1244,63.36713409423828)* (234,63.248268127441406) (190,63.245513916015625)* (67,63.222206115722656) (67,63.222206115722656) (228,63.11741256713867)* (1513,63.09095001220703) (538,63.07231140136719) (230,63.05361557006836) (157,63.051326751708984) (706,63.03284454345703) (439,63.02775573730469) (1048,62.70551681518555)
39: (2038,77.67232513427734) (12,77.53746795654297) (15401,77.46929931640625) (3806,77.4582290649414) (11,77.42364501953125) (3800,77.25552368164062) (2040,77.14572143554688) (1913,77.10130310058594) (4276,77.10088348388672) (4271,76.92765808105469) (3558,76.8206558227539) (1214,76.78810119628906) (1295,76.59264373779297) (15,76.43232727050781) (15403,76.41903686523438) (4887,76.40596008300781) (5810,76.371337890625) (6873,76.2238998413086) (1353,76.18374633789062) (1066,76.1555404663086)
40: (1253,70.93824768066406) (9571,70.53717803955078) (19,70.26591491699219) (11331,70.16271209716797) (14287,70.1242904663086) (41,69.9916000366211) (34,69.78742980957031)* (37,69.77790832519531) (14284,69.60569763183594) (1278,69.54618072509766) (3183,69.53632354736328) (14285,69.49021911621094) (3562,69.28665161132812) (14293,69.24213409423828) (6547,69.09932708740234) (1918,69.09125518798828) (11304,69.0435791015625) (9567,69.03775024414062) (1065,68.93982696533203) (14295,68.8121337890625)
41: (841,72.19507598876953) (954,72.1213607788086)* (956,71.92239379882812) (2838,71.89981842041016) (957,71.55663299560547)* (710,71.42847442626953) (2341,71.3055419921875) (1257,71.17169189453125)* (1535,71.15867614746094) (947,71.0767822265625)* (2746,71.00984191894531) (3470,70.85806274414062) (1522,70.84668731689453) (1364,70.75300598144531)* (946,70.48210144042969) (3660,70.39918518066406) (1276,70.38150787353516) (7044,70.36333465576172) (5157,70.07660675048828) (3476,70.0108642578125)
42: (1470,61.950592041015625) (362,61.531700134277344) (498,61.24747085571289) (316,61.1479606628418) (3753,61.08957290649414) (697,61.00262451171875) (229,60.87179946899414)* (89,60.710227966308594)* (2607,60.70730972290039) (4177,60.48651123046875) (1492,60.46597671508789) (499,60.39268493652344) (3255,60.294281005859375) (71,60.25972366333008) (71,60.25972366333008) (1505,60.209259033203125) (11155,60.14029312133789) (7818,59.972633361816406) (12544,59.97186279296875) (486,59.943023681640625)
43: (70,64.29364776611328)* (72,64.17427825927734) (72,64.17427825927734) (757,63.906436920166016)* (1410,63.78752899169922)* (1613,63.78333282470703) (157,63.657291412353516) (1379,63.621585845947266) (547,63.480865478515625) (1713,63.48070526123047) (2923,63.4692497253418) (288,63.41714096069336) (3317,63.38511657714844) (228,63.37990951538086) (5891,63.31604766845703) (67,63.3105583190918) (67,63.3105583190918) (7324,63.19051742553711) (527,63.14677429199219) (1941,63.141395568847656)
44: (1412,65.10169219970703)* (1110,64.69519805908203) (1131,64.25533294677734)* (2624,63.97972106933594) (4675,63.64680480957031) (707,63.56908416748047)* (856,63.54157257080078) (212,63.262359619140625) (188,63.23991012573242) (868,63.237308502197266)* (2493,63.22512435913086) (949,63.166072845458984) (3481,63.155029296875) (2375,63.02345657348633) (234,63.01322937011719)* (186,62.9437141418457) (920,62.92644119262695) (959,62.9161376953125) (841,62.90264892578125) (977,62.80802536010742)
45: (295,66.30648803710938)* (289,66.27470397949219)* (257,65.51335144042969) (349,65.33355712890625)* (308,65.24606323242188) (907,65.20735931396484) (1596,65.14766693115234) (290,65.13993072509766) (468,65.0743179321289) (239,65.04011535644531) (484,65.02903747558594) (327,65.01895141601562) (161,64.93115997314453)* (299,64.92425537109375) (466,64.69700622558594)* (294,64.6091079711914) (455,64.5897445678711) (913,64.52960205078125) (7340,64.50241088867188) (3498,64.49297332763672)
46: (466,64.75570678710938)* (344,64.3097915649414)* (290,63.527706146240234)* (543,63.52539825439453) (318,63.388519287109375) (701,63.19740295410156)* (544,63.055641174316406) (386,62.961997985839844) (257,62.8067626953125) (1042,62.7625846862793)* (531,62.564605712890625) (352,62.550209045410156)* (321,62.453487396240234) (528,62.40211486816406) (790,62.36735916137695) (326,62.050594329833984) (293,62.007667541503906) (2020,61.995445251464844) (1453,61.824867248535156)* (294,61.824851989746094)
47: (89,70.61577606201172) (288,69.9972152709961)* (300,69.93586730957031)* (289,69.7363052368164)* (295,69.53215026855469) (701,68.92035675048828)* (679,68.85430145263672) (67,68.29573822021484) (67,68.29573822021484) (55,68.0036392211914) (306,67.95330047607422) (544,67.78973388671875) (349,67.7480239868164) (328,67.6802749633789) (290,67.52011108398438) (324,67.50275421142578) (704,67.49176025390625) (352,67.4813003540039) (301,67.41094970703125) (294,67.4072265625)*
48: (2031,70.98529815673828) (184,70.82166290283203) (2176,70.62401580810547) (3568,70.59098815917969) (2067,70.3423080444336) (469,70.2637710571289) (10076,70.13581848144531) (641,69.95323181152344) (455,69.95135498046875) (155,69.8930892944336) (295,69.8491439819336)* (2646,69.8416748046875) (3909,69.79447174072266) (329,69.7328872680664) (7857,69.72566223144531) (2523,69.67118835449219) (300,69.57469940185547)* (725,69.56759643554688) (316,69.52923583984375) (333,69.44300079345703)
49: (3193,64.264892578125) (548,63.32231140136719) (423,63.15040588378906) (1383,62.959922790527344) (5746,62.747379302978516) (697,62.710723876953125) (4923,62.6337890625) (4259,62.51116943359375) (12921,62.50088882446289) (2521,62.30846405029297) (8136,62.28270721435547) (1392,62.10299301147461) (787,61.975341796875) (2083,61.952110290527344) (11995,61.77543640136719) (691,61.762939453125) (292,61.75217056274414) (4264,61.740028381347656) (3375,61.73429870605469) (912,61.68793487548828)
50: (203,57.20602798461914) (234,57.082672119140625) (709,57.05927658081055)* (154,56.908634185791016) (65,56.74500274658203)* (65,56.74500274658203)* (229,56.69502639770508)* (225,56.68262481689453) (190,56.59755325317383) (441,56.54427719116211) (716,56.54231643676758) (208,56.402488708496094) (429,56.33301544189453)* (432,56.327186584472656) (857,56.17787551879883) (88,56.14228439331055) (425,56.1171875) (226,55.992164611816406) (715,55.887210845947266) (443,55.86539077758789)
51: (843,69.39897155761719) (949,68.42593383789062)* (1358,68.13490295410156)* (854,68.07199096679688) (856,67.38475036621094) (5105,67.13557434082031) (855,66.9666519165039) (1364,66.94007110595703)* (1206,66.81654357910156) (370,66.7871322631836) (920,66.65245819091797) (1338,66.5876235961914) (1257,66.58514404296875)* (1526,66.5218734741211)* (3509,66.52027893066406) (710,66.51773071289062) (1337,66.44801330566406)* (2360,66.39453125) (1523,66.32565307617188)* (1344,66.30345153808594)*
52: (397,73.97071838378906) (399,73.49685668945312) (367,73.45745849609375) (831,72.85945892333984)* (814,72.80103302001953) (5041,72.15727996826172) (393,72.11455535888672) (475,72.1068115234375) (4497,72.01728057861328) (1285,71.9483413696289) (2455,71.8736343383789) (460,71.8626937866211) (1188,71.84488677978516) (227,71.78073120117188) (2200,71.72848510742188) (2106,71.68461608886719) (2192,71.68281555175781) (1613,71.65361785888672) (2502,71.59126281738281) (932,71.53512573242188)
53: (288,67.13446807861328)* (295,66.93287658691406) (907,66.59562683105469) (4024,66.32887268066406) (485,66.21305084228516) (317,66.08332824707031) (55,66.0806884765625)* (328,66.01642608642578) (306,65.97953796386719)* (289,65.88578033447266)* (1449,65.76980590820312) (5988,65.7347412109375) (349,65.67869567871094)* (314,65.64912414550781) (285,65.58794403076172) (3317,65.2820053100586) (310,65.2768325805664)* (257,65.27581787109375) (1379,65.23764038085938) (2083,65.14478302001953)
54: (89,64.88072204589844) (295,64.45439147949219) (288,64.42835998535156)* (257,63.73123550415039) (300,63.36814880371094) (302,63.36212921142578) (301,63.24226379394531) (294,63.15406036376953) (157,62.906803131103516) (285,62.89524841308594) (306,62.76573181152344) (907,62.759552001953125) (328,62.718563079833984) (535,62.70136260986328)* (299,62.60604476928711)* (265,62.551578521728516) (279,62.37873840332031) (913,62.2585334777832)* (466,62.0443115234375) (485,61.91313171386719)
55: (2923,70.92005920410156) (3227,70.77571105957031) (527,70.7579345703125) (88,70.58335876464844) (56,70.42140197753906) (56,70.42140197753906) (1972,70.34494018554688) (3317,70.26892852783203) (250,70.20854187011719) (271,70.12958526611328) (567,70.06210327148438) (5891,70.04181671142578) (5048,70.01888275146484) (4723,69.98290252685547) (475,69.97940826416016) (1946,69.7708969116211) (2226,69.76020050048828) (249,69.75253295898438) (1398,69.7422866821289) (7527,69.65328216552734)
56: (3333,65.16378021240234) (422,64.67491149902344) (3746,64.64624786376953) (7330,64.44683837890625) (1520,64.24849700927734) (1814,64.23480987548828) (1807,64.2326889038086) (439,64.22319793701172) (4457,64.20935821533203) (4459,64.19014739990234) (5630,64.16131591796875) (234,64.1309585571289) (498,64.12199401855469) (2364,64.11209106445312) (230,64.03071594238281) (533,63.99412155151367) (209,63.9083251953125) (3745,63.83903503417969) (4218,63.82170486450195) (412,63.77949142456055)
57: (333,69.44326782226562)* (681,69.2554931640625) (461,69.21430206298828) (1041,69.08927154541016)* (816,68.92325592041016) (1035,68.8115463256836) (1246,68.80054473876953)* (687,68.78247833251953) (209,68.7035903930664) (693,68.66694641113281) (540,68.55281829833984) (324,68.5404281616211) (1047,68.42091369628906) (377,68.37218475341797)* (321,68.29200744628906) (1659,68.28564453125)* (5749,68.18423461914062) (680,68.17303466796875) (2619,68.15179443359375) (544,68.14715576171875)
58: (681,76.05887603759766)* (2439,74.27122497558594) (1054,73.95923614501953) (793,73.95645904541016) (464,73.6977310180664) (466,73.49394226074219)* (498,73.39283752441406) (289,73.38813018798828)* (89,73.32286071777344)* (288,73.244873046875)* (802,73.14594268798828) (7704,73.07968139648438) (692,72.95342254638672) (679,72.77664184570312) (300,72.761962890625)* (458,72.58072662353516) (1447,72.54618072509766) (646,72.51519012451172) (4879,72.46587371826172) (544,72.42204284667969)
59: (1104,71.64323425292969)* (233,70.8796615600586)* (930,70.15568542480469) (163,69.99594116210938) (1099,69.79498291015625) (959,69.78292846679688) (45,69.59504699707031) (173,69.5679931640625) (63,69.44406127929688) (63,69.44406127929688) (917,69.4189453125) (181,69.29554748535156) (198,69.26283264160156) (1295,69.23931121826172) (512,69.22071838378906)* (370,69.14546203613281) (1044,69.11439514160156) (1119,68.99942779541016) (6257,68.93882751464844) (174,68.93136596679688)
60: (632,67.55783081054688) (162,67.13848876953125) (444,66.54891967773438) (1747,66.40453338623047)* (154,65.71186828613281) (454,65.53277587890625) (763,65.49595642089844) (81,65.46260833740234) (7382,65.20780944824219) (238,64.92327880859375) (6759,64.90863800048828) (237,64.83755493164062) (3411,64.79046630859375) (2605,64.7734603881836) (3884,64.76375579833984) (7895,64.73979949951172) (8234,64.68089294433594) (748,64.54010009765625) (5543,64.4057846069336) (1824,64.33299255371094)
