userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,11.09520149230957)* (1001,9.295970916748047) (1098,8.181228637695312) (238,8.147696495056152) (1073,8.05726146697998) (59,7.995640754699707)* (1013,7.671652793884277) (997,7.544815540313721) (4308,7.404715061187744) (173,7.377686500549316) (998,7.356198310852051) (157,6.83020544052124) (993,6.710125923156738) (1014,6.702834606170654) (159,6.542559623718262) (3281,6.453182220458984) (599,6.35756254196167) (1062,6.344254493713379) (511,6.320759296417236) (187,6.319375038146973)
13: (289,17.986295700073242) (288,17.51204490661621) (701,12.766189575195312) (302,11.480652809143066)* (306,11.341487884521484) (291,10.425420761108398) (349,9.61381721496582)* (679,9.517960548400879) (377,9.17768669128418) (486,9.108125686645508) (257,8.824969291687012) (704,8.813339233398438) (328,8.62306022644043)* (344,8.584493637084961)* (293,8.393641471862793) (523,8.31759262084961)* (680,8.305261611938477) (324,8.260860443115234) (294,8.047422409057617) (157,8.036413192749023)
14: (163,14.265193939208984) (227,12.674453735351562) (610,12.138603210449219) (475,10.358041763305664) (1412,10.026140213012695) (7056,9.912841796875) (603,9.561758041381836) (2896,9.375199317932129) (3024,9.350872993469238) (969,9.280313491821289) (1244,9.164717674255371) (2842,8.943284034729004) (8123,8.774017333984375) (582,8.765140533447266)* (8111,8.709155082702637) (220,8.636890411376953) (1109,8.551092147827148) (3019,8.548257827758789) (212,8.522274017333984) (1422,8.465581893920898)
15: (163,13.68328857421875) (418,12.522186279296875) (1627,11.042810440063477) (441,10.785886764526367) (206,10.341188430786133) (278,10.304143905639648) (1620,9.87870979309082) (1504,9.808065414428711) (1167,9.595678329467773) (735,9.397926330566406) (2616,9.28250503540039) (1098,9.058550834655762) (4620,8.92921257019043) (554,8.670164108276367) (863,8.666919708251953) (857,8.6259126663208) (1123,8.514107704162598) (1412,8.479938507080078) (2419,8.38827133178711) (197,8.310869216918945)*
16: (289,17.824054718017578) (2094,15.41006851196289) (374,15.22685432434082) (360,15.162620544433594) (375,14.90183162689209) (701,14.727845191955566) (300,14.532732009887695) (468,14.523384094238281) (288,14.4596529006958) (279,14.388601303100586) (333,14.354267120361328) (2462,14.195526123046875) (67,14.02717399597168) (67,14.02717399597168) (1684,13.956950187683105) (2439,13.7304105758667) (2977,13.584173202514648) (342,13.372474670410156) (330,13.30707836151123) (1459,13.237120628356934)
17: (300,21.489233016967773)* (333,20.20462417602539) (295,17.413511276245117) (292,16.802597045898438)* (701,15.882646560668945)* (65,13.53588581085205) (65,13.53588581085205) (302,13.35462760925293) (291,12.914787292480469) (306,12.660221099853516)* (55,12.595006942749023) (377,12.568774223327637) (190,12.187134742736816) (1047,11.877113342285156) (548,11.847237586975098)* (486,11.810796737670898) (378,11.759184837341309) (257,11.444770812988281) (526,11.383441925048828)* (349,11.07784652709961)
18: (227,21.208255767822266)* (959,14.389391899108887) (917,12.59751033782959) (1412,12.171908378601074) (868,11.617881774902344) (1249,11.426612854003906) (220,11.325441360473633)* (157,10.939334869384766) (234,10.913793563842773) (1244,10.697040557861328) (718,10.607519149780273)* (2044,9.938887596130371) (951,9.750961303710938) (198,9.637274742126465) (599,9.566357612609863) (2346,9.349996566772461) (715,9.348100662231445)* (1415,9.10207462310791) (187,9.094711303710938) (735,9.075698852539062)*
20: (154,20.154094696044922) (603,18.513914108276367) (162,17.24574089050293) (418,16.61081314086914) (45,16.430702209472656) (1222,15.873178482055664) (2605,15.343952178955078) (1745,14.72426986694336) (238,14.596332550048828) (81,14.120080947875977) (2668,14.114501953125) (2667,13.847240447998047) (107,13.578170776367188) (4887,13.537216186523438) (1098,13.324861526489258) (233,13.297472953796387) (2030,13.258186340332031) (9,12.985228538513184) (2158,12.906122207641602) (1099,12.737822532653809)
21: (89,20.395111083984375)* (333,16.378284454345703) (257,15.257461547851562) (327,13.05099105834961) (466,12.877859115600586)* (290,12.598515510559082) (456,12.22810173034668) (326,12.0282621383667) (306,11.794132232666016)* (291,11.746143341064453) (349,11.683126449584961) (320,11.640417098999023) (468,11.480079650878906) (915,11.377107620239258) (908,11.363088607788086) (344,11.180063247680664) (913,10.97513198852539) (323,10.88595199584961) (790,10.851612091064453)* (525,10.609325408935547)
22: (500,18.03551483154297) (2379,15.006208419799805) (809,14.652082443237305)* (1180,14.607433319091797) (1192,14.563776969909668) (1672,14.549407005310059) (498,14.38368034362793) (1547,14.051727294921875) (4504,14.01956558227539) (1188,13.925088882446289) (779,13.903059005737305) (1131,13.803531646728516) (835,13.790169715881348)* (1541,13.732538223266602) (198,13.677570343017578) (1861,13.662179946899414) (707,13.630008697509766) (2380,13.600292205810547) (1281,13.444804191589355) (2744,13.443750381469727)
23: (227,5.917308807373047)* (51,5.6804351806640625) (1131,5.6381330490112305) (429,5.393279552459717) (441,5.300076961517334) (154,4.819924354553223) (868,4.618533134460449)* (173,4.580942153930664) (152,4.548254013061523)* (1534,4.462281703948975) (614,4.433615684509277) (203,4.4234795570373535) (1083,4.378602027893066) (234,4.238608360290527) (959,4.235441207885742) (3280,4.165225028991699) (59,4.140055179595947) (857,4.135563850402832)* (2938,4.130776405334473) (511,3.8613171577453613)*
24: (67,16.28292465209961)* (67,16.28292465209961)* (289,15.007705688476562)* (288,13.405491828918457)* (701,13.18897819519043) (295,11.76226806640625)* (227,11.515576362609863) (55,11.219545364379883)* (292,11.180094718933105) (679,10.526436805725098) (157,10.494686126708984)* (65,10.30427074432373) (65,10.30427074432373) (316,9.589879989624023)* (1098,9.57176399230957) (2521,9.365729331970215) (548,9.151123046875) (306,8.73250961303711) (1934,8.716686248779297) (1243,8.625517845153809)
25: (89,12.26140022277832)* (292,12.077339172363281)* (300,10.287181854248047) (257,10.18839168548584) (333,8.981742858886719) (306,8.542012214660645) (349,8.472938537597656)* (327,8.255199432373047) (299,8.215283393859863) (468,8.047714233398438) (525,7.950891494750977) (326,7.932723045349121) (323,7.892088890075684) (301,7.837649345397949) (320,7.81980037689209) (461,7.70893669128418) (291,7.645369529724121) (265,7.583194732666016) (285,7.454080581665039) (332,7.431281089782715)
26: (707,21.206615447998047)* (1358,16.41741943359375) (706,15.05622673034668) (918,14.882291793823242)* (1369,14.060277938842773) (1360,13.615473747253418) (1372,12.429427146911621) (1249,12.403061866760254) (198,11.650545120239258) (843,11.387446403503418) (2379,11.315498352050781) (1131,11.214099884033203) (710,11.172242164611816) (2838,11.037582397460938) (2787,10.97182559967041) (176,10.968292236328125) (2343,10.763887405395508) (724,10.631731986999512) (163,10.631540298461914) (954,10.592720031738281)*
27: (72,16.17118263244629) (72,16.17118263244629) (190,13.096214294433594) (67,11.685652732849121)* (67,11.685652732849121)* (89,11.00583267211914) (157,10.39503288269043) (227,10.196059226989746) (289,9.578230857849121) (377,9.50783920288086) (173,9.177506446838379) (65,9.163639068603516) (65,9.163639068603516) (959,8.6272554397583) (378,8.480236053466797) (498,8.301589965820312) (159,8.295284271240234) (7,8.176390647888184) (1104,8.027385711669922) (187,7.824231147766113)
28: (67,18.92091941833496) (67,18.92091941833496) (1001,14.743755340576172)* (2044,14.433589935302734) (187,13.139789581298828) (157,12.895145416259766) (877,12.166723251342773) (1014,11.155217170715332)* (4126,11.107805252075195) (1892,10.463703155517578) (190,10.410520553588867) (1793,10.296417236328125) (77,10.233232498168945) (77,10.233232498168945) (4920,9.962629318237305) (3966,9.935652732849121) (518,9.877359390258789) (1464,9.837635040283203) (3832,9.657319068908691) (997,9.644020080566406)*
29: (89,15.647720336914062)* (289,15.35750961303711)* (466,14.377359390258789)* (377,13.498602867126465) (461,13.153470993041992)* (295,12.631772994995117) (701,11.965789794921875) (486,11.771238327026367) (230,11.74587631225586) (1043,11.703947067260742)* (1672,11.642921447753906) (344,11.51402473449707) (1180,11.347982406616211) (291,11.22276782989502) (306,11.19990348815918) (536,11.098668098449707) (540,10.970378875732422) (488,10.897801399230957) (1246,10.6862154006958) (687,10.616510391235352)*
30: (89,18.376110076904297)* (701,14.894485473632812) (292,14.5902681350708) (466,13.182966232299805) (302,12.26467514038086) (679,12.135839462280273)* (257,12.07612419128418) (680,11.135358810424805)* (306,10.717297554016113) (790,10.343006134033203) (318,10.293716430664062)* (324,10.13902473449707) (523,10.039966583251953) (464,10.02232837677002) (349,10.011452674865723) (544,9.828653335571289) (290,9.812247276306152) (67,9.772860527038574) (67,9.772860527038574) (548,9.678417205810547)
31: (51,14.514579772949219) (173,10.29168701171875) (238,9.899919509887695)* (1014,9.215252876281738) (190,9.213565826416016) (998,9.190287590026855) (187,8.924156188964844) (997,8.69733715057373) (157,8.534629821777344) (993,8.391756057739258) (877,8.30517292022705) (1013,8.238550186157227) (1098,8.157066345214844) (58,7.975412845611572) (58,7.975412845611572) (4308,7.869243621826172) (1713,7.778773307800293) (70,7.524425506591797) (1019,7.462902069091797) (599,7.310219764709473)
32: (227,16.281856536865234)* (229,13.908297538757324) (207,12.386106491088867) (65,11.95508861541748) (65,11.95508861541748) (228,10.762982368469238) (424,9.738086700439453) (1512,9.564547538757324) (225,9.198486328125) (1400,8.43914794921875) (203,8.387093544006348)* (428,7.667458534240723)* (182,7.647755146026611) (425,7.639832973480225) (511,7.51531982421875) (429,7.491270065307617)* (982,7.310814380645752) (441,7.215396881103516)* (1048,7.194995880126953) (1515,7.064235687255859)
33: (154,10.650152206420898) (163,8.875503540039062) (152,7.7246785163879395)* (227,7.1720991134643555) (854,6.708636283874512) (429,6.610950469970703) (441,6.440990924835205) (238,6.126811981201172) (197,6.0152907371521) (234,6.010971546173096) (159,5.988845348358154) (605,5.686437606811523) (614,5.6372480392456055)* (599,5.625953674316406) (370,5.60892391204834) (162,5.525242805480957) (88,5.498194694519043) (1119,5.442584037780762)* (226,5.365259647369385) (1206,5.305205345153809)
34: (154,17.33902931213379) (429,9.766284942626953) (159,9.069961547851562) (207,8.082011222839355) (715,7.896084785461426) (511,7.810388565063477)* (203,7.674235820770264) (212,7.353090763092041) (1098,7.301202774047852) (206,6.845043182373047) (857,6.827481269836426) (228,6.77438497543335) (88,6.710507392883301) (735,6.675836563110352) (1090,6.669307708740234) (868,6.5743727684021) (436,6.390820503234863) (533,6.380068778991699) (615,6.3635454177856445) (1504,6.308001518249512)
35: (81,9.267297744750977) (1824,8.706205368041992) (3119,8.505863189697266) (3281,8.299234390258789) (418,8.124897003173828) (3411,7.972557067871094) (3767,7.89729118347168) (3290,7.877843856811523) (3132,7.824460983276367) (3294,7.771024703979492) (374,7.691038608551025) (1109,7.637453556060791) (1098,7.622016906738281) (196,7.241440773010254) (3057,7.218306064605713) (3310,7.209815979003906) (3280,7.1119585037231445) (1167,7.110550880432129) (15637,7.106178283691406) (1164,7.097314357757568)
36: (498,32.926918029785156) (377,24.707319259643555) (1188,23.799468994140625)* (1043,23.695161819458008)* (412,22.45275115966797) (1541,22.420785903930664) (1853,22.28817367553711) (813,21.534427642822266) (2850,21.532550811767578) (1866,20.998165130615234) (486,20.98674774169922) (2661,20.871789932250977) (488,20.74580955505371)* (1200,20.699886322021484)* (691,20.54541015625) (1672,20.37850570678711) (1678,20.3282470703125) (823,20.20306396484375) (471,20.150556564331055) (1045,20.118804931640625)
37: (154,15.807992935180664) (163,14.547564506530762) (162,13.32620906829834) (418,12.716001510620117) (748,11.864245414733887) (4271,10.86223316192627) (3417,10.696069717407227) (1412,10.672595024108887) (603,10.349577903747559) (152,10.234869003295898) (1418,9.978053092956543) (2030,9.81937313079834) (238,9.701929092407227) (206,9.555929183959961) (212,9.549985885620117) (81,9.512063980102539) (583,9.333610534667969) (7056,9.26102066040039) (964,9.213754653930664) (512,9.099562644958496)
38: (220,11.383485794067383) (190,11.338508605957031)* (154,10.838580131530762) (230,10.761354446411133) (234,10.61805534362793) (228,10.360291481018066)* (207,10.303107261657715) (706,9.859021186828613) (424,9.172036170959473) (163,9.007219314575195) (89,8.781278610229492)* (868,8.413228988647461) (306,8.334508895874023)* (735,8.063621520996094) (1412,7.874312400817871) (903,7.8404645919799805) (1244,7.686202526092529)* (1513,7.637595176696777) (157,7.551311016082764) (295,7.524527549743652)
39: (370,14.424152374267578) (1295,13.243672370910645) (3244,12.83199691772461) (1203,12.817901611328125) (1913,12.369223594665527) (3551,11.633216857910156) (1214,11.40655517578125) (9,11.3192138671875) (15,11.299600601196289) (1066,11.162271499633789) (2970,11.045991897583008) (2030,11.033233642578125) (5113,10.944419860839844) (944,10.564834594726562) (12,10.423765182495117) (6,10.411216735839844) (5069,10.188922882080078) (3289,10.119999885559082) (34,10.091501235961914) (2961,10.055809020996094)
40: (19,39.44327926635742) (1277,39.098575592041016) (13,38.8594856262207) (3551,34.56229782104492) (1253,31.669389724731445) (9,29.06070899963379) (1303,28.918533325195312)* (3289,28.283761978149414) (24,28.25535011291504) (43,27.80663299560547) (10,27.756757736206055) (1270,26.864646911621094) (4876,26.5904598236084) (1788,26.54599952697754) (41,26.53682518005371) (3244,26.242778778076172) (3827,25.78908920288086) (11,25.59195327758789) (2,25.380151748657227) (17,25.333072662353516)
41: (707,19.22861099243164) (841,17.421878814697266) (954,12.947174072265625)* (2838,11.514701843261719) (2787,11.163236618041992) (923,11.141117095947266) (959,11.130855560302734) (710,10.696457862854004) (1249,10.686792373657227) (4165,10.614519119262695) (920,10.522953987121582) (503,10.419435501098633) (1913,10.361064910888672) (726,10.313858032226562) (5157,10.30534553527832) (2341,10.296884536743164) (1274,10.275627136230469) (957,10.261595726013184)* (15,10.191410064697266) (843,10.076091766357422)*
42: (229,12.822380065917969)* (89,12.091729164123535)* (207,9.918033599853516) (333,9.779396057128906) (498,9.653194427490234) (300,9.378561973571777) (486,8.940908432006836) (704,8.842794418334961) (548,8.731884956359863) (3200,8.722780227661133) (1400,8.618831634521484) (546,8.46369457244873) (362,8.460748672485352) (526,8.312443733215332) (690,8.189129829406738) (324,8.164260864257812) (298,8.089007377624512) (1047,8.005321502685547) (424,7.912060737609863) (1090,7.891138076782227)*
43: (72,19.367246627807617) (72,19.367246627807617) (229,14.54034423828125)* (173,13.65672492980957) (67,13.369078636169434) (67,13.369078636169434) (159,11.414216995239258) (418,10.918668746948242) (228,10.846748352050781) (511,10.295199394226074) (1090,9.48952865600586) (157,9.38804817199707) (220,9.124625205993652) (429,9.048478126525879) (599,8.948800086975098) (55,8.790603637695312) (757,8.597909927368164)* (295,8.554810523986816) (182,8.518709182739258) (70,8.450323104858398)*
44: (707,15.831820487976074)* (1412,15.20663070678711)* (1358,12.364692687988281) (154,12.049261093139648) (959,11.186328887939453) (234,10.716313362121582)* (868,10.525104522705078)* (841,10.435990333557129) (735,10.213764190673828)* (1249,9.520888328552246) (599,9.4451322555542) (1372,9.074615478515625) (1639,8.958806991577148) (1131,8.91012954711914)* (1513,8.694862365722656) (212,8.688336372375488) (920,8.271328926086426) (220,8.198785781860352) (188,8.004861831665039) (863,7.914801120758057)
45: (289,15.321752548217773)* (295,13.421097755432129)* (257,11.007248878479004) (327,10.400930404663086) (67,10.07732105255127) (67,10.07732105255127) (468,9.720403671264648) (461,9.626099586486816)* (299,9.48620891571045) (290,9.364681243896484) (913,8.939165115356445) (326,8.839384078979492) (325,8.751320838928223)* (55,8.629462242126465) (466,8.629366874694824)* (484,8.61329460144043) (349,8.601222038269043)* (279,8.563806533813477) (915,8.423901557922363) (323,8.252197265625)
46: (701,13.5299072265625)* (466,12.08841323852539)* (257,10.634491920471191) (543,10.123992919921875) (320,10.037487030029297)* (456,9.530566215515137) (290,9.449481964111328)* (55,9.321271896362305) (523,9.127408981323242) (1042,9.060699462890625)* (2020,8.89260482788086) (1456,8.835631370544434)* (332,8.759547233581543) (1580,8.748434066772461) (318,8.67853832244873) (525,8.563759803771973) (326,8.559545516967773) (544,8.54187297821045) (67,8.538677215576172) (67,8.538677215576172)
47: (89,19.733470916748047) (289,19.101655960083008)* (288,18.671043395996094)* (300,17.976198196411133)* (295,16.360549926757812) (701,13.945932388305664)* (306,12.110051155090332) (679,11.241259574890137) (67,11.230133056640625) (67,11.230133056640625) (377,10.689315795898438) (349,10.484981536865234) (55,10.31446361541748) (378,9.648667335510254) (544,9.553360939025879) (157,9.121757507324219) (290,9.053720474243164) (802,8.943124771118164) (543,8.91445541381836) (328,8.877768516540527)
48: (295,14.281022071838379)* (959,13.10291862487793)* (641,12.720873832702637) (2044,12.58711051940918) (300,12.371540069580078)* (292,11.795919418334961) (333,11.709285736083984) (1244,11.520137786865234) (55,11.452886581420898)* (302,11.219131469726562) (257,10.9500093460083) (306,10.567129135131836) (903,10.353240966796875) (65,10.28189754486084) (65,10.28189754486084) (316,10.256979942321777) (511,10.055805206298828)* (310,10.051586151123047) (86,10.017419815063477) (5249,9.989113807678223)
49: (67,11.207878112792969) (67,11.207878112792969) (295,9.926485061645508) (292,9.144432067871094) (55,8.51701831817627) (300,7.833079814910889) (257,7.68949031829834) (302,7.376340866088867) (1098,7.351524353027344) (2083,7.284396171569824) (323,7.261516094207764) (279,7.137153625488281) (535,7.073630332946777) (903,7.0663557052612305) (2521,7.041652679443359) (296,7.036189556121826) (285,6.951078414916992) (468,6.892016887664795) (157,6.838881969451904) (306,6.836411476135254)*
50: (154,22.127124786376953) (229,14.258766174316406)* (65,13.993905067443848)* (65,13.993905067443848)* (190,12.321573257446289) (234,11.272346496582031) (1412,10.897665977478027)* (225,10.768646240234375) (203,10.18305492401123) (599,9.65605640411377) (511,9.41465950012207)* (735,9.336875915527344) (429,9.319239616394043)* (436,9.201210975646973) (1400,9.065403938293457) (217,8.889400482177734) (709,8.812277793884277)* (230,8.7954683303833)* (441,8.610590934753418) (425,8.403555870056152)
51: (1358,21.28290367126465)* (227,16.22267723083496) (1372,15.16159439086914) (1249,14.784063339233398)* (234,14.752707481384277) (1131,14.522000312805176) (843,14.423697471618652) (152,14.399168014526367) (920,14.102446556091309) (198,13.204286575317383)* (614,12.718183517456055) (868,12.377684593200684) (2343,12.15762710571289) (732,12.095052719116211) (2787,11.866888046264648) (3470,11.729961395263672) (1119,11.715370178222656) (1513,11.666098594665527) (724,11.558208465576172) (949,11.333553314208984)*
52: (498,13.392141342163086) (813,12.647371292114258) (779,11.933235168457031) (808,11.634721755981445) (1541,11.000496864318848)* (1672,10.956277847290039) (377,10.790641784667969) (503,10.725152969360352) (2850,10.428200721740723) (1192,10.42585563659668) (1186,10.37478256225586) (830,10.34281063079834) (198,10.319361686706543) (412,10.308027267456055) (1180,10.18567180633545) (1188,10.13049602508545) (512,9.964334487915039) (45,9.958620071411133) (1195,9.8683500289917) (768,9.854508399963379)
53: (288,15.0916166305542)* (289,13.954784393310547)* (295,13.623400688171387) (466,11.206146240234375)* (327,10.325931549072266) (306,10.11015510559082)* (461,10.045849800109863) (468,9.87948989868164) (290,9.17756175994873) (325,9.036006927490234) (349,8.907384872436523)* (299,8.902336120605469) (908,8.8478364944458) (291,8.735066413879395) (1453,8.727067947387695) (2094,8.61436939239502) (793,8.591529846191406) (1451,8.490365028381348) (543,8.377191543579102) (4814,8.356755256652832)
54: (288,13.19166088104248)* (89,12.999460220336914) (295,12.010293960571289) (300,10.239697456359863) (302,8.919612884521484) (306,8.463937759399414) (257,8.217025756835938) (299,7.712828636169434)* (466,7.518168926239014) (157,7.347157955169678) (327,7.2802019119262695) (461,6.753266334533691) (468,6.706755638122559) (543,6.619773864746094) (294,6.528201103210449) (320,6.511366844177246)* (290,6.445259094238281) (301,6.402245998382568) (913,6.348049163818359)* (323,6.323209762573242)
55: (2179,20.826047897338867) (475,14.685657501220703) (1979,12.962531089782715) (2902,12.697463035583496) (610,12.106244087219238) (3227,11.128334045410156) (1123,10.875951766967773) (3462,10.67388916015625) (605,10.311136245727539) (617,10.123160362243652) (1705,10.056632995605469) (2921,9.835230827331543) (1636,9.729207038879395)* (1834,9.71331787109375) (271,9.590259552001953) (1121,9.539518356323242) (599,9.430159568786621) (592,9.405643463134766) (5605,9.331815719604492) (4344,9.317545890808105)
56: (227,15.974126815795898) (154,11.130695343017578) (229,10.91522216796875) (190,10.551801681518555) (65,10.3987455368042) (65,10.3987455368042) (234,9.406327247619629) (533,9.066155433654785) (220,8.745262145996094) (1090,8.437677383422852) (230,7.927652359008789) (1512,7.725781440734863) (159,7.528904914855957)* (217,7.260215759277344) (225,7.234489917755127) (706,6.92317533493042) (439,6.783586502075195) (163,6.764884948730469) (1400,6.763808250427246) (203,6.724957466125488)
57: (333,19.974328994750977)* (377,18.696598052978516)* (461,14.213475227355957) (540,13.436119079589844) (209,13.242290496826172) (488,13.194072723388672) (324,13.035585403442383) (291,12.976340293884277) (816,12.88186264038086) (680,12.828965187072754) (230,12.808263778686523) (1672,12.787991523742676)* (190,12.599940299987793) (701,12.565393447875977) (302,12.394412994384766) (306,12.331546783447266) (536,12.308929443359375) (191,12.256231307983398) (1246,12.209038734436035)* (1034,12.156952857971191)*
58: (289,16.940906524658203)* (288,15.835397720336914)* (89,15.269513130187988)* (300,15.029858589172363)* (701,14.177504539489746) (257,11.77009105682373) (302,11.601123809814453)* (466,11.203044891357422)* (679,11.092373847961426) (498,10.84213924407959) (306,9.800077438354492) (349,9.411800384521484) (544,9.330806732177734) (680,9.323529243469238)* (793,9.18695068359375) (458,9.021839141845703) (290,9.008177757263184) (681,8.993612289428711)* (525,8.988578796386719) (464,8.950492858886719)
59: (1104,11.911742210388184)* (173,11.701991081237793) (163,9.78717041015625) (51,9.77837085723877) (154,9.465911865234375) (487,8.901535034179688) (233,8.863547325134277)* (917,8.712347030639648) (198,8.70137882232666) (506,8.635883331298828) (959,8.435213088989258) (159,8.298331260681152) (234,8.276647567749023) (152,8.021737098693848) (930,8.000938415527344) (1099,7.835063934326172) (486,7.676845550537109) (518,6.822988033294678) (378,6.668903350830078) (157,6.600394248962402)
60: (757,10.022863388061523) (748,9.945329666137695) (603,9.554401397705078) (154,8.729501724243164) (2605,8.534770965576172) (1098,8.148706436157227) (1745,8.029277801513672)* (238,7.780550956726074) (81,7.734535217285156) (703,7.726677894592285) (84,7.6652421951293945) (444,7.58338737487793) (107,7.437714099884033) (196,7.406524181365967) (162,7.387461185455322) (3411,7.280847072601318) (969,7.204856872558594) (64,7.1932172775268555) (64,7.1932172775268555) (1983,7.161646842956543)
61: (227,24.865388870239258)* (3466,15.341723442077637) (1740,13.161725044250488) (366,12.427700996398926) (2277,12.138136863708496) (683,12.015987396240234) (1464,11.986477851867676) (1763,11.872909545898438)* (316,11.805849075317383) (1105,11.77197265625) (1383,11.725385665893555) (3057,11.690779685974121) (212,11.509910583496094)* (3749,11.33941650390625) (715,11.304378509521484) (2265,10.747183799743652) (1098,10.71068286895752) (1242,10.66112995147705) (7324,10.578747749328613) (4616,10.419004440307617)
