userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,32.04536819458008) (175,31.976829528808594) (51,31.805654525756836)* (157,31.769336700439453) (1836,31.647449493408203) (193,31.518014907836914) (1394,31.508024215698242) (1009,31.30048179626465) (993,31.26662826538086) (1795,31.23754119873047) (511,31.23424530029297) (187,31.209806442260742) (1156,30.946598052978516) (1122,30.911243438720703) (1098,30.80465316772461) (155,30.78659439086914) (1395,30.76462745666504) (722,30.73705291748047) (3501,30.72675323486328) (70,30.61557960510254)*
27: (534,33.01837158203125) (67,33.00593566894531)* (67,33.00593566894531)* (316,32.51187515258789) (7,32.38541793823242) (1491,32.37602615356445) (1098,32.286827087402344) (166,32.28538513183594) (190,32.27967834472656) (173,32.066741943359375) (220,32.06562805175781) (227,32.051673889160156) (70,31.95351791381836) (234,31.93248748779297) (198,31.854185104370117) (1104,31.85122299194336) (154,31.850830078125) (72,31.75981330871582) (72,31.75981330871582) (525,31.716835021972656)
28: (193,32.765037536621094)* (1014,32.583309173583984)* (11794,32.03313064575195) (877,31.366802215576172) (75,31.317035675048828) (75,31.317035675048828) (68,31.211353302001953) (68,31.211353302001953) (3768,31.159618377685547) (1892,31.0026798248291) (1900,30.8544921875) (1895,30.782020568847656) (99,30.75075912475586) (1001,30.741455078125)* (997,30.739192962646484)* (98,30.60869026184082) (187,30.517208099365234) (999,30.51618194580078)* (1019,30.46266746520996)* (2559,30.346054077148438)
29: (1673,31.861190795898438) (1246,31.180770874023438) (466,30.942853927612305)* (544,30.89271354675293) (230,30.557937622070312) (461,30.476016998291016)* (89,30.46173667907715)* (344,30.309051513671875) (377,30.25967788696289) (475,30.239151000976562) (289,30.16695213317871)* (1047,30.141599655151367) (486,30.03021812438965) (1034,29.993913650512695)* (324,29.984209060668945) (680,29.822654724121094) (802,29.773040771484375) (2498,29.74677085876465) (306,29.717975616455078) (687,29.617204666137695)*
30: (793,29.184751510620117)* (681,28.498504638671875) (458,28.434852600097656) (679,28.433401107788086)* (1447,28.391849517822266) (466,28.28379249572754) (89,28.282007217407227)* (324,28.27971839904785) (191,27.986927032470703) (456,27.971820831298828)* (318,27.88372802734375)* (292,27.86557960510254) (544,27.861679077148438) (302,27.80937957763672) (257,27.805570602416992) (342,27.783363342285156) (306,27.72011375427246) (326,27.675838470458984) (464,27.609678268432617) (701,27.581218719482422)
31: (997,33.61042785644531) (1014,33.22416687011719) (3768,32.93453598022461) (51,32.78755569458008) (1886,32.77472686767578) (187,32.76151657104492) (172,32.40406036376953) (4308,32.3273811340332) (7885,32.08802795410156) (1394,32.08191680908203) (1892,31.972444534301758) (1098,31.9552059173584) (1019,31.93568992614746) (3201,31.92636489868164) (36,31.911754608154297) (193,31.884204864501953) (2027,31.811519622802734) (998,31.792123794555664) (599,31.709091186523438) (157,31.670135498046875)
32: (1376,31.235000610351562) (1151,31.075048446655273) (229,31.06105613708496) (65,30.67970848083496) (65,30.67970848083496) (210,30.625627517700195) (228,30.494102478027344) (2582,30.393421173095703) (4074,30.32670021057129) (969,29.936630249023438) (2580,29.931556701660156) (225,29.831003189086914) (56,29.815221786499023) (56,29.815221786499023) (2600,29.77448081970215) (182,29.76799201965332) (7177,29.73398780822754) (3767,29.625072479248047) (441,29.5742130279541)* (1239,29.540040969848633)
33: (506,31.6577205657959) (152,31.174213409423828)* (920,30.913990020751953) (1123,30.873741149902344)* (1770,30.851789474487305) (3405,30.6905517578125) (370,30.454801559448242) (186,30.450654983520508) (4437,30.03529167175293) (5605,29.956775665283203) (3901,29.956632614135742) (2006,29.861316680908203) (174,29.85823631286621) (943,29.796287536621094) (812,29.751712799072266) (1226,29.71546745300293) (1132,29.647586822509766)* (963,29.55938148498535) (154,29.54404067993164) (1172,29.382633209228516)
34: (5605,32.82568359375) (154,32.79050064086914) (231,32.53157424926758) (1112,32.46778106689453) (1098,32.32725143432617) (1121,32.140838623046875) (1130,32.119651794433594) (196,32.11802673339844)* (1705,31.941020965576172) (2478,31.892431259155273) (3057,31.865999221801758) (3469,31.843158721923828) (2632,31.766199111938477) (190,31.695846557617188) (629,31.589292526245117) (615,31.518573760986328) (56,31.455333709716797) (56,31.455333709716797) (3902,31.371675491333008) (11589,31.366046905517578)
35: (5605,32.15633010864258) (1112,31.942615509033203) (1123,31.35899543762207) (7122,31.083511352539062) (11589,31.002702713012695) (1150,30.471712112426758) (2632,30.27631187438965) (1124,30.19607162475586) (3308,30.171152114868164) (11480,30.147586822509766) (7126,29.975467681884766) (7119,29.78777313232422) (231,29.741668701171875) (9271,29.68890380859375) (10548,29.448974609375) (1242,29.359399795532227) (1136,29.303834915161133) (202,29.051979064941406) (1121,29.015100479125977) (7206,28.994625091552734)
36: (1188,33.24733352661133)* (1678,32.9119987487793) (209,32.72190856933594)* (2959,32.51194763183594) (492,32.39894485473633) (1868,32.30085754394531) (1541,32.229949951171875) (1246,32.187164306640625) (1043,32.07846450805664)* (498,31.945920944213867) (2661,31.945919036865234) (6453,31.780174255371094) (1853,31.68267822265625) (2850,31.58558464050293) (486,31.441137313842773) (1195,31.41311264038086)* (1193,31.302135467529297)* (2847,31.157732009887695) (403,31.012012481689453) (2430,30.951229095458984)
37: (2459,31.57539176940918) (10672,31.5371036529541) (3417,31.46766471862793) (1123,31.031286239624023) (5605,30.995635986328125) (3003,30.943891525268555) (752,30.90422821044922) (1709,30.49980926513672) (1124,30.47357940673828) (977,30.44249725341797) (603,30.43803596496582) (2470,30.43709945678711) (10675,30.304759979248047) (5636,30.166107177734375) (4285,30.13951301574707) (9585,30.097448348999023) (578,30.09217643737793)* (407,30.037696838378906) (3778,30.00157928466797) (879,29.97966766357422)
38: (230,33.71308898925781) (190,33.535221099853516)* (228,33.33506393432617)* (220,33.192935943603516) (234,33.10658645629883) (706,33.001708984375) (498,32.792747497558594)* (157,32.71385955810547) (424,32.48399353027344) (377,32.482948303222656) (2346,32.42930603027344) (89,32.31516647338867)* (171,32.26225662231445) (486,32.18182373046875)* (207,32.13422775268555) (163,32.10368347167969) (1246,32.042381286621094)* (538,32.01899337768555) (154,31.913278579711914) (868,31.83281898498535)
39: (15,30.16166877746582) (1521,30.071500778198242) (6,30.03399658203125) (4276,29.511266708374023) (25,29.110092163085938) (2970,29.040868759155273) (17,28.88956069946289) (4271,28.822458267211914) (1132,28.789892196655273) (10,28.660242080688477) (5115,28.635616302490234) (841,28.520893096923828)* (11,28.44318199157715) (731,28.441421508789062) (2763,28.430578231811523) (843,28.30524253845215)* (34,28.295185089111328) (949,28.251846313476562) (6981,28.20475959777832) (4289,28.190160751342773)
40: (49,29.338823318481445) (4876,29.293537139892578) (9,29.100818634033203) (5581,28.925716400146484) (1303,28.722436904907227)* (5715,28.518875122070312) (8048,28.515165328979492) (153,28.41220474243164) (11194,28.383543014526367) (11186,28.372173309326172) (1320,28.323253631591797)* (3191,28.248401641845703) (34,28.190765380859375)* (4318,28.17808723449707) (4874,28.15939712524414) (13,28.043212890625) (4871,28.02613639831543) (4317,27.879682540893555) (878,27.857501983642578) (4872,27.803043365478516)
41: (841,29.51653480529785) (957,29.392353057861328)* (1992,29.163745880126953) (6271,28.83794403076172) (6266,28.801509857177734) (6278,28.79654312133789) (6281,28.77113914489746) (6283,28.740419387817383) (1348,28.710424423217773)* (6272,28.669832229614258) (949,28.666406631469727) (6268,28.55755043029785) (6270,28.548227310180664) (1527,28.525976181030273) (6279,28.51474952697754) (1344,28.503467559814453)* (2838,28.462175369262695) (2009,28.42374610900879) (6284,28.176910400390625) (6273,28.111019134521484)
42: (697,31.854623794555664) (229,31.337263107299805)* (1470,31.23665428161621) (2607,31.149494171142578) (171,31.011425018310547) (2130,30.731794357299805) (961,30.677030563354492) (362,30.644073486328125) (71,30.59866714477539) (71,30.59866714477539) (316,30.349380493164062) (722,30.222824096679688) (511,30.17068862915039)* (2544,30.098251342773438) (486,30.030406951904297) (1511,29.92496109008789) (683,29.71872901916504) (538,29.713787078857422)* (1463,29.66361427307129) (4177,29.645984649658203)
43: (70,33.54579162597656)* (757,33.325191497802734)* (1941,32.56788635253906) (1410,32.324378967285156)* (526,32.10677719116211) (547,32.04426574707031) (2083,31.948755264282227) (72,31.913209915161133) (72,31.913209915161133) (1983,31.905141830444336) (1379,31.856801986694336) (703,31.76947593688965) (4024,31.621458053588867) (107,31.596994400024414) (4720,31.57971954345703) (1613,31.518917083740234) (1396,31.478971481323242)* (5891,31.458171844482422) (1486,31.434066772460938) (7324,31.266849517822266)
44: (920,35.36198425292969) (1110,34.96234893798828) (1412,34.391387939453125)* (607,33.9608154296875) (188,33.850765228271484) (212,33.532745361328125) (707,33.28683853149414)* (1425,33.21321487426758)* (4675,33.20466613769531) (186,33.13315963745117) (1134,32.9254264831543) (3481,32.88538360595703) (1372,32.69453048706055) (959,32.4637565612793) (2624,32.418418884277344) (868,32.40898895263672)* (1131,32.400760650634766)* (2654,32.27287292480469) (3940,32.25275421142578) (234,32.24909591674805)*
45: (328,29.010696411132812) (299,28.578044891357422) (652,28.575666427612305) (295,28.551464080810547)* (161,28.396841049194336)* (644,28.199966430664062) (67,27.94190788269043) (67,27.94190788269043) (525,27.92618179321289) (349,27.755592346191406)* (3080,27.74626350402832) (1475,27.743289947509766) (289,27.67124366760254)* (55,27.646066665649414) (308,27.573884963989258) (4561,27.366573333740234) (2548,27.032875061035156) (1032,26.97158432006836) (2990,26.843997955322266) (314,26.801517486572266)
46: (701,28.056564331054688)* (466,27.93514633178711)* (544,27.902875900268555) (543,27.876995086669922) (1456,27.330408096313477)* (1452,27.127559661865234)* (531,27.081308364868164) (161,27.030961990356445) (318,27.000974655151367) (344,26.624181747436523)* (528,26.548254013061523) (386,26.493112564086914) (2990,26.48832130432129) (352,26.35863494873047)* (4814,26.337337493896484) (1042,26.326339721679688)* (1444,26.308013916015625) (2020,26.299135208129883) (257,26.24442481994629) (523,26.170005798339844)
47: (289,31.813947677612305)* (300,31.6541748046875)* (288,31.629289627075195)* (89,31.6212100982666) (679,31.6055908203125) (295,31.184215545654297) (701,30.89104461669922)* (306,30.761478424072266) (349,30.600276947021484) (1684,30.371532440185547) (324,30.300817489624023) (544,30.27415657043457) (67,30.090003967285156) (67,30.090003967285156) (326,30.024137496948242) (528,29.935583114624023) (55,29.91135025024414) (704,29.73981285095215) (290,29.67902946472168) (1934,29.564661026000977)
48: (3313,33.410587310791016) (1244,32.946067810058594) (725,32.74765396118164) (261,32.360809326171875) (2031,31.980113983154297) (959,31.744916915893555)* (2176,31.633962631225586) (295,31.50405502319336)* (6722,31.357072830200195) (1691,31.326202392578125) (300,31.321422576904297)* (903,31.237642288208008) (192,31.200281143188477) (714,31.18242645263672) (306,31.105016708374023) (1081,31.081621170043945) (292,31.060651779174805) (5787,31.03221893310547) (1249,31.011022567749023) (256,30.914997100830078)
49: (331,28.409900665283203) (1449,28.395187377929688) (525,28.202743530273438) (2083,27.99466896057129) (1613,27.939393997192383) (310,27.938106536865234)* (485,27.602651596069336) (7340,27.52853775024414) (298,27.512426376342773) (302,27.511470794677734) (301,27.475879669189453) (353,27.435585021972656) (67,27.400836944580078) (67,27.400836944580078) (547,27.363704681396484) (4260,27.318862915039062) (292,27.204120635986328) (330,27.194963455200195) (55,27.194232940673828) (295,27.171918869018555)
50: (208,32.112876892089844) (709,31.95619773864746)* (716,31.779273986816406) (203,31.67096710205078) (229,31.38556480407715)* (234,31.3030948638916) (857,31.091228485107422) (65,30.950387954711914)* (65,30.950387954711914)* (441,30.89905548095703) (190,30.88971710205078) (429,30.804189682006836)* (2133,30.602476119995117) (1400,30.413917541503906) (420,30.25634765625) (225,30.209426879882812) (1977,30.165355682373047) (154,30.149961471557617) (3475,30.127233505249023) (2821,30.11081314086914)
51: (949,34.195823669433594)* (1257,33.244022369384766)* (1358,33.23471450805664)* (1364,33.14817810058594)* (1337,32.421974182128906)* (1344,31.520885467529297)* (1352,31.458709716796875) (1338,31.44526481628418) (1254,31.321277618408203) (843,31.296480178833008) (1353,31.270591735839844) (1372,31.212364196777344) (383,31.18228530883789) (1513,31.08505630493164) (4273,31.068017959594727) (2838,31.040470123291016) (2347,31.03257179260254) (821,31.004947662353516) (724,30.960569381713867) (732,30.862974166870117)
52: (240,30.42732810974121) (5137,29.14870834350586) (831,28.974802017211914)* (814,28.828861236572266) (823,28.376880645751953) (5066,28.350969314575195) (2440,28.038042068481445) (1196,27.91428565979004)* (1613,27.795156478881836) (1548,27.57504653930664)* (779,27.522415161132812) (3428,27.442771911621094) (818,27.43951988220215) (538,27.434524536132812) (605,27.426559448242188) (813,27.2546329498291) (1681,27.236759185791016) (4504,27.20755386352539) (1979,27.204654693603516) (5119,27.18052864074707)
53: (1449,27.249711990356445) (4688,26.0596923828125) (9684,25.330320358276367) (1037,25.278352737426758) (308,25.230846405029297) (543,24.97188377380371) (7340,24.804960250854492) (502,24.73301887512207) (466,24.681285858154297)* (5988,24.624408721923828) (328,24.61611557006836) (2990,24.60388946533203) (915,24.58648109436035) (288,24.560958862304688)* (317,24.550790786743164) (306,24.50356674194336)* (1455,24.362646102905273) (2025,24.307682037353516) (1034,24.249135971069336) (161,24.245676040649414)
54: (465,28.763700485229492)* (293,28.463998794555664) (1580,28.38724708557129) (2018,28.321632385253906) (326,28.16562271118164) (1505,28.037630081176758) (302,27.878650665283203) (913,27.76829719543457)* (4258,27.722408294677734) (320,27.568458557128906)* (295,27.49134063720703) (257,27.47340965270996) (359,27.410194396972656) (485,27.399978637695312) (294,27.34842300415039) (5767,27.28606414794922) (4707,27.285240173339844) (89,27.254600524902344) (534,27.24331283569336) (299,27.237001419067383)*
55: (527,31.11893653869629) (475,30.91075325012207) (2923,30.057594299316406) (2247,29.996686935424805) (3317,29.796960830688477) (547,29.702327728271484) (2226,29.272464752197266) (250,29.242053985595703) (2179,29.217683792114258) (3227,29.18706703186035) (1433,29.1182861328125) (2232,28.985191345214844) (6903,28.87265968322754) (6343,28.786834716796875) (330,28.730253219604492) (9384,28.5848331451416) (9910,28.4531307220459) (107,28.27937889099121) (1402,28.256135940551758) (981,28.242366790771484)
56: (533,30.02191734313965) (3740,29.406055450439453) (3745,29.255970001220703) (3746,29.080339431762695) (16835,29.07756805419922) (4455,29.038440704345703) (13844,29.025299072265625) (16836,29.02457618713379) (705,28.993438720703125) (16834,28.98637580871582) (11177,28.90939712524414) (226,28.86581802368164) (5630,28.764419555664062) (860,28.68653106689453) (3333,28.64552116394043) (2789,28.607803344726562) (1090,28.59368133544922) (3743,28.556842803955078) (1817,28.472726821899414) (225,28.451641082763672)
57: (1246,32.663307189941406)* (1047,31.75410270690918) (687,31.6547908782959) (209,31.632545471191406) (1035,31.471956253051758) (324,31.334766387939453) (333,31.262372970581055)* (524,31.218236923217773) (679,31.104604721069336) (544,30.92988395690918) (7834,30.84112548828125) (230,30.77109718322754) (681,30.729738235473633) (540,30.713592529296875) (1181,30.612539291381836) (2619,30.456871032714844) (377,30.40631675720215)* (461,30.327850341796875) (6543,30.1108455657959) (1041,30.101919174194336)*
58: (681,31.63181495666504)* (793,31.62567901611328) (692,31.480119705200195) (679,30.786270141601562) (1054,30.779325485229492) (4879,30.217021942138672) (528,30.1862850189209) (289,29.89888572692871)* (1047,29.77315902709961) (1447,29.75141143798828) (300,29.718395233154297)* (466,29.71834945678711)* (9849,29.692821502685547) (2801,29.69211196899414) (9299,29.688621520996094) (544,29.52077293395996) (288,29.497556686401367)* (458,29.451635360717773) (293,29.14866065979004) (89,29.035337448120117)*
59: (1104,33.959693908691406)* (233,33.00788879394531)* (173,32.594642639160156) (1099,32.34852981567383) (1707,32.045928955078125)* (45,31.979249954223633) (198,31.830833435058594) (487,31.735200881958008) (156,31.643705368041992) (159,31.640382766723633) (174,31.602205276489258) (930,31.541378021240234) (2,31.50822639465332) (1394,31.446828842163086) (512,31.34525489807129)* (1295,31.256610870361328) (1075,31.24161720275879) (2014,31.23501205444336) (1098,31.21693992614746)* (181,31.2080020904541)
60: (632,33.34268569946289) (454,32.69371795654297) (1747,32.48853302001953)* (444,32.24532699584961) (5480,32.18267059326172) (81,32.08818817138672) (162,31.9172420501709) (6756,31.78636932373047) (1708,31.767595291137695) (10613,31.600811004638672) (237,31.39227294921875) (445,31.38336181640625) (1226,31.35798454284668) (697,31.277353286743164) (1109,31.19219970703125) (5914,31.04115104675293) (423,31.04061508178711) (961,30.895784378051758) (1824,30.888093948364258) (154,30.855098724365234)
