userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (70,11.027851104736328)* (238,10.108229637145996) (1001,9.866653442382812) (1098,9.48542594909668) (1394,9.27556324005127) (159,9.233038902282715) (1464,9.1077299118042) (511,8.796530723571777) (187,8.655597686767578) (1122,8.624711036682129) (51,8.614142417907715)* (157,8.204042434692383) (1073,7.901272773742676) (599,7.803216457366943) (4316,7.7607316970825195) (154,7.729551315307617) (1156,7.631448268890381) (193,7.575323104858398) (155,7.550449848175049) (57,7.534350395202637)*
13: (289,9.918248176574707) (288,9.840343475341797) (302,9.571320533752441)* (701,9.227185249328613) (306,9.183948516845703) (349,8.343685150146484)* (291,8.152318000793457) (679,8.06524658203125) (328,7.795107364654541)* (704,7.707913875579834) (1934,7.644327163696289) (257,7.574873447418213) (680,7.5696892738342285) (301,7.295676231384277) (293,7.281014442443848) (344,7.227174282073975)* (523,7.083592891693115)* (329,7.041146278381348) (1243,6.955838203430176) (464,6.923127174377441)
14: (2419,11.784158706665039) (10969,10.013228416442871) (1244,9.938680648803711) (3019,9.833699226379395) (6137,9.673763275146484) (1464,9.632157325744629) (8824,9.461031913757324) (5416,9.347274780273438) (227,9.008016586303711) (585,8.983545303344727)* (8594,8.955658912658691) (1242,8.836054801940918) (1103,8.761857986450195) (718,8.602194786071777) (10428,8.561723709106445) (3022,8.533164978027344) (3008,8.500024795532227) (2998,8.500009536743164) (3017,8.43699836730957) (3023,8.423307418823242)
15: (1242,10.724093437194824) (418,10.140094757080078) (197,9.595197677612305)* (206,9.404507637023926) (1833,8.98237419128418) (199,8.929445266723633) (53,8.862080574035645) (53,8.862080574035645) (1098,8.68201732635498) (1164,8.582199096679688) (733,8.52829360961914) (196,8.335139274597168) (859,8.118902206420898) (718,8.097832679748535) (1958,8.080451011657715) (2265,8.042912483215332) (630,8.033937454223633)* (235,7.972121238708496) (4079,7.875356674194336) (735,7.852894306182861)
16: (3570,10.589885711669922) (2514,9.2376708984375) (6867,8.420206069946289) (6864,8.397994995117188) (1021,8.334319114685059) (6861,8.32749080657959) (3572,8.238544464111328) (6368,7.991231918334961) (3483,7.937464714050293) (5076,7.836946487426758) (3982,7.783821105957031) (375,7.628243446350098) (6859,7.623208999633789) (6866,7.609222412109375) (10436,7.56063175201416) (15416,7.525481224060059) (9751,7.498677730560303) (2098,7.45037317276001) (6232,7.400202751159668) (15417,7.398040294647217)
17: (333,8.614431381225586) (300,8.160593032836914)* (321,7.841529369354248) (1047,7.100338935852051) (1246,7.01809024810791) (471,7.0113935470581055) (793,6.975405693054199) (302,6.790818214416504) (528,6.7855939865112305)* (291,6.6040802001953125) (1458,6.4408111572265625) (191,6.37947940826416) (1043,6.340509414672852) (318,6.260629653930664) (292,6.220733642578125)* (908,6.170157432556152) (1059,6.152204513549805) (1934,6.035854339599609) (701,6.005693435668945)* (458,6.003551959991455)
18: (227,11.528255462646484)* (1464,11.225743293762207) (1244,10.553360939025879) (959,10.18237590789795) (220,9.787532806396484)* (157,9.561531066894531) (159,9.339689254760742) (1122,9.274507522583008) (1249,9.01108169555664) (366,8.89810562133789) (192,8.798600196838379) (234,8.713231086730957) (166,8.7034912109375) (718,8.592509269714355)* (599,8.517840385437012) (1772,8.41838264465332) (154,8.397370338439941) (2786,8.225523948669434) (1412,8.181449890136719) (982,8.16935920715332)
20: (603,9.331144332885742) (755,9.220939636230469)* (3362,9.213064193725586) (2605,9.17825698852539) (162,8.844369888305664) (238,8.739774703979492) (2174,8.727356910705566) (9766,8.3713960647583) (2676,8.220341682434082) (632,8.15357494354248) (11049,8.043277740478516) (2811,8.03530216217041) (70,7.992708206176758) (1418,7.957768440246582) (9783,7.942831039428711) (1790,7.925365447998047) (3132,7.922408580780029) (1731,7.910369396209717) (1700,7.861298084259033) (4734,7.5523200035095215)
21: (349,8.147645950317383) (257,8.13869571685791) (291,7.873745918273926) (294,7.84555721282959) (89,7.840638160705566)* (265,7.58187198638916) (466,7.552245140075684)* (290,7.438559055328369) (906,7.389274597167969) (326,7.304536819458008) (544,7.255309104919434) (333,7.231029987335205) (296,7.186669826507568) (301,7.0783491134643555) (323,7.017392635345459) (306,6.8790507316589355)* (909,6.878724098205566) (908,6.8095245361328125) (2392,6.795782089233398) (525,6.744638442993164)
22: (809,9.973687171936035)* (2744,9.461780548095703) (2576,9.399867057800293) (1547,9.346246719360352) (1196,9.085750579833984) (2379,9.053119659423828) (2143,8.856407165527344) (3032,8.8525972366333) (1557,8.828264236450195) (779,8.791420936584473) (843,8.731423377990723)* (923,8.720254898071289) (2970,8.55538558959961) (5100,8.494424819946289) (1541,8.337756156921387) (1561,8.17869758605957) (5666,8.148564338684082) (2971,8.10781478881836) (831,8.101044654846191)* (825,8.09660530090332)*
23: (441,10.329618453979492) (857,9.690679550170898)* (2531,9.068779945373535) (1703,8.966506004333496) (1119,8.911972045898438) (429,8.87516975402832) (1534,8.628019332885742) (1083,8.494831085205078) (59,8.359567642211914) (868,8.281259536743164)* (234,8.210775375366211) (450,8.063210487365723) (1206,7.897447109222412) (3739,7.764780044555664) (173,7.726262092590332) (715,7.619548797607422) (1886,7.60367488861084) (154,7.589507579803467) (172,7.548323154449463) (4359,7.52686071395874)
24: (55,8.481023788452148)* (97,8.34260368347168) (1243,8.251205444335938) (1934,8.241981506347656) (67,8.231423377990723)* (67,8.231423377990723)* (2521,7.762577056884766) (292,7.48613166809082) (535,7.38496732711792) (906,7.235562801361084) (295,7.228632926940918)* (316,7.101388931274414)* (289,7.05155086517334)* (701,6.93005895614624) (288,6.799588203430176)* (1767,6.771206855773926) (265,6.6692328453063965) (349,6.660250186920166) (71,6.630377769470215) (71,6.630377769470215)
25: (349,9.373827934265137)* (257,9.227930068969727) (301,8.919740676879883) (292,8.859992980957031)* (291,8.358091354370117) (299,8.280960083007812) (326,8.270042419433594) (89,7.92387056350708)* (314,7.92203950881958)* (306,7.665623188018799) (300,7.6549272537231445) (285,7.638234615325928) (465,7.626049995422363) (320,7.379590034484863) (525,7.275269985198975) (466,7.166067600250244) (265,7.1576104164123535) (333,6.990574836730957) (332,6.9133620262146) (1602,6.7987565994262695)
26: (918,9.228132247924805)* (707,9.125938415527344)* (6282,9.081626892089844) (706,8.653026580810547) (955,8.537834167480469)* (1249,8.38573169708252) (1360,8.02706527709961) (2746,7.85857629776001) (1338,7.832432270050049) (1358,7.782841205596924) (2838,7.701976776123047) (1339,7.66476583480835) (710,7.621644973754883) (843,7.593436241149902) (15,7.487081050872803) (7100,7.417426586151123) (380,7.214792251586914) (2014,7.178240776062012) (942,7.171924114227295)* (5585,7.159149169921875)
27: (190,8.456527709960938) (166,8.402606010437012) (173,8.262864112854004) (1121,8.253727912902832) (1098,8.216938972473145) (1109,8.123190879821777) (65,7.801878452301025) (65,7.801878452301025) (71,7.737353324890137) (71,7.737353324890137) (378,7.730946063995361) (154,7.671730041503906) (1118,7.554666042327881) (2446,7.509212970733643) (204,7.26416540145874) (81,7.2547607421875) (1116,7.1131978034973145) (67,7.018742561340332)* (67,7.018742561340332)* (1705,6.958027362823486)
28: (1001,9.099706649780273)* (187,8.919032096862793) (1892,8.470806121826172) (1014,8.336282730102539)* (3768,8.309818267822266) (193,8.109997749328613)* (1885,8.015853881835938) (2027,7.900172233581543) (1895,7.834853172302246) (85,7.828125)* (1019,7.755486011505127)* (997,7.596286296844482)* (1073,7.595128059387207) (1076,7.537566661834717) (877,7.396062850952148) (68,7.196045398712158) (68,7.196045398712158) (76,7.084170341491699) (76,7.084170341491699) (157,7.049829483032227)
29: (1246,8.558996200561523) (466,8.301239013671875)* (289,8.054672241210938)* (1047,8.014578819274902) (230,7.835089683532715) (89,7.820268630981445)* (461,7.657525539398193)* (486,7.471595764160156) (344,7.378332614898682) (378,7.368958950042725)* (680,7.3332414627075195) (377,7.250229835510254) (538,7.239139556884766) (324,7.207071304321289) (321,7.185733318328857) (681,7.164891242980957) (1673,7.101553440093994) (536,7.05418586730957) (544,7.046854496002197) (540,7.030060291290283)
30: (681,7.90562105178833) (324,7.774788856506348) (466,7.647642135620117) (302,7.262197494506836) (679,7.065761566162109)* (318,7.057210922241211)* (701,7.031274318695068) (89,6.987326622009277)* (191,6.973415374755859) (793,6.931629657745361)* (686,6.908015727996826) (292,6.805981636047363) (544,6.658297061920166) (458,6.55387020111084) (456,6.52773904800415)* (1447,6.485990047454834) (464,6.43721866607666) (342,6.410302639007568) (1459,6.364752292633057) (326,6.3615593910217285)
31: (51,8.960322380065918) (187,8.246015548706055) (997,7.818595886230469) (3768,7.805292129516602) (1886,7.775943756103516) (1014,7.663908958435059) (1895,7.5720930099487305) (4308,7.4732584953308105) (1019,7.408287525177002) (193,7.260371685028076) (1892,7.217253684997559) (4732,7.161022186279297) (76,7.0649614334106445) (76,7.0649614334106445) (4025,6.918290615081787) (2027,6.90509033203125) (1713,6.882473945617676) (98,6.852297306060791) (99,6.784499168395996) (877,6.724748611450195)
32: (229,8.077457427978516) (228,7.65482759475708) (65,7.533839225769043) (65,7.533839225769043) (429,7.46756649017334)* (225,7.374450206756592) (227,7.320342063903809)* (1376,7.2671403884887695) (203,7.081414699554443)* (969,6.918147087097168) (1116,6.716488838195801) (182,6.5792012214660645) (1075,6.5558247566223145) (56,6.520107269287109) (56,6.520107269287109) (199,6.4994049072265625) (436,6.478353500366211) (441,6.3995890617370605)* (1151,6.343770503997803) (511,6.3183770179748535)
33: (506,9.093528747558594) (1123,8.79104995727539)* (152,8.608757019042969)* (1743,8.366632461547852) (4143,8.287605285644531) (154,8.149603843688965) (1705,7.947723865509033) (4965,7.943165302276611) (592,7.870382785797119) (162,7.783730983734131) (963,7.746894359588623) (3405,7.7287373542785645) (5605,7.5158371925354) (163,7.496208190917969) (186,7.367753505706787) (52,7.269827842712402) (52,7.269827842712402) (166,7.226712703704834) (1491,7.121161460876465) (2478,7.081778526306152)
34: (154,9.789043426513672) (159,9.527210235595703) (1098,9.298709869384766) (196,8.751426696777344)* (56,8.223552703857422) (56,8.223552703857422) (190,8.023149490356445) (436,7.817873477935791) (429,7.7176127433776855) (858,7.115711688995361) (2531,7.054133892059326) (228,7.004302978515625) (88,6.998831272125244) (203,6.917200088500977) (206,6.89129638671875) (229,6.88022518157959)* (65,6.850705146789551) (65,6.850705146789551) (81,6.850066661834717) (533,6.729327201843262)
35: (3310,7.927553176879883) (1837,7.4506731033325195) (1167,7.263897895812988) (196,7.117130279541016) (418,7.010743141174316) (1726,6.7385573387146) (7626,6.669378280639648) (7428,6.22743034362793) (2616,6.128462791442871) (1150,6.00013542175293) (609,5.9190144538879395) (3259,5.6715168952941895) (4649,5.63255500793457) (231,5.568502426147461) (1165,5.567887306213379) (1164,5.544459819793701) (618,5.512985706329346) (416,5.497648239135742) (1166,5.486350059509277) (1098,5.467566013336182)
36: (209,10.14599323272705)* (536,9.047113418579102) (1195,8.81723690032959)* (498,8.651360511779785) (492,8.615084648132324) (230,8.577284812927246)* (1246,8.502405166625977) (412,8.312626838684082) (4262,8.310388565063477) (2847,8.254343032836914) (1672,8.216167449951172) (2850,8.198036193847656) (830,8.115394592285156) (6453,7.999555587768555) (403,7.986511707305908) (1179,7.943389892578125)* (507,7.937931060791016) (1853,7.937440395355225) (499,7.929202079772949) (501,7.834078311920166)
37: (2026,9.692062377929688) (8904,9.422505378723145) (2473,8.918580055236816) (5299,8.868139266967773) (8910,8.73855972290039) (2493,8.708258628845215) (3285,8.571606636047363) (197,8.390297889709473) (159,8.338787078857422) (864,8.264941215515137) (3443,8.251407623291016) (1709,8.193570137023926) (3289,8.043168067932129) (3440,8.01496696472168) (2542,7.966537952423096) (859,7.885959625244141) (7081,7.873116493225098) (599,7.835677623748779)* (2484,7.834926605224609) (206,7.699134349822998)
38: (190,8.216793060302734)* (220,7.662933349609375) (230,7.237306118011475) (228,7.206858158111572)* (538,7.032794952392578) (234,7.0067901611328125) (424,6.719659805297852) (706,6.6337199211120605) (157,6.462974548339844) (207,6.404221534729004) (88,6.3097429275512695)* (89,6.255913257598877)* (159,6.228427886962891) (735,6.0985026359558105) (1244,5.885297775268555)* (2346,5.830904006958008) (1412,5.814652919769287) (969,5.61860990524292) (1048,5.594357490539551) (734,5.580256462097168)
39: (1358,7.023796558380127) (2013,6.911477088928223) (15,6.880481719970703) (1535,6.848093509674072) (1521,6.813604831695557) (9226,6.78665018081665) (2746,6.61216926574707) (4273,6.567910194396973) (3438,6.473604202270508) (1353,6.473584175109863) (1531,6.400631904602051) (6273,6.361534595489502) (13685,6.346562385559082) (6278,6.3389892578125) (13673,6.294167518615723) (6271,6.27469539642334) (3509,6.2742414474487305) (6272,6.25896692276001) (5831,6.239650726318359) (13682,6.239361763000488)
40: (1270,10.519712448120117) (3551,9.470110893249512) (24,9.440051078796387) (41,9.281585693359375) (43,9.166206359863281) (1303,9.14364242553711)* (2,9.133170127868652) (4877,9.091705322265625) (6873,8.908034324645996) (487,8.8933744430542) (1277,8.795797348022461) (9,8.765024185180664) (10,8.664896011352539) (1914,8.660835266113281) (6882,8.56672477722168) (11192,8.565457344055176) (6879,8.542160987854004) (6880,8.536944389343262) (6877,8.532489776611328) (26,8.526266098022461)
41: (954,9.199515342712402)* (710,9.096352577209473) (841,8.84743595123291) (2838,8.82162094116211) (5157,8.77528190612793) (956,8.616776466369629) (843,8.44727897644043)* (707,8.39848804473877) (2009,8.268950462341309) (957,8.268798828125)* (724,8.17912769317627) (1364,8.08554744720459)* (1535,7.932075500488281) (947,7.860651016235352)* (1527,7.834172248840332) (15,7.802883148193359) (923,7.558317184448242) (2746,7.508774280548096) (3470,7.494840145111084) (2797,7.476785182952881)
42: (229,7.98856258392334)* (3945,7.228694915771484) (511,6.722338676452637)* (3676,6.56256628036499) (533,6.541012287139893) (715,6.4750823974609375) (969,6.418373107910156) (538,6.39978551864624)* (1151,6.3882060050964355) (1511,5.962435722351074) (1106,5.9549078941345215) (227,5.878769397735596) (199,5.810483932495117) (4435,5.764979362487793) (2614,5.756952285766602) (691,5.738100528717041) (89,5.704447269439697)* (1090,5.694117069244385)* (166,5.62445592880249) (4923,5.62224006652832)
43: (70,9.7471923828125)* (1410,8.011866569519043)* (1941,7.948347091674805) (229,7.594815731048584)* (1401,7.464986324310303)* (157,7.220417022705078) (432,7.1945648193359375) (757,7.072459697723389)* (547,7.013689041137695) (4720,7.00286865234375) (1397,6.981836318969727)* (969,6.948909759521484) (7324,6.751369476318359) (228,6.7230424880981445) (1613,6.66386604309082) (173,6.63538932800293) (182,6.611004829406738) (512,6.594998359680176) (5154,6.58220100402832) (2818,6.535111904144287)
44: (1412,9.359994888305664)* (1131,9.179950714111328)* (212,8.985357284545898) (188,8.899603843688965) (1110,8.827622413635254) (707,8.50059986114502)* (920,8.45866870880127) (607,8.284194946289062) (868,8.001565933227539)* (235,7.974267482757568) (234,7.895627021789551)* (733,7.849887371063232) (735,7.849673271179199)* (1639,7.827458381652832) (959,7.7511067390441895) (1643,7.730589389801025) (599,7.699060440063477) (154,7.583464622497559) (1118,7.481945991516113) (859,7.427183151245117)
45: (1475,8.416585922241211) (787,8.090895652770996)* (295,7.726019382476807)* (161,7.696929931640625)* (289,7.633513927459717)* (1042,7.504866600036621) (4260,7.378457069396973) (2598,7.278057098388672) (329,7.156164646148682) (5249,7.096317768096924) (545,7.078575611114502) (458,6.995684623718262) (531,6.941591739654541) (3073,6.902026176452637) (466,6.82076358795166)* (4817,6.814359188079834) (907,6.784723281860352) (328,6.738334655761719) (299,6.680210590362549) (3060,6.662723541259766)
46: (466,7.912123203277588)* (544,7.629678726196289) (701,7.558940410614014)* (531,7.049335956573486) (528,6.950336933135986) (543,6.7138261795043945) (344,6.6140055656433105)* (1042,6.5567946434021)* (352,6.512606143951416)* (318,6.458363056182861) (257,6.308853626251221) (545,6.201544284820557) (2020,6.138243675231934) (797,5.816214084625244) (290,5.804221153259277)* (1456,5.755208492279053)* (704,5.741366863250732) (1453,5.71662712097168)* (321,5.694454193115234) (324,5.627422332763672)
47: (289,9.017295837402344)* (300,8.889131546020508)* (288,8.612641334533691)* (89,8.299186706542969) (295,8.275630950927734) (2801,8.1149263381958) (349,7.923809051513672) (701,7.904919147491455)* (679,7.794361591339111) (326,7.644250392913818) (1684,7.364662170410156) (55,7.314330577850342) (311,7.306957721710205) (544,7.209946155548096) (306,7.145148277282715) (321,7.139355182647705) (324,7.003683567047119) (1580,6.914945602416992) (528,6.832163333892822) (294,6.76321268081665)*
48: (1244,8.15363883972168) (641,7.778149604797363) (3763,7.772211074829102) (316,7.747792720794678) (389,7.228948593139648) (511,7.1811041831970215)* (295,7.029298782348633)* (2176,6.995938777923584) (366,6.97953987121582) (1081,6.959028244018555) (2044,6.942385673522949) (192,6.804521560668945) (959,6.799582481384277)* (1249,6.783140182495117) (261,6.777493000030518) (184,6.775428771972656) (300,6.751920223236084)* (903,6.715266704559326) (55,6.677707672119141)* (6721,6.670633792877197)
49: (294,6.982160568237305) (291,6.817348003387451) (310,6.801294326782227)* (302,6.772165298461914) (301,6.733997344970703) (292,6.686775207519531) (525,6.570856094360352) (191,6.411571979522705) (349,6.386945724487305) (906,6.3770341873168945) (300,6.368662357330322) (296,6.359285354614258) (5746,6.349003314971924) (326,6.342345714569092) (295,6.33504581451416) (699,6.293744087219238) (466,6.19027042388916) (1934,6.10585355758667) (71,5.968164443969727) (71,5.968164443969727)
50: (225,7.445245265960693) (229,7.321284770965576)* (190,7.316738128662109) (716,7.003825664520264) (65,6.968669891357422)* (65,6.968669891357422)* (234,6.618402481079102) (203,6.596748352050781) (154,6.42965030670166) (421,6.335944652557373) (3475,6.334956169128418) (709,6.244448661804199)* (429,6.178490161895752)* (182,6.125999450683594) (432,6.1242570877075195) (88,6.025903701782227) (2815,6.01909065246582) (226,5.999794006347656) (1988,5.9784040451049805) (208,5.875960350036621)
51: (843,9.812080383300781) (1358,9.348824501037598)* (949,9.174895286560059)* (710,8.74588394165039) (1364,8.684612274169922)* (15,8.56166934967041) (957,8.430837631225586) (2746,8.302709579467773) (920,8.266419410705566) (1249,8.173023223876953)* (25,8.127116203308105) (724,7.991326808929443) (1372,7.911689758300781) (198,7.8971099853515625)* (234,7.722695350646973) (821,7.6240553855896) (1281,7.613500118255615) (1992,7.517897605895996) (942,7.420567989349365) (1338,7.4173970222473145)
52: (3032,8.258271217346191) (4504,7.259409427642822) (4346,7.0720534324646) (814,6.946980953216553) (1192,6.922933578491211) (823,6.812924385070801) (3043,6.804209232330322) (831,6.753873348236084)* (840,6.707604885101318) (11864,6.530124664306641) (850,6.518859386444092) (2169,6.361475467681885) (5600,6.336056709289551) (2723,6.332786560058594) (809,6.327262878417969) (3729,6.284871578216553) (3719,6.2511186599731445) (5306,6.183358669281006) (843,6.1191887855529785) (2387,6.108592510223389)
53: (317,9.106748580932617) (468,8.862221717834473) (484,8.819958686828613) (907,8.616155624389648) (314,8.541572570800781) (327,8.50267505645752) (328,8.489395141601562) (294,8.40318775177002) (7340,8.229612350463867) (1444,8.19207763671875) (332,8.142845153808594) (295,8.132355690002441) (349,8.096994400024414)* (913,8.093913078308105) (288,8.057602882385254)* (301,7.997525215148926) (308,7.821601867675781) (312,7.740945816040039) (306,7.732726097106934)* (299,7.661789894104004)
54: (257,9.026262283325195) (294,8.89773941040039) (301,8.707611083984375) (295,8.599076271057129) (326,8.590360641479492) (302,8.546669006347656) (311,8.250847816467285) (288,8.176937103271484)* (299,8.030500411987305)* (913,8.023021697998047)* (320,7.930187702178955)* (465,7.894499778747559)* (89,7.644668102264404) (300,7.418020725250244) (293,7.305601596832275) (265,7.25687313079834) (306,7.253291130065918) (285,7.095272064208984) (290,7.047492027282715) (1580,6.96220588684082)
55: (3227,7.626187324523926) (1972,7.548978805541992) (527,7.421453952789307) (249,7.308012962341309) (2923,7.277287483215332) (271,7.222916126251221) (56,7.219104766845703) (56,7.219104766845703) (617,7.158786296844482) (5048,7.007815837860107) (547,6.79914665222168) (1636,6.789966583251953)* (2916,6.783143997192383) (88,6.643120765686035) (2247,6.5787353515625) (2931,6.5579729080200195) (3673,6.5509209632873535) (1839,6.543879985809326) (2921,6.487081527709961) (7743,6.454133987426758)
56: (234,8.432308197021484) (4218,8.157936096191406) (220,7.860258102416992) (159,7.849485397338867)* (227,7.541337966918945) (840,7.447977066040039) (1807,7.427799701690674) (533,7.40242338180542) (3333,7.3700737953186035) (1239,7.282653331756592) (1406,7.1838297843933105) (439,7.1631903648376465) (1520,6.988850116729736) (4155,6.849689483642578) (706,6.808318138122559) (225,6.770419120788574) (1090,6.726428031921387) (3739,6.58420467376709) (190,6.561156272888184) (3744,6.5580949783325195)
57: (1246,9.158014297485352)* (1047,8.837387084960938) (209,8.711322784423828) (333,8.277563095092773)* (230,7.773692607879639) (324,7.733407020568848) (540,7.644215106964111) (680,7.472606182098389) (681,7.218995094299316) (321,7.078556060791016) (461,7.075966835021973) (679,6.992833137512207) (687,6.8983564376831055) (377,6.82585334777832)* (537,6.755614280700684) (499,6.728703498840332) (544,6.611645698547363) (693,6.584434986114502) (536,6.55104398727417) (538,6.522870063781738)
58: (681,7.629175186157227)* (793,7.586073875427246) (466,7.026456832885742)* (528,6.626908302307129) (300,6.543700218200684)* (324,6.452927589416504) (289,6.298789978027344)* (692,6.219447135925293) (544,6.129437446594238) (288,6.0387282371521)* (679,6.033769130706787) (464,5.9323201179504395) (2801,5.923677444458008) (680,5.915656566619873)* (293,5.730967998504639) (704,5.730379581451416) (89,5.728799819946289)* (313,5.697547435760498) (1054,5.692904472351074) (302,5.669858932495117)*
59: (233,9.522929191589355)* (1104,9.451297760009766)* (159,9.375731468200684) (173,9.119152069091797) (234,8.11262321472168) (198,8.08678150177002) (1116,7.793894290924072) (930,7.749362468719482) (2369,7.42408561706543) (487,7.4222211837768555) (154,7.390761375427246) (1119,7.3764543533325195) (172,7.283877372741699) (2014,7.168410301208496) (959,7.02670431137085) (512,7.021924018859863)* (854,7.007460594177246) (378,6.987349510192871) (6257,6.9266767501831055) (70,6.917295455932617)
60: (632,9.443099021911621) (162,8.489311218261719) (1747,8.130061149597168)* (2616,7.8248467445373535) (604,7.713546276092529) (154,7.666093349456787) (81,7.564058780670166) (7382,6.919119834899902) (606,6.910065650939941) (454,6.518711566925049) (1790,6.420727252960205) (1109,6.397496223449707) (199,6.342822074890137) (5927,6.335411071777344) (602,6.30565071105957) (444,6.2973737716674805) (445,6.2791972160339355) (6756,6.26703405380249) (237,6.049676418304443) (6159,5.962654113769531)
