userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,19.14917755126953) (187,17.879959106445312) (1073,17.69434356689453) (51,17.44790267944336)* (238,16.99650001525879) (1014,16.93637466430664) (157,16.921934127807617) (1394,16.867881774902344) (1098,16.862279891967773) (1156,16.79456329345703) (3992,16.552627563476562) (3501,16.521425247192383) (1795,16.505102157592773) (70,16.474353790283203)* (511,16.19260597229004) (877,15.860902786254883) (993,15.845769882202148) (1713,15.836653709411621) (1836,15.747299194335938) (155,15.697300910949707)
23: (2531,20.124629974365234) (441,20.06853485107422) (1083,19.51929473876953) (59,19.515478134155273) (1534,19.187591552734375) (3280,19.039400100708008) (1811,18.909019470214844) (1703,18.401124954223633) (173,18.35359001159668) (857,18.2974910736084)* (2493,18.010072708129883) (429,18.001108169555664) (9630,17.695409774780273) (1119,17.639562606811523) (234,17.526599884033203) (715,17.506616592407227) (9632,17.50199317932129) (2488,17.3754940032959) (5890,17.312774658203125) (203,17.295961380004883)
24: (67,18.043170928955078)* (67,18.043170928955078)* (157,17.717435836791992)* (1934,17.64972686767578) (55,17.23386001586914)* (1464,16.747568130493164) (679,16.723114013671875) (1243,16.6517333984375) (97,16.55342674255371) (289,16.51926612854004)* (985,16.417724609375) (292,16.335512161254883) (701,16.138532638549805) (295,15.979269027709961)* (525,15.88901424407959) (288,15.715675354003906)* (306,15.676664352416992) (227,15.65172004699707) (2521,15.551112174987793) (535,15.430480003356934)
25: (349,16.072057723999023)* (465,15.558157920837402) (257,15.425432205200195) (292,15.419035911560059)* (299,15.230178833007812) (326,15.192774772644043) (301,15.145755767822266) (291,15.108600616455078) (314,14.90703296661377)* (89,14.623543739318848)* (332,14.509398460388184) (285,14.380849838256836) (320,14.365334510803223) (525,14.135632514953613) (300,14.086291313171387) (306,14.068647384643555) (312,13.922931671142578) (333,13.816402435302734) (360,13.784988403320312) (323,13.762431144714355)
26: (918,17.15971565246582)* (707,17.12446403503418)* (198,16.546689987182617) (1350,16.51097297668457) (706,16.21367073059082) (1249,16.138538360595703) (1338,15.980440139770508) (2797,15.821503639221191) (710,15.783770561218262) (843,15.75805950164795) (1360,15.563002586364746) (1339,15.374555587768555) (188,15.318613052368164) (724,15.287321090698242) (953,15.282352447509766)* (2346,15.256325721740723) (1513,15.17192268371582) (176,15.059733390808105) (2975,15.051186561584473) (978,15.048258781433105)
27: (190,19.612293243408203) (65,19.25726318359375) (65,19.25726318359375) (154,19.190990447998047) (71,19.040372848510742) (71,19.040372848510742) (885,19.038185119628906) (1098,18.94877815246582) (1118,18.89452362060547) (89,18.866321563720703) (511,18.78436279296875) (67,18.682605743408203)* (67,18.682605743408203)* (166,18.555984497070312) (173,18.536426544189453) (72,18.495710372924805) (72,18.495710372924805) (238,18.478221893310547) (378,18.405696868896484) (316,18.381271362304688)
28: (1001,17.35594940185547)* (3501,16.804107666015625) (997,16.48395538330078)* (1014,15.960098266601562)* (1886,15.813028335571289) (4308,15.744462013244629) (1895,15.739570617675781) (3920,15.506152153015137) (187,15.504231452941895) (3201,15.38088607788086) (3772,15.294724464416504) (7885,15.192315101623535) (11331,15.156967163085938) (1892,15.096048355102539) (167,14.991240501403809) (1073,14.960801124572754) (1379,14.941690444946289) (3183,14.933161735534668) (2562,14.887292861938477) (193,14.864969253540039)*
29: (544,18.29377555847168) (475,18.231687545776367) (1673,18.130535125732422) (466,18.02700424194336)* (461,17.609643936157227)* (344,17.495222091674805) (458,17.47241973876953) (289,17.18871307373047)* (1455,17.172399520874023) (306,17.006275177001953) (89,16.997539520263672)* (1042,16.94001007080078)* (230,16.852968215942383) (1246,16.843425750732422) (321,16.840225219726562) (377,16.765642166137695) (378,16.688425064086914)* (1047,16.347591400146484) (1034,16.283166885375977)* (486,16.28040313720703)
30: (293,15.069616317749023) (329,15.068523406982422) (907,14.779813766479492) (459,14.771029472351074) (479,14.758304595947266) (318,14.717042922973633)* (466,14.678290367126465) (360,14.675263404846191) (966,14.66476058959961)* (342,14.659069061279297) (349,14.566224098205566) (377,14.477602005004883) (326,14.45863151550293) (468,14.454248428344727) (302,14.43024730682373) (257,14.384905815124512) (456,14.353412628173828)* (469,14.353365898132324) (475,14.272829055786133) (472,14.250404357910156)
31: (187,19.82617950439453) (3501,19.760887145996094) (877,18.798242568969727) (51,18.796226501464844) (1014,18.615055084228516) (153,18.612472534179688) (30,18.612199783325195)* (173,18.433059692382812) (1379,18.078962326049805) (75,18.045711517333984) (75,18.045711517333984) (1713,17.92094612121582) (175,17.904239654541016) (3988,17.652164459228516) (3367,17.613178253173828) (1886,17.597734451293945) (157,17.542226791381836) (190,17.457590103149414) (9,17.335674285888672) (1892,17.33118438720703)
32: (65,18.575952529907227) (65,18.575952529907227) (229,18.522462844848633) (221,18.270814895629883) (715,18.226781845092773) (182,17.939815521240234) (228,17.798276901245117) (511,17.797813415527344) (227,17.79311180114746)* (166,17.755638122558594) (436,17.70838737487793) (1116,17.684322357177734) (203,17.635791778564453)* (1151,17.5391788482666) (171,17.097078323364258) (207,16.987079620361328) (1375,16.98544692993164) (210,16.94866180419922) (1384,16.93502426147461) (225,16.836368560791016)
33: (162,20.479671478271484) (2006,19.86573600769043) (4143,19.048006057739258) (152,18.868797302246094)* (506,18.770545959472656) (920,18.603586196899414) (632,18.035842895507812)* (174,17.534908294677734) (154,17.507139205932617) (755,17.41144561767578) (13935,17.306053161621094) (7261,17.229337692260742) (3788,16.926658630371094) (10519,16.82982635498047) (963,16.8254337310791) (812,16.662395477294922) (4613,16.621612548828125) (186,16.54771614074707) (2716,16.51907730102539) (3417,16.44853401184082)
34: (154,18.59128761291504) (1130,18.231782913208008) (2478,17.964200973510742) (429,17.772958755493164) (159,17.76084327697754) (615,17.65178871154785) (859,17.253644943237305) (1121,17.118953704833984) (718,17.088478088378906) (56,17.047607421875) (56,17.047607421875) (173,16.891956329345703)* (436,16.79001808166504) (197,16.729419708251953) (190,16.62451171875) (1126,16.57543182373047) (206,16.528240203857422) (709,16.515483856201172) (1239,16.46935272216797) (618,16.465078353881836)
35: (418,18.676273345947266) (632,18.501073837280273) (2300,18.08159637451172) (609,17.998212814331055) (9045,17.99204444885254) (3681,17.90753746032715) (5414,17.829885482788086) (433,17.82151222229004) (214,17.711238861083984) (9054,17.627992630004883) (2314,17.601232528686523) (3905,17.50505256652832) (615,17.500686645507812) (8716,17.464162826538086) (3259,17.458980560302734) (1109,17.427488327026367) (2330,17.390884399414062) (11900,17.355724334716797) (6730,17.351404190063477) (8425,17.339357376098633)
36: (209,18.366661071777344)* (498,18.091747283935547) (1195,17.9601993560791)* (412,17.956729888916016) (2959,17.894865036010742) (1043,17.86780548095703)* (693,17.800777435302734) (1188,17.755393981933594)* (1868,17.71220588684082) (1866,17.69830894470215) (2850,17.674734115600586) (2430,17.66122055053711) (1246,17.61834144592285) (1853,17.52794075012207) (1672,17.50003433227539) (1046,17.45420265197754)* (492,17.45408058166504) (1863,17.258752822875977) (830,17.17397689819336) (1541,17.15068244934082)
37: (5299,19.176265716552734) (3531,18.951675415039062) (2026,18.45000648498535) (10672,17.9359073638916) (2470,17.026132583618164) (2475,16.863330841064453) (197,16.836130142211914) (605,16.668010711669922) (3809,16.628660202026367) (592,16.619129180908203) (2471,16.613637924194336) (6151,16.574586868286133) (512,16.538511276245117) (752,16.50543975830078) (2473,16.494503021240234) (3417,16.398700714111328) (154,16.370792388916016) (3703,16.360530853271484) (859,16.33234405517578) (3528,16.214813232421875)
38: (190,20.969823837280273)* (230,20.8577880859375) (220,20.64630889892578) (234,19.91985321044922) (538,19.779624938964844) (228,19.605205535888672)* (89,19.500530242919922)* (498,19.41315460205078)* (157,19.092382431030273) (207,19.025531768798828) (1246,18.949838638305664)* (424,18.944473266601562) (706,18.81233024597168) (173,18.709197998046875) (159,18.521682739257812) (486,18.51180648803711)* (903,18.27511978149414) (209,18.264583587646484) (1244,18.1981143951416)* (2346,18.130802154541016)
39: (2038,16.738431930541992) (936,16.110017776489258) (807,16.036069869995117) (6258,15.942790031433105) (1299,15.785299301147461) (4872,15.761177062988281) (1913,15.632403373718262) (7709,15.51134967803955) (15,15.419609069824219) (923,15.359830856323242) (7713,15.337929725646973) (917,15.325872421264648) (2004,15.299495697021484) (5461,15.259844779968262) (3184,15.196394920349121) (1338,15.080948829650879) (3244,15.022808074951172) (883,14.986801147460938) (4137,14.883064270019531) (1353,14.861120223999023)
40: (4876,22.239208221435547) (37,22.062259674072266) (4877,21.92174530029297) (49,21.84832763671875) (11194,21.68292999267578) (41,21.595172882080078) (24,21.366596221923828) (4871,21.10143280029297) (1320,21.095867156982422)* (6878,21.088592529296875) (2935,21.011110305786133) (4874,21.009315490722656) (4318,20.877492904663086) (1277,20.83939552307129) (11192,20.481388092041016) (43,20.446353912353516) (3188,20.441661834716797) (6873,20.3015079498291) (44,20.255126953125) (6879,20.178508758544922)
41: (1527,16.873003005981445) (2838,16.861326217651367) (954,16.754793167114258)* (841,16.742860794067383) (710,16.674362182617188) (1257,16.5462703704834)* (4286,16.2313175201416) (5157,16.226659774780273) (1535,16.064790725708008) (923,16.038028717041016) (5695,15.996601104736328) (6259,15.896194458007812) (1522,15.830684661865234) (3624,15.804693222045898) (1523,15.72175407409668) (2004,15.679015159606934) (949,15.48707389831543) (5668,15.426376342773438) (1531,15.387847900390625) (724,15.197449684143066)
42: (362,19.44478416442871) (229,19.35252571105957)* (697,18.475261688232422) (316,18.432830810546875) (1151,18.244102478027344) (71,17.76378631591797) (71,17.76378631591797) (166,17.720142364501953) (961,17.49351692199707) (3255,17.468706130981445) (1116,17.249717712402344) (521,17.186166763305664) (972,17.168716430664062) (1505,17.046035766601562) (538,17.019723892211914)* (89,16.85782814025879)* (722,16.82980728149414) (1632,16.821727752685547) (210,16.821670532226562) (511,16.714082717895508)*
43: (70,21.33980369567871)* (757,19.767114639282227)* (1379,18.401809692382812) (63,18.344165802001953) (63,18.344165802001953) (173,18.23270034790039) (1613,18.211078643798828) (72,18.105199813842773) (72,18.105199813842773) (526,17.931913375854492) (2605,17.853668212890625) (1401,17.818180084228516)* (174,17.817575454711914) (157,17.77788543701172) (7324,17.678211212158203) (5891,17.573949813842773) (1787,17.565322875976562) (3109,17.561948776245117) (1090,17.454294204711914) (703,17.43482780456543)
44: (1412,20.667869567871094)* (607,20.264142990112305) (1639,20.07538604736328) (707,19.852737426757812)* (2624,19.674209594726562) (1110,19.53894805908203) (3481,19.471054077148438) (4675,19.415206909179688) (868,19.2974796295166)* (212,19.225971221923828) (1372,18.85226058959961) (188,18.550371170043945) (2375,18.47228240966797) (920,18.4425048828125) (1425,18.220191955566406)* (1131,17.931041717529297)* (2475,17.927682876586914) (735,17.777904510498047)* (1413,17.775135040283203)* (4784,17.76232147216797)
45: (652,17.857948303222656) (4702,17.701271057128906) (787,17.192901611328125)* (328,17.121776580810547) (4260,16.774433135986328) (644,16.706911087036133) (161,16.689565658569336)* (6000,16.48198127746582) (545,16.447858810424805) (327,16.296628952026367) (2390,16.28705596923828) (289,16.27370262145996)* (295,16.155405044555664)* (308,16.096986770629883) (6001,16.06252098083496) (5994,16.043825149536133) (1475,15.989937782287598) (5996,15.960515975952148) (4698,15.954431533813477) (476,15.935683250427246)
46: (544,14.877265930175781) (466,14.851229667663574)* (543,14.831907272338867) (701,14.539597511291504)* (344,14.278345108032227)* (523,14.109262466430664) (797,14.077637672424316) (528,14.056032180786133) (257,14.038680076599121) (318,14.03274917602539) (4814,13.995141983032227) (531,13.970399856567383) (2020,13.948606491088867) (161,13.756951332092285) (1042,13.754831314086914)* (2990,13.421493530273438) (1451,13.413908958435059)* (1453,13.39820384979248)* (352,13.238512992858887)* (317,13.14987564086914)
47: (300,16.11606216430664)* (289,15.963799476623535)* (679,15.666905403137207) (288,15.618644714355469)* (89,15.359565734863281) (1684,15.23215389251709) (528,15.187278747558594) (349,14.988945007324219) (295,14.884928703308105) (701,14.876675605773926)* (544,14.57984447479248) (326,14.498786926269531) (793,14.391897201538086) (1580,14.385910987854004) (311,14.2842378616333) (321,14.257796287536621) (704,13.999577522277832) (290,13.983588218688965) (306,13.970532417297363) (797,13.95972728729248)
48: (2031,15.780097961425781) (6721,15.376555442810059) (192,15.3273344039917) (3311,15.310298919677734) (641,15.24523639678955) (725,15.173262596130371) (714,14.861924171447754) (3332,14.800491333007812) (155,14.680509567260742) (2176,14.662872314453125) (295,14.645413398742676)* (3074,14.615745544433594) (1244,14.574386596679688) (1447,14.568882942199707) (292,14.554677963256836) (455,14.53603744506836) (316,14.515292167663574) (300,14.513422012329102)* (1243,14.495611190795898) (257,14.472539901733398)
49: (5150,17.235458374023438) (352,16.900226593017578) (690,16.81878662109375) (548,16.460302352905273) (2521,16.43431854248047) (532,16.378265380859375) (1934,16.330270767211914) (323,16.168983459472656) (67,15.991201400756836) (67,15.991201400756836) (58,15.957085609436035) (58,15.957085609436035) (55,15.92939567565918) (292,15.809889793395996) (300,15.760406494140625) (2083,15.704832077026367) (535,15.592236518859863) (906,15.58937931060791) (485,15.5885648727417) (328,15.50563907623291)
50: (716,18.011125564575195) (208,17.909198760986328) (857,17.742767333984375) (203,17.1957950592041) (229,16.996156692504883)* (709,16.909069061279297)* (2133,16.408775329589844) (225,16.293285369873047) (432,16.29277801513672) (441,16.087568283081055) (2614,16.083261489868164) (234,16.001121520996094) (1400,15.9314546585083) (3400,15.919397354125977) (429,15.84752368927002)* (190,15.809386253356934) (210,15.590930938720703) (443,15.561448097229004) (154,15.559732437133789) (2524,15.55474853515625)
51: (1358,19.89264678955078)* (949,18.722322463989258)* (843,18.65242576599121) (1353,18.522916793823242) (1338,18.114768981933594) (1257,18.019792556762695)* (710,17.821231842041016) (1364,17.568832397460938)* (2360,17.33300018310547) (2838,17.160383224487305) (922,17.153606414794922) (5157,17.14925765991211) (724,16.871604919433594) (15,16.840255737304688) (1344,16.83938217163086)* (1352,16.81194496154785) (1337,16.75568962097168)* (942,16.645296096801758) (821,16.558273315429688) (2342,16.512653350830078)
52: (831,17.251407623291016)* (814,16.275991439819336) (4003,15.94922924041748) (1192,15.246293067932129) (4821,15.119344711303711) (198,14.977608680725098) (6120,14.83813190460205) (250,14.649323463439941) (5135,14.602972030639648) (8261,14.584416389465332) (846,14.528424263000488) (1555,14.48355484008789)* (6014,14.382412910461426) (808,14.235368728637695) (412,14.22445297241211) (2192,14.221426010131836) (4504,14.162837028503418) (818,14.155021667480469) (8298,14.12573528289795) (2169,14.11950397491455)
53: (317,16.377779006958008) (5988,16.17327308654785) (328,15.840001106262207) (1449,15.792810440063477) (288,15.701080322265625)* (468,15.618491172790527) (543,15.545068740844727) (306,15.529830932617188)* (907,15.501145362854004) (299,15.492997169494629) (2990,15.488044738769531) (295,15.442198753356934) (327,15.322212219238281) (6567,15.27055549621582) (4814,15.259175300598145) (466,15.251173973083496)* (4562,15.024343490600586) (349,14.915085792541504)* (312,14.889768600463867) (332,14.877645492553711)
54: (465,17.14165687561035)* (293,16.517858505249023) (1580,15.93983268737793) (294,15.777538299560547) (2018,15.743654251098633) (467,15.721306800842285) (326,15.67027759552002) (1053,15.61003589630127) (4574,15.525238990783691) (909,15.243017196655273) (455,15.21479320526123) (3951,15.125967025756836) (521,15.101255416870117) (908,15.085554122924805) (309,14.912995338439941) (320,14.895355224609375)* (354,14.858328819274902) (302,14.830575942993164) (311,14.792061805725098) (257,14.757532119750977)
55: (271,19.467342376708984) (3317,19.097923278808594) (56,18.67542266845703) (56,18.67542266845703) (527,18.449159622192383) (88,18.125852584838867) (547,17.907428741455078) (2923,17.87755012512207) (619,17.831809997558594) (617,17.765321731567383) (475,17.661327362060547) (1952,17.64126968383789) (5048,17.470975875854492) (1963,17.387165069580078) (4035,17.311176300048828) (3712,17.22100830078125) (2083,17.217845916748047) (1155,17.192867279052734) (1636,17.16676139831543)* (1486,17.078571319580078)
56: (6539,14.850027084350586) (706,14.483010292053223) (234,14.324161529541016) (3205,14.100470542907715) (16896,13.99899673461914) (533,13.921159744262695) (17007,13.83786392211914) (716,13.819343566894531) (10401,13.719949722290039) (227,13.645339012145996) (190,13.630778312683105) (159,13.629505157470703)* (220,13.550524711608887) (542,13.418841361999512) (714,13.417130470275879) (1249,13.411783218383789) (230,13.267780303955078) (226,13.164689064025879) (12295,13.095149993896484) (614,13.070905685424805)
57: (1246,18.698362350463867)* (333,18.328800201416016)* (209,18.303369522094727) (230,18.152236938476562) (1047,17.90584945678711) (324,17.580469131469727) (544,17.516429901123047) (1186,17.476253509521484) (687,17.42168617248535) (377,17.351037979125977)* (693,17.168027877807617) (540,17.154550552368164) (321,17.11903190612793) (679,16.983301162719727) (461,16.9740047454834) (1672,16.91120147705078)* (475,16.723800659179688)* (1035,16.591123580932617) (536,16.576475143432617) (1455,16.447105407714844)
58: (681,16.68311882019043)* (692,15.978562355041504) (793,15.705293655395508) (3327,15.053316116333008) (528,14.474611282348633) (13720,14.37607479095459) (13064,14.12985897064209) (3611,14.1199369430542) (293,13.918951034545898) (4879,13.909735679626465) (3397,13.902094841003418) (1054,13.856855392456055) (13723,13.81231689453125) (13063,13.756791114807129) (10823,13.727980613708496) (15186,13.718032836914062) (11010,13.71198844909668) (15185,13.672257423400879) (15183,13.641321182250977) (13724,13.627062797546387)
59: (1104,21.44437026977539)* (233,20.0031795501709)* (173,18.929855346679688) (198,18.881223678588867) (1099,18.693721771240234) (234,18.208131790161133) (512,18.040260314941406)* (2369,17.88777732849121) (930,17.88179588317871) (159,17.74236488342285) (959,17.736738204956055) (2014,17.5349063873291) (726,17.490121841430664)* (978,17.07427215576172) (518,16.99221420288086) (378,16.97545623779297) (1797,16.761266708374023) (70,16.743906021118164) (154,16.71750831604004) (4155,16.716203689575195)
60: (632,19.130949020385742) (454,18.667442321777344) (763,18.632123947143555) (1747,18.53523063659668)* (3411,18.490758895874023) (81,18.399202346801758) (444,18.18454360961914) (6756,17.895366668701172) (162,17.84189796447754) (154,17.682519912719727) (238,17.65634536743164) (5927,17.585914611816406) (237,17.499971389770508) (2605,17.241525650024414) (981,17.068265914916992) (748,16.786081314086914) (1098,16.75079917907715) (6759,16.470319747924805) (757,16.316394805908203) (8027,16.21163558959961)
