userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,50.174537658691406) (51,49.95536804199219)* (1014,49.106544494628906) (187,49.09053039550781) (997,48.900047302246094) (59,48.88568115234375)* (4308,48.70415496826172) (998,48.684844970703125) (1073,48.46005630493164) (1892,48.42245101928711) (61,48.31501007080078)* (1013,48.30491256713867) (193,48.29257583618164) (877,48.16304016113281) (993,48.14425277709961) (1713,48.136940002441406) (1019,48.09062194824219) (3201,48.00580596923828) (511,47.96918487548828) (91,47.937923431396484)*
13: (289,49.132659912109375) (306,49.1132698059082) (288,49.05760192871094) (302,48.54993438720703)* (701,48.36570358276367) (704,48.08401107788086) (328,48.06062316894531)* (679,47.99370574951172) (464,47.91635513305664) (680,47.775753021240234) (329,47.726627349853516) (291,47.634742736816406) (903,47.62599182128906) (1034,47.60246276855469) (1934,47.50533676147461) (331,47.485137939453125) (293,47.48485565185547) (475,47.48255920410156) (349,47.482017517089844)* (686,47.48040008544922)
14: (2902,49.99778366088867) (2842,49.4119987487793) (9424,49.32389831542969) (582,49.30311584472656)* (2864,49.08055114746094) (7056,49.00376892089844) (5452,48.919342041015625) (1469,48.84175491333008) (9528,48.78215026855469) (1740,48.58382034301758) (1415,48.566349029541016) (735,48.558109283447266) (8110,48.532962799072266) (5375,48.50210952758789) (1244,48.496883392333984) (8555,48.44135665893555) (2265,48.44035720825195) (5168,48.43730926513672) (730,48.436363220214844) (212,48.42192840576172)
15: (418,51.156410217285156) (1504,51.01570510864258) (1242,51.00715637207031) (197,51.00243377685547)* (863,50.953704833984375) (196,50.88109588623047) (554,50.7899284362793) (206,50.78443145751953) (1881,50.497005462646484) (2531,50.481727600097656) (1888,50.47767639160156) (1098,50.46794128417969) (441,50.44514465332031) (81,50.429080963134766) (858,50.389427185058594) (199,50.372554779052734) (3279,50.354652404785156) (3281,50.260372161865234) (578,50.215782165527344) (1976,50.199462890625)
16: (5999,53.51582336425781) (3982,53.482505798339844) (13545,53.21075439453125) (12254,53.150489807128906) (2098,52.82688903808594) (13544,52.728126525878906) (669,52.67343521118164)* (4335,52.503360748291016) (12244,52.45591735839844) (1544,52.261600494384766) (12407,52.24877166748047) (3985,52.18828582763672) (11074,52.172706604003906) (3972,52.005882263183594) (5076,51.909812927246094) (12268,51.86610412597656) (8160,51.82743453979492) (12261,51.76649475097656) (2952,51.73005676269531) (3572,51.64881896972656)
17: (333,52.725379943847656) (300,52.600128173828125)* (471,51.875301361083984) (306,51.62307357788086)* (1047,51.57408142089844) (470,51.563480377197266) (321,51.47216033935547) (1934,51.44151306152344) (302,51.428680419921875) (291,51.42568588256836) (1043,51.41166305541992) (1246,51.33517074584961) (701,51.317230224609375)* (292,51.27335739135742)* (540,51.15660095214844) (295,51.14459991455078) (1038,51.07597351074219) (1684,51.07109069824219) (1201,51.0709342956543) (1198,51.06123352050781)
18: (959,53.50825119018555) (227,53.4569206237793)* (1249,53.4340934753418) (1244,53.33808898925781) (2346,53.24268341064453) (1412,53.096900939941406) (220,52.94154357910156)* (234,52.90741729736328) (868,52.86012649536133) (735,52.83032989501953)* (1415,52.716827392578125) (562,52.38418960571289) (982,52.35308837890625) (176,52.32274627685547) (2343,52.31797790527344) (951,52.286991119384766) (1513,52.22234344482422) (917,52.209197998046875) (157,52.096282958984375) (718,52.08456039428711)*
20: (1222,51.678810119628906) (2605,50.95256042480469) (162,50.94081497192383) (2667,50.939491271972656) (1745,50.883609771728516) (107,50.59341049194336) (2668,50.566131591796875) (3703,50.56569290161133) (101,50.487457275390625) (603,50.34363555908203) (2702,50.23957061767578) (3028,50.049400329589844) (755,50.00209426879883)* (11852,49.99940872192383) (1418,49.94261169433594) (2158,49.93858337402344) (7079,49.92122268676758) (9672,49.916229248046875) (10719,49.87146759033203) (2164,49.85521697998047)
21: (257,54.8082275390625) (89,54.347198486328125)* (306,54.299747467041016)* (349,54.1959228515625) (466,53.705753326416016)* (333,53.69602584838867) (161,53.66166687011719) (525,53.59471893310547) (291,53.552093505859375) (913,53.54634475708008) (314,53.517704010009766) (301,53.510353088378906) (294,53.366600036621094) (908,53.320350646972656) (157,53.283172607421875) (344,53.2098503112793) (790,53.1622314453125)* (326,53.14630126953125) (265,53.12688446044922) (327,53.10943603515625)
22: (953,51.25483322143555) (835,51.24346923828125)* (809,51.141197204589844)* (5667,51.01591491699219) (1547,51.009307861328125) (5100,50.89438247680664) (923,50.700233459472656) (1281,50.5651741027832) (2970,50.52691650390625) (11818,50.453582763671875) (2744,50.35186004638672) (3722,50.33803176879883) (779,50.237430572509766) (4182,50.226409912109375) (1861,50.13873291015625) (1541,50.1375846862793) (843,50.12125778198242)* (2211,50.09227752685547) (1555,50.085914611816406) (25,50.068359375)
23: (154,48.935340881347656) (152,48.771121978759766)* (1131,48.76813507080078) (441,48.65372848510742) (1119,48.57991409301758) (1083,48.5369987487793) (1534,48.51880645751953) (186,48.40126419067383) (1412,48.38020324707031) (429,48.31260681152344) (868,48.28008270263672)* (162,48.17417526245117) (227,48.1054801940918)* (234,47.952674865722656) (964,47.809974670410156) (614,47.77638244628906) (864,47.762306213378906)* (203,47.75538635253906) (418,47.7481803894043) (506,47.73645782470703)
24: (67,51.76877212524414)* (67,51.76877212524414)* (157,51.11489486694336)* (55,51.00422286987305)* (289,50.76701354980469)* (1934,50.663414001464844) (697,50.66204833984375) (97,50.599517822265625) (3488,50.51715087890625) (288,50.46656799316406)* (906,50.448829650878906) (1243,50.441402435302734) (295,50.391319274902344)* (292,50.31626510620117) (701,50.29964828491211) (525,50.29591369628906) (306,50.27714538574219) (1556,50.240997314453125) (65,50.132286071777344) (65,50.132286071777344)
25: (89,57.458045959472656)* (292,57.2554931640625)* (306,57.145477294921875) (300,56.992835998535156) (257,56.928680419921875) (161,56.573883056640625) (333,56.566490173339844) (349,56.526092529296875)* (291,56.334190368652344) (301,56.16484451293945) (972,56.144981384277344) (299,56.0701904296875) (475,56.06145477294922) (466,56.05961227416992) (378,55.98583221435547) (468,55.85253143310547) (525,55.844825744628906) (330,55.793304443359375) (461,55.73097610473633) (265,55.71037292480469)
26: (918,55.29261016845703)* (1358,55.17975997924805) (1338,54.98356246948242) (1535,54.88035583496094) (710,54.83782958984375) (1369,54.820465087890625) (954,54.75665283203125)* (2838,54.72886657714844) (1360,54.64491271972656) (707,54.633094787597656)* (1339,54.556175231933594) (724,54.383872985839844) (4180,54.27195358276367) (176,54.252159118652344) (1249,54.19074630737305) (3470,54.04166030883789) (1342,53.97632598876953) (2342,53.94086837768555) (706,53.89778137207031) (2343,53.86733627319336)
27: (190,57.31288146972656) (72,56.63512420654297) (72,56.63512420654297) (65,56.591800689697266) (65,56.591800689697266) (227,56.37171173095703) (173,56.3697509765625) (234,56.25947189331055) (1104,56.22773742675781) (56,56.18696212768555) (56,56.18696212768555) (377,56.151180267333984) (7,56.10265350341797) (159,56.01119613647461) (229,56.006874084472656) (154,55.946659088134766) (1705,55.9426383972168) (88,55.930397033691406) (220,55.8206672668457) (475,55.78797912597656)
28: (1001,51.37236404418945)* (877,51.288150787353516) (187,50.803741455078125) (1014,50.5709342956543)* (77,50.12827682495117) (77,50.12827682495117) (75,50.11648178100586) (75,50.11648178100586) (157,50.04734420776367) (1892,50.007198333740234) (30,49.946929931640625) (1885,49.72928237915039) (1713,49.67743682861328) (193,49.664955139160156)* (1793,49.58515930175781) (997,49.5731315612793)* (175,49.57307815551758) (63,49.54023361206055) (63,49.54023361206055) (67,49.436283111572266)
29: (89,50.79681396484375)* (466,50.73554992675781)* (461,50.722938537597656)* (289,50.63443374633789)* (306,50.32441711425781) (377,50.242027282714844) (544,50.17348861694336) (475,50.130699157714844) (344,50.10979461669922) (680,49.98106384277344) (1045,49.97393798828125)* (1673,49.91542434692383) (1034,49.90456771850586)* (458,49.863075256347656) (1455,49.823211669921875) (378,49.789512634277344)* (295,49.78022766113281) (486,49.77641296386719) (681,49.73936080932617) (542,49.676063537597656)
30: (89,54.19343948364258)* (306,53.73019790649414) (302,53.69969177246094) (292,53.47541809082031) (378,53.46839141845703) (701,53.45176696777344) (466,53.45144271850586) (679,53.3621711730957)* (67,53.2276496887207) (67,53.2276496887207) (464,53.193519592285156) (680,53.061927795410156)* (544,53.04065704345703) (966,52.989097595214844)* (475,52.843475341796875) (377,52.79615783691406) (681,52.78447723388672) (542,52.670963287353516) (481,52.639991760253906)* (704,52.636741638183594)
31: (30,46.00021743774414)* (1713,45.903709411621094) (51,45.6137580871582) (75,45.52544403076172) (75,45.52544403076172) (1072,45.472801208496094)* (4308,45.465858459472656) (153,45.452964782714844) (1253,45.343299865722656) (3988,45.115509033203125) (64,44.984928131103516) (64,44.984928131103516) (1886,44.96802520751953) (187,44.96613693237305) (997,44.94867706298828) (1014,44.94572448730469) (70,44.93734359741211) (1300,44.81475067138672) (1379,44.80479049682617) (32,44.772212982177734)
32: (424,45.701377868652344) (207,45.69450378417969) (228,45.64448928833008) (229,45.5301628112793) (429,45.492454528808594)* (225,45.479854583740234) (227,45.477806091308594)* (203,45.35894012451172)* (1400,45.30867004394531) (441,45.23496627807617)* (199,45.202362060546875) (226,45.1473388671875) (436,45.11180877685547) (425,45.095584869384766) (709,45.0734977722168) (65,45.0254020690918) (65,45.0254020690918) (716,44.90959930419922) (1151,44.75733947753906) (1239,44.73332977294922)
33: (163,56.1260986328125) (152,55.90401077270508)* (506,55.46449661254883) (707,55.3941764831543) (868,55.313926696777344) (234,55.228675842285156) (1412,55.216312408447266) (162,55.156829833984375) (186,55.1081428527832) (1119,54.9688720703125)* (227,54.936431884765625) (854,54.85063552856445) (154,54.8421630859375) (864,54.7861442565918) (959,54.73720932006836) (920,54.732582092285156) (72,54.66809844970703) (72,54.66809844970703) (614,54.63401794433594)* (159,54.62112045288086)
34: (154,57.41802978515625) (88,57.059505462646484) (190,56.94489288330078) (159,56.70005798339844) (229,56.51031494140625)* (81,56.47705841064453) (56,56.44199752807617) (56,56.44199752807617) (429,56.433876037597656) (65,56.40386199951172) (65,56.40386199951172) (3057,56.247840881347656) (173,56.20543670654297)* (10381,56.02936553955078) (228,55.99608612060547) (170,55.98529052734375) (715,55.96349334716797) (234,55.88067626953125) (961,55.873687744140625) (207,55.84535217285156)
35: (6151,50.63655471801758) (10663,50.51621627807617) (9206,50.457889556884766) (1709,50.452919006347656) (1504,50.2113037109375) (12051,50.016300201416016) (6189,49.97336196899414) (1423,49.94767761230469) (5295,49.89958572387695) (2481,49.867645263671875) (197,49.829071044921875) (3505,49.79719543457031) (3511,49.78126525878906) (9342,49.72825241088867) (863,49.66197204589844) (1732,49.65966033935547) (218,49.65264892578125) (11900,49.62029266357422) (7374,49.59244155883789) (2470,49.549781799316406)
36: (1188,47.571800231933594)* (498,47.324066162109375) (1868,46.819183349609375) (209,46.80757141113281)* (2959,46.76531982421875) (377,46.59021759033203) (486,46.570655822753906) (2618,46.54810333251953) (1541,46.5457763671875) (1246,46.5334358215332) (1853,46.521484375) (2850,46.51778030395508) (1670,46.478271484375) (507,46.45922088623047) (492,46.413822174072266) (693,46.36774444580078) (1043,46.29006576538086)* (412,46.25553512573242) (1195,46.23760986328125)* (5969,46.21400451660156)
37: (162,59.44721984863281) (605,59.192047119140625) (1418,58.71234893798828) (2716,58.511295318603516) (1743,58.305667877197266) (3417,58.20111846923828) (748,58.07416915893555) (1131,58.00669860839844) (152,57.998687744140625) (5299,57.938392639160156) (3440,57.92839050292969) (864,57.89341354370117) (2698,57.8624153137207) (12707,57.84572219848633) (3531,57.84105682373047) (3886,57.77783966064453) (617,57.750728607177734) (9843,57.744239807128906) (8383,57.741424560546875) (4887,57.727783203125)
38: (190,47.982364654541016)* (230,47.624969482421875) (228,47.522247314453125)* (424,47.281585693359375) (439,47.226318359375) (220,47.106929779052734) (207,47.03553771972656) (234,46.92166519165039) (498,46.91911697387695)* (1246,46.607810974121094)* (706,46.606239318847656) (538,46.60481643676758) (1375,46.50667190551758) (903,46.50288009643555) (173,46.45911407470703) (377,46.432594299316406) (714,46.409393310546875) (159,46.37215805053711) (316,46.263519287109375) (486,46.23450469970703)*
39: (370,48.6519889831543) (3806,48.45694351196289) (4271,48.41172790527344) (11,48.37156295776367) (15,48.36566162109375) (1293,48.080928802490234) (15290,48.07090759277344) (6875,47.99720764160156) (841,47.95967483520508)* (3551,47.91504669189453) (41,47.90879821777344) (2970,47.89350128173828) (2765,47.85773468017578) (24,47.84210968017578) (4268,47.811729431152344) (43,47.80095672607422) (1214,47.78164291381836) (1521,47.77959060668945) (25,47.76531982421875) (6,47.75897216796875)
40: (41,45.37444305419922) (1277,45.154151916503906) (2,45.13304901123047) (1253,44.8359375) (11,44.501258850097656) (5581,44.4732551574707) (15290,44.397274017333984) (6875,44.34559631347656) (9,44.335205078125) (3087,44.30284118652344) (3551,44.27873229980469) (37,44.21223831176758) (34,44.194881439208984)* (13,44.16094207763672) (16,44.12071990966797) (31,44.10182571411133) (1303,44.077335357666016)* (19,44.00401306152344) (9636,43.99890899658203) (4876,43.89639663696289)
41: (1535,55.74281692504883) (841,55.6279411315918) (954,55.41313934326172)* (956,54.78256607055664) (2838,54.58858108520508) (957,54.523006439208984)* (707,54.30974578857422) (710,54.27926254272461) (1522,54.2524528503418) (937,54.23512268066406) (946,54.23442077636719) (1523,54.23033142089844) (924,54.21399688720703) (1531,54.1762580871582) (1264,54.123722076416016) (5157,54.11013412475586) (4680,54.08122253417969) (947,54.079490661621094)* (4180,54.07279968261719) (1536,54.011226654052734)
42: (229,47.735050201416016)* (1400,46.94202423095703) (546,46.839027404785156) (1090,46.755550384521484)* (207,46.59601593017578) (533,46.47710418701172) (486,46.32996368408203) (424,46.2242317199707) (298,46.17704391479492) (969,46.1611328125) (1048,46.12259292602539)* (903,46.06406784057617) (538,46.04557800292969)* (716,46.038333892822266) (72,46.029842376708984) (72,46.029842376708984) (432,45.989173889160156) (56,45.96983337402344) (56,45.96983337402344) (159,45.905033111572266)
43: (72,47.00899124145508) (72,47.00899124145508) (1075,46.76882553100586) (70,46.43229293823242)* (173,46.320289611816406) (1379,46.23210525512695) (1062,46.22230529785156) (229,46.177574157714844)* (1983,46.11982727050781) (757,46.10219192504883)* (159,45.90959930419922) (703,45.63737106323242) (689,45.62102508544922) (228,45.610836029052734) (1376,45.55674362182617) (526,45.555564880371094) (7324,45.54174041748047) (450,45.44926452636719) (182,45.44487380981445) (4382,45.43129348754883)
44: (1412,54.418304443359375)* (707,53.06376647949219)* (1110,53.004913330078125) (868,52.970375061035156)* (1513,52.87284469604492) (234,52.828887939453125)* (1639,52.760738372802734) (735,52.634620666503906)* (212,52.5710563659668) (959,52.51041793823242) (3011,52.45975875854492) (1206,52.386348724365234) (607,52.226417541503906) (920,52.204200744628906) (154,52.203208923339844) (1372,52.15953063964844) (220,52.10710906982422) (863,52.0914306640625) (4675,52.07914733886719) (856,52.00408172607422)
45: (295,58.08174514770508)* (289,58.058876037597656)* (161,57.73808288574219)* (257,57.37699890136719) (299,57.376869201660156) (67,57.34233093261719) (67,57.34233093261719) (466,57.29892349243164)* (327,57.23636245727539) (349,57.186920166015625)* (461,57.12139129638672)* (475,57.08547592163086) (468,57.047706604003906) (330,57.01505661010742) (157,56.9605827331543) (907,56.89881134033203) (55,56.78717803955078) (328,56.78485107421875) (676,56.75783157348633) (484,56.693992614746094)
46: (466,51.296722412109375)* (701,51.10933303833008)* (790,50.79778289794922) (544,50.64084243774414) (318,50.56514358520508) (55,50.396697998046875) (344,50.39636993408203)* (528,50.39398193359375) (257,50.27452087402344) (543,50.26149368286133) (523,50.24299240112305) (352,50.162532806396484)* (67,50.16022872924805) (67,50.16022872924805) (161,50.001800537109375) (1042,49.93888854980469)* (1456,49.91883087158203)* (2020,49.91217041015625) (531,49.907997131347656) (498,49.89556884765625)*
47: (289,53.09413146972656)* (300,53.07836151123047)* (89,53.00151062011719) (288,52.86182403564453)* (306,52.59053039550781) (701,52.42356872558594)* (679,52.37433624267578) (295,52.37055206298828) (67,52.146827697753906) (67,52.146827697753906) (55,51.82978820800781) (544,51.74968719482422) (157,51.34442901611328) (538,51.326622009277344) (349,51.283775329589844) (704,51.27792739868164) (329,51.246986389160156) (542,51.21027374267578) (321,51.171669006347656) (378,51.15312194824219)
48: (1244,51.062782287597656) (959,50.67302322387695)* (6722,50.3138427734375) (1771,50.11006164550781) (253,50.09844207763672) (192,50.07173538208008) (2346,50.067996978759766) (306,50.01701354980469) (3063,49.93498992919922) (2786,49.91695022583008) (261,49.903167724609375) (1412,49.89634323120117) (2183,49.87882614135742) (302,49.87743377685547) (511,49.8739013671875)* (455,49.870521545410156) (1249,49.84442138671875) (8810,49.83158874511719) (295,49.81258010864258)* (257,49.75315475463867)
49: (67,58.34258270263672) (67,58.34258270263672) (331,57.99776840209961) (157,57.59538650512695) (55,57.54317092895508) (697,57.46387481689453) (300,57.427181243896484) (295,57.40547180175781) (292,57.39212417602539) (302,57.37077331542969) (301,57.24772262573242) (306,57.240848541259766)* (298,57.11420822143555) (310,57.09836196899414)* (2083,57.0887336730957) (333,57.080589294433594) (257,57.0191535949707) (1934,56.98191833496094) (1098,56.95948028564453) (291,56.89014434814453)
50: (190,47.222740173339844) (229,47.017982482910156)* (65,46.6817512512207)* (65,46.6817512512207)* (1375,46.5080680847168) (182,46.41082000732422) (716,46.38143539428711) (154,46.2385139465332) (203,46.207061767578125) (1400,46.15736389160156) (511,46.07193374633789)* (225,46.07065200805664) (429,46.01433563232422)* (425,45.924705505371094) (709,45.86463928222656)* (234,45.85615539550781) (439,45.756568908691406) (230,45.6891975402832)* (436,45.62128448486328) (1239,45.51755905151367)
51: (1358,54.089176177978516)* (949,53.60129165649414)* (843,53.25485610961914) (920,53.2440185546875) (2654,53.19887924194336) (1372,52.988067626953125) (1110,52.805908203125) (1338,52.716087341308594) (953,52.66856384277344) (1364,52.640525817871094)* (3509,52.583560943603516) (5689,52.5356559753418) (370,52.527923583984375) (724,52.497188568115234) (15,52.48979949951172) (12006,52.477577209472656) (6,52.44884490966797) (25,52.431121826171875) (10771,52.42374038696289) (1249,52.40609359741211)*
52: (814,54.93468475341797) (813,54.76847839355469) (2850,54.62522888183594) (819,54.541080474853516) (823,54.5096435546875) (808,54.465484619140625) (779,54.187984466552734) (503,54.17256546020508) (1192,54.16603469848633) (1541,54.099395751953125)* (391,54.02287673950195) (9216,53.934322357177734) (830,53.8897819519043) (818,53.86747741699219) (850,53.861305236816406) (5066,53.77713394165039) (412,53.66931915283203) (507,53.667972564697266) (835,53.623779296875) (2192,53.57577133178711)
53: (288,53.78649139404297)* (306,53.53649139404297)* (466,53.44183349609375)* (289,53.40501403808594)* (1449,53.335147857666016) (1444,53.312164306640625) (328,53.28632354736328) (295,53.22132873535156) (5988,53.20269775390625) (161,53.04216766357422) (327,52.96014404296875) (1037,52.756317138671875) (907,52.682884216308594) (468,52.658485412597656) (7994,52.576358795166016) (461,52.54020690917969) (544,52.539405822753906) (972,52.46870422363281) (329,52.45509338378906) (1034,52.403717041015625)
54: (157,52.77752685546875) (89,52.29914855957031) (295,52.23088836669922) (306,52.219173431396484) (288,52.104339599609375)* (257,52.021148681640625) (302,51.98023223876953) (285,51.92512512207031) (301,51.815128326416016) (299,51.61531448364258)* (300,51.544532775878906) (535,51.539894104003906)* (889,51.24721145629883) (2083,51.13304138183594) (903,51.132720947265625) (294,51.13127899169922) (913,51.053707122802734)* (298,50.942054748535156)* (265,50.93762969970703) (328,50.919071197509766)
55: (2923,59.166297912597656) (271,58.34654235839844) (2101,58.03173065185547) (9585,57.812835693359375) (1952,57.61362075805664) (11401,57.43159866333008) (5605,57.31203079223633) (527,57.275718688964844) (1972,57.1815299987793) (3227,57.088008880615234) (2086,57.08073806762695) (4723,56.94343185424805) (1963,56.927085876464844) (617,56.8892936706543) (3868,56.84486770629883) (3357,56.83798599243164) (6052,56.83161544799805) (249,56.805606842041016) (1946,56.751686096191406) (2921,56.74290466308594)
56: (439,48.883975982666016) (4087,48.45191955566406) (705,48.40237045288086) (1775,48.1205940246582) (3747,48.09012222290039) (714,48.061683654785156) (3741,47.96192932128906) (706,47.79323196411133) (1681,47.77210235595703) (1761,47.633548736572266) (1755,47.597694396972656) (227,47.592018127441406) (2346,47.53115463256836) (3383,47.507972717285156) (3743,47.4495735168457) (5630,47.40794372558594) (708,47.39632034301758) (1011,47.31769943237305) (1768,47.280338287353516) (230,47.19769287109375)
57: (333,48.90373611450195)* (687,48.78781509399414) (377,48.71999740600586)* (693,48.614009857177734) (1035,48.605613708496094) (209,48.4713020324707) (461,48.45677947998047) (1455,48.43792724609375) (1034,48.2668571472168)* (540,48.264705657958984) (1246,48.247406005859375)* (816,48.13783264160156) (680,48.100830078125) (537,48.09489822387695) (524,48.081077575683594) (544,48.05497360229492) (475,48.042667388916016)* (458,47.974876403808594) (1868,47.91289138793945) (6543,47.90961456298828)
58: (300,54.38669967651367)* (289,54.026390075683594)* (288,54.01838302612305)* (681,53.96391677856445)* (498,53.909828186035156) (466,53.84788513183594)* (89,53.77570343017578)* (793,53.59344482421875) (464,53.58544158935547) (679,53.54739761352539) (458,53.52383804321289) (790,53.49103546142578) (646,53.40404510498047) (2080,53.350528717041016) (306,53.34270477294922) (701,53.24170684814453) (302,53.18974685668945)* (802,53.186622619628906) (1659,53.11222839355469) (544,53.05618667602539)
59: (1104,49.214317321777344)* (233,48.924190521240234)* (487,48.45204544067383) (1099,48.386783599853516) (173,48.36313247680664) (234,48.251827239990234) (198,48.113990783691406) (506,48.07526397705078) (2,48.07334518432617) (159,48.041259765625) (163,47.93751907348633) (1300,47.93387985229492) (154,47.854827880859375) (1295,47.84703826904297) (515,47.79817199707031) (512,47.73615264892578)* (30,47.68838119506836) (174,47.645877838134766) (181,47.63832092285156) (370,47.5411262512207)
60: (748,56.65343475341797) (632,56.48039245605469) (1747,56.11619567871094)* (2605,55.86701583862305) (154,55.8145751953125) (619,55.789188385009766) (3707,55.65180969238281) (444,55.43354797363281) (11204,55.41774368286133) (10214,55.408138275146484) (2289,55.38266372680664) (162,55.3763313293457) (3673,55.24414825439453) (107,55.238494873046875) (603,55.17977523803711) (1950,55.15120315551758) (629,55.135276794433594) (606,55.12234878540039) (617,55.09245300292969) (8680,55.04840087890625)
