userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,53.743186950683594) (51,53.6226921081543)* (187,52.742835998535156) (1014,52.682289123535156) (1073,52.478580474853516) (59,52.15489196777344)* (193,52.08202362060547) (3768,52.08128356933594) (511,52.05740737915039) (1013,51.96367645263672) (1019,51.921756744384766) (599,51.904022216796875) (993,51.81451416015625) (998,51.702423095703125) (1885,51.68733596801758) (1892,51.66470718383789) (3201,51.65154266357422) (1098,51.6512336730957) (997,51.5468635559082) (61,51.48124694824219)*
29: (466,55.27876281738281)* (89,55.232357025146484)* (475,54.836814880371094) (289,54.768821716308594)* (377,54.67640686035156) (461,54.642578125)* (295,54.52503967285156) (344,54.5005989074707) (306,54.38263702392578) (544,54.382144927978516) (1246,54.34162139892578) (486,54.31526184082031) (1673,54.25456619262695) (1672,54.129478454589844) (378,54.11747360229492)* (1034,54.06608581542969)* (293,54.03630065917969) (1185,53.99396896362305) (230,53.99155807495117) (540,53.98265075683594)
30: (89,53.88212203979492)* (466,53.00600814819336) (292,52.99953842163086) (679,52.98292541503906)* (701,52.96723175048828) (302,52.88291931152344) (544,52.79320526123047) (67,52.70332336425781) (67,52.70332336425781) (378,52.692935943603516) (306,52.5089111328125) (680,52.457889556884766)* (377,52.299888610839844) (161,52.2858772277832) (486,52.18633270263672) (324,52.171775817871094) (704,52.13996124267578) (157,52.101837158203125) (972,52.08174133300781) (318,52.0816764831543)*
31: (51,50.589054107666016) (3768,50.11473083496094) (1885,50.10578918457031) (1886,50.045265197753906) (1713,49.8631591796875) (30,49.78330993652344)* (153,49.64879608154297) (1300,49.51182556152344) (187,49.494571685791016) (1014,49.4521484375) (3501,49.37287139892578) (998,49.22349166870117) (1707,49.190303802490234) (36,49.127750396728516) (75,49.093505859375) (75,49.093505859375) (1083,49.08562088012695)* (1379,49.07284164428711) (1072,49.05772018432617)* (1295,49.04796600341797)
32: (229,52.79021453857422) (227,52.54399108886719)* (424,52.5291748046875) (226,52.351715087890625) (228,52.30292892456055) (233,52.28398132324219) (207,52.24580383300781) (225,52.10926818847656) (436,52.04522705078125) (429,51.954261779785156)* (1376,51.87592315673828) (1116,51.867767333984375) (441,51.82251739501953)* (709,51.75520706176758) (1118,51.75205993652344) (56,51.74911880493164) (56,51.74911880493164) (432,51.703765869140625) (1151,51.67865753173828) (203,51.67042541503906)*
33: (163,55.5943717956543) (506,54.99965286254883) (72,54.98661804199219) (72,54.98661804199219) (959,54.827640533447266) (1104,54.366844177246094) (707,54.36253356933594) (370,54.25102233886719) (1412,54.20680618286133) (3940,54.078895568847656) (152,54.06141662597656)* (631,53.938819885253906) (920,53.632965087890625) (868,53.596126556396484) (1295,53.446624755859375) (917,53.41990661621094) (1119,53.4077262878418)* (227,53.406883239746094) (599,53.37940979003906) (238,53.327598571777344)
34: (715,56.63445281982422) (154,56.491943359375) (159,56.47381591796875) (81,56.1706428527832) (533,55.97418212890625) (429,55.9730110168457) (511,55.971946716308594)* (190,55.86515808105469) (229,55.82611846923828)* (72,55.61103820800781)* (72,55.61103820800781)* (88,55.54814147949219) (196,55.38441848754883)* (858,55.37462615966797) (1375,55.34354782104492) (428,55.273651123046875) (1790,55.243072509765625) (228,55.180442810058594) (868,55.13868713378906) (215,55.071380615234375)
35: (3505,63.734527587890625) (11956,63.43946075439453) (12599,63.37535095214844) (3430,63.36076354980469) (5879,63.1405143737793) (610,63.03684616088867) (11124,63.01026153564453) (3511,62.96213150024414) (2026,62.86073303222656) (3299,62.786773681640625) (5295,62.776206970214844) (1123,62.7705192565918) (11927,62.58885955810547) (3431,62.57566833496094) (14303,62.53955841064453) (1709,62.34081268310547) (2470,62.32294464111328) (9271,62.30509948730469) (2532,62.21613311767578) (613,62.21089172363281)
36: (498,59.146270751953125) (209,59.015647888183594)* (1541,58.96928405761719) (2850,58.88315200805664) (1188,58.878299713134766)* (486,58.58697509765625) (1672,58.532203674316406) (412,58.37171936035156) (492,58.341251373291016) (1853,58.183082580566406) (1246,58.12461853027344) (377,58.10920715332031) (2959,58.107330322265625) (2210,58.072898864746094) (1195,58.043182373046875)* (4262,58.01700973510742) (2430,58.01091384887695) (2618,57.947078704833984) (2432,57.94163131713867) (1678,57.87751007080078)
37: (3417,65.12136840820312) (162,64.6800765991211) (1418,64.2605209350586) (5299,64.21769714355469) (605,63.97457504272461) (1131,63.765689849853516) (964,63.72465515136719) (2771,63.70199966430664) (154,63.67955017089844) (152,63.44438934326172) (1134,63.3895378112793) (163,63.34587860107422) (977,63.342288970947266) (2493,63.341941833496094) (370,63.30508041381836) (2473,63.18475341796875) (3354,63.11371612548828) (2375,63.10280990600586) (748,63.089447021484375) (1709,63.022796630859375)
38: (230,50.809791564941406) (190,50.413856506347656)* (234,49.88347625732422) (498,49.87200164794922)* (220,49.839263916015625) (377,49.75753402709961) (424,49.66426086425781) (228,49.59269714355469)* (1246,49.56779479980469)* (1412,49.39390563964844) (7,49.30046844482422) (157,49.29524230957031) (903,49.28571319580078) (706,49.274131774902344) (538,49.196197509765625) (207,49.18492889404297) (475,48.98451614379883) (89,48.96839141845703)* (707,48.866905212402344) (316,48.84422302246094)
39: (370,57.1942024230957) (2970,56.521366119384766) (12,56.297760009765625) (25,56.120887756347656) (15,56.032691955566406) (1295,56.01451873779297) (2765,55.904640197753906) (3806,55.87322998046875) (841,55.76834487915039)* (503,55.76321029663086) (1214,55.684547424316406) (2963,55.49759292602539) (34,55.45822525024414) (821,55.373748779296875) (2172,55.3438720703125) (824,55.29140090942383) (4271,55.281925201416016) (3901,55.221466064453125) (1131,55.161495208740234) (923,55.15450668334961)
40: (19,52.492088317871094) (1253,52.323402404785156) (11,52.22015380859375) (4876,51.80651092529297) (1277,51.729347229003906) (34,51.69970703125)* (30,51.650733947753906) (37,51.625938415527344) (9,51.612586975097656) (2,51.5928955078125) (17,51.509613037109375) (5581,51.424049377441406) (36,51.30037307739258) (24,51.235015869140625) (49,51.1965446472168) (72,51.08222579956055) (72,51.08222579956055) (515,51.032806396484375) (1303,51.00019454956055)* (13,50.968421936035156)
41: (841,58.005435943603516) (954,57.478240966796875)* (956,57.1307373046875) (957,56.776649475097656)* (5016,56.70159149169922) (2838,56.50176239013672) (710,56.30810546875) (707,56.22747802734375) (5585,56.0992546081543) (1535,56.04822540283203) (947,56.020118713378906)* (937,55.97434616088867) (6,55.936767578125) (5157,55.90528106689453) (1257,55.8636474609375)* (1364,55.84273910522461)* (724,55.79397201538086) (843,55.792213439941406)* (1276,55.76668930053711) (1522,55.741615295410156)
42: (229,50.34912872314453)* (316,49.70054626464844) (207,49.59619140625) (1090,49.386199951171875)* (89,49.359859466552734)* (298,49.352298736572266) (67,49.26103973388672) (67,49.26103973388672) (227,49.220008850097656) (533,49.096778869628906) (511,49.074615478515625)* (903,49.02682876586914) (1400,48.963157653808594) (1048,48.934478759765625)* (3057,48.859649658203125) (697,48.851600646972656) (424,48.749794006347656) (155,48.638389587402344) (961,48.62554168701172) (157,48.616424560546875)
43: (173,47.01331329345703) (70,46.76755905151367)* (229,46.708518981933594)* (757,46.657039642333984)* (1379,46.38705825805664) (7,46.28064727783203) (72,46.24834442138672) (72,46.24834442138672) (174,46.21049880981445) (1401,46.04674530029297)* (67,46.016902923583984) (67,46.016902923583984) (547,45.95432662963867) (689,45.94123840332031) (157,45.93975830078125) (1075,45.895538330078125) (228,45.879730224609375) (526,45.783817291259766) (2083,45.70342254638672) (1983,45.63372802734375)
44: (1412,60.35527038574219)* (707,59.802955627441406)* (1110,59.79936599731445) (1639,59.724910736083984) (868,59.32590866088867)* (857,59.14104461669922) (863,59.08294677734375) (959,58.96343994140625) (3444,58.94472885131836) (212,58.921485900878906) (856,58.81704330444336) (234,58.74848937988281)* (599,58.67908477783203) (1813,58.567989349365234) (1131,58.516815185546875)* (1206,58.50300598144531) (2375,58.4615364074707) (607,58.45644760131836) (855,58.31476593017578) (735,58.28321075439453)*
45: (295,54.38516616821289)* (475,54.24782180786133) (907,54.18812561035156) (2179,54.091888427734375) (1613,54.08789825439453) (289,53.89008331298828)* (257,53.804115295410156) (468,53.76776885986328) (5988,53.64759063720703) (349,53.47083282470703)* (291,53.46680450439453)* (327,53.44575119018555) (330,53.39059829711914) (344,53.21150588989258) (461,53.209449768066406)* (67,53.19255065917969) (67,53.19255065917969) (161,53.19038391113281)* (466,53.16790008544922)* (545,53.14064025878906)
46: (466,53.103607177734375)* (701,52.45323944091797)* (544,52.240684509277344) (257,52.15565490722656) (318,52.1490478515625) (344,52.145179748535156)* (543,51.9373893737793) (293,51.887386322021484) (528,51.776153564453125) (523,51.671077728271484) (352,51.637081146240234)* (67,51.63087463378906) (67,51.63087463378906) (55,51.58042907714844) (1456,51.425865173339844)* (498,51.397186279296875)* (531,51.364723205566406) (704,51.26923370361328) (1042,51.26715850830078)* (790,51.175270080566406)
47: (300,53.159934997558594)* (288,53.119651794433594)* (89,53.11381149291992) (295,52.94964599609375) (289,52.919551849365234)* (701,52.676631927490234)* (306,52.582122802734375) (67,52.293701171875) (67,52.293701171875) (544,52.11811065673828) (679,52.073875427246094) (55,51.81417465209961) (349,51.768882751464844) (157,51.74060821533203) (328,51.72698211669922) (378,51.42226791381836) (329,51.290775299072266) (161,51.12977600097656) (704,51.11994552612305) (455,51.11732482910156)*
48: (1771,55.110145568847656) (6722,54.438846588134766) (316,54.38249206542969) (3173,54.37879180908203) (455,54.225704193115234) (3332,54.2122917175293) (2523,54.184661865234375) (253,54.136695861816406) (302,54.045867919921875) (295,53.976287841796875)* (1244,53.953369140625) (55,53.89829635620117)* (7452,53.87718963623047) (6721,53.858943939208984) (300,53.853572845458984)* (192,53.777034759521484) (257,53.76104736328125) (1556,53.699974060058594) (333,53.687644958496094) (3393,53.659324645996094)
49: (697,58.30841827392578) (2083,58.14727020263672) (331,58.1330680847168) (67,57.95733642578125) (67,57.95733642578125) (1409,57.802310943603516) (1383,57.71385955810547) (298,57.687583923339844) (548,57.616607666015625) (1934,57.575557708740234) (56,57.53044128417969) (56,57.53044128417969) (1098,57.526798248291016) (689,57.48040771484375) (886,57.467018127441406) (423,57.46088409423828) (1609,57.42341613769531) (2521,57.297119140625) (527,57.277950286865234) (306,57.248844146728516)*
50: (154,49.93128967285156) (229,49.85558319091797)* (190,49.820594787597656) (234,49.476593017578125) (65,49.40238952636719)* (65,49.40238952636719)* (709,49.38335418701172)* (203,49.09284210205078) (436,49.01070785522461) (225,48.920555114746094) (425,48.76335906982422) (182,48.675682067871094) (1375,48.670799255371094) (217,48.60017395019531) (230,48.592018127441406)* (716,48.56792449951172) (88,48.502960205078125) (429,48.48316955566406)* (439,48.473602294921875) (1400,48.43372344970703)
51: (843,58.477237701416016) (1358,58.19396209716797)* (949,57.824493408203125)* (953,57.251487731933594) (920,57.164642333984375) (724,57.12117385864258) (2654,57.109928131103516) (25,57.100555419921875) (821,57.02262496948242) (1364,57.003204345703125)* (1281,56.99385452270508) (2343,56.79659652709961) (1249,56.778175354003906)* (1372,56.731895446777344) (370,56.64335632324219) (1206,56.630821228027344) (1257,56.5845947265625)* (710,56.57988739013672) (1254,56.52622985839844) (15,56.40324020385742)
52: (813,59.640052795410156) (808,59.63768768310547) (503,59.55779266357422) (2850,59.347557067871094) (814,59.31986618041992) (823,59.14430618286133) (198,59.09098434448242) (5119,59.0526123046875) (4821,59.004615783691406) (412,58.97269058227539) (830,58.90552520751953) (850,58.89970016479492) (475,58.87528991699219) (1979,58.858028411865234) (377,58.76111602783203) (1672,58.70012664794922) (953,58.68138885498047) (834,58.667850494384766) (383,58.54875946044922) (785,58.496620178222656)
53: (1009,51.573028564453125) (722,50.682533264160156) (2102,50.599945068359375) (288,50.27482986450195)* (4980,50.25578689575195) (1449,50.235565185546875) (161,50.20935821533203) (375,50.18153381347656) (377,50.165313720703125) (3324,49.974365234375) (374,49.94654083251953) (157,49.936790466308594) (289,49.8121337890625)* (295,49.70914077758789) (5988,49.70158386230469) (907,49.6844482421875) (306,49.676273345947266)* (912,49.64836120605469) (4983,49.597145080566406) (2500,49.47072219848633)
54: (295,51.75574493408203) (89,51.68170928955078) (157,51.62217330932617) (907,51.426239013671875) (288,51.34708786010742)* (302,51.217735290527344) (306,51.18730163574219) (301,51.17394256591797) (257,51.123043060302734) (285,51.05290222167969) (300,50.92277145385742) (331,50.71455383300781) (328,50.596031188964844) (475,50.4573860168457) (913,50.45353317260742)* (6376,50.308956146240234) (241,50.27386474609375) (299,50.21589660644531)* (294,50.203914642333984) (298,50.14110565185547)*
55: (527,59.63165283203125) (617,59.45003890991211) (2923,59.37598419189453) (2226,59.00258255004883) (1972,58.801475524902344) (271,58.67912292480469) (1963,58.437747955322266) (619,58.39897155761719) (6046,58.384681701660156) (6343,58.338623046875) (15119,58.24158477783203) (3346,58.15774917602539) (1622,58.02550506591797)* (3317,57.935279846191406) (5626,57.85332107543945) (2247,57.63425827026367) (6226,57.603355407714844) (7530,57.59431076049805) (3357,57.52458190917969) (2698,57.512420654296875)
56: (4457,54.66990661621094) (5441,53.81385040283203) (2372,53.728878021240234) (227,53.60075759887695) (533,53.349639892578125) (4216,53.348487854003906) (6466,53.34696960449219) (2364,53.32964324951172) (6391,53.106040954589844) (6472,53.05741500854492) (230,53.05042266845703) (4394,53.03810119628906) (2524,53.031005859375) (159,53.02665710449219)* (4087,53.0074462890625) (439,52.937984466552734) (3743,52.92991638183594) (422,52.87664794921875) (705,52.860626220703125) (1011,52.8493537902832)
57: (333,54.86910629272461)* (209,54.47792053222656) (377,54.4714469909668)* (816,54.35893630981445) (475,54.29651641845703)* (540,54.22709655761719) (1672,54.14316177368164)* (1246,54.030662536621094)* (537,53.903106689453125) (687,53.898277282714844) (461,53.881683349609375) (412,53.87055206298828) (500,53.659324645996094) (2850,53.55885314941406) (324,53.5449104309082) (1044,53.482627868652344) (230,53.469295501708984) (544,53.469017028808594) (680,53.412696838378906) (679,53.374732971191406)
58: (288,56.1876220703125)* (289,56.137489318847656)* (300,55.92304992675781)* (466,55.675819396972656)* (89,55.46019744873047)* (544,55.388099670410156) (306,55.37928771972656) (701,55.3257942199707) (498,55.22245788574219) (681,55.084434509277344)* (802,55.04553985595703) (464,54.99119567871094) (458,54.833866119384766) (302,54.795989990234375)* (349,54.73902130126953) (680,54.72005081176758)* (679,54.7073974609375) (475,54.69028854370117) (257,54.579925537109375) (455,54.575077056884766)
59: (1104,53.49124526977539)* (233,53.18308639526367)* (163,52.75018310546875) (1099,52.515220642089844) (173,52.38688659667969) (234,52.20580291748047) (370,52.171810150146484) (1295,52.12657165527344) (506,52.075355529785156) (3901,52.074405670166016) (198,52.03584671020508) (959,52.01905059814453) (154,51.87272262573242) (152,51.595333099365234) (512,51.52402877807617)* (1412,51.510799407958984) (1119,51.44612121582031) (930,51.36894607543945) (159,51.364891052246094) (174,51.31230926513672)
60: (748,63.673038482666016) (632,63.2606086730957) (154,63.1324462890625) (1747,62.914615631103516)* (2605,62.74431228637695) (617,62.73332595825195) (619,62.69168472290039) (603,62.5189208984375) (602,62.34369659423828) (197,62.3007698059082) (3707,62.23893737792969) (444,62.23655319213867) (196,62.191219329833984) (454,62.168426513671875) (206,62.06146240234375) (3673,62.009979248046875) (162,61.89094924926758) (606,61.846038818359375) (227,61.78486633300781) (629,61.781333923339844)
