userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,69.11055755615234) (1073,68.00506591796875) (51,67.45714569091797)* (3501,67.16667938232422) (1014,67.0721435546875) (187,66.75701141357422) (998,66.66470336914062) (157,66.63823699951172) (993,66.62583923339844) (3768,66.51156616210938) (1836,66.45092010498047) (238,66.26002502441406) (1713,66.2319564819336) (627,66.22425842285156) (1892,66.20221710205078) (59,66.17524719238281)* (877,66.13526153564453) (1013,66.11346435546875) (1098,66.10675811767578) (61,66.09306335449219)*
13: (288,71.11328125) (289,70.60070037841797) (306,70.2968978881836) (302,69.94710540771484)* (679,69.44247436523438) (349,69.39512634277344)* (328,69.32786560058594)* (701,69.28392028808594) (291,69.23683166503906) (704,69.09864044189453) (344,68.99478912353516)* (532,68.87848663330078)* (1037,68.7849349975586) (324,68.67723846435547) (464,68.63568115234375) (686,68.61194610595703) (972,68.5947494506836) (293,68.55054473876953) (1934,68.39471435546875) (680,68.39424896240234)
14: (2842,60.66756057739258) (2864,59.11908721923828) (2896,58.78712844848633) (11442,58.47159957885742) (8837,58.167442321777344) (259,58.02085494995117) (13929,58.00889205932617) (1553,57.926631927490234) (12115,57.775691986083984) (2894,57.76911163330078) (244,57.36246871948242) (2869,57.269859313964844) (264,57.251075744628906) (12137,57.2361946105957) (286,57.22703552246094) (8210,57.20804977416992) (8120,57.17482376098633) (12123,57.10212707519531) (730,57.06814193725586) (8126,56.95942687988281)
15: (418,71.35796356201172) (163,71.20228576660156) (196,71.09783172607422) (206,70.93920135498047) (88,70.69698333740234) (2277,70.67543029785156) (197,70.58152770996094)* (231,70.5107192993164) (11477,70.46963500976562) (199,70.33343505859375) (1424,70.22430419921875) (433,70.20038604736328) (81,70.18526458740234) (1958,70.11790466308594) (11124,70.10873413085938) (1242,70.06879425048828) (863,69.97978210449219) (4079,69.95045471191406) (1504,69.92596435546875) (604,69.85814666748047)*
16: (4880,56.80876922607422) (5999,55.99784851074219) (6002,55.88301467895508) (4568,55.36819076538086) (295,55.33408737182617) (10997,55.32345962524414) (292,54.90431213378906) (288,54.71710968017578) (289,54.66999053955078) (55,54.48921585083008) (8765,54.466182708740234) (4565,54.419921875) (913,54.26909255981445) (279,54.24175262451172) (157,54.227569580078125) (299,54.19869613647461) (67,54.17047882080078) (67,54.17047882080078) (6000,54.110992431640625) (306,54.05063247680664)
17: (1684,71.67676544189453) (300,71.50482177734375)* (333,71.34896087646484) (3399,70.84432983398438) (471,70.80103302001953) (701,70.696044921875)* (523,70.6467514038086) (292,70.52210235595703)* (1934,70.48226928710938) (295,70.30654907226562) (291,70.26203918457031) (306,70.25694274902344)* (1243,70.25241088867188) (302,70.24999237060547) (318,70.24395751953125) (793,70.2119140625) (458,70.20391845703125) (293,70.04386138916016) (908,69.99887084960938) (548,69.98744201660156)*
18: (1412,75.59274291992188) (959,75.342041015625) (227,75.18919372558594)* (917,74.37074279785156) (928,74.20147705078125) (966,74.1651840209961) (157,74.12931060791016) (220,74.07269287109375)* (1415,74.0343017578125) (180,73.90603637695312) (1249,73.89012908935547) (234,73.6508560180664) (930,73.61408233642578) (2352,73.59642028808594) (2346,73.48706817626953) (614,73.44805908203125) (176,73.3839111328125) (2044,73.3433609008789) (3482,73.26676177978516) (184,73.26656341552734)
20: (1222,68.13548278808594) (3703,67.74800109863281) (3028,67.67932891845703) (845,67.46267700195312) (2667,67.28639221191406) (831,67.24442291259766) (9672,67.11939239501953) (603,67.07691955566406) (4108,67.0190200805664) (1226,66.88301849365234) (5797,66.87503051757812) (2165,66.7930908203125) (3227,66.78023529052734) (5791,66.58207702636719) (2605,66.58045959472656) (7079,66.51620483398438) (2702,66.51514434814453) (5970,66.50373077392578) (5805,66.49666595458984) (5795,66.44773864746094)
21: (349,71.64170837402344) (89,71.5230484008789)* (466,71.3307113647461)* (257,71.32805633544922) (296,71.11984252929688) (333,70.89735412597656) (2094,70.8033447265625) (290,70.77030944824219) (161,70.70894622802734) (294,70.63069915771484) (291,70.51726531982422) (386,70.50257873535156) (265,70.44356536865234) (311,70.00286865234375) (525,69.93351745605469) (906,69.90148162841797) (972,69.86248016357422) (306,69.83689880371094)* (4350,69.83011627197266) (326,69.82901000976562)
22: (391,76.19621276855469) (809,76.02371978759766)* (5667,75.83168029785156) (1214,75.79876708984375) (397,75.78729248046875) (1547,75.52024841308594) (1541,75.47886657714844) (2143,75.45748138427734) (1540,75.33218383789062) (2192,75.14717102050781) (12,75.13258361816406) (2850,75.09957885742188) (953,75.08331298828125) (5100,75.027587890625) (6289,74.70487976074219) (835,74.60604858398438)* (2190,74.52171325683594) (8,74.4374008178711) (12658,74.43071746826172) (825,74.37986755371094)*
23: (1534,69.76600646972656) (441,69.03326416015625) (1119,68.56266784667969) (154,68.3392105102539) (868,68.11043548583984)* (1083,68.0183334350586) (2493,67.96708679199219) (1412,67.92625427246094) (3280,67.73204803466797) (59,67.71324920654297) (3438,67.63347625732422) (2531,67.5621109008789) (450,67.50131225585938) (515,67.49788665771484) (234,67.42908477783203) (1703,67.42533111572266) (152,67.39122009277344)* (5913,67.35253143310547) (227,67.31602478027344)* (1811,67.26609802246094)
24: (67,72.817138671875)* (67,72.817138671875)* (265,72.10184478759766) (1772,71.75148010253906) (1243,71.66284942626953) (55,71.54235076904297)* (289,71.40982055664062)* (316,71.33672332763672)* (3081,71.22339630126953) (1464,71.2183837890625) (679,71.18223571777344) (1934,71.17826080322266) (58,71.17391967773438) (58,71.17391967773438) (575,71.13999938964844) (157,71.12406921386719)* (2544,71.06269073486328) (295,70.96778106689453)* (65,70.96129608154297) (65,70.96129608154297)
25: (292,73.62747955322266)* (257,73.04622650146484) (306,72.99139404296875) (349,72.79732513427734)* (89,72.74120330810547)* (300,72.70843505859375) (299,72.50299072265625) (291,72.31909942626953) (333,72.29467010498047) (161,71.89342498779297) (466,71.87005615234375) (461,71.57884979248047) (1602,71.43199157714844) (386,71.4267578125) (279,71.03425598144531) (525,71.00198364257812) (285,70.98389434814453) (523,70.96408081054688) (326,70.93987274169922) (301,70.91993713378906)
26: (1339,72.07850646972656) (1338,71.96324920654297) (1374,71.0728988647461) (1350,71.06715393066406) (955,70.92061614990234)* (710,70.89398193359375) (10460,70.80073547363281) (5456,70.6103515625) (918,70.55762481689453)* (503,70.54131317138672) (843,70.5289306640625) (5016,70.38011932373047) (1342,70.3610610961914) (7107,70.32032012939453) (719,70.30221557617188) (6282,70.26161193847656) (707,70.20796203613281)* (506,70.18870544433594) (1114,70.01449584960938) (4866,70.01061248779297)
27: (289,72.84342956542969) (157,72.83163452148438) (227,72.82131958007812) (190,72.79856872558594) (72,72.63025665283203) (72,72.63025665283203) (959,72.62525939941406) (65,72.23625183105469) (65,72.23625183105469) (1098,72.08109283447266) (306,72.05414581298828) (174,71.88648223876953) (89,71.87129974365234) (3200,71.85199737548828) (229,71.78551483154297) (67,71.7394790649414)* (67,71.7394790649414)* (689,71.73780822753906)* (511,71.50192260742188) (903,71.40740966796875)
28: (4880,62.73833084106445) (4308,62.68016052246094) (3183,62.67424011230469) (187,62.67034149169922) (1066,62.653175354003906) (67,62.32709503173828) (67,62.32709503173828) (1001,62.29309844970703)* (3966,62.14784622192383) (997,62.1112174987793)* (1897,62.03944396972656) (30,61.99066925048828) (9,61.96106719970703) (89,61.76531219482422) (11331,61.5410270690918) (972,61.374759674072266) (75,61.31916046142578) (75,61.31916046142578) (1014,61.19261169433594)* (877,61.17819595336914)
29: (461,71.88746643066406)* (466,71.73236083984375)* (289,71.59040069580078)* (89,71.2537841796875)* (458,71.15065002441406) (344,71.13983154296875) (295,70.78091430664062) (1043,70.77913665771484)* (325,70.75167846679688) (1673,70.69869995117188) (306,70.68888092041016) (1246,70.58775329589844) (475,70.53981018066406) (544,70.5001220703125) (321,70.43965148925781) (377,70.36148071289062) (681,70.33650207519531) (687,70.31853485107422)* (1047,70.26512145996094) (324,70.19377899169922)
30: (89,73.15518188476562)* (292,72.94442749023438) (302,72.31475067138672) (466,72.15916442871094) (486,72.0922622680664) (67,71.99958801269531) (67,71.99958801269531) (1470,71.93705749511719) (679,71.86469268798828)* (704,71.84036254882812) (378,71.80342864990234) (55,71.54399871826172) (306,71.4858169555664) (701,71.45331573486328) (209,71.37823486328125) (680,71.3758773803711)* (161,71.34720611572266) (536,71.31529235839844) (349,71.30716705322266) (1377,71.24785614013672)
31: (1014,64.13932800292969) (9,63.65732192993164) (187,63.50465774536133) (3768,63.476341247558594) (75,63.46756362915039) (75,63.46756362915039) (153,63.4574089050293) (1886,63.45142364501953) (64,63.24211883544922) (64,63.24211883544922) (3988,63.16770553588867) (51,63.128414154052734) (30,63.04917907714844)* (157,63.01988220214844) (1072,63.00856018066406)* (1713,62.92869567871094) (89,62.7683219909668) (1098,62.747406005859375) (1379,62.66303253173828) (998,62.58635711669922)
32: (207,69.39777374267578) (225,69.29436492919922) (233,69.0523681640625) (229,68.82722473144531) (228,68.8131332397461) (65,68.74433898925781) (65,68.74433898925781) (226,68.6719741821289) (441,68.64962005615234)* (227,68.57698059082031)* (203,68.34916687011719)* (424,68.34801483154297) (969,68.27003479003906) (436,68.2502212524414) (709,68.07077026367188) (163,67.95586395263672) (429,67.89920043945312)* (199,67.84608459472656) (210,67.84349822998047) (982,67.8133544921875)
33: (2006,72.39163208007812) (506,72.2030258178711) (5236,71.81754302978516) (1743,71.5317611694336) (152,71.32820129394531)* (963,71.13219451904297) (174,71.06201171875) (7540,71.04170227050781) (1418,71.01342010498047) (920,70.86915588378906) (812,70.8134994506836) (238,70.55123138427734) (632,70.53273010253906)* (162,70.505859375) (3417,70.47188568115234) (163,70.38501739501953) (370,70.35081481933594) (154,70.3143081665039) (10719,70.30738067626953) (17626,70.2499008178711)
34: (154,77.559326171875) (961,77.22517395019531) (3057,76.5240478515625) (190,76.3148193359375) (170,76.16191864013672) (3106,76.06126403808594) (858,75.96577453613281) (81,75.82542419433594) (1231,75.76119995117188) (211,75.65179443359375) (3110,75.63736724853516) (604,75.63065338134766) (1389,75.60259246826172) (229,75.58712005615234)* (159,75.57449340820312) (195,75.521240234375) (615,75.49771118164062) (1375,75.4910888671875) (212,75.47461700439453) (197,75.42936706542969)
35: (632,72.07392883300781) (1747,71.99634552001953) (197,71.7400894165039) (7527,71.50215911865234) (1423,71.24280548095703) (1207,71.224853515625) (1732,71.22035217285156) (154,71.17313385009766) (162,71.04487609863281) (4532,70.98152160644531) (205,70.91497802734375) (418,70.7641372680664) (622,70.70068359375) (8461,70.56912231445312) (2575,70.52339172363281) (1737,70.49271392822266) (6048,70.45480346679688) (6159,70.31314086914062) (211,70.21964263916016) (1123,70.1826400756836)
36: (498,66.19212341308594) (1188,65.27776336669922)* (1541,65.2676010131836) (492,65.19862365722656) (209,65.16120147705078)* (2850,65.09317016601562) (1853,65.06755065917969) (1672,65.05490112304688) (1195,65.03712463378906)* (4262,64.94512176513672) (1868,64.89250946044922) (1043,64.85540008544922)* (412,64.83426666259766) (693,64.80815124511719) (507,64.68817138671875) (2430,64.67013549804688) (3428,64.62586212158203) (2959,64.62335205078125) (501,64.62076568603516) (2847,64.56707763671875)
37: (197,73.00499725341797) (3886,72.87960815429688) (2473,72.39836883544922) (8657,72.37348175048828) (5605,72.35277557373047) (1123,72.24626159667969) (3364,72.05191040039062) (9125,71.90181732177734) (154,71.73174285888672) (10214,71.70274353027344) (2493,71.67459106445312) (592,71.3892593383789) (162,71.3198013305664) (882,71.12349700927734) (2624,71.01300048828125) (6390,71.00540924072266) (591,70.9856948852539) (2771,70.97561645507812) (3440,70.93160247802734) (9122,70.88939666748047)
38: (190,68.9879379272461)* (230,68.44004821777344) (228,68.42051696777344)* (424,68.28771209716797) (498,68.16998291015625)* (706,68.15045928955078) (234,68.10602569580078) (207,68.06121063232422) (903,67.92138671875) (220,67.84869384765625) (157,67.80670166015625) (716,67.75975036621094) (89,67.68013763427734)* (67,67.63107299804688) (67,67.63107299804688) (316,67.54010009765625) (1246,67.46498107910156)* (735,67.40620422363281) (1412,67.36604309082031) (159,67.33516693115234)
39: (4271,68.76580810546875) (3806,67.47814178466797) (2763,67.37622833251953) (15,67.03507232666016) (7922,66.8984146118164) (841,66.89281463623047)* (1264,66.88607025146484)* (3720,66.3027572631836) (4290,66.28775024414062) (1124,66.20207214355469) (7918,66.1981430053711) (16664,66.18074798583984) (4277,66.06082916259766) (3800,66.01166534423828) (3417,65.98936462402344) (3798,65.94593048095703) (1710,65.92374420166016) (917,65.9129638671875) (11,65.90313720703125) (370,65.87628173828125)
40: (9,59.264888763427734) (5484,59.09476852416992) (13,59.075103759765625) (1253,58.785560607910156) (5581,58.43551254272461) (5711,58.23343276977539) (1277,58.20081329345703) (11,58.13405990600586) (34,58.06605911254883)* (11192,58.03759765625) (41,58.01515579223633) (44,57.96651840209961) (19,57.928890228271484) (4876,57.91718673706055) (1331,57.85873794555664)* (3551,57.83248519897461) (6875,57.71784210205078) (2,57.70944595336914) (10,57.70939636230469) (5715,57.4969367980957)
41: (841,73.78166961669922) (954,73.68682861328125)* (6284,72.90740203857422) (2838,72.73091888427734) (5689,72.59407806396484) (947,72.50975036621094)* (937,72.48540496826172) (4680,72.44605255126953) (957,72.41500854492188)* (8163,72.39212036132812) (4277,72.34184265136719) (17811,72.27263641357422) (1257,72.25634765625)* (2342,72.21895599365234) (1274,72.18647766113281) (17818,72.16419219970703) (940,72.09873962402344) (17813,72.09614562988281) (956,72.0117416381836) (724,71.99715423583984)
42: (229,73.72673797607422)* (2544,73.18293762207031) (362,72.85517883300781) (316,72.68280029296875) (1511,72.68190002441406) (207,72.56877136230469) (521,72.48802185058594) (89,72.42456817626953)* (486,72.27174377441406) (498,72.23265075683594) (2607,72.13525390625) (1400,72.04894256591797) (423,72.00749206542969) (67,71.97720336914062) (67,71.97720336914062) (1053,71.9515609741211) (1106,71.9331283569336) (303,71.8915786743164) (3057,71.86048126220703) (3753,71.79015350341797)
43: (70,62.19575500488281)* (72,61.90270233154297) (72,61.90270233154297) (757,61.811431884765625)* (174,61.596763610839844) (229,61.5300178527832)* (1410,61.3193359375)* (157,61.208587646484375) (173,61.0797119140625) (527,61.023014068603516) (228,60.945247650146484) (233,60.90613555908203) (1401,60.891265869140625)* (2083,60.8787841796875) (1397,60.87441635131836)* (7,60.87214660644531) (7324,60.86632537841797) (703,60.72978591918945) (289,60.656410217285156) (234,60.649024963378906)
44: (188,72.63653564453125) (920,72.42980194091797) (154,71.91767883300781) (1412,71.90764617919922)* (1131,71.84232330322266)* (707,71.77991485595703)* (1425,71.260986328125)* (1110,71.1053695678711) (234,71.09263610839844)* (212,71.09160614013672) (607,70.96672821044922) (1118,70.83465576171875) (868,70.77037048339844)* (186,70.63847351074219) (2624,70.41819763183594) (9716,70.40264129638672) (856,70.34642028808594) (233,70.30291748046875) (370,70.2561264038086) (220,70.2323989868164)
45: (289,75.37154388427734)* (787,75.32481384277344)* (295,75.21782684326172)* (161,74.9134292602539)* (4817,74.07286834716797) (301,74.05763244628906) (329,74.02510070800781) (5249,74.00695037841797) (349,73.8211898803711)* (257,73.76722717285156) (328,73.75726318359375) (466,73.74565887451172)* (468,73.68168640136719) (484,73.61750793457031) (641,73.565673828125)* (299,73.52095794677734) (4702,73.49600219726562) (294,73.43318939208984) (2390,73.28043365478516) (1475,73.25296783447266)
46: (466,75.13411712646484)* (701,74.76988983154297)* (344,73.8074722290039)* (257,73.72757720947266) (525,73.72417449951172) (543,73.63644409179688) (544,73.53771209716797) (161,73.44771575927734) (55,73.41338348388672) (310,73.31523132324219) (318,73.29515838623047) (528,73.26216125488281) (67,73.2257308959961) (67,73.2257308959961) (320,73.19371795654297)* (329,73.1703109741211) (352,73.13052368164062)* (294,73.03534698486328) (797,73.00298309326172) (290,72.98632049560547)*
47: (289,78.01692962646484)* (288,77.77071380615234)* (300,77.76958465576172)* (89,77.38212585449219) (295,77.08241271972656) (701,76.7951431274414)* (679,76.69932556152344) (306,76.2964859008789) (349,76.14099884033203) (67,76.06866455078125) (67,76.06866455078125) (544,75.96947479248047) (55,75.83853149414062) (458,75.45155334472656) (157,75.43802642822266) (321,75.41706085205078) (161,75.3647232055664) (704,75.27714538574219) (329,75.22887420654297) (1243,75.12151336669922)
48: (253,74.50457763671875) (1244,74.2698745727539) (2183,74.0543212890625) (257,73.85914611816406) (192,73.797119140625) (455,73.78319549560547) (302,73.65699005126953) (2031,73.63431549072266) (575,73.5792236328125)* (2346,73.56363677978516) (295,73.50212860107422)* (959,73.48558044433594)* (1415,73.41114044189453) (300,73.22467803955078)* (2786,73.19761657714844) (333,73.16738891601562) (360,73.14026641845703) (2523,73.12274169921875) (892,72.9888916015625) (3332,72.97665405273438)
49: (67,66.66129302978516) (67,66.66129302978516) (306,66.64892578125)* (903,66.46869659423828) (157,66.43262481689453) (1098,66.41901397705078) (55,66.15269470214844) (689,66.09085083007812) (301,65.81044006347656) (3200,65.68767547607422) (65,65.669677734375) (65,65.669677734375) (526,65.6296157836914) (1941,65.47651672363281) (2083,65.43347930908203) (295,65.36509704589844) (227,65.27938842773438) (292,65.24560546875) (2521,65.12581634521484) (535,65.03972625732422)
50: (229,67.5234603881836)* (190,67.2942123413086) (716,66.9039535522461) (154,66.47759246826172) (203,66.43094635009766) (234,66.32073211669922) (709,66.29976654052734)* (511,66.1786117553711)* (429,66.13309478759766)* (65,66.04429626464844)* (65,66.04429626464844)* (182,66.00472259521484) (225,65.68150329589844) (88,65.61466979980469) (226,65.58100891113281) (230,65.51322174072266)* (715,65.5086441040039) (1400,65.5062026977539) (599,65.48226165771484) (1988,65.47591400146484)
51: (843,71.32835388183594) (949,70.99052429199219)* (1358,70.75140380859375)* (920,70.54924011230469) (1281,70.53523254394531) (15,70.47561645507812) (3509,70.12936401367188) (2970,70.1006088256836) (1992,70.05765533447266) (25,69.9878921508789) (1338,69.98318481445312) (821,69.9457778930664) (1254,69.92572021484375) (12,69.79887390136719) (1206,69.78335571289062) (6,69.73863220214844) (1260,69.61949920654297) (370,69.59382629394531) (1257,69.54893493652344)* (1119,69.47728729248047)
52: (475,75.70285034179688) (2244,75.30802917480469) (2247,74.59382629394531) (823,74.52182006835938) (1613,74.45604705810547) (198,74.40260314941406) (267,74.36328887939453) (4779,74.31365203857422) (356,74.17694091796875) (813,74.15638732910156) (2439,74.1016845703125) (276,74.02680206298828) (1192,73.95024871826172) (5807,73.88685607910156) (2850,73.82649993896484) (830,73.77102661132812) (3032,73.74984741210938) (503,73.73947143554688) (2242,73.73397827148438) (1614,73.71196746826172)
53: (289,72.28546142578125)* (295,72.14811706542969) (288,71.83567810058594)* (5988,71.47296142578125) (1449,71.12745666503906) (1596,70.99982452392578) (329,70.96236419677734) (257,70.93207550048828) (349,70.89627075195312)* (2500,70.8883056640625) (466,70.87602233886719)* (4309,70.82283782958984) (161,70.80562591552734) (299,70.73604583740234) (294,70.64756774902344) (306,70.63063049316406)* (328,70.54772186279297) (310,70.52466583251953)* (377,70.49410247802734) (4688,70.49005889892578)
54: (294,74.12271118164062) (302,74.07085418701172) (295,73.99697875976562) (288,73.95037841796875)* (89,73.79412841796875) (300,73.78768920898438) (257,73.71231079101562) (157,73.58625793457031) (265,73.33940887451172) (301,73.08647155761719) (161,73.0010757446289) (306,72.95274353027344) (285,72.80410766601562) (344,72.7762222290039) (251,72.65275573730469) (1934,72.39897918701172) (299,72.3416976928711)* (679,72.33719635009766) (2051,72.31761932373047) (913,72.29071807861328)*
55: (617,71.36433410644531) (6343,70.77693176269531) (271,70.51270294189453) (2923,70.0778579711914) (527,69.33170318603516) (1946,69.2674789428711) (567,69.1672592163086) (88,69.10450744628906) (1130,68.83187866210938) (3317,68.81443786621094) (10399,68.77887725830078) (3057,68.49545288085938) (3710,68.47482299804688) (366,68.37747955322266) (3670,68.32976531982422) (3357,67.9642105102539) (1622,67.81085968017578)* (10398,67.75238037109375) (3227,67.72449493408203) (602,67.70968627929688)
56: (227,65.76616668701172) (10401,65.2733154296875) (840,65.20317840576172) (7329,65.02666473388672) (190,64.9689712524414) (533,64.89974975585938) (1807,64.8636474609375) (1803,64.7251205444336) (707,64.60343933105469) (4820,64.56069946289062) (2343,64.49042510986328) (3333,64.42203521728516) (1249,64.42190551757812) (6795,64.38500213623047) (737,64.340576171875) (706,64.33213806152344) (230,64.2942886352539) (498,64.27497100830078) (2666,64.25038146972656) (159,64.24604034423828)*
57: (333,69.50704193115234)* (209,69.38134002685547) (461,69.20271301269531) (687,69.10164642333984) (1035,68.903076171875) (1246,68.71337890625)* (540,68.70104217529297) (324,68.64146423339844) (1047,68.56694030761719) (544,68.37254333496094) (693,68.35198211669922) (537,68.32891845703125) (679,68.30489349365234) (680,68.30274200439453) (1672,68.2701416015625)* (306,68.24131774902344) (377,68.19461059570312)* (1041,68.16353607177734)* (1186,68.10454559326172) (681,68.09880065917969)
58: (289,68.98943328857422)* (681,68.6336898803711)* (300,68.2060317993164)* (679,67.8708267211914) (466,67.83875274658203)* (498,67.68441009521484) (89,67.56632995605469)* (288,67.56581115722656)* (646,67.52114868164062) (680,67.44358825683594)* (793,67.34595489501953) (464,67.23728942871094) (1054,66.92671203613281) (455,66.91702270507812) (302,66.90690612792969)* (701,66.86609649658203) (2801,66.76852416992188) (802,66.72782135009766) (1659,66.63894653320312) (1447,66.61930847167969)
59: (1104,67.35492706298828)* (233,66.9077377319336)* (173,65.54899597167969) (234,65.388916015625) (1099,65.31316375732422) (163,65.26553344726562) (154,65.21556091308594) (930,65.1741943359375) (152,65.16378021240234) (70,65.04204559326172) (181,64.85816192626953) (198,64.85467529296875) (4316,64.72854614257812) (153,64.7264175415039) (1978,64.4537353515625) (854,64.42957305908203) (1412,64.36767578125) (1119,64.36067962646484) (1075,64.32418060302734) (917,64.32383728027344)
60: (632,69.993896484375) (81,69.94755554199219) (3121,69.71937561035156) (3902,69.66085052490234) (444,69.64490509033203) (154,69.63221740722656) (1109,69.5528564453125) (1167,69.33692169189453) (1098,69.33444213867188) (1112,69.30554962158203) (1747,69.27234649658203)* (3861,69.0929183959961) (2605,69.00321197509766) (238,68.8725814819336) (214,68.62577056884766) (1781,68.57206726074219) (3057,68.53770446777344) (423,68.46832275390625) (7382,68.41860961914062) (454,68.41289520263672)
