userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,75.0465316772461) (3768,74.84757995605469) (1073,74.75566101074219) (51,74.49420928955078)* (3920,74.2337875366211) (1014,73.69796752929688) (1019,73.68535614013672) (1013,73.63550567626953) (998,73.54996490478516) (1836,73.5308609008789) (997,73.46241760253906) (187,73.40522766113281) (3501,73.39506530761719) (1885,73.39071655273438) (59,73.33796691894531)* (157,73.26742553710938) (1886,73.21783447265625) (4308,73.1673355102539) (91,73.10387420654297)* (61,73.01515197753906)*
13: (289,74.738037109375) (288,74.46236419677734) (306,74.32501983642578) (328,74.31940460205078)* (679,74.21269989013672) (302,74.20726013183594)* (704,73.99002075195312) (701,73.70802307128906) (475,73.58570098876953) (1037,73.48831939697266) (324,73.31098175048828) (329,73.27357482910156) (972,73.2460708618164) (1034,73.0178451538086) (464,72.99856567382812) (1042,72.98716735839844) (903,72.98432922363281) (331,72.90239715576172) (349,72.88780975341797)* (907,72.865478515625)
14: (286,75.84735870361328) (14077,75.65558624267578) (14080,75.56263732910156) (3439,75.23974609375) (1427,75.14454650878906) (1844,74.89739990234375) (14079,74.83148956298828) (14091,74.81199645996094) (8812,74.8047103881836) (14089,74.76512145996094) (2419,74.70561218261719) (14085,74.6938247680664) (14090,74.61617279052734) (14086,74.6002197265625) (14087,74.554931640625) (2902,74.48841857910156) (14075,74.36822509765625) (14088,74.32494354248047) (1242,74.29963684082031) (5375,74.29044342041016)
15: (859,75.23402404785156) (1504,74.61539459228516) (197,74.4634780883789)* (88,74.41021728515625) (81,74.15895080566406) (418,74.12709045410156) (206,74.07440948486328) (441,74.06205749511719) (59,74.0264892578125) (163,73.87248229980469) (3299,73.81156921386719) (196,73.72621154785156) (2531,73.71733093261719) (858,73.5799331665039) (199,73.5698471069336) (857,73.55953979492188) (1957,73.46833801269531) (1098,73.45970916748047) (3279,73.40438079833984) (2542,73.40171813964844)
16: (5999,76.37060546875) (1575,76.30552673339844) (4880,76.062744140625) (3572,75.97566986083984) (401,75.94108581542969) (3985,75.85997772216797) (2098,75.66958618164062) (12244,75.02676391601562) (4687,74.9085693359375) (3178,74.52494812011719) (289,74.48310089111328) (1578,74.17635345458984) (6002,74.08991241455078) (669,74.0595474243164)* (157,73.9861831665039) (338,73.94551086425781) (1581,73.92437744140625) (67,73.89971923828125) (67,73.89971923828125) (295,73.8252944946289)
17: (333,81.56291961669922) (300,81.4082260131836)* (321,80.36273956298828) (1047,80.0350112915039) (291,79.78451538085938) (1934,79.7563705444336) (458,79.67733764648438) (1684,79.6749267578125) (528,79.67382049560547)* (470,79.66143798828125) (797,79.64669799804688) (701,79.56501007080078)* (1043,79.48371887207031) (292,79.45855712890625)* (471,79.41167449951172) (295,79.38194274902344) (302,79.37712860107422) (523,79.22449493408203) (318,79.20079040527344) (793,79.17811584472656)
18: (959,79.44491577148438) (917,78.3725814819336) (227,78.31951904296875)* (1249,78.28003692626953) (1803,78.0558090209961) (1244,77.77070617675781) (176,77.77045440673828) (157,77.68782043457031) (1415,77.65579223632812) (2346,77.60345458984375) (1412,77.53517150878906) (951,77.44001770019531) (718,77.26834106445312)* (868,77.19451141357422) (498,77.1715316772461) (928,77.13552856445312) (234,77.04191589355469) (1104,76.93614196777344) (735,76.89759826660156)* (1639,76.82138061523438)
20: (2667,75.8621597290039) (2676,75.05388641357422) (2668,75.01995086669922) (603,75.01061248779297) (2174,74.73155212402344) (2605,74.59529876708984) (7079,74.59385681152344) (101,74.5107650756836) (1222,74.47348022460938) (2678,74.18260955810547) (162,74.13105010986328) (2152,74.1095962524414) (4734,74.06835174560547) (2158,74.0131607055664) (4887,74.00910949707031) (10491,74.00623321533203) (4108,73.98570251464844) (2149,73.94637298583984) (2832,73.93612670898438) (2679,73.93294525146484)
21: (257,78.37162780761719) (161,78.18280029296875) (89,78.16287994384766)* (306,77.92864990234375)* (349,77.84869384765625) (265,77.47724914550781) (157,77.4591293334961) (466,77.32276916503906)* (333,77.26915740966797) (1475,77.22007751464844) (2548,77.16909790039062) (1580,76.89173889160156) (334,76.87349700927734) (1937,76.7751693725586) (329,76.77249908447266) (455,76.75530242919922) (908,76.69779205322266) (913,76.67652893066406) (458,76.63369750976562) (790,76.61673736572266)*
22: (2744,74.90185546875) (2143,74.61225891113281) (835,74.55797576904297)* (2378,74.30867004394531) (2850,74.11885833740234) (809,74.0699462890625)* (8462,73.98397827148438) (1861,73.9764633178711) (953,73.87349700927734) (978,73.71574401855469) (500,73.67312622070312) (507,73.63275146484375) (10958,73.55643463134766) (10957,73.5242919921875) (2379,73.51542663574219) (10952,73.50166320800781) (10953,73.39759063720703) (4170,73.39691925048828) (2971,73.39132690429688) (2385,73.35762786865234)
23: (152,69.38372039794922)* (1119,69.0314712524414) (614,68.91598510742188) (856,68.69798278808594)* (1534,68.6430435180664) (1131,68.5709457397461) (1413,68.56827545166016) (1118,68.45103454589844) (154,68.42495727539062) (1110,68.37671661376953) (441,68.26062774658203) (868,68.22513580322266)* (3280,68.12952423095703) (1703,68.12584686279297) (920,68.10602569580078) (429,68.08705139160156) (186,68.08455657958984) (59,68.01915740966797) (1412,68.01398468017578) (1813,67.97053527832031)
24: (67,75.79159545898438)* (67,75.79159545898438)* (55,74.88981628417969)* (157,74.50403594970703)* (316,74.48917388916016)* (3488,74.4621353149414) (701,74.38922882080078) (5790,74.37169647216797) (2523,74.23194122314453) (97,74.18196105957031) (1934,74.13909912109375) (292,74.00318145751953) (289,73.94808959960938)* (295,73.92520904541016)* (679,73.90689086914062) (1243,73.8644790649414) (525,73.85729217529297) (261,73.77650451660156) (65,73.7291259765625) (65,73.7291259765625)
25: (257,78.72257232666016) (292,78.34039306640625)* (301,78.31864166259766) (285,78.29668426513672) (349,78.20455169677734)* (89,78.04730987548828)* (279,77.6676025390625) (306,77.6583480834961) (299,77.64698791503906) (265,77.49161529541016) (314,77.46873474121094)* (332,77.36244201660156) (291,77.29934692382812) (465,77.20364379882812) (161,77.19856262207031) (1596,77.1409912109375) (300,77.13169860839844) (251,76.99533081054688) (241,76.85579681396484) (333,76.84557342529297)
26: (1339,78.02183532714844) (707,77.50105285644531)* (2963,77.19356536865234) (1803,76.82586669921875) (1338,76.8129653930664) (1347,76.67877960205078) (726,76.54496765136719) (835,76.4647216796875) (4286,76.46268463134766) (176,76.4011459350586) (4753,76.16136932373047) (4270,76.13825988769531) (710,76.02127075195312) (9514,75.99874114990234) (1249,75.96916961669922) (2664,75.94578552246094) (1808,75.898193359375) (1350,75.83165740966797) (1914,75.82324981689453) (706,75.78963470458984)
27: (518,77.10203552246094) (1705,77.01114654541016) (65,76.9676513671875) (65,76.9676513671875) (89,76.84298706054688) (4920,76.6248779296875) (67,76.57413482666016)* (67,76.57413482666016)* (190,76.56621551513672) (389,76.54486083984375) (374,76.49345397949219) (1098,76.47154998779297) (71,76.45308685302734) (71,76.45308685302734) (72,76.43070983886719) (72,76.43070983886719) (154,76.34435272216797) (910,76.33169555664062) (157,76.24515533447266) (173,76.1941146850586)
28: (4987,76.0076904296875) (69,75.88591003417969) (69,75.88591003417969) (63,75.80915832519531) (63,75.80915832519531) (3674,75.45895385742188) (1001,75.42842102050781)* (3920,75.33307647705078) (4126,75.12538146972656) (4037,75.0177993774414) (14343,75.00286102294922) (77,74.8671646118164) (77,74.8671646118164) (157,74.78926849365234) (175,74.70469665527344) (1330,74.68997192382812) (877,74.62635803222656) (1885,74.58000183105469) (601,74.42020416259766) (187,74.40733337402344)
29: (466,75.09933471679688)* (89,75.01957702636719)* (2080,74.71735382080078) (461,74.52337646484375)* (1045,74.4577865600586)* (289,74.22003936767578)* (1047,74.19627380371094) (295,74.19058990478516) (1673,74.122314453125) (1659,74.0842514038086) (344,73.95683288574219) (377,73.94355010986328) (475,73.89193725585938) (321,73.88728332519531) (544,73.85932922363281) (324,73.82382202148438) (1043,73.7883071899414)* (486,73.77137756347656) (378,73.75016784667969)* (458,73.72854614257812)
30: (1447,81.81198120117188) (89,81.6195297241211)* (466,81.04011535644531) (679,81.01620483398438)* (681,80.98237609863281) (701,80.96467590332031) (292,80.86115264892578) (302,80.65729522705078) (3859,80.6367416381836) (378,80.62062072753906) (680,80.59248352050781)* (342,80.59004974365234) (257,80.58477020263672) (161,80.49752807617188) (1470,80.49042510986328) (686,80.42436981201172) (1459,80.4170150756836) (318,80.40327453613281)* (966,80.37034606933594)* (464,80.3108139038086)
31: (51,74.43920135498047) (3768,74.37962341308594) (30,74.0765151977539)* (63,74.07357788085938) (63,74.07357788085938) (64,74.06218719482422) (64,74.06218719482422) (187,73.6398696899414) (1014,73.57723236083984) (157,73.56563568115234) (238,73.4802474975586)* (877,73.46601104736328) (1394,73.46118927001953) (1713,73.4438705444336) (1886,73.38587951660156) (153,73.27991485595703) (3501,73.26091766357422) (75,73.24758911132812) (75,73.24758911132812) (998,73.22191619873047)
32: (969,67.50350189208984) (441,67.49238586425781)* (229,67.38801574707031) (1151,67.22173309326172) (225,67.1346664428711) (227,67.11405944824219)* (432,67.05680847167969) (207,67.0386962890625) (1376,66.86492919921875) (203,66.85733032226562)* (429,66.78843688964844)* (228,66.7809066772461) (208,66.37461853027344) (424,66.32150268554688) (3767,66.31976318359375) (65,66.22193908691406) (65,66.22193908691406) (1400,66.21533966064453) (716,66.09214782714844) (428,66.06231689453125)*
33: (3417,77.92640686035156) (506,77.84959411621094) (370,76.72002410888672) (9783,76.51367950439453) (238,76.28311157226562) (1491,76.24657440185547) (152,76.22354125976562)* (1205,75.86713409423828) (162,75.86638641357422) (1710,75.8351058959961) (46,75.79195404052734) (3405,75.66315460205078) (1708,75.6384048461914) (186,75.61485290527344) (4143,75.53095245361328) (154,75.42877197265625) (4548,75.37239074707031) (174,75.24594116210938) (10007,75.17787170410156) (4271,75.0797119140625)
34: (72,80.59365844726562)* (72,80.59365844726562)* (159,79.63780212402344) (56,79.48162078857422) (56,79.48162078857422) (429,79.29621124267578) (154,79.1474380493164) (88,78.77059173583984) (190,78.5272216796875) (1394,78.38746643066406) (1098,78.25487518310547) (868,78.2215347290039) (1400,78.1656723022461) (1122,78.12915802001953) (203,78.10210418701172) (511,77.98348236083984)* (173,77.98250579833984)* (196,77.97623443603516)* (757,77.95824432373047) (715,77.91613006591797)
35: (1747,77.71477508544922) (418,76.98417663574219) (1123,76.94053649902344) (1112,76.82321166992188) (4649,76.3790283203125) (6164,76.18640899658203) (1770,76.02628326416016) (7123,75.8050765991211) (103,75.5716323852539) (154,75.34156799316406) (6410,75.33649444580078) (7148,75.32357025146484) (197,75.27794647216797) (81,75.11842346191406) (7119,75.11283111572266) (162,75.06017303466797) (13910,75.05675506591797) (632,75.02033233642578) (1109,74.92109680175781) (7352,74.87660217285156)
36: (2850,70.41226196289062) (498,70.3875732421875) (1868,70.25825500488281) (2618,70.09608459472656) (1195,70.00627899169922)* (2959,70.00241088867188) (2430,69.88276672363281) (1541,69.85911560058594) (1043,69.82716369628906)* (209,69.80176544189453)* (1188,69.74037170410156)* (1672,69.69828796386719) (412,69.65333557128906) (492,69.6244888305664) (1853,69.5835952758789) (830,69.56063842773438) (2661,69.42938232421875) (1193,69.40142059326172)* (1678,69.31880950927734) (1866,69.3152084350586)
37: (3417,81.37940216064453) (162,79.75601959228516) (4271,79.41670989990234) (7148,79.36923217773438) (197,79.23579406738281) (163,79.09181213378906) (1418,78.96263122558594) (1130,78.91138458251953) (1411,78.86726379394531) (154,78.83513641357422) (418,78.71194458007812) (2771,78.71183013916016) (592,78.6109848022461) (2471,78.5365219116211) (1123,78.53150939941406) (188,78.39742279052734) (5605,78.3743896484375) (2459,78.32670593261719) (632,78.24532318115234) (1491,78.18672943115234)
38: (230,76.07453155517578) (706,75.11870574951172) (190,75.11276245117188)* (498,75.06509399414062)* (220,75.03070831298828) (424,74.90633392333984) (234,74.76483154296875) (89,74.60980224609375)* (903,74.60774230957031) (207,74.52267456054688) (377,74.42523193359375) (2346,74.42224884033203) (228,74.3780288696289)* (1239,74.37753295898438)* (714,74.21028900146484) (157,74.20684051513672) (1244,74.16862487792969)* (1513,74.14288330078125) (1048,74.03752136230469) (486,73.93012237548828)*
39: (370,73.50983428955078) (506,73.46955108642578) (15,73.0183334350586) (4271,72.99527740478516) (2963,72.93579864501953) (3806,72.3379135131836) (1066,72.30660247802734) (25,72.28883361816406) (4268,72.1811752319336) (4965,72.08404541015625) (188,71.95622253417969) (953,71.9339370727539) (6258,71.77980041503906) (936,71.75475311279297) (34,71.72079467773438) (930,71.71755981445312) (1111,71.68268585205078) (6,71.66973114013672) (5087,71.58622741699219) (812,71.50041198730469)
40: (41,67.98173522949219) (3551,67.94170379638672) (5581,67.80329132080078) (37,67.53307342529297) (4912,67.49427795410156) (19,67.4412612915039) (13,67.35330200195312) (2,67.30535125732422) (11192,67.3026351928711) (5238,67.2971420288086) (5715,67.25701904296875) (4876,67.22433471679688) (1277,67.14568328857422) (10,67.04946899414062) (1793,67.04150390625) (6056,66.97127532958984) (6873,66.92908477783203) (1303,66.87415313720703)* (151,66.83617401123047) (2166,66.83562469482422)
41: (841,77.12359619140625) (3470,76.81202697753906) (2838,76.67923736572266) (954,76.34744262695312)* (956,76.20999908447266) (5157,76.20857238769531) (947,76.15120697021484)* (1523,76.03890228271484) (707,76.00579833984375) (821,75.89253234863281) (1257,75.8414077758789)* (920,75.7728042602539) (2342,75.58235931396484) (2787,75.55215454101562) (957,75.46156311035156)* (2341,75.41179656982422) (4971,75.35961151123047) (1527,75.24673461914062) (2343,75.09745788574219) (710,75.0858383178711)
42: (316,75.82164764404297) (3057,75.80462646484375) (229,75.4643325805664)* (89,75.36018371582031)* (697,75.33488464355469) (362,75.2890396118164) (2544,75.23554229736328) (1505,75.161865234375) (1470,75.143310546875) (1511,75.07240295410156) (5099,75.01970672607422) (333,75.01144409179688) (2607,74.96602630615234) (71,74.83496856689453) (71,74.83496856689453) (171,74.80136108398438) (423,74.70938110351562) (538,74.69795989990234)* (3081,74.68965148925781) (3763,74.6844253540039)
43: (757,76.84370422363281)* (70,76.7391586303711)* (72,76.47105407714844) (72,76.47105407714844) (2083,76.23796844482422) (1379,76.1402816772461) (173,76.13056182861328) (1405,76.04296875)* (526,75.98734283447266) (1705,75.70494842529297) (532,75.65274810791016) (7324,75.63423156738281) (1075,75.59449768066406) (1613,75.58086395263672) (4025,75.50505065917969) (2521,75.45205688476562) (547,75.44523620605469) (67,75.41912841796875) (67,75.41912841796875) (1401,75.24757385253906)*
44: (1110,79.06938171386719) (4675,79.04317474365234) (188,78.86906433105469) (2624,78.80612182617188) (1412,78.6070327758789)* (707,78.49724578857422)* (607,78.28620910644531) (154,78.17053985595703) (868,78.15101623535156)* (920,78.06228637695312) (2475,77.8332290649414) (875,77.80967712402344) (3481,77.80424499511719) (599,77.75577545166016) (1131,77.70808410644531)* (234,77.63349151611328)* (197,77.57928466796875) (1639,77.51676940917969) (3438,77.45452117919922) (1413,77.42689514160156)*
45: (67,76.94355773925781) (67,76.94355773925781) (295,76.68650817871094)* (289,76.6453628540039)* (1475,76.62346649169922) (349,76.57234191894531)* (161,76.46723175048828)* (257,76.40403747558594) (913,76.28411865234375) (308,76.18232727050781) (55,76.09908294677734) (641,76.05597686767578)* (299,76.00726318359375) (328,75.9689712524414) (907,75.84666442871094) (1057,75.79719543457031) (6000,75.7575454711914) (4565,75.65097045898438) (484,75.6219253540039) (329,75.48516845703125)
46: (466,79.71318817138672)* (701,78.9969482421875)* (498,78.90045166015625)* (544,78.51263427734375) (543,78.38424682617188) (318,78.38259887695312) (344,78.35540008544922)* (386,78.28565979003906) (257,78.24268341064453) (523,78.21780395507812) (55,78.11007690429688) (352,78.10486602783203)* (680,78.09920501708984) (528,78.077392578125) (797,78.0440902709961) (161,77.9935302734375) (1453,77.93443298339844)* (704,77.91419982910156) (321,77.90202331542969) (790,77.87047576904297)
47: (289,79.38540649414062)* (300,79.36695861816406)* (89,79.18437957763672) (288,78.83153533935547)* (295,78.6286849975586) (679,78.556884765625) (701,78.47493743896484)* (306,78.04376983642578) (544,77.77296447753906) (321,77.6728744506836) (67,77.53639221191406) (67,77.53639221191406) (458,77.48078918457031) (55,77.39518737792969) (349,77.37112426757812) (324,77.16880798339844) (161,77.12361145019531) (378,77.06694793701172) (704,77.05379486083984) (329,76.91625213623047)
48: (6722,74.67852020263672) (1244,74.13529205322266) (2183,73.48049926757812) (2031,73.17964935302734) (5617,73.05651092529297) (959,73.04522705078125)* (1415,72.85781860351562) (735,72.65632629394531) (253,72.61175537109375) (2786,72.49005889892578) (55,72.46893310546875)* (2346,72.45421600341797) (1081,72.33135223388672) (295,72.33076477050781)* (3173,72.2509536743164) (5775,72.22911834716797) (2523,72.2059097290039) (511,72.18359375)* (728,72.18330383300781) (6715,72.15424346923828)
49: (67,76.13375854492188) (67,76.13375854492188) (55,75.14008331298828) (301,75.0380630493164) (1098,74.85313415527344) (292,74.57283782958984) (257,74.56721496582031) (310,74.56529235839844)* (349,74.39844512939453) (295,74.3643798828125) (154,74.30706024169922) (296,74.17401123046875) (157,74.12691497802734) (2083,74.10108947753906) (331,74.04621124267578) (302,74.00259399414062) (285,73.9884033203125) (525,73.94189453125) (306,73.88400268554688)* (535,73.78793334960938)
50: (203,69.77005004882812) (190,69.69855499267578) (229,69.543701171875)* (234,69.47315979003906) (709,69.39270782470703)* (208,69.37273406982422) (429,69.30400085449219)* (441,69.02455139160156) (154,68.96844482421875) (735,68.89505767822266) (857,68.89448547363281) (225,68.88865661621094) (65,68.85675048828125)* (65,68.85675048828125)* (716,68.83573913574219) (1239,68.75302124023438) (511,68.61708068847656)* (88,68.58320617675781) (599,68.55182647705078) (2131,68.36491394042969)
51: (1358,78.60809326171875)* (1372,77.3131332397461) (3470,77.10452270507812) (2342,76.95699310302734) (920,76.87973022460938) (949,76.82162475585938)* (843,76.66802978515625) (1353,76.63277435302734) (821,76.5875244140625) (5157,76.57405853271484) (1992,76.4489974975586) (2838,76.33599853515625) (1257,76.3173599243164)* (957,76.26433563232422) (1364,76.2559814453125)* (1344,76.16667938232422)* (2746,76.13435363769531) (942,76.1079330444336) (2013,76.0323715209961) (1343,75.8848876953125)
52: (230,77.80705261230469) (475,77.69941711425781) (412,77.43431091308594) (4324,77.3924789428711) (779,76.83418273925781) (1188,76.77960205078125) (4821,76.76380920410156) (1192,76.7166748046875) (498,76.71434783935547) (198,76.61117553710938) (377,76.57709503173828) (1186,76.52095031738281) (808,76.36512756347656) (6997,76.34342956542969) (706,76.31039428710938) (234,76.29306030273438) (707,76.25321960449219) (4218,76.23233795166016) (2192,76.07733917236328) (5939,76.03880310058594)
53: (327,82.28181457519531) (289,82.18311309814453)* (5988,81.96528625488281) (306,81.76227569580078)* (295,81.70945739746094) (4562,81.65353393554688) (161,81.6309814453125) (288,81.52442932128906)* (1449,81.46660614013672) (308,81.30572509765625) (1444,81.27936553955078) (1037,81.24788665771484) (5999,81.19478607177734) (484,81.12864685058594) (4687,80.91073608398438) (468,80.8563003540039) (461,80.82350158691406) (157,80.71098327636719) (1057,80.67253112792969) (317,80.65107727050781)
54: (257,76.27975463867188) (301,76.26409149169922) (265,75.99121856689453) (285,75.89277648925781) (2523,75.7369155883789) (251,75.50995635986328) (295,75.34361267089844) (157,75.19220733642578) (89,75.17266082763672) (302,75.16395568847656) (294,75.13858032226562) (913,74.8976821899414)* (320,74.8316879272461)* (641,74.66154479980469) (465,74.62191772460938)* (306,74.5831069946289) (316,74.57677459716797) (288,74.50840759277344)* (2024,74.4239273071289) (299,74.32192993164062)*
55: (527,80.66426086425781) (1963,80.1913070678711) (617,79.88906860351562) (10399,79.84820556640625) (249,79.77517700195312) (3317,79.67234802246094) (11401,79.52143096923828) (1622,79.46371459960938)* (271,79.26832580566406) (2226,79.15939331054688) (3227,78.97766876220703) (1952,78.91649627685547) (547,78.89854431152344) (2923,78.71952056884766) (56,78.71465301513672) (56,78.71465301513672) (266,78.59491729736328) (3357,78.4614486694336) (6343,78.4393310546875) (6887,78.32783508300781)
56: (439,69.72682189941406) (4087,69.30477905273438) (708,69.15989685058594) (705,68.97535705566406) (1241,68.9500961303711) (1681,68.83158874511719) (422,68.82084655761719) (220,68.81695556640625) (1755,68.79341125488281) (706,68.74486541748047) (714,68.51629638671875) (2346,68.48486328125) (1775,68.4410171508789) (230,68.37913513183594) (5630,68.30561828613281) (4834,68.2574691772461) (3741,68.1702651977539) (1249,68.13001251220703) (3382,68.11133575439453) (366,68.02881622314453)*
57: (377,70.84465789794922)* (333,70.79776763916016)* (475,70.52495574951172)* (230,70.13316345214844) (461,70.03882598876953) (544,69.90225982666016) (1047,69.88697052001953) (1034,69.79801177978516)* (324,69.78076934814453) (679,69.62688446044922) (687,69.59302520751953) (1246,69.56139373779297)* (209,69.54521179199219) (524,69.42822265625) (693,69.3900375366211) (1455,69.3532485961914) (458,69.30018615722656) (680,69.27574157714844) (681,69.25498962402344) (1659,69.21741485595703)*
58: (300,79.54447937011719)* (1447,79.53981018066406) (289,79.5107650756836)* (681,79.50089263916016)* (498,79.063232421875) (89,79.00759887695312)* (288,78.73038482666016)* (1054,78.69859313964844) (679,78.6745376586914) (466,78.59833526611328)* (13739,78.54315185546875) (793,78.44861602783203) (802,78.30723571777344) (2462,78.28404235839844) (458,78.25646209716797) (680,78.24197387695312)* (790,78.08940887451172) (464,78.07018280029297) (646,78.04286193847656) (304,77.9297866821289)
59: (1104,76.80016326904297)* (1099,76.04304504394531) (233,75.53213500976562)* (930,75.44281005859375) (726,75.3137435913086)* (174,75.2991714477539) (173,75.15238952636719) (70,74.97563171386719) (163,74.9730224609375) (1394,74.79564666748047) (39,74.78641510009766) (63,74.75396728515625) (63,74.75396728515625) (198,74.73075866699219) (1109,74.66246032714844) (64,74.66126251220703) (64,74.66126251220703) (487,74.60445404052734) (506,74.56185913085938) (30,74.54742431640625)
60: (5929,71.06594848632812) (4121,70.73326110839844) (3208,70.72064208984375) (632,70.58432006835938) (6582,70.30823516845703) (6179,70.26063537597656) (2676,69.8064193725586) (5806,69.67962646484375) (2407,69.61568450927734) (4222,69.56510162353516) (1231,69.56423950195312) (3861,69.31050872802734) (162,69.24034118652344) (9342,69.15299224853516) (81,69.14305877685547) (170,69.13233947753906) (3681,69.09970092773438) (11053,69.07835388183594) (8047,69.07184600830078) (11052,69.00440216064453)
