userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,74.55168914794922) (187,73.03765869140625) (51,72.87222290039062)* (1713,72.80648803710938) (3501,72.65637969970703) (1073,72.46194458007812) (157,72.06377410888672) (238,71.9781265258789) (1098,71.9620361328125) (1394,71.91475677490234) (1795,71.90744018554688) (3992,71.90199279785156) (511,71.79154205322266) (1014,71.66934204101562) (1379,71.54679870605469) (1892,71.3944091796875) (70,71.37683868408203)* (175,71.3460693359375) (61,71.24837493896484)* (59,71.24139404296875)*
16: (3982,64.65570068359375) (1494,64.42366027832031) (8022,63.905887603759766) (8023,63.562496185302734) (4770,62.89189529418945) (8018,62.855464935302734) (6856,62.84352493286133) (8017,62.60331344604492) (6232,62.53660583496094) (2094,62.38106155395508) (2800,62.331085205078125) (12585,62.268856048583984) (7395,62.05436706542969) (334,62.04890441894531) (12589,62.00688552856445) (794,61.976776123046875) (792,61.794830322265625) (12592,61.75837707519531) (6318,61.756004333496094) (12591,61.75157928466797)
17: (1038,72.60449981689453) (3399,71.77987670898438) (470,71.5282211303711) (2977,71.4453353881836) (403,71.35274505615234)* (458,71.25007629394531) (1043,71.15123748779297) (471,70.92552185058594) (333,70.86519622802734) (689,70.7831802368164)* (1246,70.76744842529297) (430,70.58357238769531) (1047,70.56900024414062) (306,70.56473541259766)* (300,70.54734802246094)* (1198,70.53860473632812) (546,70.53740692138672) (903,70.52941131591797) (1455,70.50856018066406) (1934,70.4300765991211)
18: (959,70.95572662353516) (917,70.59967041015625) (1249,70.58130645751953) (227,70.50208282470703)* (1412,70.29118347167969) (220,70.1594009399414)* (176,69.63170623779297) (614,69.42864990234375) (157,69.42737579345703) (868,69.41728210449219) (234,69.3726577758789) (2786,69.33389282226562) (1122,69.02630615234375) (377,68.94110107421875) (982,68.93412017822266) (198,68.82592010498047) (1415,68.72489166259766) (180,68.72159576416016) (735,68.66967010498047)* (562,68.63494873046875)
20: (2667,76.74256134033203) (1222,76.39892578125) (2165,76.2917709350586) (5069,76.28192138671875) (1226,76.12456512451172) (603,76.00370025634766) (2668,75.92215728759766) (2605,75.82254028320312) (101,75.6815414428711) (1401,75.6042251586914) (4863,75.53863525390625) (3703,75.45997619628906) (845,75.40257263183594) (10500,75.39505767822266) (107,75.35737609863281) (1236,75.2884521484375) (6052,75.25361633300781) (5807,75.14999389648438) (1943,75.1365966796875) (2716,75.0940170288086)
21: (349,73.5748291015625) (89,73.31456756591797)* (386,73.14998626708984) (908,72.96581268310547) (344,72.80904388427734) (2094,72.76522827148438) (257,72.76133728027344) (360,72.09931182861328) (3199,71.96590423583984) (333,71.96235656738281) (455,71.89775848388672) (296,71.88887786865234) (3497,71.85231018066406) (334,71.84319305419922) (466,71.7854995727539)* (161,71.72638702392578) (906,71.61805725097656) (2392,71.61429595947266) (157,71.50810241699219) (374,71.47517395019531)
22: (809,71.80583953857422)* (2850,71.53833770751953) (3543,71.42768096923828) (198,71.05320739746094) (2379,70.96651458740234) (2143,70.9166488647461) (953,70.88460540771484) (785,70.86011505126953) (500,70.73548126220703) (978,70.73292541503906) (707,70.68157196044922) (5667,70.66651153564453) (5939,70.65489196777344) (1541,70.56497955322266) (1861,70.52922821044922) (519,70.51553344726562) (1547,70.37024688720703) (4178,70.36835479736328) (2586,70.3501205444336) (2955,70.26071166992188)
23: (59,72.13282775878906) (3441,71.46973419189453) (868,71.33811950683594)* (1202,71.21134948730469) (441,71.12649536132812) (429,70.91453552246094) (857,70.75557708740234)* (1119,70.60230255126953) (1412,70.57556915283203) (227,70.35684204101562)* (3941,70.32603454589844) (856,70.24915313720703)* (3739,70.12896728515625) (51,70.0098648071289) (1203,69.95845031738281) (1534,69.77286529541016) (1713,69.69953918457031) (614,69.67483520507812) (2531,69.659912109375) (3280,69.6527099609375)
24: (67,71.66354370117188)* (67,71.66354370117188)* (295,70.73332214355469)* (55,70.70181274414062)* (292,70.5905990600586) (288,70.2634506225586)* (289,70.19013977050781)* (525,70.16972351074219) (157,70.11351776123047)* (679,70.0773696899414) (58,70.04081726074219) (58,70.04081726074219) (1464,69.98731994628906) (316,69.83452606201172)* (3110,69.76343536376953) (97,69.65704345703125) (1243,69.63265991210938) (906,69.62004852294922) (701,69.57786560058594) (2083,69.54801940917969)
25: (349,72.44342803955078)* (292,72.00299072265625)* (257,71.9556884765625) (89,71.95159912109375)* (161,71.85726928710938) (306,71.77828979492188) (265,71.63579559326172) (279,71.4046859741211) (299,71.36951446533203) (285,71.36790466308594) (535,71.26299285888672) (291,71.18814849853516) (300,71.1601791381836) (251,71.1247787475586) (314,71.04497528076172)* (1601,71.02072143554688) (674,70.93306732177734) (6308,70.91067504882812) (466,70.87578582763672) (465,70.78569793701172)
26: (4342,71.45384979248047) (707,70.94544982910156)* (918,70.37224578857422)* (1339,70.33850860595703) (1350,69.69020080566406) (4971,69.60679626464844) (1347,69.26947021484375) (2975,68.68327331542969) (1249,68.59561920166016) (710,68.49908447265625) (4341,68.40612030029297) (198,68.3959732055664) (176,68.29682159423828) (2797,68.29440307617188) (1369,68.20677947998047) (2664,68.18928527832031) (163,68.06132507324219) (4325,68.06104278564453) (1338,68.03897094726562) (503,67.99738311767578)
27: (72,71.0797119140625) (72,71.0797119140625) (67,70.96212768554688)* (67,70.96212768554688)* (1705,70.64947509765625) (56,70.63285827636719) (56,70.63285827636719) (2446,70.56307220458984) (157,70.4886474609375) (89,70.36459350585938) (227,70.32158660888672) (910,70.23503112792969) (190,70.22154235839844) (7,70.11550903320312) (173,70.03761291503906) (1104,69.99390411376953) (154,69.86872100830078) (238,69.70500183105469) (234,69.70091247558594) (233,69.6975326538086)
28: (4880,68.31421661376953) (1014,68.27252197265625)* (3982,68.11612701416016) (1001,68.05937194824219)* (3966,67.49034881591797) (997,67.34569549560547)* (877,67.31668090820312) (6928,67.23255157470703) (6232,67.16068267822266) (6742,67.04598236083984) (187,67.00031280517578) (1379,66.95085144042969) (4308,66.93057250976562) (6940,66.9062728881836) (6935,66.86170959472656) (1019,66.77754211425781)* (6927,66.75237274169922) (6923,66.69082641601562) (6937,66.67777252197266) (3832,66.66889190673828)
29: (466,73.1229248046875)* (89,72.74712371826172)* (461,72.4660873413086)* (289,72.39740753173828)* (344,72.38701629638672) (680,72.20079803466797) (681,71.57599639892578) (1043,71.4148941040039)* (325,71.30660247802734) (1047,71.27122497558594) (544,71.1482162475586) (1034,71.11729431152344)* (687,71.08511352539062)* (306,71.07152557373047) (377,71.06204223632812) (295,71.05488586425781) (1672,70.983154296875) (1673,70.96498107910156) (790,70.95561981201172) (1246,70.92459106445312)
30: (466,71.06135559082031) (89,70.72203826904297)* (475,70.40869140625) (464,70.40016174316406) (324,70.26055145263672) (3859,70.11799621582031) (679,70.02188873291016)* (306,69.88837432861328) (403,69.75910949707031) (302,69.69926452636719) (6247,69.68961334228516) (536,69.64411926269531) (907,69.59432220458984) (292,69.5887222290039) (458,69.58602142333984) (486,69.4731674194336) (293,69.43357849121094) (481,69.42943572998047)* (1470,69.41778564453125) (1455,69.37998962402344)
31: (51,73.13964080810547) (1886,72.8597183227539) (1014,72.729736328125) (997,72.57188415527344) (1072,72.27368927001953)* (30,72.24961853027344)* (3768,71.72705078125) (1713,71.4892807006836) (877,70.98450469970703) (98,70.9443130493164) (1892,70.85558319091797) (3988,70.80054473876953) (1379,70.79649353027344) (187,70.71324920654297) (4308,70.57412719726562) (100,70.50790405273438) (998,70.47933959960938) (75,70.28227996826172) (75,70.28227996826172) (193,70.18273162841797)
32: (1151,72.11686706542969) (228,71.86758422851562) (1116,71.76260375976562) (225,71.68232727050781) (2582,71.39862823486328) (237,71.29993438720703) (229,71.15257263183594) (1106,71.11018371582031)* (210,70.88426208496094) (969,70.84066009521484) (199,70.82743072509766) (215,70.60164642333984) (3676,70.56781005859375) (81,70.56227111816406) (424,70.55245208740234) (65,70.47224426269531) (65,70.47224426269531) (703,70.45856475830078) (1376,70.39076232910156) (207,70.38279724121094)
33: (174,74.84811401367188) (163,74.22432708740234) (63,73.9605941772461) (63,73.9605941772461) (3462,73.30987548828125) (377,73.1100845336914) (220,73.06008911132812) (506,73.0052490234375) (917,72.97283172607422) (1743,72.96702575683594) (447,72.8045654296875) (194,72.77967834472656) (198,72.7707290649414) (5235,72.73149871826172) (4344,72.58351135253906) (227,72.56520080566406) (603,72.52362823486328) (707,72.5009536743164) (65,72.47335052490234) (65,72.47335052490234)
34: (1633,72.78528594970703) (715,72.67237854003906) (154,72.26985168457031) (986,72.23774719238281) (56,72.1929931640625) (56,72.1929931640625) (429,72.15341186523438) (72,72.04751586914062)* (72,72.04751586914062)* (211,71.97247314453125) (190,71.94319152832031) (159,71.89370727539062) (172,71.87654113769531) (858,71.7559814453125) (511,71.61585235595703)* (222,71.58770751953125) (718,71.5458984375) (961,71.4870376586914) (88,71.39138793945312) (3057,71.37136840820312)
35: (2026,76.2412109375) (6759,75.5722885131836) (6167,75.53903198242188) (4404,75.24751281738281) (418,74.98202514648438) (11900,74.94090270996094) (13882,74.6602783203125) (6582,74.61836242675781) (6164,74.52099609375) (3417,74.34256744384766) (15040,74.29265594482422) (3724,74.24227905273438) (6181,74.23704528808594) (4401,74.2086181640625) (7219,74.16522216796875) (12491,74.15573120117188) (5299,74.09169006347656) (15043,74.06509399414062) (1747,74.00096130371094) (1226,73.93505859375)
36: (1853,73.72259521484375) (1043,73.49039459228516)* (498,73.396484375) (1188,73.15904235839844)* (1868,73.15287017822266) (1038,72.97724151611328) (693,72.92244720458984) (492,72.6186294555664) (2959,72.55536651611328) (1672,72.42157745361328) (2618,72.36640930175781) (2617,72.3396987915039) (209,72.33074951171875)* (1195,72.3048324584961)* (1246,72.11476135253906) (4995,72.08677673339844) (1193,72.00395965576172)* (5950,71.99248504638672) (1183,71.89244079589844)* (412,71.85474395751953)
37: (3886,78.566650390625) (2735,77.72333526611328) (2479,77.65259552001953) (2033,77.37692260742188) (603,76.82723999023438) (9540,76.75119018554688) (3417,76.544677734375) (4108,76.51813507080078) (3019,76.39044189453125) (5605,76.32994842529297) (12051,76.20445251464844) (2030,76.18789672851562) (3440,76.09292602539062) (2034,76.08686828613281) (3531,76.01589965820312) (159,75.96649169921875) (4887,75.96098327636719) (2490,75.93338012695312) (245,75.8956069946289) (197,75.8934097290039)
38: (220,74.10704803466797) (228,74.05764770507812)* (234,74.02711486816406) (207,73.99156951904297) (424,73.95948028564453) (190,73.8000259399414)* (706,73.76724243164062) (89,73.50331115722656)* (230,73.42018127441406) (716,73.23307037353516) (903,73.00870513916016) (498,72.77659606933594)* (173,72.69739532470703) (1513,72.6935043334961) (1048,72.4804458618164) (735,72.35591125488281) (377,72.30776977539062) (538,72.27690124511719) (709,72.2333755493164) (1400,72.22654724121094)
39: (11193,78.60099029541016) (3806,78.41392517089844) (4271,78.26760864257812) (5689,78.10533142089844) (11,78.08100891113281) (841,77.76204681396484)* (1521,77.58589172363281) (1535,77.41758728027344) (917,77.30830383300781) (10,77.28777313232422) (3,77.07721710205078) (1358,76.67124938964844) (4268,76.61958312988281) (15,76.5772476196289) (4273,76.44910430908203) (1111,76.36832427978516) (2251,76.36766052246094) (1104,76.32211303710938) (370,76.30641174316406) (3509,76.27539825439453)
40: (4297,78.13728332519531) (10,77.25337219238281) (153,77.0302963256836) (13,76.595947265625) (11,76.40217590332031) (4874,76.30531311035156) (1277,76.07537841796875) (19,76.04696655273438) (1793,76.04228973388672) (5581,75.95895385742188) (4876,75.92408752441406) (37,75.91656494140625) (1320,75.66212463378906)* (30,75.39701843261719) (6875,75.38140869140625) (4318,75.29158782958984) (3047,75.27522277832031) (2166,75.25817108154297) (72,75.208740234375) (72,75.208740234375)
41: (841,79.6089096069336) (1257,78.6717529296875)* (947,78.58908081054688)* (707,78.49934387207031) (710,78.37086486816406) (957,78.29470825195312)* (954,78.15248107910156)* (946,77.79840850830078) (956,77.68513488769531) (17179,77.67312622070312) (17177,77.6647720336914) (2838,77.52311706542969) (1274,77.41522979736328) (2004,77.39363098144531) (949,77.1026382446289) (17176,77.08290100097656) (2342,76.93278503417969) (176,76.9065170288086) (2664,76.85746765136719) (17174,76.85310363769531)
42: (1470,69.88199615478516) (229,69.65160369873047)* (486,69.10486602783203) (697,69.04546356201172) (3057,69.0306625366211) (1400,68.78387451171875) (1048,68.76570129394531)* (2614,68.73819732666016) (171,68.71039581298828) (430,68.56255340576172) (548,68.384765625) (2544,68.36941528320312) (316,68.36917114257812) (3676,68.3437728881836) (89,68.31263732910156)* (1511,68.28021240234375) (333,68.24153137207031) (207,68.20943450927734) (2607,68.19066619873047) (3293,68.08767700195312)
43: (703,71.91399383544922) (70,71.85884094238281)* (757,71.65811157226562)* (1941,71.65797424316406) (72,71.61949157714844) (72,71.61949157714844) (2083,71.42720794677734) (1379,71.4107437133789) (6915,71.2961654663086) (1613,71.21231079101562) (67,70.92079162597656) (67,70.92079162597656) (689,70.9033203125) (903,70.84927368164062) (229,70.8003158569336)* (722,70.79029846191406) (1990,70.73458862304688) (526,70.73284149169922) (1397,70.69052124023438)* (157,70.63540649414062)
44: (707,74.31884765625)* (1110,74.1377944946289) (1412,74.05663299560547)* (1131,74.04008483886719)* (212,73.44436645507812) (868,73.3939208984375)* (188,72.9211654663086) (154,72.9076919555664) (599,72.76310729980469) (234,72.71516418457031)* (2375,72.69804382324219) (1639,72.65377044677734) (1118,72.63208770751953) (920,72.60597229003906) (2624,72.5943832397461) (856,72.32919311523438) (198,72.16787719726562) (2855,72.12010955810547) (1425,72.10871887207031)* (1643,72.05770874023438)
45: (289,64.95288848876953)* (349,64.86091613769531)* (257,64.84858703613281) (295,64.83235168457031)* (299,64.7029037475586) (455,64.50003051757812) (161,64.46156311035156)* (475,64.33243560791016) (308,64.17964935302734) (913,64.17711639404297) (461,64.15596008300781)* (157,63.947452545166016) (1475,63.871849060058594) (468,63.745704650878906) (294,63.70393753051758) (484,63.65721130371094) (318,63.64759826660156) (67,63.596309661865234) (67,63.596309661865234) (465,63.5577278137207)
46: (466,64.92799377441406)* (544,64.01692199707031) (701,63.85185623168945)* (523,63.74322509765625) (55,63.486328125) (318,63.30680847167969) (257,63.243167877197266) (344,63.184322357177734)* (498,63.08191680908203)* (352,63.03621292114258)* (680,62.974609375) (704,62.937644958496094) (543,62.82510757446289) (294,62.704444885253906) (531,62.676124572753906) (2020,62.63654708862305) (293,62.62300491333008) (1451,62.530052185058594)* (525,62.520538330078125) (67,62.516448974609375)
47: (89,69.0981216430664) (300,68.89148712158203)* (289,68.4573745727539)* (288,68.42598724365234)* (295,68.16107940673828) (679,68.0477066040039) (701,67.0706558227539)* (349,66.90608978271484) (352,66.88633728027344) (55,66.85428619384766) (704,66.83182525634766) (67,66.7996826171875) (67,66.7996826171875) (306,66.78128051757812) (544,66.5432357788086) (458,66.4012222290039) (528,66.25486755371094) (324,65.9952163696289) (802,65.8311767578125) (543,65.80160522460938)
48: (1244,72.28199005126953) (295,71.44331359863281)* (959,71.30313110351562)* (292,71.0518798828125) (903,71.03653717041016) (706,70.9668197631836) (257,70.9563980102539) (2183,70.94819641113281) (2786,70.93489074707031) (55,70.92076110839844)* (261,70.82809448242188) (300,70.80549621582031)* (302,70.7575912475586) (316,70.74842834472656) (333,70.68451690673828) (725,70.66398620605469) (291,70.4241714477539) (913,70.38211822509766) (298,70.26600646972656) (735,70.25582885742188)
49: (298,67.49314880371094) (7340,66.87955474853516) (295,66.60968017578125) (67,66.5448989868164) (67,66.5448989868164) (292,66.45805358886719) (466,66.44770050048828) (1037,66.4241943359375) (4706,66.42041778564453) (344,66.38935089111328) (2083,66.3766098022461) (4704,66.33505249023438) (309,66.27269744873047) (690,66.21894836425781) (300,66.18709564208984) (10608,66.15946960449219) (6374,66.15699005126953) (679,66.09913635253906) (2939,66.08998107910156) (691,66.06421661376953)
50: (208,77.07634735107422) (154,76.99235534667969) (234,76.90003204345703) (229,76.82677459716797)* (441,76.76266479492188) (190,76.48078918457031) (225,76.4357681274414) (203,76.42110443115234) (65,76.32968139648438)* (65,76.32968139648438)* (716,76.32656860351562) (857,76.183837890625) (1400,76.12290954589844) (3475,75.98709869384766) (709,75.71267700195312)* (3400,75.64553833007812) (2131,75.61295318603516) (1988,75.55836486816406) (429,75.55563354492188)* (420,75.45288848876953)
51: (1358,83.60000610351562)* (949,82.51399230957031)* (843,82.25381469726562) (710,81.95784759521484) (724,81.81363677978516) (198,81.62779235839844)* (1366,81.45537567138672) (957,81.40737915039062) (1364,81.29418182373047)* (1353,81.25357818603516) (1992,81.2386474609375) (1257,81.20030975341797)* (2343,81.19757843017578) (1372,81.11690521240234) (15,81.0951919555664) (7,81.09242248535156) (2342,81.03886413574219) (854,80.99341583251953) (1249,80.91014099121094)* (2347,80.84076690673828)
52: (1613,70.94993591308594) (475,70.35804748535156) (377,69.36028289794922) (2923,68.61139678955078) (7160,68.56316375732422) (1979,68.52363586425781) (842,68.233642578125) (498,68.20097351074219) (814,68.15481567382812) (3708,68.07979583740234) (2502,68.06781005859375) (198,68.0159912109375) (3462,68.01287841796875) (412,67.92440032958984) (267,67.9214859008789) (367,67.90848541259766) (230,67.81703186035156) (306,67.74981689453125) (4936,67.62782287597656) (808,67.59285736083984)
53: (1037,71.10592651367188) (5988,71.04498291015625) (1057,71.04241943359375) (288,71.00968933105469)* (161,70.83732604980469) (289,70.79589080810547)* (1613,70.72924041748047) (907,70.69497680664062) (1904,70.68122863769531) (10778,70.4338150024414) (466,70.36814880371094)* (306,70.36613464355469)* (295,70.35894012451172) (1601,70.2953109741211) (458,70.25814819335938) (793,70.14313507080078) (1449,70.0389175415039) (2179,69.96685028076172) (349,69.872802734375)* (544,69.85450744628906)
54: (89,70.52001190185547) (295,70.36751556396484) (288,70.09717559814453)* (302,69.74822235107422) (157,69.65016174316406) (300,69.56256103515625) (257,69.55685424804688) (344,69.26439666748047) (466,69.25292205810547) (299,69.18299102783203)* (679,69.12782287597656) (465,69.00640106201172)* (455,68.91706085205078) (161,68.87960815429688) (306,68.84447479248047) (352,68.8138656616211) (3575,68.75843048095703) (908,68.7229995727539) (907,68.68119812011719) (475,68.665283203125)
55: (1946,71.81858825683594) (3716,71.29443359375) (527,71.10530090332031) (2132,70.51258850097656) (1943,70.4374771118164) (547,70.32980346679688) (2923,70.23920440673828) (1972,70.21125793457031) (11204,70.20587158203125) (1622,69.9605712890625)* (207,69.94120788574219) (2135,69.88463592529297) (2921,69.82469177246094) (617,69.81842041015625) (475,69.78546142578125) (8587,69.739013671875) (271,69.71592712402344) (88,69.66209411621094) (228,69.52642822265625) (229,69.45899200439453)
56: (5630,64.28683471679688) (439,64.09111022949219) (4834,64.04505157470703) (1809,64.04215240478516) (190,63.736228942871094) (227,63.597572326660156) (18612,63.42033767700195) (6120,63.34544372558594) (6726,63.329830169677734) (7330,63.316402435302734) (159,63.31621170043945)* (1515,63.26255798339844)* (498,63.22990417480469) (18611,63.13542938232422) (9230,63.132423400878906) (4828,63.037899017333984) (4823,63.02415084838867) (708,62.95100784301758) (533,62.859947204589844) (716,62.78629684448242)
57: (333,70.33405303955078)* (1034,70.16321563720703)* (680,69.90743255615234) (377,69.70018005371094)* (2619,69.65933990478516) (687,69.57809448242188) (461,69.5526123046875) (524,69.53675079345703) (1035,69.4560317993164) (209,69.38431549072266) (693,69.32781982421875) (1047,69.19892120361328) (2435,69.13212585449219) (324,68.98456573486328) (4773,68.83972930908203) (681,68.77193450927734) (544,68.69705963134766) (679,68.66097259521484) (1246,68.64019775390625)* (528,68.40363311767578)
58: (681,74.43233489990234)* (793,74.03134155273438) (289,73.14366149902344)* (89,72.93716430664062)* (2094,72.74227905273438) (679,72.66978454589844) (466,72.58484649658203)* (646,72.55021667480469) (300,72.50204467773438)* (498,72.3825454711914) (680,72.0398178100586)* (3557,72.03105926513672) (2091,72.00167083740234) (802,72.00096893310547) (1428,71.94898986816406) (4879,71.89466857910156) (1054,71.81988525390625) (790,71.79914093017578) (3497,71.7810287475586) (1462,71.75177001953125)
59: (173,75.66619873046875) (233,75.56499481201172)* (1104,75.4604721069336)* (1099,75.38968658447266) (930,74.81455993652344) (174,74.6856918334961) (234,74.43751525878906) (2014,74.40141296386719) (181,74.27508544921875) (506,74.21430969238281) (936,74.11026000976562) (154,74.03814697265625) (2038,73.9263687133789) (1098,73.84927368164062)* (9,73.76942443847656) (1394,73.75627899169922) (370,73.62894439697266) (159,73.59205627441406) (2,73.59156036376953) (70,73.5765609741211)
60: (1747,72.16922760009766)* (10719,69.85263061523438) (454,69.6415786743164) (763,69.60520935058594) (3057,69.20963287353516) (632,69.15243530273438) (162,68.95954132080078) (13503,68.89005279541016) (1109,68.58782958984375) (190,68.42635345458984) (444,68.2275619506836) (11900,68.14048767089844) (1375,68.04933166503906) (154,68.04228973388672) (6756,68.03886413574219) (1700,68.01655578613281) (4232,67.8667984008789) (81,67.7772216796875) (604,67.6748046875) (7382,67.65532684326172)
