userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,65.89234924316406)* (1001,65.65420532226562) (187,64.37413024902344) (1073,64.36953735351562) (59,64.2488784790039)* (1824,64.08040618896484) (1014,64.03302764892578) (627,63.97802734375) (1836,63.826751708984375) (157,63.7722053527832) (3768,63.72329330444336) (4308,63.64678955078125) (1394,63.629295349121094) (1892,63.520938873291016) (3992,63.51335525512695) (70,63.407649993896484)* (175,63.354522705078125) (601,63.354087829589844) (193,63.33505630493164) (511,63.30375671386719)
13: (289,63.86760711669922) (288,63.83135986328125) (306,63.07060241699219) (679,62.84926223754883) (302,62.662776947021484)* (704,62.5391731262207) (701,62.51894760131836) (328,62.45283508300781)* (344,62.340003967285156)* (689,62.32840347290039) (291,62.187461853027344) (293,62.154510498046875) (680,62.044525146484375) (349,61.866092681884766)* (464,61.81480407714844) (324,61.761016845703125) (1934,61.68987274169922) (475,61.65517044067383) (903,61.64176940917969) (486,61.624610900878906)
14: (10761,63.07310485839844) (2902,62.95266342163086) (585,62.73686218261719)* (2842,62.58176803588867) (3024,62.54018783569336) (2893,62.46345138549805) (582,62.36634063720703)* (2419,62.2862434387207) (1227,61.877315521240234) (14080,61.872886657714844) (7148,61.82705307006836) (1220,61.7855110168457) (10766,61.7159309387207) (5382,61.71162796020508) (14079,61.635894775390625) (14020,61.60293197631836) (14086,61.598533630371094) (14078,61.542327880859375) (3439,61.51126480102539) (730,61.499664306640625)
15: (197,62.08437728881836)* (1888,61.97488021850586) (1504,61.50672149658203) (441,61.349143981933594) (859,61.211299896240234) (3299,61.19307327270508) (163,61.1740608215332) (863,61.0218505859375) (630,60.869102478027344)* (53,60.728580474853516) (53,60.728580474853516) (206,60.72401428222656) (418,60.67259216308594) (1242,60.581687927246094) (748,60.54887390136719) (59,60.49432373046875) (735,60.43539810180664) (3693,60.421165466308594) (715,60.37815475463867) (868,60.36079025268555)
16: (803,65.12407684326172) (968,64.98296356201172) (6930,64.8763427734375) (2309,64.78297424316406) (5999,64.52407836914062) (6002,64.52046203613281) (529,64.51414489746094) (677,64.23468017578125)* (972,64.21553039550781) (378,64.07906341552734) (518,64.0390625) (3951,63.969940185546875) (3367,63.82805633544922) (3961,63.70282745361328) (3982,63.69361114501953) (5063,63.67547607421875) (3572,63.662689208984375) (10130,63.62302780151367) (1440,63.52222442626953) (7243,63.344482421875)
17: (300,65.02035522460938)* (333,65.00385284423828) (1047,64.64450073242188) (1043,64.49411010742188) (471,64.278564453125) (470,64.17051696777344) (321,63.96556091308594) (291,63.935890197753906) (528,63.894596099853516)* (1246,63.7584342956543) (540,63.62226486206055) (458,63.56985092163086) (293,63.560813903808594) (318,63.421722412109375) (1038,63.40049743652344) (1684,63.40017318725586) (524,63.381710052490234) (191,63.311180114746094) (403,63.26847839355469)* (481,63.217689514160156)
18: (2346,66.75849914550781) (1249,66.7457275390625) (959,66.48802185058594) (951,66.42654418945312) (220,66.38258361816406)* (176,66.08203887939453) (1244,66.03287506103516) (2783,65.66801452636719) (966,65.62937927246094) (227,65.58619689941406)* (234,65.17212677001953) (2176,64.9909896850586) (377,64.87025451660156) (366,64.83111572265625) (2858,64.66976928710938) (184,64.66304779052734) (198,64.64151000976562) (982,64.62139129638672) (157,64.56588745117188) (2352,64.55049133300781)
20: (1222,66.69698333740234) (3703,66.0715103149414) (603,66.06996154785156) (1745,65.53589630126953) (2605,65.52680206298828) (2152,65.27725219726562) (2667,65.2282485961914) (2702,64.90823364257812) (2165,64.6438980102539) (2691,64.5589599609375) (107,64.48674011230469) (2174,64.15153503417969) (2668,64.11775970458984) (10012,64.09234619140625) (9995,64.02729797363281) (101,63.9864616394043) (6582,63.95994186401367) (5043,63.94259262084961) (2030,63.940696716308594) (137,63.88590621948242)
21: (89,67.79521942138672)* (161,67.5605697631836) (466,67.53126525878906)* (349,67.50665283203125) (257,67.31220245361328) (333,67.30103302001953) (294,67.10508728027344) (291,66.95294952392578) (265,66.95022583007812) (306,66.78395080566406)* (296,66.72455596923828) (326,66.64012145996094) (1601,66.62381744384766) (350,66.61962127685547) (652,66.60173034667969) (913,66.58665466308594) (1446,66.55095672607422) (972,66.49867248535156) (378,66.48333740234375) (334,66.36692810058594)
22: (2744,59.715538024902344) (953,59.476409912109375) (923,59.04910659790039) (2971,59.04426956176758) (835,58.95191192626953)* (5100,58.951087951660156) (1547,58.92243957519531) (2211,58.82671356201172) (2961,58.726497650146484) (1541,58.65184020996094) (4346,58.58591079711914) (2379,58.58074188232422) (1861,58.50645446777344) (2576,58.44891357421875) (2143,58.344505310058594) (2190,58.31460189819336) (5667,58.283294677734375) (2385,58.20966339111328) (4178,58.20099639892578) (3722,58.19125747680664)
23: (1534,60.974395751953125) (1083,60.70363998413086) (441,60.54823684692383) (868,60.43938446044922)* (1119,59.94466781616211) (1131,59.622154235839844) (1412,59.551170349121094) (3280,59.37717056274414) (152,59.342041015625)* (13888,59.286983489990234) (429,59.26372528076172) (154,59.171051025390625) (1703,59.113441467285156) (227,59.04429626464844)* (2531,59.03606033325195) (1886,58.961997985839844) (5913,58.93046951293945) (51,58.863189697265625) (203,58.84919357299805) (59,58.8454475402832)
24: (67,62.909812927246094)* (67,62.909812927246094)* (55,61.7379264831543)* (157,61.672630310058594)* (289,61.600318908691406)* (292,61.03992462158203) (97,61.02801513671875) (535,61.02564239501953) (1934,60.9608268737793) (295,60.90660858154297)* (906,60.90325927734375) (316,60.824947357177734)* (1243,60.82337951660156) (288,60.7753791809082)* (3488,60.77226257324219) (525,60.629981994628906) (251,60.563541412353516) (701,60.5438117980957) (261,60.53694152832031) (575,60.49677658081055)
25: (257,64.21006774902344) (292,63.964447021484375)* (349,63.825260162353516)* (299,63.74142074584961) (326,63.2819938659668) (465,63.004913330078125) (301,62.983158111572266) (89,62.96372604370117)* (161,62.909812927246094) (300,62.68180465698242) (279,62.675819396972656) (285,62.652427673339844) (306,62.65013122558594) (644,62.60934066772461) (291,62.57587432861328) (251,62.529273986816406) (525,62.510807037353516) (1602,62.50948715209961) (333,62.49028778076172) (1601,62.479248046875)
26: (1350,70.87467193603516) (1339,70.74563598632812) (710,70.0275650024414) (1132,69.64396667480469) (6129,69.60304260253906) (835,69.5009994506836) (7707,69.19126892089844) (2945,69.18257904052734) (1914,69.1512680053711) (2838,69.10456085205078) (707,69.0484848022461)* (2837,68.93966674804688) (942,68.85014343261719)* (2844,68.83068084716797) (953,68.80269622802734)* (5585,68.7328109741211) (918,68.730712890625)* (13211,68.63935852050781) (1128,68.62753295898438) (2001,68.450439453125)
27: (67,66.80586242675781)* (67,66.80586242675781)* (89,66.58384704589844) (289,66.54219055175781) (65,66.46185302734375) (65,66.46185302734375) (157,66.43412017822266) (190,66.29591369628906) (316,66.28483581542969) (1705,66.1533432006836) (378,66.10610961914062) (518,65.94556427001953) (534,65.88807678222656) (389,65.82222747802734) (333,65.81613159179688) (1121,65.78349304199219) (2446,65.77035522460938) (7,65.73859405517578) (300,65.7078628540039) (55,65.68428039550781)
28: (1885,61.84236145019531) (3966,61.463253021240234) (3768,60.969966888427734) (68,60.792091369628906) (68,60.792091369628906) (997,60.755069732666016)* (1014,60.7000617980957)* (1001,60.39079666137695)* (1019,60.33633041381836)* (5258,60.128761291503906) (93,60.05474090576172) (999,60.03974151611328)* (2936,59.91402053833008) (1076,59.89608383178711) (6073,59.86456298828125) (2562,59.847415924072266) (1892,59.7374267578125) (187,59.713340759277344) (3289,59.67803192138672) (193,59.638309478759766)*
29: (1673,65.85116577148438) (486,65.71781158447266) (461,65.70559692382812)* (344,65.51011657714844) (1043,65.4761962890625)* (466,65.35591125488281)* (458,65.30113983154297) (693,65.30049896240234) (544,65.29322814941406) (1047,65.25099182128906) (289,65.22464752197266)* (89,65.21825408935547)* (681,65.21222686767578) (377,65.19937133789062) (321,65.0958251953125) (1246,65.08765411376953) (470,65.0213623046875) (687,64.99241638183594)* (1045,64.94026947021484)* (324,64.86003112792969)
30: (89,65.09009552001953)* (681,65.02751922607422) (466,65.00762176513672) (544,64.88675689697266) (292,64.76548767089844) (464,64.74903869628906) (161,64.72835540771484) (686,64.58705139160156) (701,64.57715606689453) (306,64.57710266113281) (679,64.55928039550781)* (302,64.50614929199219) (318,64.47221374511719)* (293,64.30512237548828) (378,64.28694152832031) (475,64.22541809082031) (257,64.21392822265625) (349,64.11488342285156) (966,64.097900390625)* (458,64.01486206054688)
31: (51,62.74834060668945) (4308,62.46742630004883) (75,62.41228103637695) (75,62.41228103637695) (64,62.16014099121094) (64,62.16014099121094) (187,62.12068176269531) (1014,61.84086227416992) (153,61.77812957763672) (3501,61.66349411010742) (3768,61.48430633544922) (1793,61.41802215576172) (1886,61.27964782714844) (70,61.0390510559082) (58,61.00141525268555) (58,61.00141525268555) (1713,60.99922561645508) (1098,60.98101043701172) (157,60.955902099609375) (89,60.695655822753906)
32: (65,59.206539154052734) (65,59.206539154052734) (229,59.0482177734375) (1384,58.47392272949219) (1116,58.37761306762695) (1151,58.37300109863281) (217,58.35045623779297)* (228,58.3192024230957) (1118,58.252044677734375) (441,58.105506896972656)* (429,58.10065460205078)* (436,58.057125091552734) (1375,58.056549072265625) (221,58.02658462524414) (233,58.01936340332031) (199,57.88821029663086) (227,57.82236862182617)* (215,57.82112121582031) (182,57.778076171875) (210,57.7538948059082)
33: (506,74.84933471679688) (152,73.58226013183594)* (2312,72.94255065917969) (3417,72.75287628173828) (2304,72.60504913330078) (1123,72.46245574951172)* (162,72.34683227539062) (3405,72.26905059814453) (13502,72.24293518066406) (1418,72.12609100341797) (4143,72.08316040039062) (2006,72.0509262084961) (154,71.85586547851562) (2775,71.64839172363281) (186,71.62066650390625) (370,71.6017837524414) (2317,71.4589614868164) (9971,71.33696746826172) (1743,71.27532958984375) (2300,71.2662353515625)
34: (154,63.841094970703125) (159,63.43555450439453) (715,62.90264892578125) (511,62.725791931152344)* (429,62.396568298339844) (72,62.382530212402344)* (72,62.382530212402344)* (858,62.353065490722656) (65,62.35150146484375) (65,62.35150146484375) (986,62.28772735595703) (4649,62.16651916503906) (1121,62.151031494140625) (961,62.120277404785156) (3057,62.0245361328125) (81,61.935935974121094) (190,61.858238220214844) (206,61.828128814697266) (88,61.759185791015625) (3119,61.69160079956055)
35: (6167,63.5956916809082) (11927,63.00446319580078) (6151,62.73318099975586) (8837,62.581546783447266) (12051,62.47050094604492) (6161,62.11714553833008) (625,62.00091552734375) (5879,61.95045471191406) (1747,61.868106842041016) (16127,61.78505325317383) (3529,61.63550567626953) (9271,61.56275177001953) (6407,61.52276611328125) (633,61.451194763183594) (610,61.415802001953125) (1744,61.2340087890625) (7123,61.00098419189453) (11919,60.90547180175781) (4405,60.8463134765625) (613,60.67811965942383)
36: (498,63.320308685302734) (209,63.082374572753906)* (1672,62.8366584777832) (486,62.834754943847656) (492,62.761653900146484) (1193,62.63845443725586)* (2959,62.564327239990234) (1195,62.55279541015625)* (1188,62.537620544433594)* (1541,62.470909118652344) (1853,62.46039581298828) (1670,62.404541015625) (693,62.3357048034668) (1043,62.27141571044922)* (2850,62.22792434692383) (2619,62.08647155761719) (1040,61.9622802734375) (377,61.94083023071289) (1868,61.93354797363281) (1038,61.89501190185547)
37: (3354,71.55348205566406) (2033,71.08756256103516) (6046,70.86394500732422) (3886,70.51117706298828) (881,70.32352447509766) (3434,70.19488525390625) (5040,69.91551971435547) (592,69.79478454589844) (864,69.51146697998047) (4887,69.47119903564453) (2471,69.36128234863281) (3877,69.29347229003906) (3442,69.21217346191406) (3456,69.17913818359375) (4779,68.96515655517578) (7900,68.94529724121094) (5605,68.92097473144531) (6831,68.69046783447266) (3364,68.6695327758789) (7119,68.60406494140625)
38: (234,63.70726013183594) (220,63.59767532348633) (190,63.31241226196289)* (230,63.306793212890625) (706,63.139244079589844) (228,62.637420654296875)* (498,62.56962203979492)* (424,62.53866958618164) (163,62.47693634033203) (1412,62.440223693847656) (89,62.29555130004883)* (207,62.241310119628906) (538,62.21699523925781) (1513,62.07075881958008) (173,62.00514602661133) (707,61.99696731567383) (154,61.99131393432617) (868,61.95659255981445) (1244,61.83853530883789)* (377,61.83665084838867)
39: (2763,68.12293243408203) (370,67.91924285888672) (4271,67.35686492919922) (11,67.08956146240234) (1992,66.77140045166016) (1214,66.75865173339844) (1066,66.74004364013672) (5670,66.65782928466797) (3798,66.62928009033203) (25,66.5038833618164) (6286,66.4734878540039) (6648,66.23320007324219) (15,66.13746643066406) (2749,66.12710571289062) (5718,66.11854553222656) (34,66.07809448242188) (1710,65.95062255859375) (3809,65.9344253540039) (3806,65.88623809814453) (2167,65.85033416748047)
40: (3551,62.383209228515625) (6542,62.32992172241211) (1253,62.17885971069336) (6873,62.096351623535156) (2086,62.06441879272461) (9499,61.97210693359375) (2101,61.938621520996094) (2,61.90507888793945) (6547,61.874332427978516) (41,61.79837417602539) (37,61.77511978149414) (5093,61.74844741821289) (43,61.69464874267578) (4876,61.533180236816406) (24,61.45995330810547) (9,61.230960845947266) (13,61.17346954345703) (4318,61.13250732421875) (1270,61.11899948120117) (4874,61.097599029541016)
41: (2838,75.07347106933594) (954,74.92394256591797)* (841,73.95863342285156) (957,73.92523193359375)* (5158,73.896240234375) (956,73.87850189208984) (3476,73.6582260131836) (707,73.5994873046875) (724,73.57524871826172) (2342,73.57164001464844) (5157,73.56624603271484) (3470,73.52227783203125) (2787,73.4565200805664) (732,73.28785705566406) (2569,73.14615631103516) (710,73.05359649658203) (1522,73.00699615478516) (5688,72.96083068847656) (5668,72.91972351074219) (4680,72.83158874511719)
42: (229,60.83641815185547)* (89,60.47523498535156)* (498,60.18482971191406) (486,59.87825012207031) (362,59.78190231323242) (697,59.73809051513672) (298,59.68855667114258) (316,59.66458511352539) (333,59.62253952026367) (300,59.524776458740234) (679,59.286258697509766) (1505,59.26656723022461) (71,59.215911865234375) (71,59.215911865234375) (1243,59.20952224731445) (3057,59.041717529296875) (1470,59.00117874145508) (499,58.90355682373047) (2607,58.900848388671875) (67,58.894325256347656)
43: (2919,72.296630859375) (70,72.03095245361328)* (72,71.73492431640625) (72,71.73492431640625) (2923,71.52333068847656) (1613,70.96034240722656) (4024,70.9041519165039) (67,70.78789520263672) (67,70.78789520263672) (1401,70.60977172851562)* (1379,70.45466613769531) (69,70.41861724853516) (69,70.41861724853516) (757,70.38719177246094)* (1941,70.17131042480469) (157,70.15465545654297) (4601,70.1473388671875) (5045,70.11516571044922) (1397,70.0947265625)* (4026,70.00761413574219)
44: (1412,65.4800796508789)* (4675,65.08229064941406) (1110,64.65352630615234) (707,64.09186553955078)* (868,64.0344009399414)* (607,64.02583312988281) (1131,64.02088165283203)* (188,63.971839904785156) (1639,63.970420837402344) (234,63.953758239746094)* (2493,63.912628173828125) (2624,63.86100387573242) (856,63.691226959228516) (1372,63.63008499145508) (9716,63.597904205322266) (841,63.508846282958984) (859,63.42741394042969) (735,63.411407470703125)* (154,63.39229202270508) (1358,63.37257385253906)
45: (295,71.1337890625)* (289,70.71109771728516)* (161,70.63478088378906)* (299,70.29503631591797) (349,70.1252212524414)* (257,69.86146545410156) (466,69.78431701660156)* (913,69.54109954833984) (67,69.48268127441406) (67,69.48268127441406) (461,69.47505950927734)* (55,69.39515686035156) (308,69.35739135742188) (1475,69.29922485351562) (455,69.28607177734375) (378,69.22035217285156) (294,69.14301300048828) (326,69.08308410644531) (328,69.04879760742188) (644,68.95247650146484)
46: (466,75.11323547363281)* (701,75.01121520996094)* (543,74.81188201904297) (1452,74.6004409790039)* (528,74.18785858154297) (544,74.1786117553711) (161,73.99908447265625) (1456,73.97051239013672)* (257,73.96077728271484) (1042,73.87499237060547)* (1451,73.86367797851562)* (318,73.74053192138672) (523,73.69795227050781) (344,73.6805191040039)* (2990,73.65484619140625) (2020,73.56346130371094) (352,73.53792572021484)* (790,73.4568099975586) (67,73.4522705078125) (67,73.4522705078125)
47: (289,64.437255859375)* (300,64.42655181884766)* (288,64.24908447265625)* (295,63.853424072265625) (89,63.83403015136719) (701,63.67069625854492)* (679,63.642250061035156) (306,63.152191162109375) (349,63.11283493041992) (544,62.865665435791016) (294,62.72648620605469)* (321,62.702423095703125) (455,62.686771392822266)* (67,62.66184616088867) (67,62.66184616088867) (161,62.51869201660156) (329,62.45438003540039) (704,62.38816452026367) (290,62.34740447998047) (378,62.31209182739258)
48: (261,63.24309158325195) (6722,62.950252532958984) (295,62.866092681884766)* (292,62.811370849609375) (251,62.72488784790039) (1775,62.656253814697266) (257,62.61990737915039) (2523,62.51449966430664) (2031,62.33059310913086) (253,62.28063201904297) (349,62.1995849609375) (714,62.091529846191406) (300,62.02619934082031)* (455,62.017574310302734) (55,62.0085334777832)* (1556,61.88613510131836) (1241,61.87176513671875) (1244,61.777076721191406) (1771,61.75938415527344) (913,61.73314666748047)
49: (2086,69.41197204589844) (374,69.05546569824219) (2094,68.93013763427734) (5412,68.22027587890625) (2089,68.17354583740234) (2101,68.1491928100586) (2092,68.064697265625) (400,68.01454162597656) (2083,67.99030303955078) (690,67.91329193115234) (9718,67.56942749023438) (67,67.5195083618164) (67,67.5195083618164) (8674,67.44408416748047) (4704,67.42576599121094) (532,67.35981750488281) (2521,67.3050308227539) (4706,67.21092224121094) (1918,67.18355560302734) (548,67.16531372070312)
50: (709,58.96321105957031)* (716,57.96556091308594) (203,57.91053771972656) (208,57.70266342163086) (857,57.670650482177734) (429,57.487396240234375)* (229,57.473941802978516)* (234,57.31168746948242) (226,57.26705551147461) (441,57.11204147338867) (225,57.07718276977539) (432,56.94333267211914) (614,56.79515838623047) (1977,56.782798767089844) (425,56.700233459472656) (2131,56.63313674926758) (154,56.60951232910156) (1412,56.54024887084961)* (859,56.44633102416992) (3475,56.37729263305664)
51: (1358,73.20314025878906)* (843,72.51872253417969) (949,72.46650695800781)* (821,71.8388442993164) (1257,71.78201293945312)* (920,71.55286407470703) (1281,71.50790405273438) (1372,71.359619140625) (1992,71.33232879638672) (957,71.11737823486328) (1254,71.09367370605469) (15,71.0343017578125) (1364,70.81290435791016)* (1110,70.77486419677734) (724,70.74874877929688) (710,70.67005920410156) (370,70.66918182373047) (1206,70.63984680175781) (922,70.61154174804688) (953,70.59235382080078)
52: (5066,74.32131958007812) (8261,73.69268798828125) (240,73.68500518798828) (1979,73.07067108154297) (819,72.94920349121094) (823,72.8303451538086) (2187,72.65213012695312) (198,72.63050842285156) (10320,72.60814666748047) (4344,72.52996063232422) (1555,72.47205352783203)* (6014,72.44275665283203) (3043,72.4167251586914) (475,72.4076919555664) (1196,72.31097412109375)* (412,72.22294616699219) (11004,72.09257507324219) (377,72.05118560791016) (831,72.04270935058594)* (220,71.93805694580078)
53: (288,69.17057037353516)* (295,68.84636688232422) (317,68.7907943725586) (1449,68.65689086914062) (4688,68.63885498046875) (1444,68.6283950805664) (2092,68.61033630371094) (289,68.57490539550781)* (907,68.5427474975586) (466,68.5403823852539)* (5988,68.48001098632812) (308,68.46866607666016) (306,68.2876968383789)* (468,68.27717590332031) (7340,68.16221618652344) (1037,68.13780212402344) (388,68.07275390625) (161,68.06006622314453) (327,68.04370880126953) (328,67.93716430664062)
54: (295,65.04637145996094) (288,65.03752899169922)* (257,64.96219635009766) (299,64.70330047607422)* (89,64.61577606201172) (301,64.48240661621094) (285,64.21957397460938) (306,64.21087646484375) (294,64.19963836669922) (302,64.1016845703125) (157,64.1010513305664) (300,63.95245361328125) (913,63.805721282958984)* (328,63.48500442504883) (466,63.35430908203125) (332,63.2822151184082) (320,63.281211853027344)* (326,63.26693344116211) (251,63.224117279052734) (314,63.06577682495117)
55: (3357,73.73455810546875) (2226,72.70389556884766) (3227,72.59461212158203) (6226,72.45443725585938) (3823,72.17960357666016) (1963,72.0982437133789) (13624,71.87641906738281) (2179,71.85276794433594) (1979,71.64240264892578) (547,71.56425476074219) (2252,71.42474365234375) (6901,71.27208709716797) (2923,71.25288391113281) (527,71.19161987304688) (11401,71.17636108398438) (286,71.08624267578125) (1952,70.93556213378906) (88,70.86038208007812) (1948,70.84391021728516) (1610,70.7084732055664)*
56: (1755,67.80789947509766) (6120,67.79681396484375) (439,67.58981323242188) (5630,67.10066223144531) (924,66.69868469238281) (4087,66.44332885742188) (5441,66.403564453125) (1766,66.29141235351562) (4164,66.20726776123047) (705,66.13689422607422) (1681,66.06449890136719) (4823,66.01322937011719) (4828,65.9791030883789) (3746,65.97653198242188) (840,65.80521392822266) (714,65.76089477539062) (220,65.64643859863281) (4834,65.60128784179688) (227,65.57499694824219) (2661,65.56184387207031)
57: (693,65.15115356445312) (333,65.05973052978516)* (687,65.05521392822266) (324,64.78955841064453) (1047,64.78224182128906) (679,64.77024841308594) (461,64.75110626220703) (1246,64.5254135131836)* (1035,64.46538543701172) (681,64.44927978515625) (209,64.4449462890625) (540,64.40126037597656) (458,64.39710998535156) (680,64.3002700805664) (544,64.28369903564453) (1034,64.22025299072266)* (524,64.16309356689453) (377,64.13603210449219)* (5749,63.96961212158203) (6448,63.91133117675781)
58: (681,73.88032531738281)* (2439,72.93942260742188) (1447,72.87923431396484) (793,72.84347534179688) (466,72.15502166748047)* (300,72.12376403808594)* (289,72.08345031738281)* (679,71.98440551757812) (456,71.92747497558594) (692,71.88162994384766) (2977,71.80111694335938) (498,71.75700378417969) (1054,71.52775573730469) (5267,71.52723693847656) (685,71.41234588623047) (528,71.34786224365234) (1470,71.30290222167969) (471,71.2888412475586) (257,71.25440979003906) (342,71.22178649902344)
59: (1104,66.40777587890625)* (233,66.12115478515625)* (1099,65.19156646728516) (70,65.1621322631836) (173,65.01983642578125) (174,64.54984283447266) (162,64.36677551269531) (370,64.270263671875) (512,64.1543197631836)* (198,64.13761901855469) (39,64.1103286743164) (181,64.099853515625) (1072,64.06050109863281) (854,63.925960540771484) (1787,63.92436218261719) (1098,63.88081741333008)* (1119,63.86073303222656) (64,63.78215789794922) (64,63.78215789794922) (234,63.76988983154297)
60: (632,66.2118148803711) (3902,66.02103424072266) (81,65.80419158935547) (1098,65.7169418334961) (1123,65.71387481689453) (154,65.52399444580078) (9971,65.4483413696289) (1109,65.4347152709961) (3884,65.34697723388672) (10719,65.34001159667969) (2775,65.08523559570312) (7382,65.07101440429688) (162,65.06893920898438) (697,64.9770278930664) (3057,64.8963394165039) (3280,64.73080444335938) (1139,64.64422607421875) (3290,64.64348602294922) (3411,64.63607025146484) (238,64.60357666015625)
