userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,60.729061126708984) (51,60.478668212890625)* (4308,60.35188293457031) (1073,60.26145935058594) (1014,60.11940383911133) (187,60.02652359008789) (59,59.92206573486328)* (1713,59.8930549621582) (1098,59.7582893371582) (1072,59.57716751098633) (1892,59.5313835144043) (1885,59.50275802612305) (3768,59.46878433227539) (1836,59.41993713378906) (11794,59.418235778808594) (3501,59.34492492675781) (1394,59.28071212768555) (157,59.23124694824219) (1062,59.20265197753906) (70,59.15004348754883)*
18: (959,58.05424880981445) (1249,57.777870178222656) (227,57.40785598754883)* (1244,57.200618743896484) (1412,57.08618927001953) (176,56.986900329589844) (917,56.981361389160156) (234,56.90821838378906) (157,56.8704948425293) (735,56.81636428833008)* (2346,56.80584716796875) (220,56.80372619628906)* (868,56.72939682006836) (2343,56.679595947265625) (951,56.54368591308594) (975,56.44190216064453) (1415,56.291446685791016) (1513,56.24116897583008) (562,56.015193939208984) (982,55.90110397338867)
20: (1222,61.44200897216797) (603,61.32076644897461) (3703,61.32011413574219) (1745,61.07012939453125) (2667,60.91038513183594) (2676,60.875205993652344) (2702,60.76627731323242) (2605,60.735145568847656) (9672,60.72975158691406) (11204,60.654624938964844) (2679,60.57612991333008) (107,60.49639892578125) (2668,60.45659255981445) (7079,60.373329162597656) (3707,60.35051345825195) (2270,60.221580505371094) (2158,60.191871643066406) (605,60.18813705444336) (2716,60.161006927490234) (162,60.159732818603516)
21: (265,63.553314208984375) (257,62.6848030090332) (906,62.66814041137695) (161,62.628536224365234) (334,62.5800666809082) (909,62.57912826538086) (89,62.57097244262695)* (3199,62.56550598144531) (296,62.39143753051758) (2523,62.377166748046875) (479,62.33832550048828) (291,62.31867599487305) (349,62.30073547363281) (354,62.25125503540039) (2024,62.20061111450195) (2076,62.09109115600586) (3576,62.08441162109375) (3570,62.06947708129883) (294,62.04369354248047) (972,62.03411102294922)
22: (500,62.11421203613281) (779,62.11272430419922) (1541,61.70621871948242) (497,61.66960144042969) (978,61.640037536621094) (953,61.5589485168457) (923,61.47284698486328) (2744,61.46546173095703) (7639,61.3029899597168) (1044,61.29849624633789) (1672,61.240211486816406) (5667,61.19208526611328) (1547,61.19019317626953) (2379,61.18091583251953) (519,61.13764190673828) (2850,61.1357421875) (1861,61.12437057495117) (5100,61.1230354309082) (785,61.10070037841797) (2586,61.08454132080078)
23: (1119,56.62297821044922) (59,56.55862045288086) (441,56.43687057495117) (186,56.22251510620117) (152,56.12434768676758)* (429,56.07734680175781) (1131,56.026954650878906) (5237,55.76813888549805) (1534,55.741153717041016) (154,55.708248138427734) (864,55.679569244384766)* (1083,55.647098541259766) (868,55.457359313964844)* (3280,55.43867111206055) (81,55.40145492553711) (188,55.36097717285156) (227,55.29371643066406)* (418,55.12961959838867) (1812,55.12956237792969) (1110,55.04876708984375)
24: (67,61.21454620361328)* (67,61.21454620361328)* (157,60.46409606933594)* (97,60.38039016723633) (55,60.350502014160156)* (1464,60.29487991333008) (58,60.26585388183594) (58,60.26585388183594) (3488,60.19398498535156) (3110,60.141727447509766) (1934,59.942012786865234) (697,59.886287689208984) (316,59.86616897583008)* (961,59.848114013671875) (265,59.827335357666016) (1243,59.78501892089844) (1081,59.68428421020508) (2083,59.651573181152344) (1098,59.64385986328125) (1383,59.623268127441406)
25: (257,59.91383743286133) (292,59.77311706542969)* (161,59.73265075683594) (89,59.56884765625)* (349,59.55119323730469)* (265,59.40868377685547) (299,59.3544807434082) (306,59.27302169799805) (291,59.17140579223633) (300,59.082027435302734) (465,59.008323669433594) (301,58.94503402709961) (525,58.820152282714844) (466,58.72315216064453) (333,58.672882080078125) (461,58.666263580322266) (251,58.55629348754883) (544,58.410762786865234) (972,58.410728454589844) (285,58.39510726928711)
26: (1803,66.00053405761719) (707,65.60322570800781)* (918,64.80596923828125)* (4180,64.64910888671875) (2343,64.55803680419922) (1339,64.54814147949219) (4342,64.51419067382812) (1338,64.47917175292969) (1358,64.44526672363281) (4807,64.13617706298828) (1808,64.10794830322266) (843,64.07801818847656) (2797,63.9271125793457) (2654,63.92027282714844) (710,63.8801155090332) (706,63.835784912109375) (10460,63.777469635009766) (1654,63.77108383178711) (1249,63.71756362915039) (5011,63.70474624633789)
27: (190,62.61744689941406) (157,62.44245529174805) (65,62.39846420288086) (65,62.39846420288086) (227,62.300086975097656) (475,62.24143600463867) (173,61.916656494140625) (89,61.745513916015625) (72,61.676578521728516) (72,61.676578521728516) (67,61.64620590209961)* (67,61.64620590209961)* (7,61.63663864135742) (377,61.55899429321289) (159,61.52145767211914) (511,61.4590950012207) (378,61.456443786621094) (229,61.388755798339844) (1104,61.36927032470703) (154,61.34651184082031)
28: (187,66.66373443603516) (1001,66.47499084472656)* (1114,66.46330261230469) (3966,66.4143295288086) (157,66.32936096191406) (877,66.26683044433594) (67,66.2259750366211) (67,66.2259750366211) (1014,65.80406188964844)* (1064,65.7892837524414) (6527,65.76084899902344) (997,65.74501037597656)* (6232,65.74472045898438) (9869,65.63085174560547) (1885,65.48204040527344) (930,65.46576690673828) (4880,65.44650268554688) (175,65.35533905029297) (972,65.3269271850586) (55,65.22000122070312)
29: (461,57.70113754272461)* (466,57.626800537109375)* (289,57.58686447143555)* (89,57.520469665527344)* (1246,57.26598358154297) (1047,57.23847198486328) (544,57.15810775756836) (377,57.07484436035156) (486,57.05682373046875) (1673,56.92774963378906) (344,56.86021423339844) (230,56.797767639160156) (1045,56.75669479370117)* (475,56.72934341430664) (295,56.69877624511719) (1043,56.651302337646484)* (540,56.605525970458984) (701,56.48942184448242) (542,56.47881317138672) (1659,56.475250244140625)
30: (466,60.7384033203125) (306,60.687198638916016) (475,60.63026428222656) (89,60.62051010131836)* (701,60.49428176879883) (292,60.38672637939453) (302,60.30228805541992) (161,60.12825012207031) (257,60.099056243896484) (349,60.098388671875) (544,60.08906555175781) (329,60.01131057739258) (1455,59.99781799316406) (318,59.96712112426758)* (1042,59.84415054321289) (294,59.82610321044922) (293,59.82084274291992) (458,59.807273864746094) (464,59.78339767456055) (468,59.75375747680664)
31: (4308,59.885677337646484) (51,59.7708625793457) (30,59.75646209716797)* (3183,59.726295471191406) (1014,59.5914306640625) (187,59.51720428466797) (997,59.45606231689453) (36,59.41221618652344) (3988,59.328712463378906) (9869,59.18267822265625) (1713,59.13914108276367) (1885,59.07278060913086) (1072,59.03589630126953)* (6527,59.03453063964844) (75,58.972259521484375) (75,58.972259521484375) (522,58.86922073364258) (8144,58.812713623046875) (32,58.806785583496094) (877,58.777015686035156)
32: (227,51.694297790527344)* (424,51.28298568725586) (228,51.22032928466797) (429,51.14180374145508)* (226,50.97873306274414) (199,50.914608001708984) (229,50.80472946166992) (1239,50.7635498046875) (716,50.71944808959961) (56,50.66082763671875) (56,50.66082763671875) (428,50.359615325927734)* (163,50.3201904296875) (614,50.31602478027344) (436,50.30583190917969) (207,50.276798248291016) (1116,50.274864196777344) (441,50.20902633666992)* (225,50.048404693603516) (709,50.0301399230957)
33: (875,63.528709411621094) (72,63.27680969238281) (72,63.27680969238281) (159,62.84329605102539) (861,62.62424850463867) (867,62.551658630371094) (1707,62.491676330566406) (163,62.4464111328125) (156,62.43107223510742) (370,62.38589096069336) (1534,62.38066864013672) (1295,62.20876693725586) (599,62.19236755371094) (59,62.159393310546875) (506,62.12950897216797) (1104,62.08223342895508) (1083,62.03759002685547) (1298,62.02165985107422) (152,61.85263442993164)* (450,61.83910369873047)
34: (429,63.392333984375) (159,63.05357360839844) (961,62.6011848449707) (715,62.34099197387695) (620,62.198665618896484) (172,61.854190826416016) (511,61.639404296875)* (3110,61.626956939697266) (190,61.61994934082031) (1883,61.61799621582031) (1242,61.59967803955078) (11230,61.59050369262695) (867,61.589149475097656) (1231,61.58905792236328) (81,61.52153015136719) (72,61.4402961730957)* (72,61.4402961730957)* (229,61.4162483215332)* (3057,61.389835357666016) (858,61.375282287597656)
35: (875,65.34444427490234) (2485,65.00487518310547) (3432,64.57701110839844) (6410,64.50991821289062) (1217,64.47102355957031) (2480,64.37369537353516) (2026,64.23458862304688) (1120,64.22742462158203) (1837,64.17935180664062) (10596,64.01773071289062) (1203,63.88694763183594) (867,63.827091217041016) (3095,63.79982376098633) (1213,63.58565902709961) (2471,63.49891662597656) (5658,63.42644119262695) (3431,63.352779388427734) (8680,63.312652587890625) (3430,63.2503662109375) (5911,63.21589660644531)
36: (498,61.38874053955078) (1188,60.761924743652344)* (1672,60.55149841308594) (1541,60.3934326171875) (209,60.361785888671875)* (377,60.3573112487793) (1246,60.325008392333984) (486,60.18361282348633) (1195,60.1619758605957)* (2850,60.159576416015625) (2661,60.133689880371094) (1868,60.0775146484375) (1678,60.030181884765625) (813,59.88188934326172) (412,59.80337905883789) (488,59.78749465942383)* (1670,59.760650634765625) (2619,59.76064682006836) (492,59.731842041015625) (1200,59.72764205932617)*
37: (162,65.59567260742188) (3417,65.18384552001953) (154,65.1121826171875) (1418,65.03983306884766) (861,64.9617691040039) (1708,64.73651123046875) (418,64.7313232421875) (163,64.650390625) (159,64.57771301269531) (81,64.46903991699219) (3886,64.45881652832031) (1131,64.41020202636719) (1743,64.34976959228516) (1109,64.30638122558594) (429,64.25748443603516) (632,64.24429321289062) (748,64.20570373535156) (206,64.17330169677734) (3531,64.15524291992188) (603,64.14768981933594)
38: (220,49.55854415893555) (190,49.493717193603516)* (234,49.40934753417969) (424,48.99740982055664) (228,48.99052810668945)* (903,48.946083068847656) (230,48.87057113647461) (207,48.8387451171875) (706,48.78505325317383) (89,48.7085075378418)* (173,48.49199295043945) (67,48.34348678588867) (67,48.34348678588867) (377,48.3330078125) (475,48.315704345703125) (1513,48.31549835205078) (716,48.27186584472656) (439,48.25825500488281) (157,48.247745513916016) (159,48.20526123046875)
39: (1214,67.25157165527344) (11,67.1468734741211) (4271,67.1288833618164) (864,66.71270751953125) (1293,66.69551086425781) (6648,66.65631103515625) (11191,66.53850555419922) (34,66.30492401123047) (3531,66.18256378173828) (841,66.17637634277344)* (27,66.1546630859375) (949,66.09446716308594) (2763,66.09249877929688) (6277,65.96275329589844) (1264,65.91454315185547)* (876,65.86372375488281) (3806,65.83533477783203) (4875,65.83349609375) (10,65.78278350830078) (5718,65.7626724243164)
40: (1029,65.98377227783203) (6878,65.74934387207031) (3087,65.70279693603516) (41,65.64256286621094) (11194,65.63996887207031) (11,65.6218032836914) (37,65.52544403076172) (5484,65.4051284790039) (4876,65.35453033447266) (6875,65.34354400634766) (31,65.13585662841797) (17,65.04183959960938) (9,65.03233337402344) (5581,65.01676177978516) (1277,64.98474884033203) (10,64.88805389404297) (14285,64.88614654541016) (49,64.82194519042969) (6547,64.79348754882812) (1253,64.79054260253906)
41: (841,63.499061584472656) (1535,62.561702728271484) (707,62.553993225097656) (843,62.105228424072266)* (949,62.102718353271484) (710,61.890159606933594) (1531,61.832542419433594) (947,61.8318977355957)* (954,61.83161163330078)* (1257,61.75595474243164)* (957,61.743202209472656)* (923,61.69989013671875) (956,61.6973991394043) (6,61.686275482177734) (5157,61.65150833129883) (937,61.5863037109375) (1523,61.4056396484375) (2838,61.354705810546875) (1522,61.338165283203125) (3509,61.32365036010742)
42: (227,57.188175201416016) (89,57.16446304321289)* (229,56.943424224853516)* (67,56.850982666015625) (67,56.850982666015625) (903,56.82618713378906) (316,56.794822692871094) (157,56.65303039550781) (298,56.59883499145508) (3057,56.47077178955078) (538,56.42840576171875)* (333,56.40194320678711) (355,56.32048416137695) (679,56.23134231567383) (1934,56.21821594238281) (300,56.21593475341797) (533,56.13629913330078) (511,56.084197998046875)* (475,56.08383560180664) (230,56.03361511230469)
43: (70,49.651554107666016)* (1379,49.436492919921875) (72,49.260074615478516) (72,49.260074615478516) (173,49.045406341552734) (1075,48.80545425415039) (1397,48.72883224487305)* (420,48.711463928222656) (969,48.70260238647461) (7324,48.6878776550293) (1941,48.591976165771484) (757,48.5362434387207)* (1055,48.52070999145508) (2083,48.463008880615234) (1713,48.45366287231445) (4725,48.444610595703125) (1405,48.419429779052734)* (547,48.36501693725586) (229,48.360816955566406)* (66,48.30179977416992)
44: (1412,54.967742919921875)* (1110,54.95709991455078) (868,54.79705047607422)* (707,54.72115707397461)* (188,54.63795852661133) (3444,54.4013786315918) (1131,54.23210525512695)* (1639,54.22533416748047) (855,54.16988754272461) (212,54.15634536743164) (186,54.10154724121094) (856,54.068477630615234) (234,53.92015838623047)* (857,53.916160583496094) (1425,53.79020309448242)* (159,53.766265869140625) (599,53.75892639160156) (735,53.715126037597656)* (920,53.67787551879883) (429,53.64632034301758)
45: (161,63.08292770385742)* (289,62.34086608886719)* (257,62.304683685302734) (294,62.28849792480469) (295,62.203426361083984)* (360,62.108890533447266) (913,61.84646224975586) (329,61.79386520385742) (291,61.786563873291016)* (349,61.78281021118164)* (465,61.77040481567383) (265,61.618141174316406) (641,61.54335403442383)* (356,61.472503662109375) (1489,61.37350845336914) (461,61.34690475463867)* (67,61.30723571777344) (67,61.30723571777344) (299,61.24671936035156) (455,61.242679595947266)
46: (466,52.392578125)* (701,52.17747497558594)* (318,51.782958984375) (544,51.76806640625) (320,51.63692092895508)* (257,51.59523010253906) (55,51.572540283203125) (1456,51.44002914428711)* (352,51.413841247558594)* (329,51.40546798706055) (293,51.400882720947266) (523,51.37169647216797) (531,51.353515625) (528,51.337120056152344) (310,51.295536041259766) (543,51.286842346191406) (525,51.21563720703125) (67,51.199058532714844) (67,51.199058532714844) (2020,51.16836929321289)
47: (289,56.85422134399414)* (300,56.62828063964844)* (288,56.412139892578125)* (89,56.33998489379883) (295,56.301597595214844) (701,56.244102478027344)* (679,55.957176208496094) (306,55.789852142333984) (544,55.6804313659668) (67,55.446136474609375) (67,55.446136474609375) (349,55.37649917602539) (55,55.219966888427734) (802,55.07065200805664) (458,54.96299362182617) (528,54.87764358520508) (329,54.86321258544922) (161,54.84030532836914) (320,54.752593994140625) (455,54.70311737060547)*
48: (6722,55.53044128417969) (1771,55.363624572753906) (6721,55.3077392578125) (55,55.122337341308594)* (261,55.01747131347656) (1000,54.98445129394531) (1244,54.92259216308594) (295,54.89960479736328)* (6640,54.8352165222168) (2523,54.81269836425781) (300,54.747554779052734)* (292,54.7437858581543) (316,54.72074890136719) (725,54.71986770629883) (302,54.716426849365234) (903,54.670509338378906) (3332,54.646358489990234) (2183,54.57697296142578) (257,54.539554595947266) (1556,54.50697326660156)
49: (1934,62.93152618408203) (3057,62.89849853515625) (331,62.86186981201172) (548,62.851593017578125) (697,62.7596435546875) (1609,62.69073486328125) (527,62.6125373840332) (2083,62.591278076171875) (6389,62.556148529052734) (1383,62.542213439941406) (474,62.50200653076172) (71,62.491294860839844) (71,62.491294860839844) (691,62.42579650878906) (65,62.2988395690918) (65,62.2988395690918) (981,62.2834587097168) (301,62.23949432373047) (423,62.231956481933594) (914,62.17624282836914)
50: (716,48.38364791870117) (190,48.362369537353516) (229,48.35070037841797)* (65,48.30936050415039)* (65,48.30936050415039)* (234,48.28474426269531) (439,48.2044677734375) (154,48.19135665893555) (226,48.0987548828125) (709,48.05472946166992)* (56,47.82011032104492)* (56,47.82011032104492)* (1239,47.79911422729492) (429,47.71268081665039)* (203,47.66092300415039) (225,47.63027572631836) (614,47.565956115722656) (436,47.534236907958984) (903,47.47993469238281) (230,47.35409927368164)*
51: (1358,56.71946716308594)* (843,56.52347183227539) (949,55.90927505493164)* (920,55.63422393798828) (1364,55.599674224853516)* (1372,55.549015045166016) (710,55.31049346923828) (957,55.2834587097168) (854,55.243446350097656) (2343,55.19985580444336) (1257,55.1801872253418)* (2360,55.0634765625) (198,55.03667449951172)* (1249,55.00557327270508)* (2342,54.98360061645508) (1337,54.92734146118164)* (724,54.884056091308594) (1110,54.80149459838867) (7423,54.648067474365234) (1974,54.61433410644531)
52: (779,64.41488647460938) (475,64.08061981201172) (814,63.745357513427734) (377,63.66463851928711) (808,63.63413619995117) (1541,63.0703239440918)* (1179,62.98867416381836) (1678,62.98194122314453) (497,62.95694351196289) (2247,62.93828582763672) (813,62.93369674682617) (198,62.81926345825195) (768,62.787723541259766) (1195,62.771549224853516) (460,62.729068756103516) (486,62.693756103515625) (1863,62.678287506103516) (1186,62.67763137817383) (6618,62.67094421386719) (527,62.63664245605469)
53: (1449,58.09109115600586) (317,57.72065734863281) (468,57.666622161865234) (288,57.57799530029297)* (5988,57.50300979614258) (306,57.48344039916992)* (295,57.470481872558594) (1037,57.40599060058594) (907,57.40019989013672) (1613,57.38803482055664) (2990,57.346351623535156) (1444,57.24974060058594) (328,57.21852493286133) (327,57.13017272949219) (289,57.08525085449219)* (349,57.01066207885742)* (484,56.95622634887695) (314,56.93557357788086) (466,56.87051010131836)* (1042,56.865394592285156)
54: (257,60.80240249633789) (295,60.78873825073242) (288,60.624053955078125)* (89,60.52794647216797) (265,60.44316101074219) (302,60.32112121582031) (161,60.266822814941406) (300,60.10299301147461) (301,60.10029220581055) (294,60.07390213012695) (306,60.000267028808594) (299,59.86623764038086)* (913,59.80339813232422)* (157,59.80125427246094) (465,59.78141403198242)* (679,59.758026123046875) (251,59.52486038208008) (466,59.50799560546875) (461,59.50537109375) (344,59.398311614990234)
55: (271,62.449188232421875) (527,62.41297149658203) (617,62.17530822753906) (1839,61.90336608886719) (2923,61.5235710144043) (2921,61.500728607177734) (249,61.479583740234375) (3227,61.44751739501953) (2226,61.29322814941406) (11401,61.289676666259766) (1943,61.22169876098633) (3132,61.19253921508789) (1952,60.92321014404297) (1963,60.68293762207031) (3317,60.57942581176758) (3462,60.53748321533203) (3710,60.46591567993164) (1622,60.44805145263672)* (284,60.42571258544922) (10399,60.39498519897461)
56: (439,55.10555648803711) (4164,55.082828521728516) (4793,54.547706604003906) (3747,54.428165435791016) (2660,54.38240432739258) (5630,54.260738372802734) (422,54.1679801940918) (3743,54.13628387451172) (3740,54.11332702636719) (227,54.08930587768555) (4834,54.047916412353516) (1766,53.9549674987793) (1239,53.95284652709961) (3746,53.93798065185547) (533,53.88532638549805) (706,53.82102584838867) (705,53.794288635253906) (4848,53.761375427246094) (3744,53.72571563720703) (8713,53.567047119140625)
57: (1246,57.71429443359375)* (377,57.561092376708984)* (333,57.52910232543945)* (209,57.35892105102539) (540,57.33031463623047) (461,57.146705627441406) (544,57.118385314941406) (1047,57.05673599243164) (524,56.97248840332031) (1672,56.917911529541016)* (537,56.895782470703125) (1034,56.83073806762695)* (230,56.78912353515625) (475,56.779541015625)* (2619,56.670867919921875) (679,56.662723541259766) (693,56.545326232910156) (687,56.536895751953125) (4773,56.53049850463867) (488,56.41648483276367)
58: (289,63.95176696777344)* (498,63.9384765625) (300,63.897499084472656)* (89,63.664676666259766)* (679,63.64713668823242) (2498,63.55670928955078) (466,63.455894470214844)* (681,63.428367614746094)* (544,63.36210632324219) (646,63.341373443603516) (680,63.24235153198242)* (790,63.168251037597656) (802,63.063232421875) (378,63.03718185424805) (1428,63.01588821411133) (1034,63.00156021118164) (2801,62.989322662353516) (288,62.96589660644531)* (302,62.85385513305664)* (972,62.82200622558594)
59: (1104,56.59731674194336)* (1099,55.6269416809082) (233,55.553184509277344)* (173,55.524837493896484) (70,55.220340728759766) (1072,54.92292404174805) (234,54.78074645996094) (159,54.76359939575195) (1075,54.63114929199219) (1394,54.53450393676758) (163,54.43275451660156) (959,54.355621337890625) (198,54.32636642456055) (1061,54.317787170410156) (154,54.301536560058594) (51,54.2802734375) (1098,54.24290084838867)* (39,54.203514099121094) (506,54.17890548706055) (174,54.15742492675781)
60: (196,63.61642074584961) (199,63.22291564941406) (154,63.22037887573242) (429,63.15808868408203) (629,63.07758331298828) (632,63.012916564941406) (3902,62.91244888305664) (604,62.81654739379883) (206,62.792945861816406) (416,62.71698760986328)* (223,62.71450424194336) (454,62.65510559082031) (81,62.59284591674805) (1167,62.57952117919922) (618,62.56675338745117) (3057,62.555274963378906) (231,62.54890441894531) (1747,62.462860107421875)* (445,62.45855712890625) (622,62.41335678100586)
