userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (157,11.638233184814453) (1001,11.373764038085938) (1394,11.122992515563965) (1713,10.931801795959473) (159,10.276026725769043) (156,10.232832908630371) (603,10.231363296508789) (187,10.127117156982422) (172,9.9810791015625) (59,9.789396286010742)* (1790,9.75740909576416) (1061,9.614583015441895) (51,9.42298412322998)* (1062,9.356060981750488) (238,9.347040176391602) (1073,9.316446304321289) (190,9.229035377502441) (429,9.221417427062988) (4153,9.220003128051758) (70,9.199180603027344)*
16: (6659,10.108597755432129) (1482,9.851238250732422) (6657,9.312127113342285) (974,9.234183311462402) (530,9.15609359741211) (1489,9.135948181152344) (4766,8.972548484802246) (1127,8.831732749938965) (11583,8.790035247802734) (1740,8.634204864501953) (3879,8.496333122253418) (15417,8.47436237335205) (529,8.39738655090332) (4861,8.028106689453125) (15419,8.018851280212402) (2052,7.949549674987793) (297,7.8874335289001465) (10992,7.883429527282715) (5678,7.788588047027588) (9660,7.77384090423584)
17: (306,12.134796142578125)* (403,11.166528701782227)* (689,11.08464527130127)* (701,10.895476341247559)* (321,10.865614891052246) (1246,10.798530578613281) (470,10.588976860046387) (1047,10.545722007751465) (333,10.431180953979492) (1032,10.421895980834961) (524,10.333474159240723) (523,10.322137832641602) (2020,10.322117805480957) (1037,10.319111824035645) (300,10.257942199707031)* (458,10.196371078491211) (528,10.187494277954102)* (481,10.041312217712402) (3712,9.943201065063477) (455,9.887970924377441)
18: (1412,11.868921279907227) (868,11.816802024841309) (959,11.358414649963379) (157,11.079559326171875) (1249,10.695280075073242) (1464,10.601275444030762) (166,10.570335388183594) (2346,10.568479537963867) (1244,10.336081504821777) (1415,10.306583404541016) (227,10.284343719482422)* (316,10.007692337036133) (176,9.960281372070312) (951,9.956769943237305) (1122,9.78785228729248) (917,9.783027648925781) (180,9.516190528869629) (220,9.50706958770752)* (2783,9.463376998901367) (952,9.401677131652832)
20: (603,11.88814926147461) (1790,11.682623863220215) (3132,10.660037994384766) (2605,10.476312637329102) (2716,10.384194374084473) (3703,10.150925636291504) (107,9.89153003692627) (3685,9.560399055480957) (1418,9.422548294067383) (1099,9.398393630981445) (617,9.352653503417969) (661,9.320619583129883) (2676,9.28451156616211) (1401,9.198598861694336) (1222,9.173267364501953) (6667,9.0667085647583) (238,8.99870491027832) (2148,8.983501434326172) (755,8.931926727294922)* (2668,8.916121482849121)
21: (306,12.51821517944336)* (294,11.849184036254883) (525,11.618038177490234) (349,11.515127182006836) (320,11.298059463500977) (2523,11.173713684082031) (455,11.008940696716309) (161,10.765856742858887) (257,10.448173522949219) (972,10.347185134887695) (913,10.336282730102539) (329,10.136394500732422) (265,10.102724075317383) (340,9.945499420166016) (291,9.833736419677734) (641,9.778860092163086) (89,9.76568603515625)* (790,9.632841110229492)* (301,9.606794357299805) (3063,9.470315933227539)
22: (809,12.431469917297363)* (1558,11.6097412109375) (785,11.58200454711914) (3549,11.219669342041016) (8261,10.677261352539062) (1281,10.605371475219727) (1259,10.541576385498047) (831,10.469564437866211)* (1570,10.399737358093262) (1547,10.126914978027344) (953,10.11288070678711) (4511,10.052436828613281) (3545,9.98791217803955) (843,9.936946868896484)* (198,9.814680099487305) (1549,9.699789047241211) (1559,9.661267280578613) (14890,9.573028564453125) (2143,9.553035736083984) (1044,9.492715835571289)
23: (429,11.264768600463867) (1119,10.841728210449219) (1122,10.263896942138672) (715,10.220641136169434) (1083,10.206069946289062) (1534,10.013067245483398) (614,9.951241493225098) (227,9.884042739868164)* (59,9.605988502502441) (1888,9.456315994262695) (2493,9.378423690795898) (3441,9.344225883483887) (3280,9.287199974060059) (2475,9.228315353393555) (868,9.203668594360352)* (1118,9.188295364379883) (2026,9.180753707885742) (718,9.143939971923828) (212,9.111161231994629) (857,9.059432029724121)*
24: (306,11.585651397705078) (697,11.457625389099121) (289,11.39979362487793)* (288,10.945528984069824)* (1243,10.893613815307617) (701,10.858575820922852) (1934,10.846430778503418) (1688,10.400498390197754) (228,10.22658920288086) (316,10.125732421875)* (97,10.109424591064453) (423,10.085996627807617) (3057,10.020078659057617) (538,10.013115882873535) (2544,9.971802711486816) (1463,9.969827651977539) (71,9.906907081604004) (71,9.906907081604004) (2521,9.874268531799316) (67,9.850915908813477)*
25: (306,13.361555099487305) (461,12.188682556152344) (349,11.570390701293945)* (320,11.217233657836914) (257,10.93101692199707) (292,10.621326446533203)* (299,10.541404724121094) (291,10.484819412231445) (915,10.463641166687012)* (89,10.452075004577637)* (71,10.389934539794922) (71,10.389934539794922) (326,10.347702026367188) (301,10.233617782592773) (525,10.224132537841797) (1032,10.208982467651367) (386,10.119372367858887) (161,10.117918014526367) (2018,10.107601165771484) (265,10.038368225097656)
26: (918,13.121768951416016)* (1369,11.768917083740234) (846,11.762948036193848) (707,11.554561614990234)* (843,11.313538551330566) (1110,11.26736068725586) (188,11.214587211608887) (198,11.074021339416504) (1104,10.74563980102539) (710,10.692678451538086) (954,10.425214767456055)* (1339,10.371979713439941) (1274,10.335620880126953) (503,10.198457717895508) (163,10.154268264770508) (1358,10.13155746459961) (1281,10.125927925109863) (1338,9.867170333862305) (1364,9.79852294921875) (1343,9.743456840515137)
27: (190,9.869169235229492) (166,9.647318840026855) (3466,9.392419815063477) (157,9.306598663330078) (227,9.103109359741211) (3462,8.914987564086914) (316,8.827037811279297) (289,8.67691707611084) (228,8.638895034790039) (727,8.627152442932129) (1098,8.472517013549805) (65,8.265727996826172) (65,8.265727996826172) (184,8.254043579101562) (3501,8.12430191040039) (173,8.1177396774292) (1464,8.000245094299316) (3739,7.974169731140137) (182,7.948204040527344) (1781,7.845263481140137)
28: (1001,12.643800735473633)* (999,12.456488609313965)* (997,11.686296463012695)* (1017,11.141057968139648)* (187,10.589351654052734) (1713,10.36681842803955) (6742,9.918673515319824) (15453,9.885093688964844) (1087,9.495229721069336) (9859,9.374906539916992) (98,9.358124732971191) (1014,9.218823432922363)* (7347,9.100364685058594) (1885,9.089680671691895) (1073,9.042465209960938) (3920,9.022344589233398) (157,8.967964172363281) (5000,8.958780288696289) (1019,8.915050506591797)* (1892,8.911832809448242)
29: (289,11.075489044189453)* (461,10.433676719665527)* (1246,10.173503875732422) (377,10.086959838867188) (802,9.777048110961914) (1673,9.587665557861328) (523,9.54893684387207) (306,9.519887924194336) (524,9.377116203308105) (466,9.336274147033691)* (681,9.333871841430664) (475,9.28894329071045) (321,9.233671188354492) (544,9.2047758102417) (324,9.110204696655273) (1047,9.099287033081055) (230,8.988758087158203) (344,8.966978073120117) (680,8.907029151916504) (1659,8.842814445495605)
30: (681,11.555420875549316) (306,10.930133819580078) (1037,10.631306648254395) (464,10.591243743896484) (686,10.409759521484375) (294,10.18147087097168) (466,10.10794734954834) (349,10.031170845031738) (458,10.004011154174805) (324,10.002486228942871) (456,9.992756843566895)* (704,9.897317886352539) (528,9.79491138458252) (523,9.780546188354492) (320,9.753294944763184) (544,9.745858192443848) (318,9.739370346069336)* (793,9.736530303955078)* (2020,9.723418235778809) (1032,9.475257873535156)
31: (1713,13.39042854309082) (997,11.725370407104492) (998,11.519161224365234) (187,10.966365814208984) (1013,10.927875518798828) (157,10.799860954284668) (30,10.404770851135254)* (51,10.303581237792969) (1394,10.291521072387695) (1014,10.189115524291992) (1072,10.17158317565918)* (75,10.164728164672852) (75,10.164728164672852) (1886,10.01105785369873) (877,9.946941375732422) (994,9.914872169494629) (999,9.891709327697754) (1892,9.87866497039795) (153,9.825431823730469) (1019,9.750312805175781)
32: (227,12.233644485473633)* (228,11.476290702819824) (229,10.877934455871582) (614,10.717533111572266) (1515,10.555706977844238) (226,10.539095878601074) (424,10.520971298217773) (429,10.476031303405762)* (207,9.861933708190918) (225,9.830941200256348) (703,9.7783842086792) (436,9.738774299621582) (709,9.542376518249512) (2277,9.50413703918457) (203,9.461297035217285)* (182,9.353116989135742) (716,9.349831581115723) (199,9.307607650756836) (65,9.299200057983398) (65,9.299200057983398)
33: (1119,11.435281753540039)* (163,10.848145484924316) (1123,10.595586776733398)* (1411,10.560586929321289) (152,10.197452545166016)* (1790,10.02916145324707) (3417,9.746082305908203) (2006,9.62624740600586) (1743,9.618532180786133) (1705,9.546204566955566) (162,9.243325233459473) (868,9.056056022644043) (186,8.915765762329102) (226,8.875473022460938) (1122,8.870773315429688)* (3405,8.84544849395752) (506,8.842423439025879) (1418,8.82243824005127) (12288,8.648978233337402) (1491,8.639485359191895)
34: (81,10.202384948730469) (961,10.045976638793945) (212,9.870664596557617) (229,9.744550704956055)* (1424,9.618233680725098) (154,9.600744247436523) (1106,9.564120292663574) (3112,9.516109466552734) (2277,9.289962768554688) (196,9.237054824829102)* (1108,9.21977424621582) (898,9.1287202835083) (436,9.095417022705078) (533,9.078716278076172) (1118,9.069225311279297) (858,9.062711715698242) (620,8.935578346252441) (1110,8.919559478759766) (56,8.914463996887207) (56,8.914463996887207)
35: (1369,10.740747451782227) (1423,10.582732200622559) (3711,10.334394454956055) (1426,10.313697814941406) (105,9.763497352600098) (163,9.755702018737793) (1411,9.578155517578125) (1732,9.059086799621582) (868,9.054975509643555) (11230,8.963470458984375) (1038,8.955817222595215) (1506,8.85326099395752) (4675,8.844123840332031) (4271,8.84353256225586) (16274,8.71993637084961) (10200,8.691493034362793) (119,8.690168380737305) (4127,8.58708667755127) (3481,8.57319450378418) (1790,8.517592430114746)
36: (1246,11.322463989257812) (3428,10.932008743286133) (1040,10.89218521118164) (377,10.819683074951172) (1188,10.55546760559082)* (412,10.464373588562012) (1038,10.435258865356445) (1183,10.391572952270508)* (403,10.345209121704102) (209,10.322999954223633)* (1195,10.298036575317383)* (1866,10.293031692504883) (3712,10.259071350097656) (2850,10.223679542541504) (1179,10.036849975585938)* (1541,9.92768383026123) (1046,9.914996147155762)* (693,9.838319778442383) (2618,9.83521556854248) (230,9.810966491699219)*
37: (2493,9.890350341796875) (3440,9.84328556060791) (3444,9.742111206054688) (429,9.719945907592773) (1119,9.65762996673584) (159,9.444869995117188) (2026,9.337241172790527) (605,9.266691207885742) (3364,9.262578964233398) (2375,9.222175598144531) (197,9.215907096862793) (858,9.172904968261719) (2542,9.070708274841309) (2473,9.042990684509277) (2475,8.98291015625) (867,8.977360725402832) (3430,8.941006660461426) (3447,8.810759544372559) (882,8.719886779785156) (1957,8.6918363571167)
38: (868,10.864564895629883) (157,10.83140754699707) (190,10.73688793182373)* (228,10.405457496643066)* (230,10.306098937988281) (1412,10.023438453674316) (220,9.864931106567383) (707,9.827065467834473) (1515,9.767388343811035) (316,9.683340072631836) (234,9.604304313659668) (163,9.580001831054688) (424,9.41003704071045) (903,9.288804054260254) (2346,9.219944953918457) (439,9.047453880310059) (714,9.022305488586426) (1244,8.9979887008667)* (706,8.954492568969727) (207,8.939146041870117)
39: (843,9.895757675170898)* (1295,9.826772689819336) (12,9.678365707397461) (1369,9.636829376220703) (503,9.497293472290039) (9,9.173662185668945) (1522,8.950379371643066) (949,8.894002914428711) (1344,8.797362327575684) (1535,8.675098419189453) (25,8.662856101989746) (1261,8.633835792541504)* (923,8.612406730651855) (2038,8.575323104858398) (156,8.541948318481445) (1521,8.379637718200684) (34,8.363231658935547) (864,8.262548446655273) (1523,8.197761535644531) (370,8.156336784362793)
40: (9,12.402721405029297) (1294,11.69129753112793)* (4318,11.531436920166016) (11094,11.422185897827148) (6873,11.286730766296387) (13,10.52375316619873) (4871,10.498055458068848) (4876,10.413314819335938) (7514,10.394218444824219) (49,10.370443344116211) (16901,10.262499809265137) (6875,10.262456893920898) (4317,10.03664779663086) (44,10.027599334716797) (34,10.026176452636719)* (16912,9.974813461303711) (7513,9.923126220703125) (19,9.882747650146484) (1253,9.8748140335083) (6870,9.866061210632324)
41: (954,13.793294906616211)* (843,13.305950164794922)* (1257,13.193941116333008)* (1344,13.07677173614502)* (710,12.824874877929688) (957,12.546424865722656)* (1526,12.120929718017578) (1535,12.048361778259277) (1527,11.58298110961914) (919,11.408025741577148) (924,11.125085830688477) (949,11.113927841186523) (923,11.038684844970703) (947,10.998035430908203)* (1274,10.996841430664062) (5668,10.986808776855469) (2004,10.923463821411133) (932,10.895044326782227) (2838,10.871227264404297) (1525,10.753427505493164)
42: (229,10.821422576904297)* (2277,10.477348327636719) (1515,10.059575080871582) (227,9.950868606567383) (903,9.88303279876709) (3057,9.854490280151367) (697,9.713476181030273) (424,9.689055442810059) (3255,9.644675254821777) (217,9.44098949432373) (3466,9.440130233764648) (703,9.433030128479004) (430,9.395933151245117) (2544,9.352863311767578) (3460,9.322834014892578) (316,9.30941104888916) (207,9.290620803833008) (418,9.250652313232422) (423,9.217016220092773) (1632,9.167098999023438)
43: (703,11.598052978515625) (757,10.198681831359863)* (526,9.854398727416992) (903,9.827584266662598) (689,9.71252727508545) (157,9.592202186584473) (228,9.58088207244873) (1106,9.547408103942871) (70,9.460041046142578)* (229,9.414664268493652)* (2083,9.35418701171875) (690,9.22729778289795) (170,9.047584533691406) (97,9.046201705932617) (72,9.0455322265625) (72,9.0455322265625) (2521,8.990402221679688) (546,8.96388053894043) (1410,8.837614059448242)* (1613,8.816423416137695)
44: (212,13.054302215576172) (1110,11.845952033996582) (868,11.780996322631836)* (1412,11.074389457702637)* (2624,11.024425506591797) (1118,10.466153144836426) (4675,10.220794677734375) (1639,10.09325885772705) (1131,10.049185752868652)* (841,10.010751724243164) (1804,9.945357322692871) (863,9.874248504638672) (3481,9.863598823547363) (202,9.838654518127441) (1425,9.786994934082031)* (607,9.665355682373047) (188,9.62051010131836) (920,9.619383811950684) (186,9.54682445526123) (1113,9.358372688293457)
45: (289,11.710067749023438)* (913,10.73855972290039) (915,10.690024375915527) (294,10.425016403198242) (461,9.841374397277832)* (299,9.664190292358398) (468,9.636805534362793) (3063,9.617956161499023) (455,9.611021041870117) (349,9.523826599121094)* (1580,9.506769180297852) (907,9.466272354125977) (295,9.454705238342285)* (257,9.363512992858887) (525,9.330574989318848) (1428,9.293853759765625)* (161,9.274291038513184)* (328,9.257367134094238) (972,9.211753845214844) (475,9.180429458618164)
46: (294,9.70594310760498) (523,9.141425132751465) (528,9.056296348571777) (543,8.94432258605957) (466,8.929893493652344)* (318,8.820663452148438) (701,8.818801879882812)* (524,8.762048721313477) (352,8.737998962402344)* (2020,8.730629920959473) (1042,8.70913028717041)* (544,8.705392837524414) (468,8.637804985046387) (320,8.584813117980957)* (1456,8.501762390136719)* (915,8.486709594726562) (525,8.452452659606934) (793,8.438725471496582) (4814,8.336101531982422) (455,8.318660736083984)
47: (289,12.364543914794922)* (288,11.99667739868164)* (306,11.369250297546387) (294,10.463403701782227)* (349,10.22840690612793) (455,10.037416458129883)* (320,9.956323623657227) (701,9.772435188293457)* (300,9.668973922729492)* (679,9.480268478393555) (295,9.33970832824707) (528,9.33178424835205) (89,9.281209945678711) (544,9.245857238769531) (802,9.159636497497559) (1032,9.139649391174316) (704,9.138399124145508) (352,9.062286376953125) (524,8.97006607055664) (915,8.890785217285156)
48: (3063,12.221795082092285) (306,11.802436828613281) (316,11.628120422363281) (641,11.399497985839844) (2523,11.296011924743652) (155,10.868775367736816) (534,10.833412170410156) (71,10.747004508972168) (71,10.747004508972168) (5249,10.709781646728516) (3763,10.659764289855957) (4024,10.60077953338623) (959,10.499612808227539)* (913,10.336311340332031) (511,10.26219367980957)* (184,10.260526657104492) (13749,10.251029968261719) (166,10.074811935424805) (329,10.058797836303711) (55,10.042768478393555)*
49: (2083,10.219301223754883) (306,9.95474624633789)* (689,9.692963600158691) (331,9.642398834228516) (294,9.454047203063965) (526,9.417523384094238) (2521,9.325531959533691) (1934,9.272865295410156) (298,9.241911888122559) (532,9.169275283813477) (548,9.121169090270996) (157,9.058870315551758) (690,8.926456451416016) (461,8.877752304077148)* (310,8.857144355773926)* (903,8.75578784942627) (525,8.686595916748047) (328,8.573270797729492) (301,8.549124717712402) (1098,8.444881439208984)
50: (229,11.26508617401123)* (190,10.583104133605957) (1400,10.51248550415039) (716,10.245211601257324) (709,9.887359619140625)* (225,9.828149795532227) (2815,9.794219970703125) (1239,9.757494926452637) (230,9.652300834655762)* (199,9.533117294311523) (1988,9.485844612121582) (88,9.46633243560791) (898,9.45843505859375) (203,9.386693954467773) (429,9.31391429901123)* (3057,9.295924186706543) (425,9.255574226379395) (962,9.212920188903809) (436,9.211136817932129) (182,9.194357872009277)
51: (843,12.942724227905273) (949,11.797042846679688)* (710,11.578492164611816) (503,11.527318954467773)* (198,11.354400634765625)* (1339,11.24732494354248) (1358,11.057483673095703)* (854,10.98221206665039) (1338,10.968240737915039) (1364,10.66466236114502)* (1281,10.64380931854248) (1337,10.527326583862305)* (856,10.520666122436523) (855,10.454246520996094) (1523,10.275513648986816)* (952,10.099154472351074) (957,10.077192306518555) (942,10.05042839050293) (953,10.02710247039795) (821,9.91934585571289)
52: (779,9.861257553100586) (808,9.290348052978516) (814,9.040491104125977) (512,9.027008056640625) (823,8.94244384765625) (813,8.895142555236816) (809,8.826025009155273) (845,8.750211715698242) (1196,8.706330299377441)* (198,8.685733795166016) (2576,8.486181259155273) (826,8.299150466918945) (810,8.2946195602417) (3621,8.243974685668945) (832,8.121309280395508) (830,8.062524795532227) (1195,8.046268463134766) (7639,8.002230644226074) (1188,7.995818614959717) (1541,7.900570392608643)*
53: (294,12.960768699645996) (461,11.547307014465332) (308,10.874617576599121) (915,10.5606050491333) (325,10.4990234375) (306,10.426261901855469)* (1455,10.341317176818848) (502,9.940389633178711) (1456,9.897584915161133) (1032,9.84687328338623) (1034,9.789257049560547) (289,9.737698554992676)* (7340,9.71447467803955) (1441,9.632402420043945) (913,9.6019926071167) (1613,9.593409538269043) (161,9.419963836669922) (288,9.339574813842773)* (544,9.306440353393555) (1457,9.25671672821045)
54: (306,13.628098487854004) (288,13.219596862792969)* (455,11.75539779663086) (320,11.721513748168945)* (294,11.687593460083008) (265,11.07767391204834) (340,11.020971298217773) (913,10.93802261352539)* (2523,10.880616188049316) (97,10.847355842590332) (257,10.839591979980469) (301,10.778861999511719) (302,10.767298698425293) (161,10.668542861938477) (544,10.62253189086914) (13749,10.558062553405762) (295,10.52683162689209) (3063,10.501518249511719) (285,10.471710205078125) (1464,10.4529390335083)
55: (527,9.508981704711914) (3317,8.93146800994873) (475,8.827252388000488) (605,8.662517547607422) (1963,8.616782188415527) (1979,8.537504196166992) (1622,8.509944915771484)* (3357,8.301342010498047) (2923,8.235102653503418) (2226,8.199935913085938) (619,8.138666152954102) (1402,8.120057106018066) (1941,8.111167907714844) (199,8.109663009643555) (3823,8.020438194274902) (547,8.012475967407227) (271,7.99836540222168) (1946,7.98911714553833) (617,7.949090957641602) (3227,7.926280498504639)
56: (227,10.68120002746582) (230,10.480581283569336) (533,10.080641746520996) (190,10.044960021972656) (614,9.847421646118164) (1515,9.808828353881836)* (1406,9.515528678894043) (220,9.370139122009277) (707,9.28663444519043) (412,9.2476224899292) (234,8.994121551513672) (229,8.97412109375) (1246,8.87376594543457) (166,8.774521827697754) (2352,8.744016647338867) (716,8.67065143585205) (226,8.637053489685059) (537,8.60424518585205) (3333,8.600383758544922) (159,8.540822982788086)*
57: (1246,11.474443435668945)* (377,10.168230056762695)* (540,10.014521598815918) (1047,9.884489059448242) (687,9.80836296081543) (403,9.79545783996582) (693,9.688505172729492) (209,9.64840316772461) (230,9.616562843322754) (1038,9.603924751281738) (3712,9.504759788513184) (537,9.199641227722168) (1186,9.113513946533203) (324,9.023856163024902) (321,8.972921371459961) (1040,8.965091705322266) (681,8.930851936340332) (1183,8.83926773071289) (680,8.729342460632324) (333,8.728914260864258)*
58: (288,9.853458404541016)* (681,9.448186874389648)* (289,9.322044372558594)* (349,8.863471031188965) (320,8.416068077087402) (802,8.363508224487305) (455,8.309662818908691) (1037,8.157940864562988) (306,7.959678649902344) (793,7.9147186279296875) (528,7.898053169250488) (466,7.811966419219971)* (524,7.802361011505127) (294,7.776377201080322) (1032,7.670809268951416) (544,7.656957626342773) (2094,7.581766128540039) (680,7.573790073394775)* (293,7.543772220611572) (679,7.4543070793151855)
59: (1119,10.597868919372559) (233,10.329259872436523)* (370,9.771363258361816) (1099,9.692748069763184) (159,9.574889183044434) (156,9.558924674987793) (198,9.536177635192871) (1104,9.474483489990234)* (614,9.458449363708496) (843,9.425168991088867) (1116,9.326750755310059) (489,9.22045612335205) (181,9.201314926147461) (1295,9.09763240814209) (1394,9.076875686645508) (163,8.980581283569336) (1122,8.949594497680664) (868,8.9489107131958) (1121,8.911983489990234) (9,8.817338943481445)
60: (444,11.02822208404541) (632,10.019949913024902) (1123,9.760884284973145) (604,9.307313919067383) (1112,9.1896390914917) (1135,9.169246673583984) (1121,9.098546028137207) (1747,9.076147079467773)* (6187,8.821624755859375) (8027,8.722330093383789) (3110,8.713820457458496) (1400,8.554905891418457) (1383,8.535154342651367) (7382,8.512903213500977) (195,8.500805854797363) (1770,8.454164505004883) (3902,8.371916770935059) (622,8.355191230773926) (5806,8.32276725769043) (445,8.252395629882812)
