userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,54.48860549926758) (51,53.69181823730469)* (59,53.14431381225586)* (187,53.137508392333984) (1073,52.83039474487305) (1098,52.69015121459961) (1713,52.43505859375) (2638,52.38718795776367) (3992,52.326019287109375) (511,52.30113220214844) (157,52.18468475341797) (1824,52.175132751464844) (993,52.07918167114258) (4308,52.0689811706543) (1014,52.04991912841797) (715,52.04514694213867) (1072,51.98812484741211) (70,51.943885803222656)* (238,51.941497802734375) (997,51.92046356201172)
13: (288,49.8538818359375) (289,49.84252166748047) (306,49.79404830932617) (302,49.4876823425293)* (704,49.36349105834961) (679,49.19730758666992) (701,49.173221588134766) (328,49.001434326171875)* (291,48.97747802734375) (903,48.757938385009766) (475,48.74296951293945) (464,48.73576354980469) (349,48.659141540527344)* (486,48.63396072387695) (377,48.604103088378906) (523,48.58497619628906)* (1037,48.584739685058594) (344,48.539737701416016)* (293,48.509033203125) (680,48.482154846191406)
14: (2864,44.994842529296875) (2842,44.155029296875) (212,44.00302505493164) (8824,43.838626861572266) (12123,43.758888244628906) (8126,43.64612579345703) (1178,43.60363006591797) (7056,43.54480743408203) (227,43.468414306640625) (7219,43.4276237487793) (8812,43.42475509643555) (8111,43.41694259643555) (15268,43.41159439086914) (3024,43.3610725402832) (582,43.250144958496094)* (613,43.23366928100586) (1783,43.05884552001953) (1426,43.050193786621094) (7206,43.02620315551758) (163,42.97513198852539)
15: (418,53.200382232666016) (196,52.8762321472168) (206,52.75221252441406) (81,52.68730163574219) (197,52.44411087036133)* (2711,52.433349609375) (858,52.29835510253906) (715,52.26717758178711) (604,52.10307312011719)* (199,51.97052001953125) (1504,51.84585952758789) (2632,51.798519134521484) (416,51.69814682006836) (3259,51.6719970703125) (231,51.65119171142578) (1109,51.61576843261719) (237,51.60586166381836) (163,51.593379974365234) (2616,51.51904296875) (53,51.509090423583984)
16: (7390,53.267459869384766) (3426,52.98541259765625) (1066,52.92341232299805) (6002,52.8438606262207) (2515,52.2967643737793) (4880,52.12397384643555) (1299,51.83623504638672) (3572,51.688175201416016) (3966,51.67521667480469) (16143,51.5186767578125) (4565,51.474464416503906) (1574,51.35758972167969) (2075,51.32963180541992) (5999,51.29740524291992) (16144,51.29717254638672) (3367,51.28492736816406) (16147,51.213134765625) (1310,51.21187973022461) (4912,51.179847717285156) (295,51.13530731201172)
17: (300,50.88386154174805)* (333,50.77724075317383) (1934,50.08828353881836) (1047,49.664241790771484) (302,49.64705276489258) (291,49.59470748901367) (306,49.51390075683594)* (701,49.46564865112305)* (292,49.45283126831055)* (528,49.44329071044922)* (458,49.40135955810547) (471,49.40019607543945) (903,49.39474105834961) (470,49.34523010253906) (1246,49.304935455322266) (548,49.30083465576172)* (295,49.20668411254883) (2546,49.189517974853516) (689,49.173004150390625)* (321,49.171810150146484)
18: (959,49.99049758911133) (227,49.84404754638672)* (1412,49.721153259277344) (917,49.628116607666016) (1249,49.22509002685547) (220,49.00309753417969)* (975,48.851436614990234) (1415,48.80697250366211) (868,48.73583984375) (1244,48.65479278564453) (234,48.65427780151367) (2346,48.61532974243164) (157,48.57424545288086) (614,48.52096176147461) (176,48.30683898925781) (180,48.272586822509766) (1369,48.171688079833984) (982,48.092193603515625) (735,48.083431243896484)* (2783,48.041446685791016)
20: (1222,60.42987823486328) (162,59.58751678466797) (107,59.47480773925781) (2667,59.35335922241211) (3703,59.0084342956543) (1745,58.994136810302734) (2605,58.943931579589844) (603,58.90181350708008) (1401,58.89684295654297) (1236,58.880897521972656) (3707,58.767494201660156) (755,58.72631072998047)* (2165,58.67869567871094) (1700,58.54469299316406) (9783,58.52778625488281) (6582,58.499202728271484) (2831,58.40643310546875) (5805,58.357723236083984) (3028,58.33432388305664) (5791,58.257328033447266)
21: (349,53.08018112182617) (89,53.0009765625)* (257,52.70463180541992) (466,52.65665054321289)* (306,52.62565994262695)* (161,52.40583038330078) (157,52.37112045288086) (790,52.31163024902344)* (544,52.2100715637207) (333,52.20583724975586) (291,52.160282135009766) (294,52.02488327026367) (908,51.92715835571289) (2523,51.901676177978516) (386,51.88688659667969) (455,51.84672927856445) (972,51.74165344238281) (265,51.69650650024414) (525,51.69382858276367) (296,51.6671257019043)
22: (1547,54.325130462646484) (785,53.98239517211914) (500,53.806121826171875) (978,53.4879035949707) (1044,53.13690948486328) (2744,53.12244415283203) (198,53.07752990722656) (2211,53.074344635009766) (779,53.04489517211914) (2971,53.031105041503906) (8261,53.016239166259766) (3549,52.98905944824219) (809,52.972599029541016)* (923,52.948280334472656) (497,52.90977478027344) (4346,52.905426025390625) (3543,52.90484619140625) (831,52.88271713256836)* (2378,52.87771224975586) (2955,52.837989807128906)
23: (868,53.6568603515625)* (441,53.65123748779297) (1119,53.425445556640625) (3993,53.237796783447266) (59,53.23063659667969) (857,53.192466735839844)* (1369,53.121925354003906) (864,53.06352615356445)* (1812,52.884185791015625) (2493,52.84837341308594) (429,52.82783889770508) (1412,52.80490493774414) (154,52.79851150512695) (227,52.72480773925781)* (614,52.7033576965332) (203,52.48634719848633) (1703,52.484375) (865,52.46535110473633)* (2034,52.44800567626953) (4123,52.418941497802734)
24: (67,49.74333572387695)* (67,49.74333572387695)* (55,49.26526641845703)* (157,49.25499725341797)* (3488,49.026641845703125) (1556,48.848087310791016) (97,48.79347229003906) (697,48.71443176269531) (525,48.697265625) (1243,48.682220458984375) (1934,48.66862869262695) (289,48.63357925415039)* (701,48.538700103759766) (316,48.41091537475586)* (288,48.37725830078125)* (306,48.25189971923828) (2083,48.2475700378418) (679,48.195556640625) (261,48.16102981567383) (535,48.157859802246094)
25: (292,51.79669952392578)* (89,51.54091262817383)* (306,51.471275329589844) (349,51.372772216796875)* (300,51.33624267578125) (257,51.2396354675293) (161,51.18409729003906) (299,51.09421920776367) (291,50.95866394042969) (333,50.7863883972168) (378,50.7693977355957) (466,50.7567138671875) (972,50.4610595703125) (525,50.445770263671875) (301,50.41733932495117) (285,50.410091400146484) (314,50.33317947387695)* (461,50.2261848449707) (465,50.18655776977539) (326,50.14250183105469)
26: (1358,50.53012466430664) (1369,50.34230422973633) (2838,50.272586822509766) (918,50.12614440917969)* (1338,49.87925338745117) (1339,49.87921142578125) (724,49.75590515136719) (710,49.61076736450195) (707,49.591861724853516)* (954,49.56999969482422)* (1350,49.42186737060547) (1360,49.419944763183594) (3470,49.378570556640625) (176,49.35102844238281) (1342,49.33073043823242) (1374,49.320560455322266) (1249,49.291038513183594) (2342,49.210044860839844) (2787,49.164894104003906) (1803,49.09623336791992)
27: (190,56.222537994384766) (65,55.804744720458984) (65,55.804744720458984) (227,55.70138931274414) (1705,55.2870979309082) (173,55.2317008972168) (1109,55.18671798706055) (229,55.162620544433594) (157,55.125816345214844) (154,55.0305290222168) (1098,55.01296615600586) (7,54.919681549072266) (377,54.88970947265625) (88,54.884727478027344) (72,54.81135940551758) (72,54.81135940551758) (930,54.78786087036133) (56,54.68857192993164) (56,54.68857192993164) (475,54.616573333740234)
28: (1001,59.757015228271484)* (5254,59.5000114440918) (9869,59.49482345581055) (1885,59.4498291015625) (187,59.205108642578125) (1014,59.00182342529297)* (3982,58.87366485595703) (997,58.8325309753418)* (4308,58.52030944824219) (67,58.514591217041016) (67,58.514591217041016) (1073,58.364967346191406) (6064,58.15791320800781) (1713,58.157501220703125) (157,58.15220260620117) (1379,58.12053680419922) (1399,58.10115432739258) (877,58.04085922241211) (4880,57.923099517822266) (1019,57.916866302490234)*
29: (466,51.58043670654297)* (461,51.39109420776367)* (89,51.21574783325195)* (377,51.204833984375) (289,51.150474548339844)* (1246,51.04579544067383) (544,50.99361038208008) (486,50.94004440307617) (475,50.914756774902344) (344,50.82988357543945) (306,50.71641540527344) (458,50.7049674987793) (680,50.661808013916016) (681,50.65409851074219) (1043,50.52824401855469)* (230,50.49799728393555) (1047,50.46813201904297) (540,50.45832061767578) (1673,50.37223815917969) (295,50.357818603515625)
30: (466,51.8870735168457) (306,51.77466583251953) (89,51.70694351196289)* (458,51.57118225097656) (292,51.54331970214844) (701,51.43010330200195) (302,51.347267150878906) (464,51.328208923339844) (475,51.04855728149414) (161,51.028621673583984) (679,51.01630783081055)* (544,50.9753303527832) (1042,50.929134368896484) (349,50.884765625) (257,50.8468132019043) (378,50.7574462890625) (329,50.70964050292969) (299,50.69918441772461) (318,50.67817687988281)* (327,50.67741394042969)
31: (1886,56.76625061035156) (1885,56.5984001159668) (997,56.571510314941406) (1713,56.37327575683594) (4308,56.2362060546875) (7885,56.18766784667969) (1014,56.10130310058594) (1072,56.09478759765625)* (51,56.07780838012695) (1897,56.00758361816406) (1379,55.94450759887695) (30,55.8379020690918)* (3183,55.75409698486328) (3768,55.732688903808594) (75,55.72856140136719) (75,55.72856140136719) (187,55.694705963134766) (998,55.66846466064453) (1304,55.65883255004883) (153,55.58550262451172)
32: (424,50.479740142822266) (226,50.442386627197266) (207,50.153907775878906) (709,49.96831130981445) (229,49.91557312011719) (227,49.84637451171875)* (228,49.754234313964844) (225,49.70661544799805) (436,49.6657600402832) (441,49.604652404785156)* (982,49.57124328613281) (203,49.39597702026367)* (716,49.294273376464844) (65,49.2916374206543) (65,49.2916374206543) (429,49.23139953613281)* (614,49.2261848449707) (1400,49.21962356567383) (199,49.17842483520508) (233,49.16937255859375)
33: (152,52.04606628417969)* (506,51.86614990234375) (163,51.553897857666016) (186,51.35604476928711) (592,51.10681915283203) (370,50.891605377197266) (1123,50.78385925292969)* (1705,50.77972412109375) (2634,50.7160530090332) (3940,50.715518951416016) (2006,50.6253776550293) (7126,50.60795974731445) (224,50.59001541137695) (1710,50.57013702392578) (227,50.51325988769531) (4143,50.51213073730469) (3405,50.484161376953125) (3417,50.384395599365234) (1411,50.328880310058594) (920,50.270023345947266)
34: (154,52.57307434082031) (961,52.007850646972656) (190,51.89460372924805) (1098,51.82259750366211) (3057,51.705997467041016) (511,51.56645202636719)* (65,51.5475959777832) (65,51.5475959777832) (88,51.488162994384766) (436,51.48382568359375) (229,51.41086196899414)* (159,51.32252502441406) (81,51.30938720703125) (718,51.208133697509766) (2277,51.136051177978516) (206,51.087974548339844) (173,51.07440185546875)* (429,51.0450439453125) (1412,50.990570068359375) (986,50.9273796081543)
35: (11477,52.41756820678711) (3003,52.3555908203125) (610,52.231658935546875) (197,52.14323425292969) (1411,52.09284210205078) (609,52.049400329589844) (13454,51.97430419921875) (879,51.904518127441406) (3505,51.88286590576172) (1123,51.67937088012695) (205,51.65200424194336) (7123,51.64257049560547) (869,51.63730239868164) (6151,51.568241119384766) (8513,51.567237854003906) (8866,51.55772018432617) (11927,51.54116439819336) (18425,51.50666427612305) (2711,51.49415969848633) (18424,51.42010498046875)
36: (498,52.96214294433594) (1188,52.59389114379883)* (1195,52.47904968261719)* (209,52.38178253173828)* (1541,52.36607360839844) (1246,52.33810806274414) (1678,52.17222213745117) (377,52.134239196777344) (2959,52.09217834472656) (412,52.00540542602539) (2850,51.99181365966797) (1853,51.90106964111328) (1672,51.876155853271484) (2618,51.816795349121094) (492,51.797306060791016) (486,51.79634094238281) (507,51.78883361816406) (1868,51.68343734741211) (1043,51.62274169921875)* (1193,51.569549560546875)*
37: (3417,58.080326080322266) (2771,57.47886657714844) (162,57.39556121826172) (370,56.895484924316406) (1131,56.81508255004883) (4271,56.698333740234375) (5299,56.65435791015625) (3531,56.63214874267578) (1418,56.62736511230469) (152,56.392333984375) (154,56.237510681152344) (163,56.166072845458984) (418,56.10565948486328) (861,56.0741081237793) (3810,56.05632781982422) (1709,56.05241012573242) (2151,56.044883728027344) (748,56.03253936767578) (188,56.01671600341797) (3528,56.01343536376953)
38: (424,48.96025848388672) (190,48.748939514160156)* (228,48.66472244262695)* (220,48.60398864746094) (903,48.544395446777344) (207,48.502506256103516) (230,48.153804779052734) (538,48.073856353759766) (234,48.00895690917969) (498,47.95844650268555)* (716,47.946128845214844) (706,47.848140716552734) (439,47.615596771240234) (714,47.606807708740234) (1246,47.54694366455078)* (1048,47.512977600097656) (159,47.45233917236328) (1513,47.41366958618164) (173,47.406394958496094) (89,47.40259552001953)*
39: (1214,52.17567443847656) (841,51.91230392456055)* (11,51.72677993774414) (15,51.020423889160156) (12,50.914955139160156) (48,50.81464767456055) (949,50.79300308227539) (864,50.709224700927734) (1343,50.68165969848633) (1992,50.66989517211914) (1336,50.65089416503906) (6,50.63381576538086) (1295,50.58637237548828) (1271,50.411624908447266)* (7722,50.39628601074219) (1521,50.37882995605469) (1356,50.37272644042969) (4605,50.366268157958984) (4871,50.34083557128906) (4872,50.32842254638672)
40: (5581,55.461952209472656) (19,55.03923797607422) (1277,54.95549011230469) (11,54.92311477661133) (6881,54.84433364868164) (4876,54.65825271606445) (5484,54.619415283203125) (37,54.61143493652344) (9,54.552207946777344) (15290,54.525718688964844) (41,54.464969635009766) (49,54.430660247802734) (1253,54.328163146972656) (2,54.3016242980957) (34,54.19150161743164)* (11186,54.160789489746094) (24,54.147422790527344) (43,54.132938385009766) (11194,54.122859954833984) (13,54.102142333984375)
41: (841,51.32688522338867) (954,50.20732879638672)* (2838,50.124908447265625) (956,50.07808303833008) (957,49.69834518432617)* (710,49.60561752319336) (1535,49.51087188720703) (937,49.32006072998047) (1257,49.295921325683594)* (1523,49.24601364135742) (1522,49.241085052490234) (5157,49.17974090576172) (947,49.14503479003906)* (1274,49.07851028442383) (707,49.041542053222656) (3470,49.01180648803711) (724,48.98750305175781) (1364,48.93790817260742)* (4680,48.88077163696289) (949,48.85816192626953)
42: (903,46.70701217651367) (229,46.59040832519531)* (207,46.133453369140625) (533,45.92417526245117) (1048,45.920352935791016)* (2544,45.81724548339844) (298,45.7853889465332) (538,45.70613479614258)* (424,45.68719482421875) (1400,45.6509895324707) (227,45.54552459716797) (716,45.51525115966797) (316,45.48979187011719) (1090,45.463253021240234)* (89,45.34608840942383)* (683,45.243064880371094) (1106,45.186031341552734) (3057,45.126564025878906) (67,45.11762619018555) (67,45.11762619018555)
43: (173,54.46919250488281) (1075,54.39518356323242) (70,54.33574676513672)* (72,54.26759338378906) (72,54.26759338378906) (229,54.1473274230957)* (1379,53.705177307128906) (969,53.58729553222656) (182,53.492652893066406) (757,53.45901870727539)* (526,53.4282112121582) (228,53.29409408569336) (432,53.2231559753418) (689,53.12702178955078) (425,52.968299865722656) (7324,52.9553108215332) (1106,52.953765869140625) (703,52.87523651123047) (486,52.82728576660156)* (546,52.79985427856445)
44: (1412,49.999977111816406)* (868,49.172237396240234)* (212,48.90053176879883) (1110,48.87786102294922) (599,48.84193801879883) (1639,48.71725082397461) (707,48.62322235107422)* (735,48.53065872192383)* (857,48.49154281616211) (859,48.44382095336914) (607,48.40483856201172) (959,48.398704528808594) (4675,48.38725662231445) (234,48.331871032714844)* (159,48.24938201904297) (856,48.17195129394531) (154,48.17161178588867) (1131,48.118961334228516)* (533,48.05116271972656) (429,48.011898040771484)
45: (295,55.52116394042969)* (161,55.11443328857422)* (289,55.07511901855469)* (330,55.04932403564453) (378,54.94963073730469) (257,54.93229675292969) (468,54.77693557739258) (913,54.772056579589844) (291,54.75963592529297)* (294,54.69865036010742) (907,54.630584716796875) (349,54.58559799194336)* (455,54.584800720214844) (475,54.53291702270508) (641,54.497314453125)* (299,54.42964172363281) (67,54.291038513183594) (67,54.291038513183594) (466,54.286922454833984)* (2179,54.246498107910156)
46: (466,50.724727630615234)* (544,50.096435546875) (701,50.00895690917969)* (318,49.95783615112305) (55,49.60029602050781) (528,49.599395751953125) (543,49.5167350769043) (257,49.49500274658203) (704,49.493099212646484) (352,49.42682647705078)* (344,49.411800384521484)* (67,49.392215728759766) (67,49.392215728759766) (498,49.38664627075195)* (523,49.32950210571289) (293,49.240196228027344) (161,49.19574737548828) (2020,49.184932708740234) (1456,49.08539581298828)* (1042,49.07426834106445)*
47: (300,50.30121612548828)* (89,50.170040130615234) (289,50.15631866455078)* (288,50.1080322265625)* (295,49.73506546020508) (306,49.649131774902344) (701,49.550445556640625)* (679,49.46548080444336) (67,49.37985610961914) (67,49.37985610961914) (544,49.34465408325195) (55,49.315494537353516) (349,48.99460220336914) (704,48.89366149902344) (378,48.75410079956055) (157,48.50275802612305) (328,48.453369140625) (528,48.41459274291992) (538,48.35268783569336) (458,48.33073806762695)
48: (268,48.25339126586914) (2183,48.205265045166016) (1244,48.00697326660156) (959,47.9090576171875)* (455,47.90574645996094) (1771,47.895668029785156) (641,47.89332962036133) (329,47.84025955200195) (2031,47.73928451538086) (714,47.66992950439453) (161,47.66591262817383) (1775,47.622032165527344) (725,47.58605194091797) (295,47.57072448730469)* (55,47.56410217285156)* (6721,47.54291915893555) (306,47.53816223144531) (302,47.513492584228516) (253,47.51143264770508) (2786,47.509063720703125)
49: (697,57.70481491088867) (67,57.53447723388672) (67,57.53447723388672) (2083,57.35852813720703) (1098,56.994102478027344) (55,56.94776916503906) (2521,56.9290771484375) (301,56.82118606567383) (1934,56.8001708984375) (331,56.75861358642578) (157,56.73191452026367) (526,56.69061279296875) (58,56.63454818725586) (58,56.63454818725586) (7781,56.62498474121094) (535,56.624427795410156) (689,56.53620529174805) (548,56.439552307128906) (3288,56.41939163208008) (310,56.38572311401367)*
50: (229,46.92654800415039)* (65,46.821800231933594)* (65,46.821800231933594)* (190,46.6879768371582) (182,46.446720123291016) (716,46.444271087646484) (154,46.40924072265625) (709,46.405364990234375)* (234,46.25249099731445) (203,46.12229919433594) (225,46.02215576171875) (226,45.859806060791016) (1400,45.81835174560547) (1375,45.81047058105469) (614,45.68307876586914) (425,45.57511901855469) (439,45.572750091552734) (436,45.44516372680664) (3400,45.41463851928711) (432,45.413002014160156)
51: (1358,50.37409591674805)* (843,49.7361946105957) (949,49.694740295410156)* (1281,49.271114349365234) (2343,49.04718017578125) (2360,49.01856994628906) (920,48.96968078613281) (1206,48.9553337097168) (1337,48.8687858581543)* (724,48.86420822143555) (732,48.83750534057617) (1364,48.822540283203125)* (383,48.60480499267578) (1214,48.57796859741211)* (854,48.56710433959961) (3445,48.558937072753906) (1513,48.54963684082031) (1249,48.51567840576172)* (710,48.513404846191406) (2565,48.47665786743164)
52: (813,56.40686798095703) (779,56.1560173034668) (5066,56.12323760986328) (2850,55.903839111328125) (1192,55.77302169799805) (1541,55.75389099121094)* (808,55.742591857910156) (503,55.73478317260742) (823,55.69678497314453) (814,55.60725021362305) (412,55.55175018310547) (2062,55.44751739501953) (507,55.41456985473633) (377,55.28535461425781) (830,55.26912307739258) (4346,55.241275787353516) (1195,55.198909759521484) (45,55.134056091308594) (1672,55.11436080932617) (2661,55.10995101928711)
53: (670,55.40700912475586) (327,54.86231994628906) (295,54.862205505371094) (8008,54.82176971435547) (306,54.79609680175781)* (328,54.700714111328125) (161,54.670982360839844) (377,54.61240005493164) (4309,54.579010009765625) (466,54.4984130859375)* (1444,54.383056640625) (7390,54.373497009277344) (288,54.37002944946289)* (349,54.306400299072266)* (4687,54.30195617675781) (5988,54.275150299072266) (7994,54.227901458740234) (299,54.17768859863281) (484,54.13759231567383) (486,54.120418548583984)
54: (89,51.8114013671875) (157,51.31377029418945) (302,51.30207824707031) (300,51.06953430175781) (375,51.004947662353516) (295,50.92475128173828) (288,50.90584945678711)* (679,50.85696029663086) (2094,50.811336517333984) (2523,50.57266616821289) (374,50.54500961303711) (298,50.52635955810547)* (466,50.514076232910156) (257,50.502464294433594) (344,50.33661651611328) (306,50.330570220947266) (1694,50.28498458862305) (972,50.22066879272461) (461,50.081844329833984) (323,50.06730270385742)
55: (3227,56.17881774902344) (2923,55.64572525024414) (617,55.418357849121094) (1972,55.031532287597656) (1952,54.883548736572266) (2252,54.570716857910156) (4586,54.51918029785156) (271,54.46794509887695) (2226,54.4481201171875) (527,54.43132781982422) (249,54.38802719116211) (6343,54.37298583984375) (1979,54.24260330200195) (3346,54.22484588623047) (1636,54.181156158447266)* (1963,54.153995513916016) (619,54.03907012939453) (3357,53.993892669677734) (3317,53.97206497192383) (2931,53.95664596557617)
56: (4087,51.38411331176758) (4216,50.89655685424805) (439,50.61553955078125) (220,50.370567321777344) (422,50.346473693847656) (5226,50.32136535644531) (706,50.19529342651367) (3747,50.10173034667969) (1755,50.0908317565918) (4834,50.04695510864258) (714,50.0394287109375) (705,50.00059509277344) (227,49.95891571044922) (5441,49.84446334838867) (9856,49.78522491455078) (4793,49.755958557128906) (4828,49.71629333496094) (533,49.71387481689453) (3741,49.69192886352539) (1249,49.6910514831543)
57: (333,51.941619873046875)* (461,51.906795501708984) (1246,51.860939025878906)* (377,51.81207275390625)* (1034,51.704280853271484)* (544,51.66995620727539) (209,51.457218170166016) (524,51.30753707885742) (475,51.16303253173828)* (306,51.12556457519531) (458,51.03717041015625) (679,50.99589920043945) (1047,50.99065017700195) (2020,50.96480178833008) (802,50.8690299987793) (540,50.85020065307617) (681,50.845943450927734) (230,50.8405647277832) (528,50.792118072509766) (680,50.75190734863281)
58: (681,51.92412185668945)* (498,51.76979446411133) (289,51.633419036865234)* (793,51.60924530029297) (300,51.4065055847168)* (679,51.35618591308594) (466,51.34413146972656)* (790,51.29267501831055) (89,51.04975128173828)* (544,51.03666687011719) (464,50.96650695800781) (2439,50.95271301269531) (1034,50.940269470214844) (646,50.90220260620117) (288,50.85560607910156)* (680,50.850860595703125)* (1428,50.73835754394531) (802,50.710235595703125) (1462,50.558937072753906) (1659,50.55343246459961)
59: (1104,53.26025390625)* (233,52.99388885498047)* (173,52.66633605957031) (1075,52.06755828857422) (1099,51.902183532714844) (70,51.882415771484375) (1300,51.814910888671875) (1298,51.763954162597656) (154,51.64813995361328) (163,51.63761520385742) (198,51.594295501708984) (234,51.481388092041016) (515,51.46372985839844) (1295,51.433753967285156) (159,51.38090896606445) (487,51.30375289916992) (1098,51.28908920288086)* (5079,51.26934051513672) (1119,51.224708557128906) (156,51.183013916015625)
60: (748,61.29466247558594) (632,60.748199462890625) (2605,60.404396057128906) (444,60.2576789855957) (3707,60.205955505371094) (1747,60.14936447143555)* (154,60.060245513916016) (2716,59.8748779296875) (603,59.81791687011719) (81,59.5577392578125) (11204,59.543880462646484) (162,59.530765533447266) (616,59.44880294799805) (3164,59.43952941894531) (238,59.438899993896484) (2676,59.4106559753418) (606,59.285133361816406) (6756,59.11409378051758) (6581,59.02071762084961) (619,59.01821517944336)
