userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,13.564674377441406)* (1001,13.463759422302246) (157,13.009085655212402) (3768,12.665403366088867) (998,12.491379737854004) (511,12.053409576416016) (1072,11.801580429077148) (1014,11.795880317687988) (1073,11.552505493164062) (187,11.229269981384277) (877,11.150175094604492) (59,10.92856502532959)* (1713,10.899521827697754) (238,10.850545883178711) (153,10.82229995727539) (1707,10.732564926147461) (3280,10.726459503173828) (1013,10.550677299499512) (1394,10.457609176635742) (70,10.338756561279297)*
13: (288,20.545217514038086) (289,19.058650970458984) (701,13.175813674926758) (306,12.651482582092285) (302,12.189141273498535)* (291,10.983736991882324) (349,10.980781555175781)* (257,9.542423248291016) (328,9.533456802368164)* (686,9.48099422454834) (903,9.326595306396484) (679,9.132608413696289) (301,9.018108367919922) (229,8.82318115234375) (344,8.782821655273438)* (294,8.76667594909668) (293,8.766277313232422) (704,8.684517860412598) (329,8.406218528747559) (65,8.32967758178711)
14: (2300,12.224576950073242) (227,12.168998718261719) (2298,11.379348754882812) (2312,10.914399147033691) (5353,10.382770538330078) (266,10.196562767028809) (2902,9.658782005310059) (163,9.59740161895752) (12243,8.929755210876465) (610,8.677285194396973) (6176,8.54686164855957) (8444,8.44324779510498) (1743,8.440408706665039) (6961,8.273552894592285) (2317,8.18053150177002) (7259,8.057245254516602) (1109,8.055541038513184) (613,8.05377197265625) (4675,7.972050189971924) (8121,7.899083614349365)
15: (163,18.771236419677734) (418,17.413307189941406) (748,14.701589584350586) (1412,13.890581130981445) (735,12.854706764221191) (1098,11.559633255004883) (1242,11.412251472473145) (81,11.370786666870117) (733,11.366872787475586) (206,11.059591293334961) (2265,11.029690742492676) (863,10.743685722351074) (3458,10.628652572631836) (554,10.626294136047363) (238,10.560011863708496) (7123,10.458118438720703) (6762,10.45694637298584) (9825,10.412979125976562) (2289,10.320690155029297) (197,10.28431510925293)*
16: (5249,17.413402557373047) (369,16.60475730895996) (288,16.5653133392334) (788,15.417842864990234) (787,15.376559257507324) (2462,15.095170974731445) (393,14.916593551635742) (1475,14.765779495239258) (2396,14.51681137084961) (1446,14.380838394165039) (1573,14.362272262573242) (792,14.305025100708008) (3570,14.252510070800781) (5568,14.244234085083008) (2799,14.234820365905762) (475,14.114225387573242) (295,13.853372573852539) (1576,13.83978271484375) (2089,13.808963775634766) (157,13.682624816894531)
17: (300,17.421497344970703)* (333,16.1207218170166) (292,15.62655258178711)* (295,13.865538597106934) (701,13.088030815124512)* (291,12.04166316986084) (302,11.682334899902344) (306,11.588871955871582)* (190,10.921741485595703) (55,10.841641426086426) (523,10.635418891906738) (349,10.148561477661133) (318,10.019344329833984) (257,9.888599395751953) (1934,9.776887893676758) (293,9.589288711547852) (1684,9.552276611328125) (458,9.522507667541504) (903,9.479452133178711) (321,9.466907501220703)
18: (227,21.816234588623047)* (157,14.918560028076172) (1412,14.033634185791016) (959,13.732131004333496) (1249,12.383328437805176) (917,11.650114059448242) (951,11.25917911529541) (220,11.224069595336914)* (377,10.819555282592773) (1415,10.693164825439453) (1244,10.667003631591797) (1803,10.621698379516602) (234,10.588090896606445) (715,10.575540542602539)* (180,10.354970932006836) (735,10.26174259185791)* (2343,10.209973335266113) (67,10.192254066467285) (67,10.192254066467285) (868,10.14226245880127)
20: (107,11.94861888885498) (3703,10.870804786682129) (7665,9.456192016601562) (2668,9.114145278930664) (603,8.877530097961426) (2667,8.750341415405273) (1969,8.514695167541504) (2158,8.057754516601562) (1745,7.844059944152832) (2605,7.752601623535156) (2699,7.719898223876953) (444,7.70817756652832) (1627,7.682399749755859) (3707,7.60090446472168) (1222,7.3265061378479) (1943,7.161999702453613) (1963,7.10672664642334) (1946,6.977408409118652) (1731,6.918649673461914) (103,6.851095676422119)
21: (89,22.57193374633789)* (257,15.345624923706055) (349,14.864754676818848) (333,14.517904281616211) (157,14.28056526184082) (291,14.064026832580566) (466,13.746368408203125)* (265,13.397392272949219) (456,12.732043266296387) (306,12.71823787689209)* (344,12.568546295166016) (294,12.5673828125) (161,12.558425903320312) (311,12.521543502807617) (301,12.499422073364258) (787,12.410707473754883)* (908,12.360570907592773) (525,12.347127914428711) (455,12.282479286193848) (1684,12.148024559020996)
22: (2970,18.87462043762207) (1281,18.71927261352539) (12,18.20066261291504) (2586,18.179298400878906) (1214,17.37991714477539) (809,17.322736740112305)* (1188,17.31085777282715) (2744,16.980329513549805) (1547,16.812576293945312) (1551,16.375625610351562) (5667,16.299949645996094) (779,16.219083786010742) (2961,16.07520294189453) (835,16.05258560180664)* (5100,16.02529525756836) (1192,15.791509628295898) (2190,15.696374893188477) (4273,15.564525604248047) (5135,15.555685043334961) (2192,15.427095413208008)
23: (154,17.173967361450195) (441,15.965543746948242) (59,13.684538841247559) (190,13.63192081451416) (173,13.544596672058105) (868,13.191771507263184)* (227,12.762530326843262)* (1534,12.546144485473633) (51,12.460185050964355) (1083,11.953634262084961) (1412,11.797255516052246) (959,11.769237518310547) (429,11.726692199707031) (1089,11.630887985229492) (234,11.432788848876953) (3768,11.364781379699707) (1814,11.232159614562988) (857,11.225234985351562)* (98,11.125550270080566) (1878,11.107226371765137)
24: (67,13.808113098144531)* (67,13.808113098144531)* (289,13.108115196228027)* (288,12.620233535766602)* (311,11.689552307128906) (701,11.346912384033203) (292,11.143301010131836) (55,10.919219970703125)* (295,10.631575584411621)* (906,10.551666259765625) (265,10.351936340332031) (548,10.259453773498535) (3488,9.851401329040527) (3081,9.808369636535645) (523,9.805602073669434) (323,9.519867897033691) (1243,9.500614166259766) (97,9.381701469421387) (2523,9.26741886138916) (465,9.24604320526123)
25: (292,13.699921607971191)* (89,13.008705139160156)* (349,10.886392593383789)* (257,10.755805015563965) (300,10.320623397827148) (299,10.102762222290039) (265,9.618290901184082) (465,9.41518497467041) (291,9.362813949584961) (323,9.010784149169922) (301,8.978026390075684) (2523,8.821599006652832) (525,8.710283279418945) (523,8.55294418334961) (314,8.394378662109375)* (306,8.363759994506836) (326,8.204874992370605) (340,8.175904273986816) (466,8.113309860229492) (161,8.056312561035156)
26: (707,15.88223934173584)* (2838,14.024226188659668) (1358,13.655708312988281) (918,12.94778060913086)* (3470,12.856664657592773) (1369,11.653392791748047) (1339,11.48990249633789) (1342,11.446381568908691) (2341,11.201300621032715) (3476,11.193599700927734) (1360,11.052794456481934) (2343,11.044675827026367) (2342,11.030340194702148) (1254,11.005400657653809) (4331,10.927804946899414) (724,10.83411693572998) (1276,10.772600173950195) (706,10.769915580749512) (1412,10.710003852844238) (5157,10.472478866577148)
27: (72,11.492005348205566) (72,11.492005348205566) (190,9.261251449584961) (227,8.86682415008545) (163,8.411613464355469) (1104,8.12331771850586) (157,7.954893112182617) (81,7.795228004455566) (56,7.488391876220703) (56,7.488391876220703) (234,7.372837066650391) (518,7.1736979484558105) (63,7.137310028076172) (63,7.137310028076172) (70,7.130361557006836) (1705,7.123411178588867) (1121,6.957207202911377) (3057,6.93806791305542) (722,6.927677154541016) (930,6.895019054412842)
28: (67,17.005767822265625) (67,17.005767822265625) (157,14.108856201171875) (187,13.259672164916992) (3966,12.2715482711792) (1001,12.216638565063477)* (1014,12.060678482055664)* (511,11.505252838134766) (3832,11.067950248718262) (877,10.941264152526855) (6733,10.83846664428711) (1793,10.543140411376953) (997,10.323116302490234)* (89,10.226791381835938) (55,10.093889236450195) (190,10.051209449768066) (64,9.779370307922363) (64,9.779370307922363) (1075,9.640023231506348) (2079,9.569072723388672)
29: (89,10.90846061706543)* (289,10.818689346313477)* (466,10.132488250732422)* (377,9.265352249145508) (461,8.87817096710205)* (295,8.500197410583496) (325,8.168985366821289) (2080,7.90527868270874) (802,7.723545551300049) (701,7.714699745178223) (1246,7.672859191894531) (486,7.657905578613281) (1045,7.615966796875)* (542,7.609092712402344) (693,7.605449199676514) (646,7.511818885803223) (680,7.413691520690918) (378,7.344489097595215)* (536,7.3438544273376465) (344,7.331954002380371)
30: (89,14.371955871582031)* (292,12.159941673278809) (466,11.641300201416016) (701,10.993477821350098) (686,9.624317169189453) (679,9.048619270324707)* (302,8.822774887084961) (681,8.722906112670898) (257,8.660074234008789) (523,8.574774742126465) (464,8.532468795776367) (458,8.29254150390625) (802,8.238357543945312) (67,8.216865539550781) (67,8.216865539550781) (2977,8.187868118286133) (680,8.099319458007812)* (349,8.065475463867188) (544,7.996800899505615) (456,7.993191242218018)*
31: (1014,18.606914520263672) (89,16.725845336914062) (51,16.695072174072266) (173,16.612445831298828) (1072,16.49856185913086)* (153,16.33601188659668) (1713,16.19286346435547) (190,16.090280532836914) (75,15.922057151794434) (75,15.922057151794434) (157,15.403847694396973) (229,14.484641075134277) (238,14.331644058227539)* (187,14.287422180175781) (30,14.054361343383789)* (1886,14.04672908782959) (998,13.741147994995117) (3768,13.68528938293457) (55,13.3816499710083)* (3988,13.35352611541748)
32: (227,16.695491790771484)* (207,12.870527267456055) (229,12.187997817993164) (65,11.358617782592773) (65,11.358617782592773) (228,10.947115898132324) (429,10.22632884979248)* (424,9.443694114685059) (441,9.416139602661133)* (226,9.238458633422852) (233,9.03366470336914) (225,9.011863708496094) (436,8.951604843139648) (217,8.950117111206055)* (982,8.938286781311035) (56,8.770501136779785) (56,8.770501136779785) (868,8.625252723693848) (614,8.595178604125977) (857,8.560545921325684)*
33: (163,16.251741409301758) (227,15.320534706115723) (154,11.645868301391602) (841,10.827973365783691) (917,10.771142959594727) (162,10.6926908493042) (3417,10.599864959716797) (152,10.58276081085205)* (748,10.15919303894043) (2624,9.581130981445312) (1411,9.423583030700684) (632,8.60379695892334)* (1412,8.513009071350098) (735,8.504109382629395) (1418,8.400322914123535) (506,8.26446533203125) (212,8.050750732421875) (920,8.046558380126953) (238,7.856588840484619) (1244,7.8401665687561035)
34: (154,15.594720840454102) (190,13.939943313598633) (715,11.838982582092285) (3057,11.558566093444824) (429,11.424715995788574) (212,11.123862266540527) (3119,10.988924026489258) (217,10.554766654968262) (511,10.442167282104492)* (88,10.333627700805664) (858,10.309075355529785) (81,10.299934387207031) (618,10.161986351013184) (234,10.116629600524902) (868,10.0338134765625) (1242,10.0184965133667) (1412,10.006187438964844) (604,10.002737045288086) (229,9.894794464111328)* (65,9.866920471191406)
35: (89,24.64900779724121) (190,24.29899024963379) (227,22.819808959960938) (289,21.20477294921875) (288,18.962364196777344) (154,18.581918716430664) (4638,18.383926391601562) (5665,18.304969787597656) (4639,18.035064697265625) (7693,17.88212013244629) (11463,17.806583404541016) (7697,17.784500122070312) (3345,17.57503318786621) (333,17.460346221923828) (7692,17.256988525390625) (217,17.185482025146484) (12000,16.965391159057617) (12618,16.769371032714844) (11267,16.665246963500977) (11265,16.61527442932129)
36: (498,22.641155242919922) (377,14.914732933044434) (1188,14.334716796875)* (486,13.496664047241211) (209,13.210332870483398)* (1043,12.601109504699707)* (1672,12.178338050842285) (1038,12.133076667785645) (488,11.976875305175781)* (412,11.953831672668457) (693,11.934774398803711) (1044,11.838912963867188) (1853,11.758207321166992) (813,11.233989715576172) (1678,11.145231246948242) (2661,10.981097221374512) (1854,10.899669647216797) (466,10.83952522277832) (507,10.812288284301758) (5950,10.755077362060547)
37: (163,14.130356788635254) (152,9.038262367248535) (188,8.366986274719238) (162,8.300451278686523) (917,8.144542694091797) (1411,7.864467620849609) (3417,7.812763214111328) (2624,7.709828853607178) (506,7.371452808380127) (154,7.286141872406006) (1412,7.2380805015563965) (735,7.160648345947266) (607,6.9045562744140625) (1110,6.851646423339844) (748,6.8030829429626465) (238,6.792567253112793) (964,6.767083168029785) (1369,6.752497673034668) (1244,6.721503257751465) (1109,6.608728885650635)
38: (163,10.649066925048828) (190,10.460391998291016)* (89,10.260591506958008)* (1412,9.76045036315918) (67,9.541278839111328) (67,9.541278839111328) (706,9.10283088684082) (207,8.689787864685059) (228,8.640496253967285)* (735,8.417571067810059) (903,8.388863563537598) (220,8.318597793579102) (289,8.262062072753906) (154,7.995147705078125) (498,7.828245162963867)* (159,7.780872344970703) (234,7.755306243896484) (230,7.732854843139648) (424,7.634974479675293) (316,7.552779197692871)
39: (72,15.556150436401367) (72,15.556150436401367) (841,14.94301700592041)* (15,14.188368797302246) (936,13.5807466506958) (1913,13.155080795288086) (2963,12.502462387084961) (370,12.446531295776367) (503,12.189844131469727) (2975,12.153264999389648) (25,12.070939064025879) (821,11.785238265991211) (2970,11.680374145507812) (3901,11.61661148071289) (4319,11.59666919708252) (949,11.591567993164062) (944,11.51706600189209) (930,11.511441230773926) (2746,11.421224594116211) (1104,11.307788848876953)
40: (3551,22.710018157958984) (2154,21.349185943603516) (43,20.779823303222656) (3244,20.583721160888672) (1277,20.468379974365234) (10,20.37975311279297) (6878,19.81973648071289) (11192,19.762977600097656) (11112,19.585065841674805) (5871,19.404857635498047) (24,19.30419158935547) (4876,19.22051239013672) (13,19.14548110961914) (41,19.06551742553711) (72,18.664106369018555) (72,18.664106369018555) (2,18.394771575927734) (12845,18.35016441345215) (1303,18.29199981689453)* (19,18.242538452148438)
41: (841,13.559588432312012) (2838,11.181285858154297) (707,10.52680778503418) (3470,9.81014633178711) (923,9.659340858459473) (15,9.628327369689941) (952,9.30350112915039) (4331,9.268115043640137) (1276,9.061161041259766) (920,8.94111442565918) (947,8.897886276245117)* (3476,8.896841049194336) (946,8.713255882263184) (951,8.667236328125) (954,8.662822723388672)* (949,8.610466003417969) (2341,8.570128440856934) (821,8.524703979492188) (957,8.460844039916992)* (1259,8.403129577636719)
42: (89,13.601085662841797)* (229,11.635358810424805)* (498,10.405830383300781) (300,10.093582153320312) (67,9.622150421142578) (67,9.622150421142578) (298,9.583905220031738) (227,9.438671112060547) (292,9.27488899230957) (207,9.237022399902344) (1098,8.905637741088867) (333,8.7916259765625) (903,8.789225578308105) (486,8.699792861938477) (159,8.398187637329102) (306,7.738770484924316) (316,7.717546463012695) (533,7.712196350097656) (1807,7.684150695800781) (3200,7.678633689880371)
43: (72,19.991918563842773) (72,19.991918563842773) (229,18.791179656982422)* (173,14.342483520507812) (228,13.45910358428955) (1943,12.322671890258789) (67,12.149772644042969) (67,12.149772644042969) (757,12.001851081848145)* (1627,11.908520698547363) (1713,11.852266311645508) (1090,11.768464088439941) (1075,11.6964111328125) (2672,11.472555160522461) (159,11.238850593566895) (1620,11.171783447265625) (1072,11.13789176940918) (418,11.067651748657227) (70,10.986988067626953)* (424,10.713565826416016)
44: (154,16.065793991088867) (1412,14.721780776977539)* (707,10.958078384399414)* (735,10.666937828063965)* (868,10.299489974975586)* (234,10.147441864013672)* (212,9.898550033569336) (1639,9.60498332977295) (959,9.387369155883789) (1131,9.320261001586914)* (841,9.272531509399414) (863,9.264225959777832) (599,9.228646278381348) (859,8.968201637268066) (920,8.926831245422363) (1110,8.912843704223633) (188,8.777999877929688) (206,8.752120971679688) (159,8.655415534973145) (1513,8.640089988708496)
45: (295,12.889766693115234)* (289,12.382465362548828)* (475,9.561777114868164) (349,9.268366813659668)* (67,9.19955825805664) (67,9.19955825805664) (325,9.169821739196777)* (466,9.071496963500977)* (686,9.043407440185547) (545,8.90612506866455) (386,8.752503395080566) (674,8.684188842773438) (299,8.382125854492188) (1037,8.303670883178711) (681,8.264872550964355) (468,8.107187271118164) (327,7.978883743286133) (257,7.974184036254883) (291,7.871024131774902)* (161,7.849089622497559)*
46: (466,14.572639465332031)* (701,14.342008590698242)* (67,13.267097473144531) (67,13.267097473144531) (55,11.46826171875) (498,11.037355422973633)* (257,10.924997329711914) (344,10.156841278076172)* (318,10.037666320800781) (352,9.774194717407227)* (544,9.502920150756836) (298,9.38690185546875) (294,9.359488487243652) (525,9.087732315063477) (523,9.021132469177246) (2020,8.856440544128418) (310,8.85586929321289) (680,8.840436935424805) (293,8.810066223144531) (543,8.710664749145508)
47: (288,18.065351486206055)* (89,17.56143569946289) (289,17.374834060668945)* (300,15.957426071166992)* (295,14.32870101928711) (701,12.574641227722168)* (67,11.910938262939453) (67,11.910938262939453) (55,10.292322158813477) (679,10.070761680603027) (349,9.904133796691895) (306,9.803794860839844) (544,8.751033782958984) (352,8.422028541564941) (311,8.389102935791016) (321,8.262847900390625) (528,8.055843353271484) (342,8.036258697509766) (458,8.019770622253418) (301,7.962679862976074)
48: (65,15.28670597076416) (65,15.28670597076416) (295,14.922602653503418)* (300,13.823234558105469)* (959,13.758331298828125)* (641,13.597929000854492) (55,13.265027046203613)* (333,13.171623229980469) (292,12.849618911743164) (257,12.563405990600586) (511,12.369649887084961)* (903,12.174442291259766) (344,12.028143882751465) (5249,11.93384075164795) (498,11.374465942382812) (316,11.30809211730957) (3332,11.286039352416992) (3173,11.272725105285645) (291,11.143415451049805) (735,10.957199096679688)
49: (2083,9.311153411865234) (67,8.476221084594727) (67,8.476221084594727) (331,8.31657600402832) (981,8.135393142700195) (295,8.0684814453125) (1609,8.014551162719727) (5149,7.655606269836426) (5150,7.443280220031738) (300,7.331082344055176) (1409,7.275733947753906) (301,7.262628555297852) (903,7.21726655960083) (349,7.190485954284668) (437,7.143514633178711) (485,7.122320652008057) (310,7.105537414550781)* (157,7.0953145027160645) (548,7.072222709655762) (55,7.063238143920898)
50: (154,18.716583251953125) (190,16.247364044189453) (65,14.97377872467041)* (65,14.97377872467041)* (229,14.710796356201172)* (599,11.428175926208496) (429,10.977444648742676)* (1412,10.872598648071289)* (225,10.65804386138916) (234,10.62593936920166) (203,10.346197128295898) (441,10.268109321594238) (72,10.024897575378418) (72,10.024897575378418) (511,10.023529052734375)* (425,9.539941787719727) (436,9.375528335571289) (1400,9.29205322265625) (1384,9.288183212280273) (903,9.032143592834473)
51: (503,18.115482330322266)* (1358,17.59613800048828)* (4271,17.306106567382812) (821,16.993633270263672) (920,16.599966049194336) (15,16.422380447387695) (227,16.414806365966797) (234,15.21992301940918) (843,14.974555015563965) (1992,14.908157348632812) (922,14.777912139892578) (3470,14.73479175567627) (198,14.6910400390625)* (1276,14.648750305175781) (2787,14.603806495666504) (1214,14.348176956176758)* (1131,14.111084938049316) (1353,14.080403327941895) (957,14.001762390136719) (517,13.930402755737305)
52: (1188,11.09119987487793) (2970,10.850692749023438) (811,10.603700637817383) (813,10.507316589355469) (779,10.424278259277344) (5137,10.399040222167969) (1185,10.393238067626953) (503,10.375164031982422) (3927,10.19440746307373) (823,9.641839981079102) (814,9.625027656555176) (808,9.50693130493164) (2963,9.458500862121582) (2379,9.410049438476562) (5317,9.368929862976074) (953,9.33562183380127) (1214,9.219343185424805) (4173,9.013185501098633) (3328,8.919028282165527) (325,8.855457305908203)
53: (288,20.117277145385742)* (295,14.68036937713623) (289,14.01820182800293)* (306,10.774209976196289)* (1456,10.58877944946289) (466,10.57405948638916)* (349,10.00634765625)* (299,9.11526870727539) (686,9.068814277648926) (1037,8.854020118713379) (1451,8.783370971679688) (468,8.761754035949707) (5678,8.71798324584961) (907,8.643929481506348) (5038,8.629055976867676) (7340,8.543672561645508) (55,8.537745475769043)* (4566,8.497878074645996) (1449,8.482634544372559) (328,8.366783142089844)
54: (288,14.203109741210938)* (295,12.344568252563477) (89,12.035730361938477) (300,9.544313430786133) (257,8.682551383972168) (302,8.510177612304688) (299,8.46554946899414)* (311,7.8578362464904785) (301,7.78120756149292) (323,7.6474738121032715) (265,7.534699440002441) (466,7.526493072509766) (294,7.463929176330566) (306,7.388393402099609) (314,7.387299537658691) (465,7.324364185333252)* (485,7.194500923156738) (352,7.193572044372559) (157,7.105707168579102) (913,6.980408668518066)*
55: (475,13.665119171142578) (72,11.94724178314209) (72,11.94724178314209) (229,11.370640754699707) (2179,11.224849700927734) (56,10.609352111816406) (56,10.609352111816406) (1130,10.411205291748047) (1098,10.313331604003906) (157,10.101014137268066) (610,10.07729434967041) (238,9.958902359008789) (207,9.740376472473145) (163,9.721580505371094) (285,9.690262794494629) (88,9.66176986694336) (1009,9.101499557495117) (511,8.854791641235352) (70,8.770740509033203) (69,8.645125389099121)
56: (227,21.70903968811035) (65,15.18661880493164) (65,15.18661880493164) (190,13.766616821289062) (154,13.453064918518066) (229,12.70415210723877) (1090,12.110063552856445) (220,11.960251808166504) (533,11.533278465270996) (234,11.22698974609375) (230,11.193135261535645) (707,10.7498779296875) (1048,10.249056816101074) (159,10.133549690246582)* (1412,10.04399585723877) (498,10.0331392288208) (198,9.74752426147461) (225,9.702817916870117) (1515,9.539780616760254)* (3747,9.50493335723877)
57: (333,15.14921760559082)* (377,12.631584167480469)* (461,12.380610466003418) (693,12.170658111572266) (325,11.61816692352295) (209,10.516512870788574) (802,10.300048828125) (306,10.279576301574707) (1034,10.248197555541992)* (687,10.207799911499023) (1452,10.205718040466309) (1246,10.093423843383789)* (540,10.052318572998047) (1456,10.051369667053223) (458,10.038045883178711) (2080,9.8795166015625) (841,9.712346076965332) (321,9.654401779174805) (1032,9.628976821899414) (681,9.601329803466797)
58: (288,11.208118438720703)* (289,10.982020378112793)* (300,9.988388061523438)* (681,9.100873947143555)* (89,9.039395332336426)* (701,8.48154067993164) (466,8.323814392089844)* (311,8.127349853515625) (498,8.01762866973877) (2977,8.003284454345703) (680,7.995849609375)* (304,7.973888874053955) (257,7.887585639953613) (342,7.743602275848389) (456,7.69917631149292) (2439,7.600820541381836) (679,7.577618598937988) (1447,7.53218412399292) (302,7.46933126449585)* (458,7.446221351623535)
59: (154,13.030531883239746) (1104,12.717475891113281)* (173,12.41195297241211) (163,11.921427726745605) (233,11.347200393676758)* (159,10.89586067199707) (9,10.324868202209473) (1099,9.967723846435547) (234,9.64309024810791) (487,9.133161544799805) (1534,9.091958045959473)* (198,8.929110527038574) (70,8.752372741699219) (1072,8.655311584472656) (30,8.648468017578125) (2369,8.551605224609375) (1119,8.381000518798828) (152,8.366394996643066) (1295,8.319074630737305) (515,8.317304611206055)
60: (107,10.74472427368164) (7665,10.644599914550781) (3707,9.5088472366333) (2640,9.495622634887695) (154,9.294296264648438) (1396,9.286113739013672) (1155,9.029226303100586) (2416,8.900157928466797) (757,8.895589828491211) (3411,8.776336669921875) (603,8.629783630371094) (3673,8.624032020568848) (1390,8.572202682495117) (444,8.561655044555664) (197,8.47728157043457) (88,8.3911771774292) (1405,8.360499382019043) (454,8.314229011535645) (416,8.272992134094238)* (217,8.21908187866211)
