userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (51,66.58647155761719)* (175,65.37803649902344) (187,64.90553283691406) (1001,64.88278198242188) (7157,64.47735595703125) (877,64.34078979492188) (59,64.18665313720703)* (1713,64.17733764648438) (1014,64.14742279052734) (511,64.12152099609375) (2044,63.905189514160156) (3501,63.846500396728516) (1061,63.79167175292969) (880,63.76355743408203) (193,63.76264190673828) (1013,63.68028259277344) (1073,63.56485366821289) (389,63.55927276611328) (993,63.483253479003906) (4037,63.448429107666016)
13: (288,61.48634338378906) (289,61.39326095581055) (306,61.07582473754883) (302,60.43540954589844)* (328,60.113555908203125)* (701,60.0693244934082) (475,59.96607208251953) (486,59.7630615234375) (704,59.59149932861328) (331,59.50505828857422) (546,59.39128112792969)* (349,59.386741638183594)* (324,59.38147735595703) (1032,59.34892654418945) (377,59.33468246459961) (903,59.319244384765625) (689,59.30086135864258) (679,59.167930603027344) (291,59.15786361694336) (344,59.15363693237305)*
14: (2902,63.7222900390625) (3024,63.406700134277344) (582,63.36775207519531)* (14020,63.05900955200195) (2896,62.75410461425781) (8126,62.7423210144043) (2864,62.72341537475586) (9428,62.558345794677734) (8110,62.49186325073242) (5382,62.491188049316406) (4524,62.434173583984375) (4402,62.426116943359375) (14088,62.067649841308594) (14089,62.03921890258789) (8127,62.035011291503906) (7056,62.03428268432617) (14078,61.951412200927734) (11918,61.93954086303711) (8128,61.92657470703125) (11919,61.856048583984375)
15: (418,68.30160522460938) (2277,67.14839935302734) (197,66.91051483154297)* (163,66.88512420654297) (206,66.46161651611328) (199,66.38086700439453) (81,66.28813934326172) (196,66.16979217529297) (231,66.0905532836914) (1504,65.92166900634766) (858,65.72216796875) (748,65.65863037109375) (1098,65.60133361816406) (88,65.59650421142578) (715,65.38956451416016) (433,65.33065795898438) (72,65.31777954101562) (72,65.31777954101562) (630,65.3122329711914)* (416,65.3039779663086)
16: (12808,57.740135192871094) (12810,57.15581512451172) (10992,57.048614501953125) (12801,57.00685119628906) (12809,56.97822189331055) (15416,56.780555725097656) (6995,56.682518005371094) (299,56.656211853027344) (290,56.58171081542969) (12806,56.554420471191406) (12812,56.484291076660156) (1865,56.43443298339844) (352,56.35881042480469) (5326,56.3315544128418) (338,56.29856491088867) (15419,56.29852294921875) (475,56.234683990478516) (12802,56.224639892578125) (12803,56.2042350769043) (12807,56.19633483886719)
17: (333,59.03205490112305) (300,58.91448974609375)* (1043,58.811439514160156) (1047,58.80037307739258) (470,58.79035949707031) (1246,58.420570373535156) (528,58.307289123535156)* (1038,58.15849304199219) (306,58.06953048706055)* (524,58.044395446777344) (1684,57.883758544921875) (540,57.81273651123047) (293,57.7671012878418) (486,57.70104217529297) (471,57.686683654785156) (3200,57.62226486206055) (546,57.59746551513672) (292,57.57781219482422)* (689,57.54958724975586)* (458,57.526065826416016)
18: (959,64.50444030761719) (227,64.40200805664062)* (917,63.644447326660156) (157,63.2980842590332) (1412,63.076141357421875) (614,62.92150115966797) (1249,62.81169891357422) (966,62.75361251831055) (220,62.64686965942383)* (2346,62.610260009765625) (1415,62.598182678222656) (1122,62.56544494628906) (868,62.52000427246094) (1464,62.4766845703125) (1104,62.44915008544922) (212,62.42524719238281) (2176,62.398616790771484) (715,62.37217712402344)* (180,62.370094299316406) (184,62.362266540527344)
20: (2667,61.36231994628906) (1222,61.17401885986328) (603,60.87898635864258) (2668,60.065799713134766) (2673,60.06135559082031) (1226,59.7730598449707) (101,59.71085739135742) (2605,59.62714767456055) (1716,59.512874603271484) (7373,59.48405075073242) (4316,59.46493148803711) (5805,59.290191650390625) (3703,59.1031608581543) (38,59.09583282470703) (162,59.051666259765625) (5074,58.94788360595703) (2165,58.895240783691406) (5874,58.86832046508789) (778,58.82032012939453)* (2684,58.78824996948242)
21: (161,60.43955612182617) (349,60.2425537109375) (89,60.216983795166016)* (525,60.11894226074219) (257,59.947181701660156) (466,59.89930725097656)* (306,59.7257194519043)* (544,59.13576126098633) (320,59.01921844482422) (790,58.93032455444336)* (1580,58.894779205322266) (333,58.68172836303711) (290,58.639583587646484) (308,58.5711669921875) (2094,58.53419494628906) (458,58.532684326171875) (1451,58.5214958190918) (908,58.49175262451172) (528,58.4844856262207) (1032,58.418827056884766)
22: (1547,62.6878547668457) (923,62.58839416503906) (2378,62.48068618774414) (2970,61.91331481933594) (4827,61.69612121582031) (3032,61.39347457885742) (4346,61.377567291259766) (5100,61.30628967285156) (779,61.141841888427734) (785,61.10014724731445) (835,61.00904083251953)* (809,60.97227478027344)* (1551,60.9416389465332) (2961,60.90291976928711) (500,60.895877838134766) (12,60.81716537475586) (4971,60.72935104370117) (2744,60.70689010620117) (4268,60.5765495300293) (820,60.54338836669922)*
23: (441,64.05066680908203) (59,63.627601623535156) (1119,63.60921096801758) (429,63.26160430908203) (1534,63.089149475097656) (1131,62.9431037902832) (1083,62.7423095703125) (1707,62.68238830566406) (3280,62.65049362182617) (154,62.63705062866211) (868,62.618282318115234)* (227,62.612064361572266)* (2493,62.42292022705078) (959,62.279178619384766) (30,62.25438690185547) (2531,62.19541931152344) (51,62.17327117919922) (190,62.019203186035156) (856,62.01828384399414)* (864,61.99868392944336)*
24: (67,61.623748779296875)* (67,61.623748779296875)* (55,61.36116027832031)* (289,61.13283157348633)* (2083,60.971073150634766) (525,60.86762619018555) (697,60.68224334716797) (157,60.6087532043457)* (3488,60.3749885559082) (292,60.11763000488281) (349,60.08348846435547) (295,60.028541564941406)* (1511,59.97051239013672) (1934,59.9537239074707) (316,59.949920654296875)* (701,59.87786102294922) (288,59.86738204956055)* (296,59.75861740112305) (320,59.65637969970703) (306,59.63905715942383)
25: (306,60.57640075683594) (299,60.021766662597656) (292,59.95808792114258)* (349,59.91611099243164)* (257,59.705806732177734) (89,59.46353530883789)* (161,58.93238067626953) (314,58.74819564819336)* (320,58.74681091308594) (466,58.603538513183594) (300,58.43643569946289) (525,58.426353454589844) (475,58.35519027709961) (291,58.28593444824219) (465,58.26668167114258) (301,58.212154388427734) (1601,58.1601676940918) (915,58.12389373779297)* (544,58.11082077026367) (333,58.065086364746094)
26: (1654,63.487937927246094) (1339,62.241241455078125) (1338,62.17725372314453) (1803,61.90971755981445) (918,61.70985412597656)* (708,61.687957763671875) (6120,61.53347396850586) (707,61.46881103515625)* (2797,61.18611526489258) (4087,61.075008392333984) (1358,61.034454345703125) (3981,60.951393127441406) (176,60.9398307800293) (710,60.893733978271484) (1343,60.8087272644043) (4460,60.7697868347168) (706,60.753273010253906) (4791,60.7274284362793) (2789,60.70854568481445) (724,60.69401168823242)
27: (67,64.99305725097656)* (67,64.99305725097656)* (289,64.94842529296875) (157,64.82504272460938) (1098,64.7660140991211) (89,64.71932220458984) (65,64.39655303955078) (65,64.39655303955078) (190,64.2965316772461) (227,64.15360260009766) (378,64.08341979980469) (154,64.049072265625) (518,63.940650939941406) (288,63.9371223449707) (295,63.89387512207031) (1109,63.76859664916992) (55,63.751190185546875) (959,63.558982849121094) (292,63.51441955566406) (389,63.45167541503906)
28: (1001,62.68998336791992)* (1713,62.5481071472168) (187,62.52345657348633) (1014,62.41262435913086)* (997,62.29511642456055)* (5254,61.67226028442383) (82,61.617286682128906) (877,61.599952697753906) (30,61.59394454956055) (3768,61.42122268676758) (99,61.39628982543945) (75,61.338096618652344) (75,61.338096618652344) (1019,61.305912017822266)* (2027,61.133819580078125) (999,61.08238220214844)* (3991,61.04640197753906) (880,61.0443229675293) (9858,60.97199630737305) (722,60.929649353027344)
29: (289,63.06395721435547)* (466,62.02357482910156)* (89,61.98580551147461)* (306,61.73624038696289) (544,61.674137115478516) (461,61.598106384277344)* (475,61.380130767822266) (377,60.978858947753906) (701,60.96614074707031) (1246,60.886871337890625) (324,60.860755920410156) (344,60.857574462890625) (295,60.672943115234375) (458,60.651702880859375) (486,60.59161376953125) (687,60.470603942871094)* (523,60.28886413574219) (1047,60.2391357421875) (528,60.205718994140625)* (349,60.12641143798828)
30: (89,60.78189468383789)* (466,60.09645080566406) (324,59.90594482421875) (292,59.795467376708984) (302,59.70039749145508) (293,59.34040069580078) (290,59.21406555175781) (318,59.153411865234375)* (681,58.97200012207031) (679,58.93596649169922)* (306,58.9195671081543) (701,58.83522033691406) (342,58.73985290527344) (704,58.71857833862305) (378,58.59465789794922) (486,58.52516555786133) (544,58.43636703491211) (257,58.43183135986328) (55,58.34959411621094) (528,58.34229278564453)
31: (64,63.513816833496094) (64,63.513816833496094) (1707,62.90211486816406) (1713,62.88728713989258) (1098,62.50889587402344) (51,62.353843688964844) (58,62.20039749145508) (58,62.20039749145508) (157,62.10599136352539) (3501,62.037574768066406) (187,61.95548629760742) (55,61.87785339355469)* (75,61.75808334350586) (75,61.75808334350586) (1886,61.60658645629883) (1295,61.5128173828125) (172,61.43362808227539) (89,61.41618347167969) (390,61.40614700317383) (1072,61.31806182861328)*
32: (228,64.56092834472656) (229,64.28824615478516) (424,64.10525512695312) (207,63.970855712890625) (225,63.91156768798828) (429,63.46360778808594)* (227,63.43647003173828)* (65,63.41304397583008) (65,63.41304397583008) (226,63.344482421875) (428,63.331233978271484)* (233,63.30198669433594) (1400,63.235023498535156) (1151,63.200870513916016) (969,63.140682220458984) (182,62.95967102050781) (441,62.95193862915039)* (1375,62.91115188598633) (1048,62.820743560791016) (1116,62.77794647216797)
33: (1726,66.01419830322266) (506,65.81218719482422) (1178,65.67469787597656) (81,65.28527069091797) (162,65.2088851928711) (3417,65.04743957519531) (4271,64.88418579101562) (1710,64.78794860839844) (3940,64.6780014038086) (2060,64.46382904052734) (1708,64.43033599853516) (4965,64.34465789794922) (2006,64.33856964111328) (930,64.3214340209961) (5180,64.3018569946289) (154,64.29293823242188) (46,64.28201293945312) (1172,64.27471160888672) (1418,64.2154312133789) (163,64.18818664550781)
34: (429,67.70172119140625) (72,67.61412048339844)* (72,67.61412048339844)* (154,67.61405944824219) (56,67.28275299072266) (56,67.28275299072266) (1098,67.08983612060547) (159,66.94757843017578) (81,66.86551666259766) (603,66.61727905273438) (2531,66.54248046875) (64,66.46988677978516) (64,66.46988677978516) (3739,66.40570831298828) (190,66.35897064208984) (3057,66.18608093261719) (511,66.07270050048828)* (1504,66.0556640625) (88,65.93982696533203) (961,65.84701538085938)
35: (4271,65.03124237060547) (1423,64.07213592529297) (3417,64.05010986328125) (418,63.88821792602539) (2771,63.73677444458008) (1418,63.543434143066406) (1124,63.40359115600586) (1411,63.35066223144531) (4965,63.07487106323242) (1112,62.879520416259766) (1110,62.85569381713867) (4787,62.79429626464844) (1109,62.685882568359375) (1123,62.64590835571289) (1726,62.540679931640625) (6161,62.47700881958008) (163,62.41329574584961) (162,62.373512268066406) (188,62.36726379394531) (2026,62.330413818359375)
36: (498,62.525428771972656) (486,62.332252502441406) (209,61.78855895996094)* (1188,61.73386764526367)* (377,61.443302154541016) (1043,61.23079299926758)* (492,61.02183532714844) (693,60.97816467285156) (2430,60.90548324584961) (1853,60.80873489379883) (1183,60.80739974975586)* (2959,60.806861877441406) (1246,60.65454864501953) (1195,60.64357376098633)* (2619,60.63420867919922) (2618,60.578433990478516) (4262,60.48246765136719) (1868,60.480674743652344) (324,60.377471923828125) (1672,60.34811782836914)
37: (592,59.86238479614258) (2026,58.988983154296875) (2033,58.87941360473633) (197,58.73861312866211) (2471,58.662845611572266) (605,58.62508773803711) (3354,58.603824615478516) (2459,58.588077545166016) (3531,58.549198150634766) (3809,58.41879653930664) (3444,58.392852783203125) (3443,58.383338928222656) (441,58.383243560791016) (2493,58.34352111816406) (2475,58.23134994506836) (10672,58.202606201171875) (429,58.009700775146484) (4887,57.990638732910156) (5605,57.94626998901367) (3523,57.91549301147461)
38: (190,61.509620666503906)* (89,61.33541488647461)* (207,61.29704284667969) (424,61.07450485229492) (538,60.891605377197266) (903,60.89015197753906) (220,60.87404251098633) (228,60.84382629394531)* (230,60.8226203918457) (1048,60.6152458190918) (316,60.60480499267578) (289,60.531341552734375) (234,60.405860900878906) (67,60.193809509277344) (67,60.193809509277344) (306,60.18645477294922)* (154,60.15634536743164) (498,60.15013122558594)* (302,60.06863021850586) (157,59.87797927856445)
39: (2970,63.7083625793457) (1293,63.50022888183594) (6265,63.177101135253906) (12,63.137001037597656) (841,62.80453872680664)* (7722,62.69747543334961) (6267,62.696136474609375) (4872,62.663063049316406) (1104,62.618751525878906) (1913,62.60551452636719) (2967,62.523101806640625) (1295,62.46632385253906) (6281,62.42295837402344) (2038,62.32210922241211) (1521,62.320533752441406) (1271,62.29484558105469)* (4290,62.18946838378906) (10104,62.03913116455078) (1261,62.025699615478516)* (3,61.9204216003418)
40: (9,63.93354797363281) (4872,63.87348175048828) (1277,63.59519577026367) (13,63.538841247558594) (44,63.415321350097656) (1270,63.32924270629883) (5711,63.29814147949219) (2,63.18876647949219) (3244,63.182899475097656) (10,63.09935760498047) (5581,63.0961799621582) (24,63.0187873840332) (5699,62.99513626098633) (19,62.97957229614258) (6267,62.97669982910156) (5702,62.88855743408203) (6265,62.828189849853516) (5719,62.78865051269531) (5705,62.771270751953125) (1329,62.741065979003906)*
41: (3660,60.96609878540039) (1257,60.77399444580078)* (841,60.39346694946289) (954,60.273040771484375)* (1523,60.20779037475586) (707,60.14628601074219) (956,60.1058235168457) (957,59.95856475830078)* (1522,59.89998245239258) (1274,59.87278366088867) (1344,59.553062438964844)* (710,59.5306282043457) (1536,59.44499588012695) (2838,59.40230941772461) (3470,59.32838439941406) (1364,59.05528259277344)* (5365,59.00655746459961) (5158,58.98632049560547) (919,58.86247634887695) (1276,58.82337188720703)
42: (229,64.94182586669922)* (538,64.18598175048828)* (1400,63.584991455078125) (486,63.43895721435547) (89,63.40115737915039)* (498,63.3360710144043) (424,63.237335205078125) (533,63.175086975097656) (71,63.12384033203125) (71,63.12384033203125) (3200,63.0802116394043) (511,63.07207489013672)* (362,63.02570343017578) (546,63.00406265258789) (690,62.920127868652344) (207,62.707725524902344) (903,62.68632507324219) (298,62.66554260253906) (1048,62.526084899902344)* (3057,62.473270416259766)
43: (70,61.33222961425781)* (72,60.63783645629883) (72,60.63783645629883) (4316,60.5992431640625) (969,60.30705642700195) (229,60.28565979003906)* (757,60.27610778808594)* (1106,59.99900817871094) (546,59.85915756225586) (1379,59.6585807800293) (228,59.59724807739258) (689,59.26996994018555) (71,59.20340347290039) (71,59.20340347290039) (159,59.168331146240234) (432,59.15962219238281) (424,59.153926849365234) (173,59.14988327026367) (220,59.09758377075195) (425,59.08769607543945)
44: (1412,66.98470306396484)* (1110,66.2515869140625) (212,65.50228118896484) (2375,65.48535919189453) (868,65.46407318115234)* (707,65.45547485351562)* (841,65.33526611328125) (843,65.33003234863281) (2624,64.9652328491211) (959,64.788818359375) (856,64.64525604248047) (949,64.58391571044922) (188,64.49546813964844) (1639,64.29332733154297) (3444,64.23194122314453) (4675,64.09488677978516) (1206,63.97835159301758) (3445,63.952083587646484) (857,63.928855895996094) (4784,63.89075469970703)
45: (295,60.86330032348633)* (299,60.515602111816406) (289,60.241615295410156)* (257,59.50691223144531) (466,59.37491989135742)* (161,59.267601013183594)* (327,58.871673583984375) (349,58.776206970214844)* (328,58.74497985839844) (55,58.72651672363281) (1452,58.70585250854492) (2548,58.57244110107422) (652,58.47856903076172) (67,58.16465759277344) (67,58.16465759277344) (461,58.10789108276367)* (913,58.08877182006836) (468,58.06476593017578) (475,57.991729736328125) (525,57.948822021484375)
46: (466,57.889095306396484)* (701,57.452232360839844)* (320,56.9603157043457)* (257,56.83638000488281) (544,56.61832046508789) (352,56.41291427612305)* (913,56.364288330078125) (523,56.349185943603516) (528,56.24453353881836) (55,56.191619873046875) (161,56.18207931518555) (318,56.172607421875) (344,55.991939544677734)* (498,55.869178771972656)* (468,55.83095169067383) (525,55.827301025390625) (386,55.79969787597656) (543,55.77366638183594) (290,55.640830993652344)* (329,55.63977813720703)
47: (289,61.112388610839844)* (89,60.98501205444336) (288,60.57924270629883)* (300,60.24613952636719)* (295,60.177608489990234) (306,60.130496978759766) (349,59.61589050292969) (701,59.57164001464844)* (55,59.47325897216797) (67,59.19586944580078) (67,59.19586944580078) (544,58.936248779296875) (679,58.89677810668945) (324,58.75810241699219) (528,58.75595474243164) (352,58.66621780395508) (320,58.43047332763672) (906,58.36967468261719) (294,58.32206726074219)* (290,58.18205642700195)
48: (295,60.22015380859375)* (292,59.9078369140625) (542,59.889347076416016) (306,59.842674255371094) (646,59.72491455078125) (257,59.702816009521484) (1556,59.6586799621582) (714,59.608154296875) (302,59.5953369140625) (1771,59.4737548828125) (3741,59.45106887817383) (300,59.44724655151367)* (55,59.35914611816406)* (708,59.34960174560547) (333,59.34272003173828) (316,59.239845275878906) (706,59.239402770996094) (913,59.10088348388672) (3393,59.092926025390625) (641,59.03492736816406)
49: (423,61.92869186401367) (526,61.85888671875) (374,61.82046890258789) (757,61.70124816894531) (56,61.653690338134766) (56,61.653690338134766) (2101,61.578609466552734) (1098,61.43837356567383) (2521,61.434913635253906) (2083,61.380699157714844) (548,61.375858306884766) (690,61.094451904296875) (4706,61.03169250488281) (532,60.951133728027344) (64,60.857643127441406) (64,60.857643127441406) (306,60.71955490112305)* (2094,60.71062469482422) (689,60.670894622802734) (55,60.583858489990234)
50: (709,59.65794372558594)* (154,59.621070861816406) (190,59.5940055847168) (203,59.31499481201172) (229,59.291194915771484)* (857,59.11069107055664) (429,58.87863540649414)* (441,58.872379302978516) (208,58.77522659301758) (234,58.71454620361328) (716,58.496185302734375) (65,58.361045837402344)* (65,58.361045837402344)* (230,58.360443115234375)* (199,58.352333068847656) (88,58.30442428588867) (425,58.12934112548828) (715,58.0305290222168) (432,58.02290344238281) (859,57.96080780029297)
51: (1358,64.90831756591797)* (1257,64.60696411132812)* (1344,63.85755920410156)* (843,63.65346145629883) (1353,63.48358154296875) (12,62.9364128112793) (1343,62.86708068847656) (3509,62.8320426940918) (3660,62.768409729003906) (949,62.748878479003906)* (10771,62.74672317504883) (1254,62.721527099609375) (1364,62.69716262817383)* (1372,62.52857971191406) (1276,62.47748565673828) (1338,62.464385986328125) (710,62.405330657958984) (1281,62.40008544921875) (15,62.14972686767578) (5689,62.10306930541992)
52: (12254,61.08518600463867) (475,60.95145797729492) (4504,60.620113372802734) (819,60.50025177001953) (4503,60.33358383178711) (1192,59.90221405029297) (240,59.82847595214844) (4501,59.79118728637695) (8371,59.7711296081543) (1455,59.56071472167969) (1681,59.258941650390625) (15108,59.245140075683594) (377,59.1937255859375) (808,59.15742111206055) (779,59.020843505859375) (498,59.01858901977539) (3032,58.96601867675781) (267,58.96270751953125) (1195,58.85160446166992) (5306,58.841217041015625)
53: (288,59.15110778808594)* (289,59.04754638671875)* (306,58.77553176879883)* (295,58.50178909301758) (161,58.492164611816406) (299,58.16092300415039) (349,58.085941314697266)* (468,58.04981231689453) (327,57.96211242675781) (1444,57.59385681152344) (466,57.53500747680664)* (328,57.405433654785156) (308,57.31005096435547) (1449,57.153053283691406) (544,57.1511116027832) (257,57.10414123535156) (461,57.05821228027344) (320,57.037803649902344) (913,56.98123550415039) (1456,56.92036056518555)
54: (295,59.94365692138672) (299,59.333099365234375)* (257,59.31400680541992) (89,59.1467399597168) (301,58.942901611328125) (306,58.82343292236328) (302,58.73282241821289) (320,58.711238861083984)* (288,58.670555114746094)* (300,58.457645416259766) (294,58.307640075683594) (466,58.04496765136719) (332,57.95641326904297) (468,57.84479522705078) (314,57.84092712402344) (328,57.69154357910156) (913,57.606529235839844)* (352,57.59011459350586) (327,57.565303802490234) (161,57.54401397705078)
55: (240,61.88227844238281) (8161,61.13697814941406) (527,60.873558044433594) (249,60.86050033569336) (3169,60.854217529296875) (1963,60.52301025390625) (12751,60.380645751953125) (271,60.231605529785156) (266,60.19137954711914) (4467,60.106048583984375) (617,60.04276657104492) (9901,59.96364212036133) (10918,59.90279769897461) (9909,59.84493637084961) (9903,59.796722412109375) (2914,59.78316116333008) (12243,59.68685531616211) (1537,59.54550552368164) (9906,59.5352783203125) (15119,59.33554458618164)
56: (439,59.29233169555664) (498,59.20382308959961) (190,59.16314697265625) (4828,59.09782791137695) (533,58.800357818603516) (714,58.66596603393555) (486,58.45195388793945) (705,58.34177780151367) (708,58.25852584838867) (227,58.233497619628906) (2660,58.226749420166016) (230,58.1768684387207) (540,58.129756927490234) (1246,58.125858306884766) (1375,58.07982635498047) (1045,57.93678283691406) (209,57.928382873535156) (422,57.88418960571289) (6132,57.79143524169922) (1043,57.760623931884766)
57: (333,61.802833557128906)* (461,61.09138107299805) (324,60.948883056640625) (680,60.74919891357422) (544,60.64114761352539) (209,60.54997634887695) (377,60.41911697387695)* (306,60.39360046386719) (701,60.35839080810547) (1034,60.260841369628906)* (528,60.25770568847656) (524,60.18857955932617) (302,60.10499572753906) (1047,60.022560119628906) (790,60.0170783996582) (298,59.96160888671875) (687,59.94192123413086) (679,59.88821029663086) (542,59.75448989868164) (1246,59.68376159667969)*
58: (289,64.04217529296875)* (498,63.32956314086914) (89,62.60807418823242)* (306,62.6002197265625) (544,62.47833251953125) (466,62.47585678100586)* (288,62.420230865478516)* (300,62.25111389160156)* (646,61.64565658569336) (701,61.618133544921875) (302,61.602149963378906)* (793,61.5006217956543) (464,61.28939437866211) (349,61.23149108886719) (324,61.18567657470703) (679,61.15834045410156) (475,61.1149787902832) (2801,61.10076141357422) (790,61.09117126464844) (528,61.06127166748047)
59: (1104,69.09471893310547)* (163,67.07878112792969) (188,66.9627456665039) (930,66.95751953125) (1295,66.94738006591797) (233,66.84230041503906)* (959,66.76272583007812) (159,66.66619873046875) (9,66.56334686279297) (843,66.55091094970703) (923,66.51940155029297) (25,66.49980163574219) (198,66.48357391357422) (917,66.42051696777344) (4316,66.34501647949219) (1119,66.34417724609375) (370,66.28097534179688) (39,66.27076721191406) (506,66.26469421386719) (1707,66.14111328125)*
60: (1222,62.51729202270508) (748,62.407779693603516) (444,62.39265441894531) (603,62.18363571166992) (757,61.96659469604492) (162,61.92036437988281) (1745,61.65457534790039)* (3411,61.647239685058594) (2605,61.62484359741211) (1098,61.59060287475586) (154,61.31595993041992) (632,61.25123596191406) (64,61.24822235107422) (64,61.24822235107422) (81,61.22226333618164) (238,61.20438003540039) (1700,61.13020324707031) (423,61.101070404052734) (107,60.9454345703125) (3686,60.883453369140625)
