userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,59.14292907714844) (51,58.929534912109375)* (1073,58.370018005371094) (3501,57.9581413269043) (1098,57.845367431640625) (1892,57.84344482421875) (238,57.78467559814453) (187,57.74797821044922) (1014,57.695648193359375) (6930,57.506004333496094) (157,57.48530197143555) (3201,57.45361328125) (70,57.34080505371094)* (155,57.183284759521484) (3768,57.1724967956543) (3992,57.14705276489258) (993,57.117950439453125) (1072,57.10118103027344) (1399,57.06779098510742) (59,57.059383392333984)*
15: (418,61.14999008178711) (196,61.01974868774414) (197,60.853694915771484)* (163,60.83387756347656) (1504,60.63397979736328) (1098,60.537479400634766) (206,60.527366638183594) (199,60.42108917236328) (81,60.3905143737793) (231,60.04650115966797) (858,60.0213737487793) (5237,60.0106086730957) (2616,59.960453033447266) (2277,59.93513488769531) (53,59.924072265625) (53,59.924072265625) (441,59.87317657470703) (238,59.80244827270508) (237,59.79265213012695) (1976,59.788578033447266)
16: (1575,44.254215240478516) (1573,44.20845031738281) (10251,43.32170867919922) (3985,43.31752014160156) (803,43.15396499633789) (8008,42.944541931152344) (295,42.8097038269043) (3500,42.74699783325195) (292,42.71057891845703) (1058,42.67444610595703) (4565,42.626102447509766) (6429,42.54543685913086) (5999,42.532814025878906) (296,42.44396209716797) (1581,42.436824798583984) (3951,42.41115951538086) (7243,42.38575744628906) (10271,42.377037048339844) (4769,42.37691879272461) (349,42.367103576660156)
17: (300,51.14597702026367)* (333,50.99454116821289) (458,50.50827407836914) (291,50.15678405761719) (1047,50.07862854003906) (321,50.0324821472168) (701,49.969669342041016)* (793,49.860382080078125) (481,49.83320617675781) (292,49.82177734375)* (342,49.77936935424805) (295,49.70246505737305) (302,49.690338134765625) (306,49.68157196044922)* (293,49.654754638671875) (471,49.5872802734375) (1470,49.58163070678711) (318,49.544334411621094) (2546,49.5440788269043) (1043,49.54216384887695)
18: (1412,59.398746490478516) (959,58.75836181640625) (227,58.150508880615234)* (157,58.01679229736328) (917,57.910362243652344) (1249,57.55791473388672) (1244,57.47665023803711) (1369,57.35205078125) (220,57.2128791809082)* (718,57.183563232421875)* (234,57.13766098022461) (176,57.08735656738281) (1122,57.01956558227539) (614,56.97445297241211) (868,56.883487701416016) (2346,56.8236083984375) (475,56.7752799987793) (928,56.70652770996094) (735,56.663516998291016)* (951,56.616859436035156)
20: (2667,52.42082977294922) (1222,52.21369171142578) (2668,51.864376068115234) (2605,51.82398223876953) (101,51.74169921875) (3703,51.37107849121094) (603,51.34520721435547) (107,51.27690887451172) (3132,51.06913757324219) (2832,50.93535232543945) (1745,50.834259033203125) (2673,50.71101760864258) (162,50.68518829345703) (4852,50.50095748901367) (2164,50.47853469848633) (1226,50.40873718261719) (9672,50.3504524230957) (10719,50.176727294921875) (2174,50.1171989440918) (2811,50.091453552246094)
21: (257,49.267478942871094) (265,49.012603759765625) (349,48.81829833984375) (466,48.78977584838867)* (89,48.60142517089844)* (291,48.540218353271484) (333,48.29941177368164) (161,48.29396438598633) (290,48.28925704956055) (294,48.243247985839844) (386,48.114810943603516) (350,48.046630859375) (6308,47.76354217529297) (323,47.74568176269531) (906,47.731109619140625) (455,47.70875930786133) (311,47.70368957519531) (326,47.68743133544922) (908,47.67176055908203) (296,47.596256256103516)
22: (500,50.21235275268555) (953,49.84575271606445) (1547,49.81879806518555) (1541,49.44056701660156) (779,49.35207748413086) (2970,49.31734085083008) (2211,49.24140167236328) (809,49.00802993774414)* (2744,48.937015533447266) (1281,48.89677429199219) (25,48.85865783691406) (370,48.82046127319336) (2143,48.816444396972656) (1188,48.76860046386719) (5667,48.73405838012695) (2850,48.709983825683594) (2379,48.62902069091797) (5100,48.6191291809082) (1861,48.503047943115234) (923,48.48085021972656)
23: (631,61.835880279541016) (1119,61.53403091430664) (1534,61.357566833496094) (1083,60.90625762939453) (441,60.901222229003906) (3441,60.8228874206543) (1412,60.71136474609375) (59,60.6976432800293) (857,60.65666961669922)* (3431,60.560333251953125) (864,60.55984115600586)* (1707,60.55567169189453) (868,60.542381286621094)* (1131,60.52097702026367) (2493,60.392601013183594) (1203,60.38878631591797) (715,60.378204345703125) (51,60.295654296875) (154,60.18149948120117) (1225,60.113555908203125)
24: (67,58.541526794433594)* (67,58.541526794433594)* (157,57.6716423034668)* (55,57.52347183227539)* (289,57.40020751953125)* (3488,57.36006546020508) (906,57.34416961669922) (1934,57.10969924926758) (58,57.061676025390625) (58,57.061676025390625) (97,57.02989959716797) (1464,57.003814697265625) (1243,56.80051803588867) (2071,56.75788879394531) (288,56.72096633911133)* (295,56.71274185180664)* (71,56.6798095703125) (71,56.6798095703125) (65,56.67650604248047) (65,56.67650604248047)
25: (292,51.93806457519531)* (89,51.42234802246094)* (349,51.36765670776367)* (299,51.338436126708984) (257,51.24592971801758) (300,51.114994049072266) (466,50.93498611450195) (461,50.81446075439453) (161,50.78131103515625) (291,50.76687240600586) (333,50.70532989501953) (386,50.659915924072266) (306,50.60490417480469) (523,50.23954772949219) (465,50.220130920410156) (326,50.07836151123047) (972,50.01908493041992) (644,50.01156997680664) (915,50.000823974609375)* (2094,49.98805236816406)
26: (710,58.54934310913086) (707,58.52019500732422)* (918,58.41815185546875)* (1358,58.40544128417969) (954,58.146148681640625)* (176,58.12640380859375) (1369,57.98400115966797) (1339,57.93012619018555) (724,57.907432556152344) (1338,57.90269470214844) (1360,57.735191345214844) (2838,57.69200897216797) (6282,57.64936447143555) (1350,57.61801528930664) (1249,57.61789321899414) (706,57.34613800048828) (1372,57.34368896484375) (2342,57.297821044921875) (1274,57.290855407714844) (1342,57.280975341796875)
27: (157,59.28133010864258) (67,59.00869369506836)* (67,59.00869369506836)* (227,59.00120162963867) (190,58.56367111206055) (163,58.53037643432617) (959,58.49343490600586) (89,58.34321594238281) (72,58.2722053527832) (72,58.2722053527832) (475,58.2433967590332) (65,58.24234390258789) (65,58.24234390258789) (154,58.15211486816406) (56,58.10929870605469) (56,58.10929870605469) (234,57.91646194458008) (511,57.87632369995117) (220,57.78804397583008) (1109,57.74272155761719)
28: (1001,59.54383087158203)* (6232,59.33503341674805) (877,59.23731231689453) (175,59.012203216552734) (3966,58.68144607543945) (1014,58.64469909667969)* (997,58.49291229248047)* (8002,58.46571731567383) (75,58.43980407714844) (75,58.43980407714844) (187,58.36740493774414) (6733,58.34804916381836) (7096,58.32832717895508) (3832,58.31848907470703) (7136,58.27881622314453) (1082,58.24032974243164) (3501,58.19624328613281) (5254,57.97274398803711) (1793,57.97270584106445) (1885,57.968048095703125)
29: (466,53.53078842163086)* (89,53.3913688659668)* (461,53.24686050415039)* (289,53.07754898071289)* (475,53.01424026489258) (377,52.99814224243164) (344,52.92073440551758) (544,52.67634582519531) (306,52.6434211730957) (458,52.56899642944336) (230,52.53095245361328) (1455,52.52678298950195) (295,52.46772766113281) (378,52.45527648925781)* (486,52.41185760498047) (1673,52.33539581298828) (681,52.33502960205078) (701,52.32339096069336) (680,52.310081481933594) (1246,52.11802673339844)
30: (466,53.24298095703125) (89,53.21670913696289)* (681,52.981178283691406) (292,52.71565246582031) (318,52.58807373046875)* (1470,52.56306457519531) (544,52.53770446777344) (3859,52.4638671875) (680,52.43225860595703)* (386,52.389549255371094) (686,52.388694763183594) (302,52.342613220214844) (293,52.30268478393555) (481,52.270973205566406)* (679,52.21272277832031)* (342,52.206878662109375) (701,52.2045783996582) (290,52.17824172973633) (161,52.140403747558594) (966,52.085853576660156)*
31: (51,60.30238723754883) (1713,60.081886291503906) (64,59.94011306762695) (64,59.94011306762695) (75,59.903072357177734) (75,59.903072357177734) (3501,59.64977264404297) (1072,59.52488327026367)* (187,59.260047912597656) (70,59.1523551940918) (175,59.139060974121094) (153,59.07706069946289) (1014,58.83753967285156) (30,58.732547760009766)* (877,58.73011779785156) (722,58.503684997558594) (1793,58.49433898925781) (3988,58.365478515625) (997,58.29345703125) (3768,58.251773834228516)
32: (227,59.98257064819336)* (229,59.190528869628906) (199,59.16720962524414) (228,59.12523651123047) (207,59.11870193481445) (65,59.11455154418945) (65,59.11455154418945) (225,58.79856872558594) (429,58.79220199584961)* (436,58.776363372802734) (163,58.772705078125) (1400,58.763153076171875) (441,58.7192497253418)* (233,58.663734436035156) (424,58.66020965576172) (859,58.475982666015625) (226,58.35395812988281) (425,58.34458541870117) (203,58.312889099121094)* (689,58.30789566040039)
33: (370,55.46648406982422) (163,55.396453857421875) (506,55.107643127441406) (152,54.791961669921875)* (920,54.70805740356445) (1710,54.6591682434082) (3417,54.6508674621582) (2226,54.62131118774414) (2716,54.42691421508789) (227,54.4106559753418) (917,54.39447021484375) (1743,54.338565826416016) (3462,54.29200744628906) (3940,54.263450622558594) (174,54.256561279296875) (2006,54.2448616027832) (1411,54.18198776245117) (154,54.12286376953125) (7530,54.04643249511719) (707,54.00641632080078)
34: (154,62.48333740234375) (159,61.81019592285156) (88,61.53548049926758) (190,61.515403747558594) (429,61.28678512573242) (56,61.22304153442383) (56,61.22304153442383) (715,61.158538818359375) (81,61.1275634765625) (72,61.040016174316406)* (72,61.040016174316406)* (65,60.92135238647461) (65,60.92135238647461) (207,60.91712188720703) (859,60.82423400878906) (533,60.7973518371582) (228,60.7892951965332) (238,60.72807693481445) (203,60.72056198120117) (718,60.71692657470703)
35: (1418,57.47119140625) (632,57.37629699707031) (418,57.328670501708984) (610,57.087066650390625) (2711,56.94855880737305) (6151,56.67462158203125) (1732,56.47639465332031) (1747,56.44752883911133) (11477,56.4166145324707) (621,56.271942138671875) (6345,56.2531852722168) (7123,56.19295120239258) (3417,56.038848876953125) (4532,56.03096008300781) (154,56.009918212890625) (1737,55.940635681152344) (1423,55.936607360839844) (8837,55.8961296081543) (12051,55.792911529541016) (602,55.76577377319336)
36: (1541,53.517433166503906) (498,53.06936264038086) (1195,52.73050308227539)* (1188,52.685630798339844)* (2850,52.5273551940918) (209,52.31104278564453)* (492,52.223487854003906) (2430,52.13737869262695) (507,52.10980987548828) (1853,52.0767936706543) (813,51.93446731567383) (377,51.92461013793945) (1868,51.8980827331543) (4262,51.88289260864258) (486,51.88051986694336) (2959,51.8596076965332) (499,51.83753967285156) (412,51.715904235839844) (1246,51.69644546508789) (1678,51.65224838256836)
37: (5358,59.40776062011719) (605,59.24699783325195) (748,58.956790924072266) (162,58.83478927612305) (3886,58.60366439819336) (2605,58.505165100097656) (154,58.45587921142578) (2026,58.36769485473633) (2471,58.209651947021484) (9971,58.20238494873047) (3440,58.17374801635742) (603,58.01942825317383) (5299,58.01156997680664) (2470,58.00507736206055) (864,57.94758605957031) (10214,57.94093322753906) (2668,57.88588333129883) (238,57.86745834350586) (5605,57.86016082763672) (2493,57.840354919433594)
38: (220,60.08504104614258) (190,59.96306228637695)* (234,59.88978958129883) (424,59.68095779418945) (230,59.62335968017578) (207,59.52814483642578) (706,59.428802490234375) (228,59.24606704711914)* (903,59.236881256103516) (89,58.98070526123047)* (157,58.94971466064453) (1412,58.910255432128906) (67,58.70183181762695) (67,58.70183181762695) (475,58.69855499267578) (439,58.685298919677734) (1244,58.67256164550781)* (735,58.6536979675293) (709,58.61807632446289) (316,58.53607177734375)
39: (2746,58.682350158691406) (2060,58.57533264160156) (1132,58.52556610107422) (6506,58.44844055175781) (1295,57.83821487426758) (6265,57.723445892333984) (1214,57.623016357421875) (370,57.53492736816406) (5358,57.39884567260742) (917,57.25196838378906) (2028,57.106143951416016) (957,57.092506408691406) (707,57.08100509643555) (2952,57.05652618408203) (11,57.0525016784668) (4964,57.04710006713867) (4271,57.02864456176758) (4365,56.990325927734375) (726,56.94071578979492) (1066,56.91408920288086)
40: (19,59.08584976196289) (1793,58.26548385620117) (6873,58.1571044921875) (41,58.127906799316406) (11,58.03956604003906) (1253,57.947410583496094) (4297,57.69390106201172) (37,57.38911056518555) (9,57.27461624145508) (24,57.25543212890625) (34,57.221412658691406)* (1277,57.19794464111328) (72,57.063541412353516) (72,57.063541412353516) (17,57.051700592041016) (175,57.045894622802734) (44,57.003265380859375) (151,56.96688461303711) (3047,56.91548156738281) (6878,56.91299819946289)
41: (957,58.30656814575195)* (2838,58.269012451171875) (710,58.11932373046875) (841,57.54906463623047) (954,57.22789764404297)* (956,57.15846633911133) (707,57.11945724487305) (1535,57.02016830444336) (4342,56.901336669921875) (2746,56.86659622192383) (6282,56.73003387451172) (176,56.722145080566406) (724,56.66377639770508) (946,56.64847183227539) (919,56.4693489074707) (952,56.31097412109375) (10125,56.19731521606445) (1993,56.16086959838867) (1531,56.15935134887695) (3660,56.12514114379883)
42: (1062,60.685298919677734) (89,60.64899826049805)* (67,60.38102340698242) (67,60.38102340698242) (72,60.25217056274414) (72,60.25217056274414) (229,60.126407623291016)* (486,60.0009880065918) (298,59.9785041809082) (697,59.93751525878906) (172,59.90693664550781) (961,59.87643814086914) (1098,59.632076263427734) (423,59.62401580810547) (362,59.56399917602539) (159,59.527713775634766) (316,59.490234375) (532,59.47263717651367) (3186,59.399993896484375) (1075,59.36126708984375)
43: (70,54.58985137939453)* (72,54.08989334106445) (72,54.08989334106445) (173,54.07223129272461) (2083,54.00192642211914) (1613,53.60472869873047) (4028,53.537906646728516) (1379,53.44374465942383) (757,53.430213928222656)* (229,53.38816833496094)* (174,53.233970642089844) (67,53.08210754394531) (67,53.08210754394531) (539,52.98379898071289) (7324,52.98310470581055) (157,52.971405029296875) (7884,52.886688232421875) (689,52.8560676574707) (526,52.835968017578125) (1106,52.8251838684082)
44: (1412,59.99287796020508)* (1110,59.69984817504883) (1131,59.34843826293945)* (186,59.30217361450195) (707,59.2624626159668)* (607,59.2064208984375) (188,59.20378875732422) (920,59.183746337890625) (4675,58.87089920043945) (868,58.85173797607422)* (1639,58.77768325805664) (959,58.68499755859375) (154,58.68259811401367) (841,58.62282943725586) (949,58.592864990234375) (599,58.56913375854492) (1118,58.55595397949219) (506,58.5196647644043) (1425,58.40822219848633)* (1372,58.395118713378906)
45: (295,51.279762268066406)* (161,51.119625091552734)* (299,50.970603942871094) (5249,50.68030548095703) (787,50.666019439697266)* (468,50.660945892333984) (257,50.557373046875) (289,50.545265197753906)* (1475,50.39983367919922) (327,50.201576232910156) (466,50.021942138671875)* (525,50.00279235839844) (1452,49.927513122558594) (4702,49.83013916015625) (67,49.77330780029297) (67,49.77330780029297) (55,49.7135124206543) (461,49.68043518066406)* (2548,49.63941192626953) (913,49.63352584838867)
46: (466,49.70830535888672)* (701,49.43958282470703)* (257,49.06586837768555) (543,49.05171203613281) (318,48.84957504272461) (352,48.696170806884766)* (161,48.640018463134766) (528,48.55681228637695) (544,48.53162384033203) (290,48.42744445800781)* (531,48.42201614379883) (386,48.400978088378906) (344,48.36674499511719)* (329,48.287933349609375) (1042,48.268821716308594)* (55,48.21662902832031) (1456,48.18604278564453)* (4814,48.177032470703125) (523,48.17042922973633) (317,48.12110137939453)
47: (288,55.38446044921875)* (300,54.59799575805664)* (89,54.48517608642578) (289,54.38873291015625)* (295,54.19162368774414) (701,54.02232360839844)* (679,53.656524658203125) (544,53.58316421508789) (306,53.530757904052734) (67,53.43226623535156) (67,53.43226623535156) (161,53.40351867675781) (55,53.24366760253906) (458,53.12938690185547) (349,52.77677536010742) (646,52.70598220825195) (455,52.69599533081055)* (342,52.67913055419922) (157,52.52241134643555) (538,52.503257751464844)
48: (2175,57.71451950073242) (1244,57.18811798095703) (316,57.096473693847656) (55,56.9985466003418)* (7237,56.997737884521484) (295,56.96269226074219)* (959,56.79024124145508)* (300,56.786293029785156)* (2047,56.76490020751953) (292,56.76124572753906) (333,56.68996047973633) (903,56.638816833496094) (6721,56.62527847290039) (1771,56.55848693847656) (11473,56.52565002441406) (1760,56.49921798706055) (257,56.435821533203125) (302,56.41950988769531) (192,56.37937545776367) (2523,56.369041442871094)
49: (266,57.96525955200195) (67,57.79846954345703) (67,57.79846954345703) (2083,57.620147705078125) (1098,57.2536735534668) (331,57.23321533203125) (301,57.16212463378906) (3488,56.98506546020508) (1934,56.95932388305664) (981,56.866695404052734) (157,56.861629486083984) (903,56.849647521972656) (55,56.797943115234375) (295,56.78224563598633) (2521,56.7647705078125) (306,56.62990951538086)* (247,56.60454559326172) (526,56.56582260131836) (65,56.526424407958984) (65,56.526424407958984)
50: (709,57.246131896972656)* (234,57.20341110229492) (190,57.0322380065918) (154,56.97505187988281) (229,56.8830451965332)* (65,56.74005889892578)* (65,56.74005889892578)* (203,56.637393951416016) (225,56.431541442871094) (614,56.3888053894043) (436,56.27783966064453) (441,56.15806579589844) (226,56.095123291015625) (230,56.0604133605957)* (432,56.057735443115234) (429,55.98119354248047)* (199,55.96231460571289) (716,55.95774459838867) (425,55.91715621948242) (1400,55.87150955200195)
51: (843,58.28517150878906) (949,57.74091720581055)* (1358,57.69895553588867)* (710,57.437313079833984) (854,57.41398239135742) (920,57.408294677734375) (1364,57.3305778503418)* (1257,57.13454818725586)* (821,57.11410140991211) (2360,57.05192184448242) (1372,57.02456283569336) (1119,56.94208908081055) (198,56.923946380615234)* (2343,56.81193923950195) (724,56.79035568237305) (3445,56.784000396728516) (1206,56.695220947265625) (957,56.6297492980957) (6,56.532859802246094) (1337,56.5251350402832)*
52: (11818,51.874725341796875) (823,51.35980224609375) (1541,51.26200485229492)* (5066,51.0593147277832) (813,51.012821197509766) (2850,50.99665832519531) (2923,50.98513412475586) (779,50.74604415893555) (475,50.712501525878906) (3462,50.50926208496094) (498,50.50761795043945) (2204,50.499324798583984) (2226,50.481929779052734) (9216,50.39723587036133) (1188,50.38724136352539) (2618,50.333248138427734) (8163,50.294960021972656) (1678,50.26824188232422) (1185,50.24460983276367) (8371,50.21721649169922)
53: (288,50.67859649658203)* (1449,49.925174713134766) (295,49.65089797973633) (377,49.520748138427734) (161,49.462154388427734) (502,49.42066192626953) (328,49.41542434692383) (1009,49.40595245361328) (289,49.32048034667969)* (466,49.26167678833008)* (518,49.22499465942383) (4688,49.16733932495117) (306,49.158447265625)* (378,48.8739128112793) (349,48.81300735473633)* (317,48.79291915893555) (661,48.75688934326172) (5731,48.7442741394043) (1114,48.658538818359375) (7994,48.64368438720703)
54: (89,53.75608825683594) (295,53.68911361694336) (288,53.15353012084961)* (265,53.051963806152344) (535,53.05101776123047)* (257,52.98775100708008) (285,52.972408294677734) (157,52.94978332519531) (300,52.67474365234375) (299,52.65841293334961)* (302,52.60636901855469) (301,52.57508087158203) (466,52.21227264404297) (972,52.19375228881836) (294,51.9052619934082) (328,51.87431335449219) (352,51.843162536621094) (306,51.79583740234375) (340,51.66328430175781) (789,51.66261291503906)
55: (527,54.5070915222168) (2923,54.29043197631836) (271,54.034061431884766) (617,53.660518646240234) (249,53.42607879638672) (1622,53.3963737487793)* (1963,53.363651275634766) (6226,53.30753707885742) (3317,53.25517654418945) (1952,53.00967025756836) (2921,52.92973327636719) (3227,52.76835250854492) (2132,52.720096588134766) (547,52.593482971191406) (1943,52.56667709350586) (3716,52.41388702392578) (619,52.396446228027344) (1839,52.05720520019531) (11401,51.97554397583008) (2226,51.96965026855469)
56: (3333,54.19203186035156) (227,54.01116943359375) (428,53.965702056884766) (4459,53.88159942626953) (1239,53.85413360595703) (1515,53.741641998291016)* (2637,53.53055953979492) (1206,53.41949462890625) (1520,53.33221435546875) (533,53.289058685302734) (412,53.16242980957031) (220,53.07559585571289) (383,53.059810638427734) (3398,53.04678726196289) (2524,52.93266677856445) (6452,52.918827056884766) (10124,52.83807373046875) (4793,52.8305549621582) (614,52.81568145751953) (234,52.81352233886719)
57: (333,53.03036880493164)* (377,52.55021286010742)* (209,52.23870086669922) (461,52.235321044921875) (500,52.139686584472656) (499,52.075416564941406) (540,52.0579833984375) (816,52.05601501464844) (1246,52.04646682739258)* (687,51.95065689086914) (475,51.780494689941406)* (537,51.73482894897461) (966,51.686344146728516) (680,51.674190521240234) (1181,51.65591812133789) (701,51.63798141479492) (230,51.60897445678711) (302,51.59458541870117) (679,51.584537506103516) (306,51.56840133666992)
58: (289,53.414093017578125)* (793,53.2213020324707) (300,52.98075866699219)* (681,52.81845474243164)* (498,52.80270767211914) (1447,52.711936950683594) (466,52.57093048095703)* (89,52.4970817565918)* (288,52.43209457397461)* (1470,52.34927749633789) (2655,52.26603698730469) (3859,52.263343811035156) (304,52.115936279296875) (2977,52.09266662597656) (1059,52.04207992553711) (2439,52.00881576538086) (679,51.933128356933594) (464,51.8995361328125) (342,51.89255905151367) (458,51.77899932861328)
59: (1104,58.023658752441406)* (233,57.75028610229492)* (506,56.835636138916016) (152,56.643882751464844) (1099,56.63717269897461) (173,56.629539489746094) (163,56.58445358276367) (154,56.49647903442383) (198,56.4482536315918) (159,56.314918518066406) (370,56.24464416503906) (234,56.09029769897461) (512,56.00323486328125)* (70,55.99031066894531) (181,55.94148635864258) (162,55.881256103515625) (81,55.72761154174805) (2369,55.72312927246094) (1410,55.66986083984375) (174,55.65254592895508)
60: (1747,60.270164489746094)* (748,59.103702545166016) (632,58.79526138305664) (3208,58.76825714111328) (2676,58.71584701538086) (162,58.6746940612793) (8234,58.65472412109375) (154,58.53730392456055) (6164,58.5130729675293) (81,58.34759521484375) (744,58.312744140625) (444,58.23379898071289) (1098,58.20226287841797) (2289,58.18803405761719) (3411,58.08454132080078) (6582,58.07733154296875) (756,58.066551208496094) (1745,58.051395416259766)* (6151,58.04571533203125) (3280,57.962867736816406)
