userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,12.378839492797852) (187,12.286238670349121) (51,11.998109817504883)* (3992,11.952180862426758) (511,11.848634719848633) (238,11.838972091674805) (159,11.793747901916504) (1824,11.486345291137695) (1073,11.407682418823242) (1394,11.10818099975586) (1098,11.062036514282227) (70,11.033012390136719)* (1892,10.767091751098633) (1836,10.699735641479492) (183,10.617656707763672) (1713,10.327179908752441) (157,10.278861999511719) (1072,10.229265213012695) (57,10.15085220336914)* (59,10.120065689086914)*
20: (603,15.672699928283691) (1099,14.717591285705566) (162,14.482270240783691) (407,14.147685050964355) (2605,14.136393547058105) (755,13.758768081665039)* (4108,13.654123306274414) (605,13.567873001098633) (1222,13.558389663696289) (1418,13.358466148376465) (632,13.207049369812012) (2667,13.176236152648926) (238,12.823023796081543) (1745,12.683694839477539) (1226,12.529973983764648) (1700,12.454720497131348) (4865,12.304229736328125) (107,12.252565383911133) (1969,12.218209266662598) (7079,12.132423400878906)
21: (323,10.416729927062988) (349,10.390499114990234) (296,10.112805366516113) (906,10.067614555358887) (265,9.900981903076172) (257,9.810089111328125) (2523,9.72370719909668) (89,9.699407577514648)* (291,9.692954063415527) (915,9.500658988952637) (350,9.474268913269043) (386,9.438244819641113) (294,9.197503089904785) (333,9.159335136413574) (340,9.147910118103027) (2094,9.080721855163574) (320,9.07591438293457) (455,9.039979934692383) (306,9.026093482971191)* (466,9.018319129943848)*
22: (1547,14.073201179504395) (2384,13.594310760498047) (2744,13.508020401000977) (2379,13.198974609375) (1044,12.777762413024902) (1861,12.70742416381836) (517,12.609410285949707) (923,12.593711853027344) (2211,12.443412780761719) (500,12.127729415893555) (2143,12.059691429138184) (25,12.039403915405273) (2385,12.019838333129883) (198,11.934036254882812) (5666,11.823518753051758) (2382,11.773428916931152) (3239,11.681940078735352) (1281,11.632963180541992) (953,11.628071784973145) (978,11.605267524719238)
23: (2531,14.777373313903809) (441,14.4436616897583) (429,14.180740356445312) (1119,13.778776168823242) (59,13.717926025390625) (1083,13.689004898071289) (857,13.68321418762207)* (3280,13.629432678222656) (154,13.592373847961426) (1703,13.119688987731934) (2369,12.637669563293457) (1504,12.516199111938477) (715,12.501030921936035) (2491,12.492361068725586) (234,12.468055725097656) (197,12.419909477233887) (206,12.402717590332031) (13888,12.275900840759277) (1131,12.203285217285156) (631,12.129654884338379)
24: (1243,10.64084529876709) (58,10.044069290161133) (58,10.044069290161133) (906,9.954596519470215) (316,9.926359176635742)* (697,9.621768951416016) (67,9.550414085388184)* (67,9.550414085388184)* (1098,9.511846542358398) (97,9.177440643310547) (1934,9.14754867553711) (55,9.139615058898926)* (961,9.088264465332031) (1383,9.037169456481934) (71,8.92723274230957) (71,8.92723274230957) (535,8.791801452636719) (2521,8.6672945022583) (157,8.652327537536621)* (548,8.575429916381836)
25: (349,13.6103515625)* (257,13.129566192626953) (320,12.926023483276367) (292,12.549786567687988)* (314,12.501947402954102)* (299,12.381516456604004) (291,12.378477096557617) (465,12.290465354919434) (265,12.281492233276367) (326,12.263861656188965) (301,12.247727394104004) (915,12.17133903503418)* (323,12.015125274658203) (161,11.920422554016113) (285,11.905360221862793) (644,11.614867210388184) (386,11.562163352966309) (360,11.335871696472168) (89,11.314799308776855)* (306,11.311806678771973)
26: (1339,12.635603904724121) (1350,12.580706596374512) (6282,12.532083511352539) (1338,12.441156387329102) (955,11.983781814575195)* (1342,11.951714515686035) (710,11.799731254577637) (837,11.75195598602295) (918,11.745211601257324)* (176,11.62470531463623) (1347,11.623477935791016) (4135,11.571420669555664) (2944,11.468145370483398) (4286,11.407949447631836) (2975,11.392524719238281) (812,11.384883880615234) (2838,11.3729887008667) (4331,11.363186836242676) (4342,11.301922798156738) (1349,11.238097190856934)
27: (190,12.237180709838867) (518,11.078363418579102) (166,11.0143461227417) (173,11.004667282104492) (378,10.762274742126465) (389,10.559916496276855) (65,10.559077262878418) (65,10.559077262878418) (1104,10.489824295043945) (72,10.425385475158691) (72,10.425385475158691) (159,10.382509231567383) (157,10.35280990600586) (89,10.215080261230469) (154,10.202678680419922) (930,10.19434928894043) (233,10.139925003051758) (1705,10.137802124023438) (229,10.106085777282715) (7,10.057490348815918)
28: (187,11.395487785339355) (193,11.364587783813477)* (2552,11.220226287841797) (3982,11.185718536376953) (2936,10.771066665649414) (2933,10.743361473083496) (1686,10.707441329956055) (999,10.641745567321777)* (905,10.533075332641602)* (1892,10.529732704162598) (2571,10.515152931213379) (1079,10.496004104614258) (6734,10.49436092376709) (85,10.493257522583008)* (1076,10.431107521057129) (6744,10.392801284790039) (6735,10.382487297058105) (6746,10.342763900756836) (6741,10.337389945983887) (6736,10.333575248718262)
29: (461,10.67996883392334)* (1047,10.627057075500488) (1246,10.554128646850586) (344,10.41350269317627) (324,10.327401161193848) (466,10.294095039367676)* (1043,10.117731094360352)* (458,10.111827850341797) (470,10.011913299560547) (289,9.9945707321167)* (486,9.908254623413086) (321,9.864434242248535) (680,9.856301307678223) (89,9.797340393066406)* (230,9.794052124023438) (377,9.675824165344238) (1673,9.654867172241211) (306,9.490137100219727) (544,9.458515167236328) (378,9.444311141967773)*
30: (1470,11.98395824432373) (342,11.325238227844238) (2977,11.295303344726562) (458,11.119040489196777) (324,11.026713371276855) (191,10.971153259277344) (464,10.762884140014648) (1447,10.704777717590332) (1042,10.662712097167969) (966,10.596894264221191)* (679,10.532937049865723)* (302,10.520302772521973) (360,10.441205024719238) (466,10.434646606445312) (531,10.42043685913086) (293,10.405213356018066) (306,10.400182723999023) (1455,10.38235092163086) (475,10.361403465270996) (89,10.358293533325195)*
31: (1713,13.555452346801758) (1072,12.748529434204102)* (75,12.211515426635742) (75,12.211515426635742) (187,12.045947074890137) (153,12.039401054382324) (3988,11.709819793701172) (51,11.691742897033691) (30,11.658280372619629)* (1014,11.365943908691406) (70,11.284379959106445) (3768,11.160929679870605) (3501,11.15281867980957) (4308,10.992980003356934) (877,10.859342575073242) (172,10.762856483459473) (1886,10.693127632141113) (173,10.647514343261719) (997,10.571089744567871) (190,10.43389892578125)
32: (982,13.672041893005371) (226,13.50565242767334) (225,13.469232559204102) (229,13.443156242370605) (1116,13.391264915466309) (436,13.277917861938477) (1151,13.126542091369629) (182,13.0024995803833) (215,12.908175468444824) (65,12.737739562988281) (65,12.737739562988281) (614,12.724493980407715) (1375,12.505341529846191) (233,12.475496292114258) (228,12.41437816619873) (716,12.069907188415527) (227,12.0316743850708)* (221,11.919621467590332) (441,11.803632736206055)* (203,11.802096366882324)*
33: (162,14.121337890625) (506,13.577779769897461) (1491,12.83133316040039) (632,12.659611701965332)* (152,12.659221649169922)* (163,12.521129608154297) (1790,12.331289291381836) (238,12.152798652648926) (1743,12.078367233276367) (1700,11.746824264526367) (154,11.705672264099121) (1705,11.593127250671387) (1418,11.58116340637207) (3940,11.474604606628418) (920,11.366151809692383) (11479,11.333268165588379) (4675,11.309864044189453) (2006,11.30744743347168) (2711,11.28480052947998) (512,11.111318588256836)
34: (154,13.744083404541016) (615,11.654792785644531) (159,11.626757621765137) (429,11.610037803649902) (1097,11.296304702758789) (190,11.251951217651367) (196,11.218748092651367)* (1098,11.184782981872559) (217,11.111348152160645) (1633,11.057783126831055) (229,11.0227632522583)* (195,10.696000099182129) (703,10.68645191192627) (228,10.565537452697754) (445,10.499654769897461) (206,10.4853515625) (1424,10.439996719360352) (65,10.438907623291016) (65,10.438907623291016) (223,10.399993896484375)
35: (418,14.274053573608398) (1418,13.013664245605469) (3259,12.988268852233887) (454,12.93754768371582) (632,12.84157943725586) (1747,12.765243530273438) (8027,12.331013679504395) (162,12.203755378723145) (1151,12.0347261428833) (6830,11.988659858703613) (2616,11.982685089111328) (1736,11.980173110961914) (3263,11.868454933166504) (3251,11.847711563110352) (3262,11.83854866027832) (3256,11.818618774414062) (3261,11.7617769241333) (1109,11.759822845458984) (126,11.6737060546875) (196,11.62446117401123)
36: (209,11.734199523925781)* (1043,11.639070510864258)* (498,11.404516220092773) (1866,11.279773712158203) (492,11.187752723693848) (1672,11.175066947937012) (471,11.065120697021484) (486,11.039998054504395) (1188,10.991133689880371)* (1853,10.876401901245117) (412,10.819464683532715) (693,10.813499450683594) (2619,10.786916732788086) (1868,10.77969741821289) (499,10.775552749633789) (1246,10.775487899780273) (1046,10.767247200012207)* (488,10.627732276916504)* (691,10.609844207763672) (2959,10.592899322509766)
37: (603,12.403533935546875) (154,12.21010684967041) (592,12.164416313171387) (197,12.15041446685791) (418,11.9014892578125) (1709,11.713703155517578) (441,11.645695686340332) (159,11.557943344116211) (429,11.544183731079102) (3886,11.354040145874023) (2542,11.335344314575195) (1707,11.3236665725708) (748,11.231146812438965) (2030,11.155767440795898) (605,11.087652206420898) (162,11.06557559967041) (615,11.017485618591309) (206,11.014983177185059) (755,10.991658210754395) (2375,10.814600944519043)
38: (220,12.040241241455078) (190,11.308143615722656)* (230,11.048666954040527) (228,10.91705322265625)* (234,10.692780494689941) (538,10.302868843078613) (424,10.28762149810791) (903,10.185783386230469) (207,10.110711097717285) (159,10.071410179138184) (706,10.02425479888916) (157,9.901079177856445) (1244,9.82461929321289)* (1246,9.818550109863281)* (868,9.69136905670166) (2346,9.535197257995605) (173,9.494733810424805) (1412,9.347137451171875) (166,9.269710540771484) (436,9.241908073425293)
39: (631,9.848357200622559) (3886,9.599913597106934) (2030,9.584007263183594) (1534,9.480413436889648) (36,9.0556640625) (2038,8.81981086730957) (949,8.802044868469238) (1083,8.739340782165527) (6,8.65275764465332) (10596,8.619730949401855) (875,8.6148042678833) (3244,8.597065925598145) (1203,8.56600570678711) (841,8.558721542358398)* (1521,8.540571212768555) (1914,8.499213218688965) (1264,8.450316429138184)* (3416,8.44516658782959) (5670,8.437241554260254) (25,8.304235458374023)
40: (9,12.994878768920898) (4872,12.578903198242188) (4912,12.368327140808105) (986,12.213733673095703) (39,12.09138298034668) (44,12.023115158081055) (4876,11.979050636291504) (43,11.895566940307617) (11,11.823163986206055) (1303,11.708108901977539)* (1069,11.68442440032959) (4874,11.670332908630371) (5,11.668335914611816) (1312,11.661508560180664)* (4318,11.6557035446167) (9263,11.61137866973877) (1277,11.606285095214844) (49,11.575604438781738) (4871,11.555769920349121) (1711,11.443341255187988)
41: (841,12.468910217285156) (947,12.425090789794922)* (2342,12.115978240966797) (1364,11.938316345214844)* (1249,11.879632949829102) (176,11.709335327148438) (2347,11.650795936584473) (724,11.557453155517578) (1274,11.541725158691406) (3470,11.409069061279297) (949,11.351522445678711) (2746,11.249515533447266) (710,11.159806251525879) (1257,11.087347030639648)* (954,11.036346435546875)* (2343,11.007464408874512) (732,10.920690536499023) (707,10.883648872375488) (1527,10.8037748336792) (1522,10.778702735900879)
42: (229,11.496970176696777)* (2544,10.624922752380371) (316,10.493894577026367) (1470,10.44626522064209) (362,10.054649353027344) (1151,9.849763870239258) (2614,9.800862312316895) (3057,9.695907592773438) (1048,9.632125854492188)* (3076,9.619627952575684) (716,9.542549133300781) (533,9.467079162597656) (1126,9.43728256225586) (430,9.415495872497559) (697,9.333846092224121) (3753,9.283611297607422) (2607,9.2555513381958) (1094,9.227279663085938) (1400,9.21805191040039) (171,9.216885566711426)
43: (70,13.11535358428955)* (72,11.739803314208984) (72,11.739803314208984) (229,11.38674259185791)* (173,11.338848114013672) (903,11.085062980651855) (757,11.069880485534668)* (511,10.895888328552246) (67,10.82833480834961) (67,10.82833480834961) (2083,10.818740844726562) (159,10.781645774841309) (157,10.7175874710083) (703,10.688863754272461) (228,10.6627836227417) (538,10.644763946533203) (526,10.540731430053711) (1104,10.518828392028809) (546,10.516294479370117) (298,10.307668685913086)
44: (1412,14.66519832611084)* (707,14.124152183532715)* (868,13.59831428527832)* (234,13.19369125366211)* (212,13.114025115966797) (1110,13.019880294799805) (1131,13.011144638061523)* (1639,12.915740966796875) (920,12.735214233398438) (607,12.568683624267578) (220,12.533781051635742) (206,12.501855850219727) (735,12.463950157165527)* (856,12.362417221069336) (843,12.189409255981445) (198,12.175230026245117) (154,12.09268569946289) (188,12.062753677368164) (1974,12.025952339172363) (1425,11.923164367675781)*
45: (328,10.395999908447266) (1037,9.677264213562012) (295,9.433094024658203)* (289,9.268134117126465)* (161,9.188445091247559)* (907,9.187814712524414) (352,9.185708999633789) (475,9.126136779785156) (466,8.989322662353516)* (299,8.963895797729492) (461,8.920310020446777)* (314,8.904383659362793) (349,8.90381145477295)* (327,8.858634948730469) (544,8.856451034545898) (331,8.775033950805664) (468,8.528083801269531) (1613,8.499357223510742) (545,8.405917167663574) (915,8.39547061920166)
46: (543,8.154715538024902) (701,8.152551651000977)* (320,8.111002922058105)* (1452,7.9430928230285645)* (466,7.772610664367676)* (1042,7.680972099304199)* (544,7.623738765716553) (531,7.607467174530029) (4814,7.532528400421143) (2020,7.511717319488525) (797,7.42264461517334) (318,7.22355842590332) (257,7.187923431396484) (523,7.167645454406738) (329,7.147059440612793) (525,7.0583648681640625) (1451,7.024714469909668)* (1456,7.017302989959717)* (528,6.96942663192749) (317,6.947335243225098)
47: (679,10.708897590637207) (300,10.484569549560547)* (289,10.41806697845459)* (701,10.23804759979248)* (288,10.137476921081543)* (295,9.920049667358398) (89,9.913620948791504) (306,9.584606170654297) (544,9.462668418884277) (1047,9.328335762023926) (342,9.25373649597168) (324,9.240758895874023) (2020,9.202611923217773) (704,9.174209594726562) (320,9.096640586853027) (1934,9.094850540161133) (1032,9.067477226257324) (321,9.024943351745605) (349,8.958782196044922) (1246,8.947860717773438)
48: (903,9.103614807128906) (55,9.02392864227295)* (3332,8.8956880569458) (295,8.766166687011719)* (2523,8.748388290405273) (292,8.655128479003906) (349,8.428028106689453) (300,8.409479141235352)* (316,8.388144493103027) (714,8.338706970214844) (333,8.32499885559082) (1243,8.290947914123535) (261,8.288370132446289) (302,8.238591194152832) (1771,8.216757774353027) (306,8.151747703552246) (542,7.970640182495117) (3763,7.87449312210083) (298,7.799351692199707) (257,7.768508434295654)
49: (4923,10.988130569458008) (548,10.946703910827637) (1934,10.503847122192383) (1243,10.443615913391113) (430,10.429624557495117) (437,10.33089542388916) (690,10.32616138458252) (1097,10.310220718383789) (2083,10.282140731811523) (3057,10.203566551208496) (328,9.968708038330078) (1383,9.869680404663086) (423,9.826993942260742) (298,9.77287769317627) (1609,9.59056568145752) (300,9.511368751525879) (229,9.493053436279297) (291,9.419917106628418) (691,9.345787048339844) (679,9.322145462036133)
50: (225,12.61338996887207) (229,11.356758117675781)* (190,11.35645866394043) (429,11.331512451171875)* (154,10.828904151916504) (203,10.767640113830566) (716,10.74616527557373) (234,10.706440925598145) (709,10.589422225952148)* (1239,10.578667640686035) (65,10.443172454833984)* (65,10.443172454833984)* (441,10.262110710144043) (436,10.221088409423828) (170,9.865549087524414) (511,9.86469841003418)* (1400,9.83552074432373) (857,9.831016540527344) (2524,9.810821533203125) (210,9.782709121704102)
51: (949,12.895281791687012)* (843,12.439409255981445) (1364,11.788395881652832)* (1358,11.658049583435059)* (920,11.397418975830078) (1249,11.321539878845215)* (1257,11.276248931884766)* (1281,11.250517845153809) (15,11.0747709274292) (3509,10.998139381408691) (1337,10.886404037475586)* (25,10.877971649169922) (198,10.862247467041016)* (710,10.856085777282715) (2347,10.755020141601562) (724,10.750277519226074) (1372,10.636634826660156) (6,10.59603214263916) (821,10.466176986694336) (1353,10.447617530822754)
52: (831,10.371437072753906)* (2387,10.332189559936523) (4003,10.088652610778809) (8947,10.081572532653809) (4387,9.906595230102539) (2382,9.849963188171387) (4504,9.73617172241211) (14789,9.244548797607422) (1557,9.238672256469727)* (14692,9.226737022399902) (9964,9.222381591796875) (1979,9.193888664245605) (10036,9.192187309265137) (9966,9.17867660522461) (9963,9.162467002868652) (8297,9.139132499694824) (4096,9.129629135131836) (14796,9.127169609069824) (814,9.103095054626465) (2576,9.074413299560547)
53: (5534,10.417967796325684) (349,10.14376449584961)* (295,9.981305122375488) (306,9.952604293823242)* (314,9.907825469970703) (288,9.730956077575684)* (320,9.456432342529297) (289,9.360963821411133)* (310,9.347907066345215)* (299,9.28077507019043) (257,9.213788032531738) (55,9.176836013793945)* (294,9.160439491271973) (328,9.126388549804688) (2179,9.106439590454102) (466,9.090288162231445)* (329,9.049931526184082) (1057,9.045282363891602) (907,8.973176956176758) (157,8.958967208862305)
54: (295,11.497611999511719) (320,11.302077293395996)* (314,11.221945762634277) (288,11.175193786621094)* (257,11.082926750183105) (913,10.707343101501465)* (89,10.679850578308105) (161,10.676481246948242) (306,10.669364929199219) (302,10.583799362182617) (328,10.582944869995117) (644,10.499783515930176) (301,10.422619819641113) (299,10.331256866455078)* (294,10.33090877532959) (290,10.116263389587402) (907,10.042698860168457) (455,10.010269165039062) (326,9.948995590209961) (300,9.769166946411133)
55: (527,11.901037216186523) (547,11.652921676635742) (271,11.626232147216797) (249,11.151514053344727) (3317,11.099186897277832) (1952,11.044733047485352) (2179,11.017066955566406) (3227,10.93515396118164) (1963,10.899517059326172) (617,10.891666412353516) (2923,10.85308837890625) (3357,10.840590476989746) (6226,10.676483154296875) (2252,10.549406051635742) (1622,10.447748184204102)* (1979,10.412649154663086) (2921,10.299139022827148) (1636,10.257051467895508)* (2226,10.081899642944336) (2247,9.859546661376953)
56: (533,10.872995376586914) (220,10.527563095092773) (230,9.969663619995117) (4823,9.808395385742188) (3400,9.717921257019043) (1406,9.690961837768555) (227,9.46636962890625) (1239,9.438512802124023) (234,9.400165557861328) (1249,9.357006072998047) (421,9.196442604064941) (8710,9.091014862060547) (706,9.065317153930664) (4793,8.910798072814941) (3427,8.881978034973145) (2789,8.860674858093262) (4846,8.835379600524902) (439,8.825141906738281) (3747,8.78847599029541) (190,8.783186912536621)
57: (1246,10.458086013793945)* (1047,10.360946655273438) (333,10.097590446472168)* (324,9.950948715209961) (209,9.906877517700195) (693,9.879435539245605) (461,9.725627899169922) (687,9.663498878479004) (1198,9.403014183044434) (2619,9.352313041687012) (680,9.32726001739502) (321,9.26615047454834) (524,9.218171119689941) (679,9.2085599899292) (230,9.19593334197998) (540,9.158356666564941) (1189,8.999654769897461) (681,8.962259292602539) (1186,8.951920509338379) (377,8.853487968444824)*
58: (680,10.870351791381836)* (681,10.17943000793457)* (679,10.119316101074219) (300,9.757081031799316)* (289,9.666125297546387)* (646,9.557969093322754) (293,9.549715042114258) (466,9.351142883300781)* (701,9.122438430786133) (790,9.075775146484375) (288,9.028061866760254)* (89,9.025033950805664)* (802,8.945631980895996) (498,8.945318222045898) (1590,8.884056091308594) (1047,8.833490371704102) (342,8.776312828063965) (307,8.722161293029785) (456,8.706817626953125) (2977,8.692425727844238)
59: (1104,14.615548133850098)* (233,13.820452690124512)* (159,13.033731460571289) (173,12.812628746032715) (198,12.528511047363281) (70,11.934182167053223) (154,11.846817016601562) (1075,11.66490364074707) (1099,11.553485870361328) (1098,11.473938941955566)* (234,11.421027183532715) (1707,11.357826232910156)* (166,11.144580841064453) (172,11.001364707946777) (930,10.95939826965332) (986,10.947546005249023) (181,10.795177459716797) (163,10.79310417175293) (511,10.773575782775879) (88,10.740409851074219)
60: (632,14.24281120300293) (162,13.263757705688477) (606,13.068327903747559) (604,13.035274505615234) (214,12.449883460998535) (3411,12.231966018676758) (2264,12.050829887390137) (1747,11.692649841308594)* (170,11.63453483581543) (154,11.544946670532227) (444,11.479386329650879) (8870,11.217129707336426) (8869,11.192030906677246) (8865,11.18606948852539) (858,11.158650398254395) (6397,11.140767097473145) (5806,11.136639595031738) (1737,11.13533878326416)* (748,11.02136516571045) (8871,11.021008491516113)
