userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,10.038695335388184) (174,9.181574821472168) (1013,9.02889633178711) (511,8.85941219329834) (998,8.854972839355469) (59,8.849895477294922)* (180,8.843531608581543) (175,8.82432746887207) (722,8.8208646774292) (601,8.747257232666016) (997,8.693185806274414) (187,8.661480903625488) (697,8.50511646270752) (877,8.375199317932129) (1122,8.354081153869629) (4649,8.337584495544434) (1394,8.27284049987793) (715,8.221888542175293) (1713,8.186243057250977) (1073,8.039937019348145)
13: (289,18.543132781982422) (306,14.086348533630371) (288,13.805746078491211) (294,12.054889678955078) (1032,11.931053161621094) (701,11.373003959655762) (2020,10.807437896728516) (1934,10.71757984161377) (157,10.634960174560547) (161,10.428178787231445) (1243,10.253348350524902) (523,10.233833312988281)* (475,10.022854804992676) (689,10.014843940734863) (679,10.003857612609863) (680,9.933429718017578) (190,9.87221622467041) (349,9.815875053405762)* (302,9.810956001281738)* (1037,9.68233871459961)
14: (564,9.758573532104492)* (5660,9.736663818359375) (582,9.365089416503906)* (5659,9.277360916137695) (3458,9.245087623596191) (5375,9.24230670928955) (5373,9.010583877563477) (8123,8.880062103271484) (2993,8.821294784545898) (2466,8.598670959472656) (8121,8.569250106811523) (3006,8.503011703491211) (8112,8.458147048950195) (5383,8.381978988647461) (5665,8.3814115524292) (5664,8.359114646911621) (5388,8.342402458190918) (14079,8.334309577941895) (8124,8.330221176147461) (14080,8.256256103515625)
15: (199,9.955068588256836) (3112,9.654088020324707) (418,9.426472663879395) (163,8.91871452331543) (863,8.764166831970215) (88,8.59793758392334) (1957,8.570429801940918) (4079,8.503005981445312) (630,8.48369312286377)* (703,8.435226440429688) (858,8.3751859664917) (578,8.318445205688477) (206,8.274771690368652) (868,8.062738418579102) (2277,8.019290924072266) (197,7.950953483581543)* (554,7.930008411407471) (235,7.922566890716553) (1881,7.876751899719238) (4123,7.853764057159424)
16: (289,10.782941818237305) (6308,10.618597030639648) (1021,10.59345817565918) (680,10.379986763000488) (12796,10.32092571258545) (12795,10.296865463256836) (12798,10.11955451965332) (12812,9.6709623336792) (12814,9.623247146606445) (681,9.527522087097168) (12810,9.431331634521484) (12802,9.423891067504883) (12807,9.346453666687012) (12809,9.345025062561035) (12806,9.2744779586792) (4655,9.266997337341309) (4654,9.245941162109375) (12808,9.213774681091309) (9656,9.202959060668945) (909,9.131790161132812)
17: (306,11.029921531677246)* (403,10.462715148925781)* (701,10.260117530822754)* (523,9.696416854858398) (1032,9.501792907714844) (1243,9.345858573913574) (524,9.211054801940918) (689,9.197463989257812)* (1201,9.181367874145508) (294,9.102129936218262) (2020,9.097188949584961) (1246,9.04246711730957) (546,8.957447052001953) (333,8.811857223510742) (793,8.783536911010742) (1059,8.662514686584473) (1198,8.657690048217773) (293,8.487858772277832) (300,8.461376190185547)* (1670,8.461094856262207)
18: (227,11.461627960205078)* (1406,11.208709716796875) (959,10.511560440063477) (614,10.434916496276855) (198,10.383292198181152) (918,9.936002731323242) (868,9.736270904541016) (1412,9.604991912841797) (1415,9.53884506225586) (726,9.400630950927734)* (159,8.786062240600586) (157,8.65039348602295) (1249,8.482999801635742) (1639,8.460152626037598) (917,8.434904098510742) (952,8.281540870666504) (3462,8.271801948547363) (1369,8.222681045532227) (2346,8.185576438903809) (1244,8.171833992004395)
20: (603,10.719318389892578) (2716,9.202692985534668) (444,9.06241512298584) (2668,9.026999473571777) (2676,8.816617012023926) (57,8.775186538696289) (617,8.597060203552246) (2667,8.574211120605469) (88,8.473811149597168)* (4965,8.288012504577637) (2673,8.230463981628418) (778,8.204029083251953)* (7081,8.193622589111328) (1835,8.184825897216797) (3703,8.07262134552002) (105,8.057899475097656) (616,7.863775730133057) (2174,7.852263450622559) (6757,7.844229698181152) (4108,7.821186065673828)
21: (294,11.571573257446289) (2020,10.943138122558594) (306,10.751898765563965)* (349,10.650508880615234) (320,10.013705253601074) (311,9.911608695983887) (161,9.781185150146484) (157,9.356905937194824) (296,9.180012702941895) (1032,9.075061798095703) (1392,8.980498313903809) (3319,8.646866798400879) (1051,8.592992782592773) (257,8.578678131103516) (1934,8.569255828857422) (1052,8.486246109008789) (458,8.468823432922363) (913,8.45588207244873) (906,8.405900955200195) (1450,8.377760887145996)
22: (198,12.197673797607422) (923,11.477736473083496) (1281,11.371228218078613) (843,11.172088623046875)* (3718,10.795825958251953) (3034,10.451847076416016) (512,10.309913635253906) (1570,10.1803617477417) (1541,9.860219955444336) (2378,9.724503517150879) (2847,9.658245086669922) (809,9.48140811920166)* (1543,9.461714744567871) (10449,9.454716682434082) (3043,9.371657371520996) (1540,9.228874206542969) (6289,9.225518226623535) (1551,9.196334838867188) (3616,9.177680969238281) (930,9.111410140991211)
23: (959,11.34929370880127) (227,10.9176607131958)* (868,10.898127555847168)* (918,10.675385475158691) (857,10.423397064208984)* (1411,10.109716415405273) (1412,9.791947364807129) (429,9.56651496887207) (1639,9.446287155151367) (614,9.412324905395508) (1804,9.22288703918457) (856,9.171067237854004)* (1815,9.101940155029297) (1813,8.90300464630127) (620,8.885040283203125) (1803,8.787613868713379) (4153,8.771392822265625) (1889,8.696751594543457) (99,8.690009117126465) (59,8.653512954711914)
24: (289,13.82168197631836)* (288,10.289129257202148)* (306,9.722023010253906) (294,9.667808532714844) (1243,9.59536361694336) (157,9.284259796142578)* (697,9.265867233276367) (1934,9.07390308380127) (228,8.894806861877441) (97,8.854207038879395) (701,8.816222190856934) (523,8.508549690246582) (190,8.477143287658691) (349,8.458439826965332) (67,8.440717697143555)* (67,8.440717697143555)* (525,8.345359802246094) (2020,8.299399375915527) (680,8.22542953491211) (55,8.210564613342285)*
25: (306,10.952001571655273) (349,9.627092361450195)* (320,9.009686470031738) (1032,8.955251693725586) (257,8.709342956542969) (468,8.611879348754883) (4705,8.509542465209961) (461,8.467992782592773) (161,8.325432777404785) (285,8.310336112976074) (1556,8.282177925109863) (292,8.244085311889648)* (7390,8.235260963439941) (465,8.220449447631836) (265,8.141931533813477) (474,8.136484146118164) (299,8.13419246673584) (291,8.074969291687012) (301,8.066887855529785) (479,8.050694465637207)
26: (710,13.304458618164062) (5016,11.358331680297852) (1535,10.21279525756836) (1214,9.566137313842773) (4331,9.459182739257812) (1254,9.432716369628906) (954,9.345004081726074)* (1274,9.25337028503418) (1346,8.95154857635498) (1257,8.94919490814209) (1374,8.890719413757324) (1369,8.789363861083984) (1412,8.722575187683105) (1261,8.702871322631836) (3719,8.702070236206055) (1177,8.684919357299805) (1276,8.661203384399414) (15,8.65147876739502) (4692,8.609515190124512) (4694,8.555619239807129)
27: (190,10.5114164352417) (289,9.78831672668457) (157,9.752677917480469) (228,9.537781715393066) (511,9.193330764770508) (72,8.963090896606445) (72,8.963090896606445) (229,8.793450355529785) (159,8.71994400024414) (703,8.466689109802246)* (903,8.465401649475098) (689,8.426290512084961)* (227,8.273062705993652) (306,8.197001457214355) (377,8.165493965148926) (475,8.115157127380371) (88,8.0186128616333) (1243,7.98092794418335) (187,7.960901737213135) (1104,7.931309700012207)
28: (1001,11.132244110107422)* (997,10.217597007751465)* (877,9.971498489379883) (99,9.696041107177734) (999,9.37641716003418)* (187,9.32793140411377) (180,8.929821014404297) (601,8.911223411560059) (3501,8.889364242553711) (95,8.786728858947754) (64,8.599794387817383) (64,8.599794387817383) (77,8.422024726867676) (77,8.422024726867676) (1017,8.336694717407227)* (1076,8.28307056427002) (93,8.277543067932129) (1014,8.259477615356445)* (82,8.250927925109863) (1891,8.190896034240723)
29: (289,14.652482986450195)* (306,11.541656494140625) (461,10.934099197387695)* (403,10.806852340698242) (377,10.489151954650879) (544,10.329017639160156) (475,9.908291816711426) (198,9.819382667541504) (538,9.745903015136719) (1186,9.74138069152832) (230,9.497058868408203) (405,9.442087173461914) (499,9.303155899047852) (1246,9.259223937988281) (701,9.110902786254883) (1673,9.072758674621582) (802,9.057921409606934) (488,8.937365531921387) (458,8.861411094665527) (1455,8.737826347351074)
30: (306,11.409234046936035) (294,10.300079345703125) (1032,9.832623481750488) (2020,9.809005737304688) (157,9.67796802520752) (544,9.516631126403809) (701,9.493725776672363) (464,9.177962303161621) (523,9.013082504272461) (293,8.740274429321289) (466,8.660969734191895) (679,8.614789962768555)* (681,8.567625045776367) (793,8.566807746887207)* (318,8.544977188110352)* (475,8.498428344726562) (403,8.496362686157227) (680,8.48524284362793)* (458,8.453110694885254) (161,8.435144424438477)
31: (36,9.850090026855469) (1013,9.351264953613281) (172,9.207132339477539) (1713,9.101078033447266) (3501,9.083620071411133) (1707,8.351162910461426) (1295,8.282285690307617) (9141,8.225895881652832) (39,7.922238349914551) (30,7.900304794311523)* (9139,7.831360340118408) (51,7.8248701095581055) (187,7.770059585571289) (997,7.750235557556152) (4308,7.645267009735107) (4871,7.601744651794434) (190,7.449789047241211) (1716,7.392428398132324) (64,7.377593040466309) (64,7.377593040466309)
32: (703,10.602291107177734) (227,10.141592979431152)* (1400,9.268561363220215) (229,9.267367362976074) (228,9.161215782165527) (707,9.023008346557617) (429,9.014416694641113)* (198,8.8939790725708) (226,8.754230499267578) (199,8.729117393493652) (1406,8.698357582092285) (614,8.692452430725098) (420,8.635368347167969) (215,8.201651573181152) (716,8.147146224975586) (868,8.055777549743652) (1106,8.043481826782227)* (1376,7.895017147064209) (857,7.852513790130615)* (425,7.624303817749023)
33: (163,8.646390914916992) (1119,8.613409042358398)* (186,8.408906936645508) (227,8.331106185913086) (226,8.30709171295166) (152,8.258377075195312)* (4965,8.21679401397705) (512,8.142434120178223) (2006,8.064618110656738) (2375,8.01248836517334) (88,7.927638053894043) (370,7.919301509857178) (3405,7.863498210906982) (614,7.847558975219727)* (707,7.700838565826416) (603,7.541563034057617) (11516,7.514556884765625) (3940,7.5089592933654785) (910,7.305922508239746) (215,7.302621841430664)
34: (429,9.797405242919922) (703,9.774744033813477) (620,9.279518127441406) (2277,9.23294448852539) (159,8.888193130493164) (863,8.645522117614746) (88,8.639547348022461) (858,8.584453582763672) (3259,8.518856048583984) (1424,8.487009048461914) (215,8.384925842285156) (3112,8.311909675598145) (4153,8.267801284790039) (961,8.07249641418457) (1106,8.031847953796387) (228,8.003666877746582) (1957,7.97878885269165) (196,7.96683931350708)* (203,7.894866943359375) (2531,7.888979434967041)
35: (608,10.885212898254395) (1411,10.728266716003418) (603,10.209855079650879) (621,9.84488582611084) (578,9.84138011932373) (610,9.79727840423584) (9595,9.742209434509277) (7081,9.585491180419922) (609,9.436863899230957) (6164,9.145618438720703) (986,9.10528564453125) (4790,9.0497465133667) (5665,9.047660827636719) (4123,9.010916709899902) (2281,8.964744567871094) (596,8.913625717163086) (6151,8.822806358337402) (597,8.806069374084473) (3778,8.791455268859863) (879,8.72968864440918)
36: (198,11.985136985778809)* (1195,11.262972831726074)* (1183,11.040755271911621)* (403,11.016233444213867) (1200,10.60937213897705)* (499,10.537932395935059) (1188,10.36274242401123)* (498,9.736527442932129) (1670,9.60040283203125) (405,9.570337295532227) (501,9.4927978515625) (512,9.434134483337402) (489,9.256224632263184) (693,9.09112548828125) (1406,9.03352165222168) (490,8.98896312713623) (1678,8.965887069702148) (488,8.88209342956543)* (1246,8.832087516784668) (1179,8.748473167419434)*
37: (1411,12.55539321899414) (3508,10.97277545928955) (7427,10.129903793334961) (2375,10.112449645996094) (1175,10.036015510559082) (559,10.003595352172852) (977,9.942763328552246) (13491,9.60557746887207) (4786,9.603433609008789) (5375,9.37171459197998) (621,9.364339828491211) (3809,9.259766578674316) (4662,9.070146560668945) (9997,9.015276908874512) (2473,8.89946460723877) (2281,8.889039039611816) (1123,8.850102424621582) (7797,8.652539253234863) (10340,8.6394681930542) (28,8.600431442260742)
38: (228,10.508817672729492)* (190,10.37814712524414)* (289,10.327269554138184) (1406,10.198803901672363) (230,10.043933868408203) (157,9.889945030212402) (424,9.801567077636719) (707,9.67227840423584) (903,9.524383544921875) (703,9.014432907104492) (198,8.951188087463379) (377,8.812372207641602) (159,8.733803749084473) (475,8.676424980163574) (3462,8.647173881530762) (1246,8.549568176269531)* (498,8.387813568115234)* (88,8.374391555786133)* (3460,8.324408531188965) (1412,8.301219940185547)
39: (25,11.189897537231445) (3901,10.557278633117676) (1295,10.419748306274414) (370,10.416990280151367) (1535,10.241510391235352) (710,9.804272651672363) (928,9.794384956359863) (1271,9.72597885131836)* (4290,9.630865097045898) (48,9.586042404174805) (930,9.551637649536133) (949,9.468066215515137) (4272,9.413337707519531) (6,9.342121124267578) (1214,9.322643280029297) (12,9.279851913452148) (6289,9.261685371398926) (2975,9.130532264709473) (1261,9.04587173461914)* (943,8.969799041748047)
40: (36,10.68631649017334) (4871,10.261807441711426) (72,10.041367530822754) (72,10.041367530822754) (1294,9.966642379760742)* (30,9.63136100769043) (9141,9.388570785522461) (1713,9.128036499023438) (3501,9.104512214660645) (31,8.943657875061035) (880,8.916637420654297) (24,8.860663414001465) (1253,8.833864212036133) (4317,8.832337379455566) (49,8.79713249206543) (41,8.710625648498535) (27,8.676048278808594) (9,8.674567222595215) (39,8.66280746459961) (603,8.659626007080078)
41: (710,13.228687286376953) (5016,12.054316520690918) (1535,11.789466857910156) (954,10.58031940460205)* (1257,10.567930221557617)* (1254,10.227616310119629) (1214,9.844264030456543) (1274,9.768177032470703) (957,9.738478660583496)* (4331,9.67971420288086) (841,9.661641120910645) (1355,9.586770057678223)* (924,9.559494018554688) (1276,9.500762939453125) (1177,9.495711326599121) (25,9.43757152557373) (15,9.405597686767578) (1260,9.322906494140625) (6289,9.284543991088867) (5689,9.270953178405762)
42: (229,10.719590187072754)* (697,10.443548202514648) (1243,10.100038528442383) (3255,9.683399200439453) (533,9.481175422668457) (196,8.963438034057617) (532,8.898696899414062) (1246,8.873210906982422) (523,8.784436225891113) (97,8.647061347961426) (3171,8.52834701538086) (2544,8.498308181762695) (3057,8.437708854675293) (537,8.391483306884766) (680,8.289837837219238) (3466,8.278558731079102) (546,8.245580673217773) (1511,8.209063529968262) (307,8.144789695739746) (1116,8.116955757141113)
43: (228,10.850078582763672) (229,10.555900573730469)* (703,10.11899185180664) (3462,8.417516708374023) (546,8.398100852966309) (689,8.316265106201172) (79,8.29920768737793) (72,8.231507301330566) (72,8.231507301330566) (215,8.12376594543457) (172,8.058465957641602) (3255,8.05655574798584) (1151,8.043033599853516) (196,7.971645832061768) (722,7.940756320953369) (2083,7.939013957977295) (1934,7.821443557739258) (1116,7.7836761474609375) (533,7.764621734619141) (716,7.7363600730896)
44: (868,10.719176292419434)* (707,9.938385009765625)* (1412,9.5336275100708)* (975,8.77766227722168) (863,8.679031372070312) (607,8.576714515686035) (1643,8.476366996765137) (857,8.428424835205078) (159,8.4193696975708) (3112,8.303618431091309) (212,8.29720401763916) (186,8.293135643005371) (429,8.272147178649902) (198,8.229973793029785) (4675,8.225015640258789) (1639,8.220330238342285) (1806,8.160801887512207) (599,8.094489097595215) (2375,7.98033332824707) (205,7.967456340789795)
45: (289,15.95142936706543)* (294,11.485634803771973) (325,11.345635414123535)* (1032,11.330282211303711) (330,10.874711036682129) (1451,10.706377983093262) (468,10.668744087219238) (1450,10.610532760620117) (545,10.597232818603516) (2020,10.4345121383667) (544,10.191574096679688) (461,10.09200382232666)* (475,10.063111305236816) (525,10.043901443481445) (1452,10.028502464294434) (538,9.951872825622559) (157,9.94604778289795) (161,9.930434226989746)* (349,9.841168403625488)* (296,9.81148910522461)
46: (294,11.594367980957031) (701,10.444596290588379)* (544,10.406201362609863) (468,10.146684646606445) (161,10.043787956237793) (157,10.03497314453125) (2020,9.621553421020508) (1455,9.550057411193848)* (310,9.404696464538574) (543,9.337265014648438) (1934,9.300031661987305) (466,9.250175476074219)* (545,9.219858169555664) (531,9.18678092956543) (1456,9.113531112670898)* (290,9.085708618164062)* (318,9.040210723876953) (344,9.016775131225586)* (329,8.994383811950684) (528,8.986502647399902)
47: (289,16.91652488708496)* (288,12.326924324035645)* (306,11.95008659362793) (294,11.572107315063477)* (2020,10.232198715209961) (701,10.219416618347168)* (1032,10.21735954284668) (349,9.770448684692383) (544,9.666952133178711) (157,9.556745529174805) (161,9.418739318847656) (320,9.048893928527832) (458,9.044743537902832) (455,9.030357360839844)* (329,8.937585830688477) (300,8.928903579711914)* (679,8.882627487182617) (295,8.845284461975098) (89,8.830435752868652) (290,8.784797668457031)
48: (261,9.51445484161377) (1775,8.729206085205078) (253,8.685608863830566) (251,8.511246681213379) (3313,8.487579345703125) (1681,8.46471118927002) (913,8.441582679748535) (2523,8.389909744262695) (903,8.376358985900879) (739,8.372486114501953) (306,8.299158096313477) (1556,8.040413856506348) (1771,8.017221450805664) (3074,7.995729923248291) (1243,7.977508544921875) (966,7.875306606292725) (511,7.836852550506592)* (294,7.746504783630371) (3488,7.706544876098633) (6721,7.672050952911377)
49: (306,11.50936222076416)* (1934,9.677873611450195) (294,9.659817695617676) (228,9.60834789276123) (689,9.512213706970215) (190,9.179404258728027) (157,9.175515174865723) (2083,9.142494201660156) (690,9.066129684448242) (1243,9.049416542053223) (532,8.597329139709473) (523,8.597057342529297) (525,8.54023265838623) (546,8.426250457763672) (310,8.413033485412598)* (1032,8.410232543945312) (475,8.3201904296875) (97,8.279250144958496) (298,8.241945266723633) (349,8.040919303894043)
50: (614,9.715182304382324) (88,9.411314010620117) (429,9.190234184265137)* (707,9.048108100891113) (1412,8.927257537841797)* (190,8.919180870056152) (1406,8.86107063293457) (215,8.718252182006836) (857,8.715255737304688) (229,8.677506446838379)* (2539,8.67556381225586) (716,8.582737922668457) (226,8.523180961608887) (4802,8.520416259765625) (599,8.424670219421387) (709,8.408563613891602)* (9160,8.358115196228027) (3400,8.357882499694824) (959,8.337711334228516)* (1977,8.31470012664795)
51: (710,12.927454948425293) (1254,10.77963638305664) (843,10.663535118103027) (5016,10.427910804748535) (949,10.275757789611816)* (1257,10.186461448669434)* (1338,10.046896934509277) (1526,9.628408432006836)* (25,9.54249382019043) (1214,9.468621253967285)* (957,9.465030670166016) (1177,9.448816299438477) (2746,9.354029655456543) (7044,9.253880500793457) (1523,9.18486213684082)* (1281,9.05789566040039) (3509,9.050399780273438) (6289,9.011799812316895) (1276,8.977633476257324) (198,8.972674369812012)*
52: (3034,11.052886962890625) (198,10.426593780517578) (503,9.939044952392578) (1541,9.913190841674805)* (2847,9.762005805969238) (10449,9.645235061645508) (3718,9.641664505004883) (843,9.539510726928711) (512,9.491456031799316) (3043,9.479663848876953) (923,9.308319091796875) (813,9.251775741577148) (3036,9.01884651184082) (2378,8.945652961730957) (3721,8.939654350280762) (823,8.911444664001465) (4948,8.900540351867676) (809,8.866954803466797) (3366,8.80717945098877) (5146,8.804513931274414)
53: (289,13.90005874633789)* (306,11.824743270874023)* (288,10.889225006103516)* (1032,10.021263122558594) (294,9.68835163116455) (461,9.188657760620117) (468,9.104959487915039) (1456,9.080937385559082) (913,8.969770431518555) (1455,8.955248832702637) (3123,8.413232803344727) (161,8.325874328613281) (308,7.918460845947266) (543,7.835393905639648) (409,7.808887481689453) (909,7.8059844970703125) (1037,7.777523517608643) (458,7.768730640411377) (2091,7.752355098724365) (2092,7.697941303253174)
54: (294,11.181647300720215) (157,10.392724990844727) (288,10.23043441772461)* (306,9.574697494506836) (913,9.535364151000977)* (320,9.183167457580566)* (455,8.770727157592773) (257,8.617096900939941) (285,8.528621673583984) (1243,8.453737258911133) (311,8.4203462600708) (251,8.417129516601562) (465,8.351099014282227)* (461,8.314648628234863) (265,8.142512321472168) (792,8.135289192199707) (325,8.018534660339355) (295,7.929481029510498) (301,7.886667251586914) (340,7.864899635314941)
55: (2923,9.982522964477539) (88,9.8115816116333) (2921,9.328932762145996) (228,8.990487098693848) (2277,8.749849319458008) (215,8.652063369750977) (271,8.33167552947998) (3462,8.31258773803711) (447,8.270169258117676) (547,8.252498626708984) (5058,8.215290069580078) (3716,8.169107437133789) (527,8.137788772583008) (3346,8.05489730834961) (6226,8.014006614685059) (424,8.00921630859375) (1402,8.008180618286133) (3227,8.006670951843262) (9912,7.9879937171936035) (10399,7.945161819458008)
56: (1406,11.2048921585083) (198,11.124307632446289) (707,10.01449966430664) (227,9.957627296447754) (614,9.514079093933105) (1515,9.352378845214844)* (3745,9.219303131103516) (1412,9.132387161254883) (230,8.854644775390625) (226,8.737739562988281) (4828,8.696667671203613) (4823,8.599427223205566) (1766,8.584172248840332) (4802,8.489709854125977) (705,8.27580451965332) (3732,8.260591506958008) (3744,8.247871398925781) (3743,8.179774284362793) (533,8.109457015991211) (716,8.107475280761719)
57: (403,11.240723609924316) (461,9.970359802246094) (1186,9.76665210723877) (1201,9.708854675292969) (405,9.659820556640625) (693,9.639642715454102) (306,9.560042381286621) (544,9.545830726623535) (198,9.429879188537598) (1246,9.377280235290527)* (1183,9.332464218139648) (538,9.283169746398926) (687,9.226255416870117) (377,9.176673889160156)* (499,8.988802909851074) (230,8.97200870513916) (1189,8.9080171585083) (1199,8.803722381591797) (691,8.671243667602539) (537,8.470181465148926)
58: (289,14.336264610290527)* (288,10.784866333007812)* (1428,9.99708366394043) (306,9.744405746459961) (793,9.60191535949707) (692,9.575485229492188) (701,9.575052261352539) (544,9.490256309509277) (294,9.127339363098145) (681,9.06916332244873)* (2020,9.0226411819458) (1059,8.904984474182129) (1450,8.645891189575195) (1032,8.630570411682129) (1451,8.588661193847656) (693,8.457626342773438) (691,8.438026428222656) (680,8.399425506591797)* (1452,8.358976364135742) (695,8.256482124328613)
59: (172,9.596875190734863) (1295,9.496047973632812) (1104,9.202024459838867)* (1179,9.19950008392334) (512,8.913724899291992)* (198,8.847405433654785) (949,8.75796127319336) (1707,8.738422393798828)* (930,8.611355781555176) (156,8.594429016113281) (370,8.496516227722168) (25,8.090660095214844) (726,8.07518196105957)* (159,8.015734672546387) (181,8.009735107421875) (703,8.00328254699707) (46,7.978073596954346) (88,7.955536365509033) (1119,7.950162887573242) (233,7.937140464782715)*
60: (444,10.107192039489746) (603,9.869796752929688) (88,9.521843910217285) (199,9.33199691772461) (604,9.024025917053223) (215,8.776734352111816) (632,8.642462730407715) (227,8.46534252166748) (429,8.342355728149414) (703,8.194646835327148) (3411,8.081254959106445) (608,7.805014610290527) (6756,7.773100852966309) (744,7.77263069152832) (1423,7.728625774383545) (1424,7.712118148803711) (6151,7.67036771774292) (454,7.663629055023193) (1957,7.653748035430908) (1400,7.619606971740723)
